書名,書籍網站,作者,出版社,ISBN,圖片網址
九九乘法100分 （九九魔法表一張 ）,https://www.kingstone.com.tw//basic/2015232091229?zone=book&lid=book_class3_taq&actid=book_class3_taq,侯青蓉,世一文化  ,4719742082095,https://cdn.kingstone.com.tw/book/images/product/20152/2015232091229/2015232091229b.jpg
國小最新基礎數學（1年級）,https://www.kingstone.com.tw//basic/2015216993198?zone=book&lid=book_class3_taq&actid=book_class3_taq,數學資優班教研會,光田      ,9789574817993,https://cdn.kingstone.com.tw/book/images/product/20152/2015216993198/2015216993198b.jpg
小學數學舉一反三（1年級）第2版,https://www.kingstone.com.tw//basic/2015216449510?zone=book&lid=book_class3_taq&actid=book_class3_taq,數學資優班教研會,光田      ,4710562780130,https://cdn.kingstone.com.tw/book/images/product/20152/2015216449510/2015216449510b.jpg
數學應用題理解（國小1年級）第2版,https://www.kingstone.com.tw//basic/2015216326279?zone=book&lid=book_class3_taq&actid=book_class3_taq,陳志宏,光田      ,4710562780017,https://cdn.kingstone.com.tw/book/images/product/20152/2015216326279/2015216326279b.jpg
智力數學綜合評量（國小1年級）,https://www.kingstone.com.tw//basic/2015233123813?zone=book&lid=book_class3_taq&actid=book_class3_taq,資優數學教研會,光田      ,4712839709486,https://cdn.kingstone.com.tw/book/images/product/20152/2015233123813/2015233123813b.jpg
國小數學統整講義（1年級）,https://www.kingstone.com.tw//basic/2015233121499?zone=book&lid=book_class3_taq&actid=book_class3_taq,資優數學教研會,光田      ,4712839709295,https://cdn.kingstone.com.tw/book/images/product/20152/2015233121499/2015233121499b.jpg
數學資優重點評量（國小1年級）,https://www.kingstone.com.tw//basic/2015215859723?zone=book&lid=book_class3_taq&actid=book_class3_taq,光田出版社,光田      ,4712839707710,https://cdn.kingstone.com.tw/book/images/product/20152/2015215859723/2015215859723b.jpg
小學數學單元精練（1年級）,https://www.kingstone.com.tw//basic/2015215702913?zone=book&lid=book_class3_taq&actid=book_class3_taq,光田出版社,光田      ,4712839707536,https://cdn.kingstone.com.tw/book/images/product/20152/2015215702913/2015215702913b.jpg
數學邏輯思考訓練（國小1年級）,https://www.kingstone.com.tw//basic/2015233070711?zone=book&lid=book_class3_taq&actid=book_class3_taq,光田出版社,光田      ,4712839707338,https://cdn.kingstone.com.tw/book/images/product/20152/2015233070711/2015233070711b.jpg
數學應用題理解（國小1年級）,https://www.kingstone.com.tw//basic/2015233042404?zone=book&lid=book_class3_taq&actid=book_class3_taq,陳志宏,光田      ,4712839708731,https://cdn.kingstone.com.tw/book/images/product/20152/2015233042404/2015233042404b.jpg
