書名,書籍網站,作者,出版社,ISBN,圖片網址
國小課堂評量｛康版｝國語二上（110學年）,https://www.kingstone.com.tw//basic/2015216927117?zone=book&lid=book_class3_tba&actid=book_class3_tba,編輯,明霖      ,4091131201905,https://cdn.kingstone.com.tw/book/images/product/20152/2015216927117/2015216927117b.jpg
國小（康老師）國語講義式評量二上（110學年）,https://www.kingstone.com.tw//basic/2015216903555?zone=book&lid=book_class3_tba&actid=book_class3_tba,編輯,良品      ,9789860732153,https://cdn.kingstone.com.tw/book/images/product/20152/2015216903555/2015216903555b.jpg
國小康軒新挑戰測驗卷國語二上（110學年）,https://www.kingstone.com.tw//basic/2015216939288?zone=book&lid=book_class3_tba&actid=book_class3_tba,編輯,康軒      ,204010300391,https://cdn.kingstone.com.tw/book/images/product/20152/2015216939288/2015216939288b.jpg
國小康軒新挑戰學習評量國語二上（110學年）,https://www.kingstone.com.tw//basic/2015216932524?zone=book&lid=book_class3_tba&actid=book_class3_tba,編輯,康軒      ,9789865352332,https://cdn.kingstone.com.tw/book/images/product/20152/2015216932524/2015216932524b.jpg
國小康軒新挑戰國語自修二上（110學年）,https://www.kingstone.com.tw//basic/2015216930520?zone=book&lid=book_class3_tba&actid=book_class3_tba,編輯,康軒      ,9789865352271,https://cdn.kingstone.com.tw/book/images/product/20152/2015216930520/2015216930520b.jpg
國小(康老師)國語二下講義式評量(109學年),https://www.kingstone.com.tw//basic/2015216787827?zone=book&lid=book_class3_tba&actid=book_class3_tba,編輯,良品      ,420090101041,https://cdn.kingstone.com.tw/book/images/product/20152/2015216787827/2015216787827b.jpg
國小(康版)國語評量講義二下(109學年),https://www.kingstone.com.tw//basic/2015216804456?zone=book&lid=book_class3_tba&actid=book_class3_tba,編輯,明霖      ,4092131201902,https://cdn.kingstone.com.tw/book/images/product/20152/2015216804456/2015216804456b.jpg
國小(康版)國語評量講義二下(108學年),https://www.kingstone.com.tw//basic/2015216404342?zone=book&lid=book_class3_tba&actid=book_class3_tba,編輯,明霖      ,4072131201904,https://cdn.kingstone.com.tw/book/images/product/20152/2015216404342/2015216404342b.jpg
國小(康老師)國語評量講義二下(108學年),https://www.kingstone.com.tw//basic/2015216410381?zone=book&lid=book_class3_tba&actid=book_class3_tba,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216410381/2015216410381b.jpg
國小(康老師)國語評量講義二上(108學年),https://www.kingstone.com.tw//basic/2015216163799?zone=book&lid=book_class3_tba&actid=book_class3_tba,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216163799/2015216163799b.jpg
國小(康版)國語評量講義二上(108學年),https://www.kingstone.com.tw//basic/2015216165823?zone=book&lid=book_class3_tba&actid=book_class3_tba,編輯,明霖      ,4081131201906,https://cdn.kingstone.com.tw/book/images/product/20152/2015216165823/2015216165823b.jpg
108國語{暑期營}1升2. 各版本適用,https://www.kingstone.com.tw//basic/2015216076051?zone=book&lid=book_class3_tba&actid=book_class3_tba,康軒編輯,康軒      ,202010303951,https://cdn.kingstone.com.tw/book/images/product/20152/2015216076051/2015216076051b.jpg
108國.數{暑期營}1升2. 各版本適用,https://www.kingstone.com.tw//basic/2015216076501?zone=book&lid=book_class3_tba&actid=book_class3_tba,康軒編輯,康軒      ,202000303951,https://cdn.kingstone.com.tw/book/images/product/20152/2015216076501/2015216076501b.jpg
