書名,書籍網站,作者,出版社,ISBN,圖片網址
國小優質閱讀測驗（2年級）,https://www.kingstone.com.tw//basic/2015216081468?zone=book&lid=book_class3_tbe&actid=book_class3_tbe,資優國語文教研會,光田      ,4712839709561,https://cdn.kingstone.com.tw/book/images/product/20152/2015216081468/2015216081468b.jpg
成語故事閱讀評量（新版）（2年級）,https://www.kingstone.com.tw//basic/2015232299397?zone=book&lid=book_class3_tbe&actid=book_class3_tbe,陳東和,光田      ,4712839705570,https://cdn.kingstone.com.tw/book/images/product/20152/2015232299397/2015232299397b.jpg
國小作文與閱讀講義（2年級）第3版,https://www.kingstone.com.tw//basic/2015216420748?zone=book&lid=book_class3_tbe&actid=book_class3_tbe,資優國語文教研會,光田      ,4710562780086,https://cdn.kingstone.com.tw/book/images/product/20152/2015216420748/2015216420748b.jpg
成語故事悅讀動動腦（國小2年級）第2版,https://www.kingstone.com.tw//basic/2015216173026?zone=book&lid=book_class3_tbe&actid=book_class3_tbe,陳文山,光田      ,4712839709745,https://cdn.kingstone.com.tw/book/images/product/20152/2015216173026/2015216173026b.jpg
閱讀訓練百分百（國小2年級）第2版,https://www.kingstone.com.tw//basic/2015215740137?zone=book&lid=book_class3_tbe&actid=book_class3_tbe,資優國語文教研會,光田      ,4712839708984,https://cdn.kingstone.com.tw/book/images/product/20152/2015215740137/2015215740137b.jpg
國小成語大考驗（2年級）第2版,https://www.kingstone.com.tw//basic/2018592748840?zone=book&lid=book_class3_tbe&actid=book_class3_tbe,光田出版社,光田      ,4712839708908,https://cdn.kingstone.com.tw/book/images/product/20185/2018592748840/2018592748840b.jpg
優質閱讀能力養成（國小2年級）第3版,https://www.kingstone.com.tw//basic/2015232771022?zone=book&lid=book_class3_tbe&actid=book_class3_tbe,資優國語文教研會,光田      ,4712839706812,https://cdn.kingstone.com.tw/book/images/product/20152/2015232771022/2015232771022b.jpg
品德教育閱讀每日10分鐘（2年級全冊）修訂版,https://www.kingstone.com.tw//basic/2015232281224?zone=book&lid=book_class3_tbe&actid=book_class3_tbe,資優國語文教研會,光田      ,4712839705464,https://cdn.kingstone.com.tw/book/images/product/20152/2015232281224/2015232281224b.jpg
國小作文與閱讀講義（2年級）第2版,https://www.kingstone.com.tw//basic/2015215926357?zone=book&lid=book_class3_tbe&actid=book_class3_tbe,資優國語文教研會,光田      ,4712839709196,https://cdn.kingstone.com.tw/book/images/product/20152/2015215926357/2015215926357b.jpg
品德故事天天讀(國小2年級),https://www.kingstone.com.tw//basic/2015232977486?zone=book&lid=book_class3_tbe&actid=book_class3_tbe,陳文山,光田      ,4712839708564,https://cdn.kingstone.com.tw/book/images/product/20152/2015232977486/2015232977486b.jpg
成語故事悅讀動動腦(國小2年級),https://www.kingstone.com.tw//basic/2018592700626?zone=book&lid=book_class3_tbe&actid=book_class3_tbe,陳文山,光田      ,4712839708434,https://cdn.kingstone.com.tw/book/images/product/20185/2018592700626/2018592700626b.jpg
悅讀品德故事(國小2年級)上冊(第2版),https://www.kingstone.com.tw//basic/2015232392234?zone=book&lid=book_class3_tbe&actid=book_class3_tbe,陳文山,光田      ,4712839706485,https://cdn.kingstone.com.tw/book/images/product/20152/2015232392234/2015232392234b.jpg
悅讀品德故事(國小2年級)下冊(第2版),https://www.kingstone.com.tw//basic/2015232392364?zone=book&lid=book_class3_tbe&actid=book_class3_tbe,陳文山,光田      ,4712839706492,https://cdn.kingstone.com.tw/book/images/product/20152/2015232392364/2015232392364b.jpg
悅讀品德故事(國小2年級)全冊(第2版),https://www.kingstone.com.tw//basic/2015232393316?zone=book&lid=book_class3_tbe&actid=book_class3_tbe,陳文山,光田      ,4712839706508,https://cdn.kingstone.com.tw/book/images/product/20152/2015232393316/2015232393316b.jpg
閱讀訓練百分百(國小2年級),https://www.kingstone.com.tw//basic/2015232364187?zone=book&lid=book_class3_tbe&actid=book_class3_tbe,資優國語文教研會,光田      ,4712839706201,https://cdn.kingstone.com.tw/book/images/product/20152/2015232364187/2015232364187b.jpg
國小基礎寫作引導；2年級上冊,https://www.kingstone.com.tw//basic/2015232342109?zone=book&lid=book_class3_tbe&actid=book_class3_tbe,寫作教學研究會,光田      ,4712839706003,https://cdn.kingstone.com.tw/book/images/product/20152/2015232342109/2015232342109b.jpg
國小基礎寫作引導；2年級下冊,https://www.kingstone.com.tw//basic/2015232342239?zone=book&lid=book_class3_tbe&actid=book_class3_tbe,寫作教學研究會,光田      ,4712839706010,https://cdn.kingstone.com.tw/book/images/product/20152/2015232342239/2015232342239b.jpg
品德教育閱讀每日10分鐘(2年級上冊)修訂版,https://www.kingstone.com.tw//basic/2015232281064?zone=book&lid=book_class3_tbe&actid=book_class3_tbe,資優國語文教研會,光田      ,4712839705440,https://cdn.kingstone.com.tw/book/images/product/20152/2015232281064/2015232281064b.jpg
品德教育閱讀每日10分鐘(2年級下冊)修訂版,https://www.kingstone.com.tw//basic/2015232281194?zone=book&lid=book_class3_tbe&actid=book_class3_tbe,資優國語文教研會,光田      ,4712839705457,https://cdn.kingstone.com.tw/book/images/product/20152/2015232281194/2015232281194b.jpg
優質閱讀能力養成(國小2年級)修訂版,https://www.kingstone.com.tw//basic/2015232268874?zone=book&lid=book_class3_tbe&actid=book_class3_tbe,資優國語文教研會,光田      ,4712839705310,https://cdn.kingstone.com.tw/book/images/product/20152/2015232268874/2015232268874b.jpg
國小作文與閱讀講義(2年級),https://www.kingstone.com.tw//basic/2015232261240?zone=book&lid=book_class3_tbe&actid=book_class3_tbe,資優國語文教研會,光田      ,4712839705112,https://cdn.kingstone.com.tw/book/images/product/20152/2015232261240/2015232261240b.jpg
國小成語大考驗 2年級 修訂版,https://www.kingstone.com.tw//basic/2015232194326?zone=book&lid=book_class3_tbe&actid=book_class3_tbe,資優國語文教研會,光田      ,4712839704610,https://cdn.kingstone.com.tw/book/images/product/20152/2015232194326/2015232194326b.jpg
悅讀品德故事 2年全,https://www.kingstone.com.tw//basic/2018592355147?zone=book&lid=book_class3_tbe&actid=book_class3_tbe,陳文山,光田      ,4712839703811,https://cdn.kingstone.com.tw/book/images/product/20185/2018592355147/2018592355147b.jpg
悅讀品德故事2年上,https://www.kingstone.com.tw//basic/2018592352641?zone=book&lid=book_class3_tbe&actid=book_class3_tbe,陳文山,光田      ,4712839703798,https://cdn.kingstone.com.tw/book/images/product/20185/2018592352641/2018592352641b.jpg
悅讀品德故事2年下,https://www.kingstone.com.tw//basic/2018592352771?zone=book&lid=book_class3_tbe&actid=book_class3_tbe,陳文山,光田      ,4712839703804,https://cdn.kingstone.com.tw/book/images/product/20185/2018592352771/2018592352771b.jpg
