書名,書籍網站,作者,出版社,ISBN,圖片網址
數學邏輯思考訓練（國小2年級）,https://www.kingstone.com.tw//basic/2015233070841?zone=book&lid=book_class3_tbq&actid=book_class3_tbq,光田出版社,光田      ,4712839707345,https://cdn.kingstone.com.tw/book/images/product/20152/2015233070841/2015233070841b.jpg
國小最新基礎數學（2年級）,https://www.kingstone.com.tw//basic/2015216993228?zone=book&lid=book_class3_tbq&actid=book_class3_tbq,數學資優班教研會,光田      ,9789574818006,https://cdn.kingstone.com.tw/book/images/product/20152/2015216993228/2015216993228b.jpg
小學數學舉一反三（2年級）第2版,https://www.kingstone.com.tw//basic/2015216449640?zone=book&lid=book_class3_tbq&actid=book_class3_tbq,數學資優班教研會,光田      ,4710562780147,https://cdn.kingstone.com.tw/book/images/product/20152/2015216449640/2015216449640b.jpg
數學應用題理解（國小2年級）第2版,https://www.kingstone.com.tw//basic/2015216326309?zone=book&lid=book_class3_tbq&actid=book_class3_tbq,陳志宏,光田      ,4710562780024,https://cdn.kingstone.com.tw/book/images/product/20152/2015216326309/2015216326309b.jpg
智力數學綜合評量（國小2年級）,https://www.kingstone.com.tw//basic/2015233123943?zone=book&lid=book_class3_tbq&actid=book_class3_tbq,資優數學教研會,光田      ,4712839709493,https://cdn.kingstone.com.tw/book/images/product/20152/2015233123943/2015233123943b.jpg
國小數學統整講義（2年級）,https://www.kingstone.com.tw//basic/2015233121529?zone=book&lid=book_class3_tbq&actid=book_class3_tbq,資優數學教研會,光田      ,4712839709301,https://cdn.kingstone.com.tw/book/images/product/20152/2015233121529/2015233121529b.jpg
數學資優重點評量（國小2年級）,https://www.kingstone.com.tw//basic/2015215859853?zone=book&lid=book_class3_tbq&actid=book_class3_tbq,光田出版社,光田      ,4712839707727,https://cdn.kingstone.com.tw/book/images/product/20152/2015215859853/2015215859853b.jpg
小學數學單元精練（2年級）,https://www.kingstone.com.tw//basic/2015215703095?zone=book&lid=book_class3_tbq&actid=book_class3_tbq,光田出版社,光田      ,4712839707543,https://cdn.kingstone.com.tw/book/images/product/20152/2015215703095/2015215703095b.jpg
數學應用題理解（國小2年級）,https://www.kingstone.com.tw//basic/2015233041902?zone=book&lid=book_class3_tbq&actid=book_class3_tbq,陳志宏,光田      ,4712839708748,https://cdn.kingstone.com.tw/book/images/product/20152/2015233041902/2015233041902b.jpg
國小奧林匹克數學講義（2年級）合訂本,https://www.kingstone.com.tw//basic/2015232624342?zone=book&lid=book_class3_tbq&actid=book_class3_tbq,吳建豪,光田      ,4712839707833,https://cdn.kingstone.com.tw/book/images/product/20152/2015232624342/2015232624342b.jpg
國小奧林匹克數學講義（3年級）合訂本,https://www.kingstone.com.tw//basic/2015232625134?zone=book&lid=book_class3_tbq&actid=book_class3_tbq,吳建豪,光田      ,4712839707840,https://cdn.kingstone.com.tw/book/images/product/20152/2015232625134/2015232625134b.jpg
國小奧林匹克數學講義（低年級2）,https://www.kingstone.com.tw//basic/2015232551396?zone=book&lid=book_class3_tbq&actid=book_class3_tbq,吳建豪,光田      ,4712839707055,https://cdn.kingstone.com.tw/book/images/product/20152/2015232551396/2015232551396b.jpg
國小數學智力綜合測驗（2年級）第3版,https://www.kingstone.com.tw//basic/2015232413311?zone=book&lid=book_class3_tbq&actid=book_class3_tbq,數學資優班教研會,光田      ,4712839706706,https://cdn.kingstone.com.tw/book/images/product/20152/2015232413311/2015232413311b.jpg
小學奧林匹克進階數學（2年級）合訂本,https://www.kingstone.com.tw//basic/2015232377170?zone=book&lid=book_class3_tbq&actid=book_class3_tbq,潘小云,光田      ,4712839706362,https://cdn.kingstone.com.tw/book/images/product/20152/2015232377170/2015232377170b.jpg
