書名,書籍網站,作者,出版社,ISBN,圖片網址
國小（南老師）國語講義式評量三上（110學年）,https://www.kingstone.com.tw//basic/2015216907683?zone=book&lid=book_class3_tcc&actid=book_class3_tcc,編輯,良品      ,9789860738551,https://cdn.kingstone.com.tw/book/images/product/20152/2015216907683/2015216907683b.jpg
國小課堂評量｛南版｝國語三上（110學年）,https://www.kingstone.com.tw//basic/2015216937284?zone=book&lid=book_class3_tcc&actid=book_class3_tcc,編輯,明霖      ,4101111301904,https://cdn.kingstone.com.tw/book/images/product/20152/2015216937284/2015216937284b.jpg
國小閱讀成語雙效養成三年級,https://www.kingstone.com.tw//basic/2015216970588?zone=book&lid=book_class3_tcc&actid=book_class3_tcc,編輯,南一書局  ,4718373330896,https://cdn.kingstone.com.tw/book/images/product/20152/2015216970588/2015216970588b.jpg
國小南一新超群百分百測驗卷國語三上（110學年）,https://www.kingstone.com.tw//basic/2015216914094?zone=book&lid=book_class3_tcc&actid=book_class3_tcc,編輯,南一書局  ,4718373330056,https://cdn.kingstone.com.tw/book/images/product/20152/2015216914094/2015216914094b.jpg
國小南一新超群自修國語三上（110學年）,https://www.kingstone.com.tw//basic/2015216909687?zone=book&lid=book_class3_tcc&actid=book_class3_tcc,編輯,南一書局  ,9789865301620,https://cdn.kingstone.com.tw/book/images/product/20152/2015216909687/2015216909687b.jpg
國小南一新超群評量國語三上（110學年）,https://www.kingstone.com.tw//basic/2015216911888?zone=book&lid=book_class3_tcc&actid=book_class3_tcc,編輯,南一書局  ,9789865303020,https://cdn.kingstone.com.tw/book/images/product/20152/2015216911888/2015216911888b.jpg
國小(南老師)國語三下講義式評量(109學年),https://www.kingstone.com.tw//basic/2015216791992?zone=book&lid=book_class3_tcc&actid=book_class3_tcc,編輯,良品      ,220090101061,https://cdn.kingstone.com.tw/book/images/product/20152/2015216791992/2015216791992b.jpg
國小(南版)國語評量講義三下(109學年),https://www.kingstone.com.tw//basic/2015216797444?zone=book&lid=book_class3_tcc&actid=book_class3_tcc,編輯,明霖      ,4072111301907,https://cdn.kingstone.com.tw/book/images/product/20152/2015216797444/2015216797444b.jpg
國小(南老師)國語評量講義三下(108學年),https://www.kingstone.com.tw//basic/2015216414129?zone=book&lid=book_class3_tcc&actid=book_class3_tcc,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216414129/2015216414129b.jpg
國小(南版)國語評量講義三上(108學年),https://www.kingstone.com.tw//basic/2015216171152?zone=book&lid=book_class3_tcc&actid=book_class3_tcc,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216171152/2015216171152b.jpg
