書名,書籍網站,作者,出版社,ISBN,圖片網址
閱讀素養全攻略（三年級）,https://www.kingstone.com.tw//basic/2015216180017?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,熊仙如,世一文化  ,4719742157021,https://cdn.kingstone.com.tw/book/images/product/20152/2015216180017/2015216180017b.jpg
活力造詞造句100分三年級,https://www.kingstone.com.tw//basic/2015217018661?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,范雅芬,世一文化  ,9789864298020,https://cdn.kingstone.com.tw/book/images/product/20152/2015217018661/2015217018661b.jpg
國語文推理智力測驗（6）中年級適用,https://www.kingstone.com.tw//basic/2015232519754?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,前程編輯部,前程出版社,9789577045140,https://cdn.kingstone.com.tw/book/images/product/20152/2015232519754/2015232519754b.jpg
國語文推理智力測驗（5）中年級適用,https://www.kingstone.com.tw//basic/2015232520163?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,前程編輯部,前程出版社,9789577045133,https://cdn.kingstone.com.tw/book/images/product/20152/2015232520163/2015232520163b.jpg
悅讀旅行團中年級（2）,https://www.kingstone.com.tw//basic/2015232513332?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,王惠娟、黃建維、郭育婷,前程出版社,9789577044907,https://cdn.kingstone.com.tw/book/images/product/20152/2015232513332/2015232513332b.jpg
悅讀旅行團中年級（3）,https://www.kingstone.com.tw//basic/2015232513462?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,王惠娟、黃建維、郭育婷,前程出版社,9789577044914,https://cdn.kingstone.com.tw/book/images/product/20152/2015232513462/2015232513462b.jpg
悅讀旅行團中年級（4）,https://www.kingstone.com.tw//basic/2015232513592?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,王惠娟、黃建維、郭育婷,前程出版社,9789577044921,https://cdn.kingstone.com.tw/book/images/product/20152/2015232513592/2015232513592b.jpg
每日一文補給站（三年級）,https://www.kingstone.com.tw//basic/2015232277159?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,胡曉英,世一文化  ,4719742091011,https://cdn.kingstone.com.tw/book/images/product/20152/2015232277159/2015232277159b.jpg
語文評量100分（中年級1）,https://www.kingstone.com.tw//basic/2015232238273?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,世一編輯部,世一文化  ,4719742091707,https://cdn.kingstone.com.tw/book/images/product/20152/2015232238273/2015232238273b.jpg
語文評量100分（中年級2）,https://www.kingstone.com.tw//basic/2015232238303?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,世一編輯部,世一文化  ,4719742091714,https://cdn.kingstone.com.tw/book/images/product/20152/2015232238303/2015232238303b.jpg
字詞造句應用100分（三年級）,https://www.kingstone.com.tw//basic/2015231898683?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,王慧敏,世一文化  ,4719742073543,https://cdn.kingstone.com.tw/book/images/product/20152/2015231898683/2015231898683b.jpg
活力造詞造句100分 三年級,https://www.kingstone.com.tw//basic/2015231831017?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,范雅芬,世一文化  ,4719742065791,https://cdn.kingstone.com.tw/book/images/product/20152/2015231831017/2015231831017b.jpg
活力成語100分 三年級,https://www.kingstone.com.tw//basic/2015231815871?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,黃美麗,世一文化  ,4719742065739,https://cdn.kingstone.com.tw/book/images/product/20152/2015231815871/2015231815871b.jpg
活力閱讀100分 三年級,https://www.kingstone.com.tw//basic/2015231809412?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,熊仙如,世一文化  ,4719742065678,https://cdn.kingstone.com.tw/book/images/product/20152/2015231809412/2015231809412b.jpg
國語文推理智力測驗（7）中年級適用,https://www.kingstone.com.tw//basic/2015232201918?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,郭靜宜,前程出版社,9789577043337,https://cdn.kingstone.com.tw/book/images/product/20152/2015232201918/2015232201918b.jpg
國語文推理智力測驗（8）中年級適用,https://www.kingstone.com.tw//basic/2015232203882?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,郭靜宜,前程出版社,9789577043740,https://cdn.kingstone.com.tw/book/images/product/20152/2015232203882/2015232203882b.jpg
1135 造詞造句實力評量三年級,https://www.kingstone.com.tw//basic/2018020328330?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,幼福編輯部,幼福文化  ,9789577477682,https://cdn.kingstone.com.tw/book/images/product/20180/2018020328330/2018020328330b.jpg
成語實力評量3年級,https://www.kingstone.com.tw//basic/2015231377942?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,幼福編輯部,幼福文化  ,9789577475992,https://cdn.kingstone.com.tw/book/images/product/20152/2015231377942/2015231377942b.jpg
108新課綱{閱讀素養}快樂看中國(1)中年級..扣合歷史課程,https://www.kingstone.com.tw//basic/2015216109469?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,編輯,政大少兒  ,9789868256606,https://cdn.kingstone.com.tw/book/images/product/20152/2015216109469/2015216109469b.jpg
108新課綱{閱讀素養}快樂看中國(3)中年級..扣合歷史課程,https://www.kingstone.com.tw//basic/2015216109629?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,編輯,政大少兒  ,9789868256682,https://cdn.kingstone.com.tw/book/images/product/20152/2015216109629/2015216109629b.jpg
108新課綱{閱讀素養}快樂看台灣高年級(1)..扣合歷史課程,https://www.kingstone.com.tw//basic/2015216109889?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,編輯,政大少兒  ,9789868256613,https://cdn.kingstone.com.tw/book/images/product/20152/2015216109889/2015216109889b.jpg
108閱讀高手中年級(2)用好問題提升思考力,https://www.kingstone.com.tw//basic/2015216077553?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,康軒編輯,康軒      ,202010704961,https://cdn.kingstone.com.tw/book/images/product/20152/2015216077553/2015216077553b.jpg
康軒國小好學生每週一讀中年級(4)各版本適用,https://www.kingstone.com.tw//basic/2015216077973?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,康軒編輯,康軒      ,202010800641,https://cdn.kingstone.com.tw/book/images/product/20152/2015216077973/2015216077973b.jpg
康軒國小好學生每週一讀中年級(1)各版本適用,https://www.kingstone.com.tw//basic/2015216078635?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,康軒編輯,康軒      ,2020105006,https://cdn.kingstone.com.tw/book/images/product/20152/2015216078635/2015216078635b.jpg
康軒國小好學生每週一讀中年級(2)各版本適用,https://www.kingstone.com.tw//basic/2015216078765?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,康軒編輯,康軒      ,202010600641,https://cdn.kingstone.com.tw/book/images/product/20152/2015216078765/2015216078765b.jpg
明霖108國小暑假快樂練5功{國語}2升3,https://www.kingstone.com.tw//basic/2015216059573?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,編輯,明霖      ,4071311200805,https://cdn.kingstone.com.tw/book/images/product/20152/2015216059573/2015216059573b.jpg
閱讀測驗實力評量三年級,https://www.kingstone.com.tw//basic/2015231480086?zone=book&lid=book_class3_tcf&actid=book_class3_tcf,幼福編輯部,幼福文化  ,9789577477361,https://cdn.kingstone.com.tw/book/images/product/20152/2015231480086/2015231480086b.jpg
