書名,書籍網站,作者,出版社,ISBN,圖片網址
國小（南老師）自然講義式評量三上（110學年）,https://www.kingstone.com.tw//basic/2015216909007?zone=book&lid=book_class3_tcu&actid=book_class3_tcu,編輯,良品      ,9789860738803,https://cdn.kingstone.com.tw/book/images/product/20152/2015216909007/2015216909007b.jpg
國小課堂評量｛南版｝自然三上（110學年）,https://www.kingstone.com.tw//basic/2015216938656?zone=book&lid=book_class3_tcu&actid=book_class3_tcu,編輯,明霖      ,4101114301901,https://cdn.kingstone.com.tw/book/images/product/20152/2015216938656/2015216938656b.jpg
國小南一新超群百分百測驗卷自然三上（110學年）,https://www.kingstone.com.tw//basic/2015216914964?zone=book&lid=book_class3_tcu&actid=book_class3_tcu,編輯,南一書局  ,4718373330193,https://cdn.kingstone.com.tw/book/images/product/20152/2015216914964/2015216914964b.jpg
國小南一新超群自修自然三上（110學年）,https://www.kingstone.com.tw//basic/2015216910676?zone=book&lid=book_class3_tcu&actid=book_class3_tcu,編輯,南一書局  ,9789865302603,https://cdn.kingstone.com.tw/book/images/product/20152/2015216910676/2015216910676b.jpg
國小南一新超群評量自然三上（110學年）,https://www.kingstone.com.tw//basic/2015216912830?zone=book&lid=book_class3_tcu&actid=book_class3_tcu,編輯,南一書局  ,9789865303143,https://cdn.kingstone.com.tw/book/images/product/20152/2015216912830/2015216912830b.jpg
國小(南老師)自然三下講義式評量(109學年),https://www.kingstone.com.tw//basic/2015216793316?zone=book&lid=book_class3_tcu&actid=book_class3_tcu,編輯,良品      ,220090301065,https://cdn.kingstone.com.tw/book/images/product/20152/2015216793316/2015216793316b.jpg
國小(南版)自然評量講義三下(109學年),https://www.kingstone.com.tw//basic/2015216798786?zone=book&lid=book_class3_tcu&actid=book_class3_tcu,編輯,明霖      ,4072114301904,https://cdn.kingstone.com.tw/book/images/product/20152/2015216798786/2015216798786b.jpg
國小南一新超群自修自然三上（109學年）,https://www.kingstone.com.tw//basic/2015216554948?zone=book&lid=book_class3_tcu&actid=book_class3_tcu,編輯,南一書局  ,4718373330155,https://cdn.kingstone.com.tw/book/images/product/20152/2015216554948/2015216554948b.jpg
國小南一新超群評量自然三上（109學年）,https://www.kingstone.com.tw//basic/2015216556812?zone=book&lid=book_class3_tcu&actid=book_class3_tcu,編輯,南一書局  ,4718373330179,https://cdn.kingstone.com.tw/book/images/product/20152/2015216556812/2015216556812b.jpg
國小南一新超群百分百測驗卷自然三上（109學年）,https://www.kingstone.com.tw//basic/2015216558786?zone=book&lid=book_class3_tcu&actid=book_class3_tcu,編輯,南一書局  ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216558786/2015216558786b.jpg
國小(南版)自然評量講義三下(108學年),https://www.kingstone.com.tw//basic/2015216409392?zone=book&lid=book_class3_tcu&actid=book_class3_tcu,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216409392/2015216409392b.jpg
國小(南老師)自然評量講義三下(108學年),https://www.kingstone.com.tw//basic/2015216415461?zone=book&lid=book_class3_tcu&actid=book_class3_tcu,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216415461/2015216415461b.jpg
國小(南老師)自然評量講義三上(108學年),https://www.kingstone.com.tw//basic/2015216165533?zone=book&lid=book_class3_tcu&actid=book_class3_tcu,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216165533/2015216165533b.jpg
國小(南版)自然評量講義三上(108學年),https://www.kingstone.com.tw//basic/2015216171732?zone=book&lid=book_class3_tcu&actid=book_class3_tcu,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216171732/2015216171732b.jpg
