書名,書籍網站,作者,出版社,ISBN,圖片網址
國小康軒新挑戰測驗卷社會三上（110學年）,https://www.kingstone.com.tw//basic/2015216935860?zone=book&lid=book_class3_tcy&actid=book_class3_tcy,編輯,康軒      ,204080500301,https://cdn.kingstone.com.tw/book/images/product/20152/2015216935860/2015216935860b.jpg
國小課堂評量｛康版｝社會三上（110學年）,https://www.kingstone.com.tw//basic/2015216928299?zone=book&lid=book_class3_tcy&actid=book_class3_tcy,編輯,明霖      ,4101135301904,https://cdn.kingstone.com.tw/book/images/product/20152/2015216928299/2015216928299b.jpg
國小康軒新挑戰學習評量社會三上（110學年）,https://www.kingstone.com.tw//basic/2015216934078?zone=book&lid=book_class3_tcy&actid=book_class3_tcy,編輯,康軒      ,9789865358839,https://cdn.kingstone.com.tw/book/images/product/20152/2015216934078/2015216934078b.jpg
國小康軒新挑戰社會自修三上（110學年）,https://www.kingstone.com.tw//basic/2015216932074?zone=book&lid=book_class3_tcy&actid=book_class3_tcy,編輯,康軒      ,9789865358822,https://cdn.kingstone.com.tw/book/images/product/20152/2015216932074/2015216932074b.jpg
國小（康老師）社會講義式評量三上（110學年）,https://www.kingstone.com.tw//basic/2015216904637?zone=book&lid=book_class3_tcy&actid=book_class3_tcy,編輯,良品      ,9789860738773,https://cdn.kingstone.com.tw/book/images/product/20152/2015216904637/2015216904637b.jpg
國小(康老師)社會三下講義式評量(109學年),https://www.kingstone.com.tw//basic/2015216788909?zone=book&lid=book_class3_tcy&actid=book_class3_tcy,編輯,良品      ,420090401066,https://cdn.kingstone.com.tw/book/images/product/20152/2015216788909/2015216788909b.jpg
國小(康版)社會評量講義三下(109學年),https://www.kingstone.com.tw//basic/2015216794788?zone=book&lid=book_class3_tcy&actid=book_class3_tcy,編輯,明霖      ,4072135301907,https://cdn.kingstone.com.tw/book/images/product/20152/2015216794788/2015216794788b.jpg
國小康軒新挑戰社會自修三上（109學年）,https://www.kingstone.com.tw//basic/2015216541115?zone=book&lid=book_class3_tcy&actid=book_class3_tcy,編輯,康軒      ,204080500081,https://cdn.kingstone.com.tw/book/images/product/20152/2015216541115/2015216541115b.jpg
國小(康版)社會評量講義三下(108學年),https://www.kingstone.com.tw//basic/2015216405394?zone=book&lid=book_class3_tcy&actid=book_class3_tcy,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216405394/2015216405394b.jpg
國小(康老師)社會評量講義三下(108學年),https://www.kingstone.com.tw//basic/2015216411333?zone=book&lid=book_class3_tcy&actid=book_class3_tcy,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216411333/2015216411333b.jpg
國小(康老師)社會評量講義三上(108學年),https://www.kingstone.com.tw//basic/2015216164031?zone=book&lid=book_class3_tcy&actid=book_class3_tcy,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216164031/2015216164031b.jpg
國小(康版)社會評量講義三上(108學年),https://www.kingstone.com.tw//basic/2015216166875?zone=book&lid=book_class3_tcy&actid=book_class3_tcy,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216166875/2015216166875b.jpg
國小康軒新挑戰測驗卷社會三下(106學年),https://www.kingstone.com.tw//basic/2015233027470?zone=book&lid=book_class3_tcy&actid=book_class3_tcy,編輯,康軒      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015233027470/2015233027470b.jpg
