書名,書籍網站,作者,出版社,ISBN,圖片網址
國小翰林小無敵學習卷社會三上（110學年）,https://www.kingstone.com.tw//basic/2015216922037?zone=book&lid=book_class3_tcz&actid=book_class3_tcz,編輯,翰林      ,95805-30,https://cdn.kingstone.com.tw/book/images/product/20152/2015216922037/2015216922037b.jpg
國小翰林小無敵自修社會三上（110學年）,https://www.kingstone.com.tw//basic/2015216917620?zone=book&lid=book_class3_tcz&actid=book_class3_tcz,編輯,翰林      ,9786263121027,https://cdn.kingstone.com.tw/book/images/product/20152/2015216917620/2015216917620b.jpg
國小課堂評量｛翰版｝社會三上（110學年）,https://www.kingstone.com.tw//basic/2015216930230?zone=book&lid=book_class3_tcz&actid=book_class3_tcz,編輯,明霖      ,4101125301907,https://cdn.kingstone.com.tw/book/images/product/20152/2015216930230/2015216930230b.jpg
國小（翰老師）社會講義式評量三上（110學年）,https://www.kingstone.com.tw//basic/2015216906631?zone=book&lid=book_class3_tcz&actid=book_class3_tcz,編輯,良品      ,9789860738711,https://cdn.kingstone.com.tw/book/images/product/20152/2015216906631/2015216906631b.jpg
國小翰林小無敵實力評量社會三上（110學年）,https://www.kingstone.com.tw//basic/2015216919884?zone=book&lid=book_class3_tcz&actid=book_class3_tcz,編輯,翰林      ,9786263120938,https://cdn.kingstone.com.tw/book/images/product/20152/2015216919884/2015216919884b.jpg
國小(翰版)社會評量講義三下(109學年),https://www.kingstone.com.tw//basic/2015216796522?zone=book&lid=book_class3_tcz&actid=book_class3_tcz,編輯,明霖      ,4072125301900,https://cdn.kingstone.com.tw/book/images/product/20152/2015216796522/2015216796522b.jpg
國小翰林小無敵學習卷社會三上（109學年）,https://www.kingstone.com.tw//basic/2015216565197?zone=book&lid=book_class3_tcz&actid=book_class3_tcz,編輯,翰林      ,95805-28,https://cdn.kingstone.com.tw/book/images/product/20152/2015216565197/2015216565197b.jpg
國小(翰老師)社會評量講義三下(108學年),https://www.kingstone.com.tw//basic/2015216413207?zone=book&lid=book_class3_tcz&actid=book_class3_tcz,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216413207/2015216413207b.jpg
國小(翰老師)社會評量講義三上(108學年),https://www.kingstone.com.tw//basic/2015216164611?zone=book&lid=book_class3_tcz&actid=book_class3_tcz,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216164611/2015216164611b.jpg
國小(翰版)社會評量講義三上(108學年),https://www.kingstone.com.tw//basic/2015216168459?zone=book&lid=book_class3_tcz&actid=book_class3_tcz,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216168459/2015216168459b.jpg
