書名,書籍網站,作者,出版社,ISBN,圖片網址
國小翰林小無敵自修國語四上（110學年）,https://www.kingstone.com.tw//basic/2015216916388?zone=book&lid=book_class3_tdb&actid=book_class3_tdb,編輯,翰林      ,9789863338697,https://cdn.kingstone.com.tw/book/images/product/20152/2015216916388/2015216916388b.jpg
國小（翰老師）國語講義式評量四上（110學年）,https://www.kingstone.com.tw//basic/2015216905719?zone=book&lid=book_class3_tdb&actid=book_class3_tdb,編輯,良品      ,9789860732016,https://cdn.kingstone.com.tw/book/images/product/20152/2015216905719/2015216905719b.jpg
國小課堂評量｛翰版｝國語四上（110學年）,https://www.kingstone.com.tw//basic/2015216929371?zone=book&lid=book_class3_tdb&actid=book_class3_tdb,編輯,明霖      ,4081121401903,https://cdn.kingstone.com.tw/book/images/product/20152/2015216929371/2015216929371b.jpg
國小翰林小無敵實力評量國語四上（110學年）,https://www.kingstone.com.tw//basic/2015216918542?zone=book&lid=book_class3_tdb&actid=book_class3_tdb,編輯,翰林      ,9789863338635,https://cdn.kingstone.com.tw/book/images/product/20152/2015216918542/2015216918542b.jpg
國小翰林小無敵學習卷國語四上（110學年）,https://www.kingstone.com.tw//basic/2015216920743?zone=book&lid=book_class3_tdb&actid=book_class3_tdb,編輯,翰林      ,9789863338840,https://cdn.kingstone.com.tw/book/images/product/20152/2015216920743/2015216920743b.jpg
國小(翰版)國語評量講義四下(109學年),https://www.kingstone.com.tw//basic/2015216795730?zone=book&lid=book_class3_tdb&actid=book_class3_tdb,編輯,明霖      ,4072121401901,https://cdn.kingstone.com.tw/book/images/product/20152/2015216795730/2015216795730b.jpg
國小翰林小無敵自修國語四上（109學年）,https://www.kingstone.com.tw//basic/2015216559998?zone=book&lid=book_class3_tdb&actid=book_class3_tdb,編輯,翰林      ,93107-29,https://cdn.kingstone.com.tw/book/images/product/20152/2015216559998/2015216559998b.jpg
國小(翰老師)國語評量講義四下(108學年),https://www.kingstone.com.tw//basic/2015216412415?zone=book&lid=book_class3_tdb&actid=book_class3_tdb,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216412415/2015216412415b.jpg
國小(翰老師)國語評量講義四上(108學年),https://www.kingstone.com.tw//basic/2015216161245?zone=book&lid=book_class3_tdb&actid=book_class3_tdb,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216161245/2015216161245b.jpg
國小(翰版)國語評量講義四上(108學年),https://www.kingstone.com.tw//basic/2015216167797?zone=book&lid=book_class3_tdb&actid=book_class3_tdb,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216167797/2015216167797b.jpg
