書名,書籍網站,作者,出版社,ISBN,圖片網址
國小南一新超群百分百測驗卷國語四上（110學年）,https://www.kingstone.com.tw//basic/2015216914124?zone=book&lid=book_class3_tdc&actid=book_class3_tdc,編輯,南一書局  ,4718373440052,https://cdn.kingstone.com.tw/book/images/product/20152/2015216914124/2015216914124b.jpg
國小閱讀成語雙效養成四年級,https://www.kingstone.com.tw//basic/2015216970618?zone=book&lid=book_class3_tdc&actid=book_class3_tdc,編輯,南一書局  ,4718373440854,https://cdn.kingstone.com.tw/book/images/product/20152/2015216970618/2015216970618b.jpg
國小課堂評量｛南版｝國語四上（110學年）,https://www.kingstone.com.tw//basic/2015216937314?zone=book&lid=book_class3_tdc&actid=book_class3_tdc,編輯,明霖      ,4081111401906,https://cdn.kingstone.com.tw/book/images/product/20152/2015216937314/2015216937314b.jpg
國小（南老師）國語講義式評量四上（110學年）,https://www.kingstone.com.tw//basic/2015216907713?zone=book&lid=book_class3_tdc&actid=book_class3_tdc,編輯,良品      ,9789860732078,https://cdn.kingstone.com.tw/book/images/product/20152/2015216907713/2015216907713b.jpg
國小南一新超群自修國語四上（110學年）,https://www.kingstone.com.tw//basic/2015216909717?zone=book&lid=book_class3_tdc&actid=book_class3_tdc,編輯,南一書局  ,9789865301637,https://cdn.kingstone.com.tw/book/images/product/20152/2015216909717/2015216909717b.jpg
國小南一新超群評量國語四上（110學年）,https://www.kingstone.com.tw//basic/2015216911918?zone=book&lid=book_class3_tdc&actid=book_class3_tdc,編輯,南一書局  ,9789865303037,https://cdn.kingstone.com.tw/book/images/product/20152/2015216911918/2015216911918b.jpg
國小(南版)國語評量講義四下(109學年),https://www.kingstone.com.tw//basic/2015216797574?zone=book&lid=book_class3_tdc&actid=book_class3_tdc,編輯,明霖      ,4072111401904,https://cdn.kingstone.com.tw/book/images/product/20152/2015216797574/2015216797574b.jpg
國小(南版)國語評量講義四下(108學年),https://www.kingstone.com.tw//basic/2015216408050?zone=book&lid=book_class3_tdc&actid=book_class3_tdc,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216408050/2015216408050b.jpg
國小(南老師)國語評量講義四下(108學年),https://www.kingstone.com.tw//basic/2015216414259?zone=book&lid=book_class3_tdc&actid=book_class3_tdc,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216414259/2015216414259b.jpg
國小(南版)國語評量講義四上(108學年),https://www.kingstone.com.tw//basic/2015216169081?zone=book&lid=book_class3_tdc&actid=book_class3_tdc,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216169081/2015216169081b.jpg
