書名,書籍網站,作者,出版社,ISBN,圖片網址
國小優質閱讀測驗（4年級）,https://www.kingstone.com.tw//basic/2015216081628?zone=book&lid=book_class3_tde&actid=book_class3_tde,資優國語文教研會,光田      ,4712839709585,https://cdn.kingstone.com.tw/book/images/product/20152/2015216081628/2015216081628b.jpg
國小作文與閱讀講義（4年級）第3版,https://www.kingstone.com.tw//basic/2015216420908?zone=book&lid=book_class3_tde&actid=book_class3_tde,資優國語文教研會,光田      ,4710562780109,https://cdn.kingstone.com.tw/book/images/product/20152/2015216420908/2015216420908b.jpg
優質閱讀能力養成（國小4年級）第3版,https://www.kingstone.com.tw//basic/2015232771282?zone=book&lid=book_class3_tde&actid=book_class3_tde,資優國語文教研會,光田      ,4712839706836,https://cdn.kingstone.com.tw/book/images/product/20152/2015232771282/2015232771282b.jpg
成語故事閱讀評量（新版）（4年級）,https://www.kingstone.com.tw//basic/2015232299557?zone=book&lid=book_class3_tde&actid=book_class3_tde,陳東和,光田      ,4712839705594,https://cdn.kingstone.com.tw/book/images/product/20152/2015232299557/2015232299557b.jpg
成語故事悅讀動動腦（國小4年級）第2版,https://www.kingstone.com.tw//basic/2015216173286?zone=book&lid=book_class3_tde&actid=book_class3_tde,陳文山,光田      ,4712839709769,https://cdn.kingstone.com.tw/book/images/product/20152/2015216173286/2015216173286b.jpg
閱讀訓練百分百（國小4年級）第2版,https://www.kingstone.com.tw//basic/2015215740397?zone=book&lid=book_class3_tde&actid=book_class3_tde,資優國語文教研會,光田      ,4712839709004,https://cdn.kingstone.com.tw/book/images/product/20152/2015215740397/2015215740397b.jpg
國小成語大考驗（4年級）第2版,https://www.kingstone.com.tw//basic/2018592749052?zone=book&lid=book_class3_tde&actid=book_class3_tde,光田出版社,光田      ,4712839708922,https://cdn.kingstone.com.tw/book/images/product/20185/2018592749052/2018592749052b.jpg
國小作文與閱讀講義（4年級）第2版,https://www.kingstone.com.tw//basic/2015215926487?zone=book&lid=book_class3_tde&actid=book_class3_tde,資優國語文教研會,光田      ,4712839709219,https://cdn.kingstone.com.tw/book/images/product/20152/2015215926487/2015215926487b.jpg
品德故事天天讀(國小4年級),https://www.kingstone.com.tw//basic/2015232977646?zone=book&lid=book_class3_tde&actid=book_class3_tde,陳文山,光田      ,4712839708588,https://cdn.kingstone.com.tw/book/images/product/20152/2015232977646/2015232977646b.jpg
成語故事悅讀動動腦(國小4年級),https://www.kingstone.com.tw//basic/2018592700886?zone=book&lid=book_class3_tde&actid=book_class3_tde,陳文山,光田      ,4712839708458,https://cdn.kingstone.com.tw/book/images/product/20185/2018592700886/2018592700886b.jpg
國小作文閱讀指導(2年級)新版,https://www.kingstone.com.tw//basic/2015232731804?zone=book&lid=book_class3_tde&actid=book_class3_tde,資優國語文教研會,光田      ,4712839708014,https://cdn.kingstone.com.tw/book/images/product/20152/2015232731804/2015232731804b.jpg
悅讀品德故事(國小4年級)上冊(第2版),https://www.kingstone.com.tw//basic/2015232392654?zone=book&lid=book_class3_tde&actid=book_class3_tde,陳文山,光田      ,4712839706546,https://cdn.kingstone.com.tw/book/images/product/20152/2015232392654/2015232392654b.jpg
悅讀品德故事(國小4年級)下冊(第2版),https://www.kingstone.com.tw//basic/2015232392784?zone=book&lid=book_class3_tde&actid=book_class3_tde,陳文山,光田      ,4712839706553,https://cdn.kingstone.com.tw/book/images/product/20152/2015232392784/2015232392784b.jpg
悅讀品德故事(國小4年級)全冊(第2版),https://www.kingstone.com.tw//basic/2015232392814?zone=book&lid=book_class3_tde&actid=book_class3_tde,陳文山,光田      ,4712839706560,https://cdn.kingstone.com.tw/book/images/product/20152/2015232392814/2015232392814b.jpg
閱讀訓練百分百(國小4年級),https://www.kingstone.com.tw//basic/2015232364347?zone=book&lid=book_class3_tde&actid=book_class3_tde,資優國語文教研會,光田      ,4712839706225,https://cdn.kingstone.com.tw/book/images/product/20152/2015232364347/2015232364347b.jpg
國小基礎寫作引導；4年級上冊,https://www.kingstone.com.tw//basic/2015232342529?zone=book&lid=book_class3_tde&actid=book_class3_tde,寫作教學研究會,光田      ,4712839706041,https://cdn.kingstone.com.tw/book/images/product/20152/2015232342529/2015232342529b.jpg
國小基礎寫作引導；4年級下冊,https://www.kingstone.com.tw//basic/2015232342659?zone=book&lid=book_class3_tde&actid=book_class3_tde,寫作教學研究會,光田      ,4712839706058,https://cdn.kingstone.com.tw/book/images/product/20152/2015232342659/2015232342659b.jpg
品德教育閱讀每日10分鐘(4年級上冊)修訂版,https://www.kingstone.com.tw//basic/2015232314632?zone=book&lid=book_class3_tde&actid=book_class3_tde,資優國語文教研會,光田      ,4712839705730,https://cdn.kingstone.com.tw/book/images/product/20152/2015232314632/2015232314632b.jpg
品德教育閱讀每日10分鐘(4年級下冊)修訂版,https://www.kingstone.com.tw//basic/2015232314762?zone=book&lid=book_class3_tde&actid=book_class3_tde,資優國語文教研會,光田      ,4712839705747,https://cdn.kingstone.com.tw/book/images/product/20152/2015232314762/2015232314762b.jpg
品德教育閱讀每日10分鐘(4年級全冊)修訂版,https://www.kingstone.com.tw//basic/2015232314892?zone=book&lid=book_class3_tde&actid=book_class3_tde,資優國語文教研會,光田      ,4712839705754,https://cdn.kingstone.com.tw/book/images/product/20152/2015232314892/2015232314892b.jpg
