書名,書籍網站,作者,出版社,ISBN,圖片網址
國小南一新超群百分百測驗卷數學四上（110學年）,https://www.kingstone.com.tw//basic/2015216914674?zone=book&lid=book_class3_tdo&actid=book_class3_tdo,編輯,南一書局  ,4718373440137,https://cdn.kingstone.com.tw/book/images/product/20152/2015216914674/2015216914674b.jpg
國小課堂評量｛南版｝數學四上（110學年）,https://www.kingstone.com.tw//basic/2015216937994?zone=book&lid=book_class3_tdo&actid=book_class3_tdo,編輯,明霖      ,4081113401904,https://cdn.kingstone.com.tw/book/images/product/20152/2015216937994/2015216937994b.jpg
國小南一新超群評量數學四上（110學年）,https://www.kingstone.com.tw//basic/2015216912540?zone=book&lid=book_class3_tdo&actid=book_class3_tdo,編輯,南一書局  ,9789865303099,https://cdn.kingstone.com.tw/book/images/product/20152/2015216912540/2015216912540b.jpg
國小（南老師）數學講義式評量四上（110學年）,https://www.kingstone.com.tw//basic/2015216908345?zone=book&lid=book_class3_tdo&actid=book_class3_tdo,編輯,良品      ,9789860732979,https://cdn.kingstone.com.tw/book/images/product/20152/2015216908345/2015216908345b.jpg
國小南一新超群自修數學四上（110學年）,https://www.kingstone.com.tw//basic/2015216910386?zone=book&lid=book_class3_tdo&actid=book_class3_tdo,編輯,南一書局  ,9789865301699,https://cdn.kingstone.com.tw/book/images/product/20152/2015216910386/2015216910386b.jpg
國小(南老師)數學四下講義式評量(109學年),https://www.kingstone.com.tw//basic/2015216792654?zone=book&lid=book_class3_tdo&actid=book_class3_tdo,編輯,良品      ,220090201082,https://cdn.kingstone.com.tw/book/images/product/20152/2015216792654/2015216792654b.jpg
國小(南版)數學評量講義四下(109學年),https://www.kingstone.com.tw//basic/2015216798076?zone=book&lid=book_class3_tdo&actid=book_class3_tdo,編輯,明霖      ,4072113401902,https://cdn.kingstone.com.tw/book/images/product/20152/2015216798076/2015216798076b.jpg
國小(南版)數學4下課堂評量,https://www.kingstone.com.tw//basic/2015216408630?zone=book&lid=book_class3_tdo&actid=book_class3_tdo,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216408630/2015216408630b.jpg
國小(南老師)數學4下安親班專用講義式評量,https://www.kingstone.com.tw//basic/2015216414709?zone=book&lid=book_class3_tdo&actid=book_class3_tdo,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216414709/2015216414709b.jpg
國小(南老師)數學評量講義四上(108學年),https://www.kingstone.com.tw//basic/2015216162877?zone=book&lid=book_class3_tdo&actid=book_class3_tdo,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216162877/2015216162877b.jpg
國小(南版)數學評量講義四上(108學年),https://www.kingstone.com.tw//basic/2015216169401?zone=book&lid=book_class3_tdo&actid=book_class3_tdo,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216169401/2015216169401b.jpg
