書名,書籍網站,作者,出版社,ISBN,圖片網址
國小最新基礎數學（4年級）,https://www.kingstone.com.tw//basic/2015216993488?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,數學資優班教研會,光田      ,9789574818020,https://cdn.kingstone.com.tw/book/images/product/20152/2015216993488/2015216993488b.jpg
小學數學舉一反三（4年級）第2版,https://www.kingstone.com.tw//basic/2015216449800?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,數學資優班教研會,光田      ,4710562780161,https://cdn.kingstone.com.tw/book/images/product/20152/2015216449800/2015216449800b.jpg
數學應用題理解（國小4年級）第2版,https://www.kingstone.com.tw//basic/2015216326569?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,陳志宏,光田      ,4710562780048,https://cdn.kingstone.com.tw/book/images/product/20152/2015216326569/2015216326569b.jpg
智力數學綜合評量（國小4年級）,https://www.kingstone.com.tw//basic/2015233124285?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,資優數學教研會,光田      ,4712839709516,https://cdn.kingstone.com.tw/book/images/product/20152/2015233124285/2015233124285b.jpg
國小數學統整講義（4年級）,https://www.kingstone.com.tw//basic/2015233121789?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,資優數學教研會,光田      ,4712839709325,https://cdn.kingstone.com.tw/book/images/product/20152/2015233121789/2015233121789b.jpg
數學資優重點評量（國小4年級）,https://www.kingstone.com.tw//basic/2015215860002?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,光田出版社,光田      ,4712839707741,https://cdn.kingstone.com.tw/book/images/product/20152/2015215860002/2015215860002b.jpg
小學數學單元精練（4年級）,https://www.kingstone.com.tw//basic/2015215703255?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,光田出版社,光田      ,4712839707567,https://cdn.kingstone.com.tw/book/images/product/20152/2015215703255/2015215703255b.jpg
數學邏輯思考訓練（國小4年級）,https://www.kingstone.com.tw//basic/2015233071053?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,光田出版社,光田      ,4712839707369,https://cdn.kingstone.com.tw/book/images/product/20152/2015233071053/2015233071053b.jpg
數學應用題理解（國小4年級）,https://www.kingstone.com.tw//basic/2015233042114?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,陳志宏,光田      ,4712839708762,https://cdn.kingstone.com.tw/book/images/product/20152/2015233042114/2015233042114b.jpg
國小奧林匹克數學講義（4年級）合訂本,https://www.kingstone.com.tw//basic/2015232624472?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,吳建豪,光田      ,4712839707857,https://cdn.kingstone.com.tw/book/images/product/20152/2015232624472/2015232624472b.jpg
國小奧林匹克數學講義（低年級4）,https://www.kingstone.com.tw//basic/2015232551266?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,吳建豪,光田      ,4712839707079,https://cdn.kingstone.com.tw/book/images/product/20152/2015232551266/2015232551266b.jpg
小學奧林匹克進階數學（4年級）合訂本,https://www.kingstone.com.tw//basic/2015232377330?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,潘小云,光田      ,4712839706386,https://cdn.kingstone.com.tw/book/images/product/20152/2015232377330/2015232377330b.jpg
國小數學應用題加強練習  修訂版 4年級,https://www.kingstone.com.tw//basic/2015232230437?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,數學資優班教研會,光田      ,4712839704955,https://cdn.kingstone.com.tw/book/images/product/20152/2015232230437/2015232230437b.jpg
新編基礎數學(國小4年級)第2版,https://www.kingstone.com.tw//basic/2015232419023?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,數學資優班教研會,光田      ,4712839706751,https://cdn.kingstone.com.tw/book/images/product/20152/2015232419023/2015232419023b.jpg
國小數學智力綜合測驗(4年級)第3版,https://www.kingstone.com.tw//basic/2015232413571?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,數學資優班教研會,光田      ,4712839706720,https://cdn.kingstone.com.tw/book/images/product/20152/2015232413571/2015232413571b.jpg
小學數學單元總整理(4年級),https://www.kingstone.com.tw//basic/2015232352146?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,陳志宏,光田      ,4712839706133,https://cdn.kingstone.com.tw/book/images/product/20152/2015232352146/2015232352146b.jpg
資優生數學新方向(國小4年級)修訂版,https://www.kingstone.com.tw//basic/2015232334746?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,數學資優班教研會,光田      ,4712839705938,https://cdn.kingstone.com.tw/book/images/product/20152/2015232334746/2015232334746b.jpg
數學推理訓練(國小4年級)上冊,https://www.kingstone.com.tw//basic/2015232305067?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,資優數學教研會,光田      ,4712839705648,https://cdn.kingstone.com.tw/book/images/product/20152/2015232305067/2015232305067b.jpg
數學推理訓練(國小4年級)下冊,https://www.kingstone.com.tw//basic/2015232305197?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,資優數學教研會,光田      ,4712839705655,https://cdn.kingstone.com.tw/book/images/product/20152/2015232305197/2015232305197b.jpg
國小數學能力統整講義(4年級)修訂版,https://www.kingstone.com.tw//basic/2015232257205?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,數學資優班教研會,光田      ,4712839705198,https://cdn.kingstone.com.tw/book/images/product/20152/2015232257205/2015232257205b.jpg
小學數學舉一反三 4年上,https://www.kingstone.com.tw//basic/2015232212877?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,數學資優班教研會,光田      ,4712839704795,https://cdn.kingstone.com.tw/book/images/product/20152/2015232212877/2015232212877b.jpg
小學數學舉一反三 4年下,https://www.kingstone.com.tw//basic/2015232212907?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,數學資優班教研會,光田      ,4712839704801,https://cdn.kingstone.com.tw/book/images/product/20152/2015232212907/2015232212907b.jpg
小學數學舉一反三 4年全,https://www.kingstone.com.tw//basic/2015232213089?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,數學資優班教研會,光田      ,4712839704818,https://cdn.kingstone.com.tw/book/images/product/20152/2015232213089/2015232213089b.jpg
小學數學推理應用-4年全,https://www.kingstone.com.tw//basic/2015232148879?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,國小數學教研會,光田      ,4712839704153,https://cdn.kingstone.com.tw/book/images/product/20152/2015232148879/2015232148879b.jpg
小學數學推理應用-4年上,https://www.kingstone.com.tw//basic/2015232147377?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,國小數學教研會,光田      ,4712839704139,https://cdn.kingstone.com.tw/book/images/product/20152/2015232147377/2015232147377b.jpg
小學數學推理應用-4年下,https://www.kingstone.com.tw//basic/2015232147407?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,國小數學教研會,光田      ,4712839704146,https://cdn.kingstone.com.tw/book/images/product/20152/2015232147407/2015232147407b.jpg
數量.圖形與應用 4年級,https://www.kingstone.com.tw//basic/2015231995948?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,資優數學教研會,光田      ,4712839702869,https://cdn.kingstone.com.tw/book/images/product/20152/2015231995948/2015231995948b.jpg
國小數學難題精解-4年級,https://www.kingstone.com.tw//basic/2015231964005?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,數學資優班教研會,光田      ,4712839702494,https://cdn.kingstone.com.tw/book/images/product/20152/2015231964005/2015231964005b.jpg
國小基礎數學4年(上),https://www.kingstone.com.tw//basic/2015231933742?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,數學資優班教研會,光田      ,4712839702166,https://cdn.kingstone.com.tw/book/images/product/20152/2015231933742/2015231933742b.jpg
國小基礎數學4年(下),https://www.kingstone.com.tw//basic/2015231933872?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,數學資優班教研會,光田      ,4712839702173,https://cdn.kingstone.com.tw/book/images/product/20152/2015231933872/2015231933872b.jpg
國小基礎數學4年(全),https://www.kingstone.com.tw//basic/2015231933902?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,數學資優班教研會,光田      ,4712839702180,https://cdn.kingstone.com.tw/book/images/product/20152/2015231933902/2015231933902b.jpg
小學數學分析推理訓練4下,https://www.kingstone.com.tw//basic/2015231863612?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,周佳敏,光田      ,4712839701428,https://cdn.kingstone.com.tw/book/images/product/20152/2015231863612/2015231863612b.jpg
小學數學分析推理訓練4年級上冊,https://www.kingstone.com.tw//basic/2015231851831?zone=book&lid=book_class3_tdq&actid=book_class3_tdq,周佳敏,光田      ,4712839701411,https://cdn.kingstone.com.tw/book/images/product/20152/2015231851831/2015231851831b.jpg
