書名,書籍網站,作者,出版社,ISBN,圖片網址
國小南一新超群自修社會五上（110學年）,https://www.kingstone.com.tw//basic/2015216911208?zone=book&lid=book_class3_te1&actid=book_class3_te1,編輯,南一書局  ,9789865302702,https://cdn.kingstone.com.tw/book/images/product/20152/2015216911208/2015216911208b.jpg
國小南一新超群評量社會五上（110學年）,https://www.kingstone.com.tw//basic/2015216913462?zone=book&lid=book_class3_te1&actid=book_class3_te1,編輯,南一書局  ,9789865303204,https://cdn.kingstone.com.tw/book/images/product/20152/2015216913462/2015216913462b.jpg
國小課堂評量｛南版｝社會五上（110學年）,https://www.kingstone.com.tw//basic/2015216938496?zone=book&lid=book_class3_te1&actid=book_class3_te1,編輯,明霖      ,4101115501904,https://cdn.kingstone.com.tw/book/images/product/20152/2015216938496/2015216938496b.jpg
國小（南老師）社會講義式評量五上（110學年）,https://www.kingstone.com.tw//basic/2015216908895?zone=book&lid=book_class3_te1&actid=book_class3_te1,編輯,良品      ,9789860738643,https://cdn.kingstone.com.tw/book/images/product/20152/2015216908895/2015216908895b.jpg
國小南一新超群百分百測驗卷社會五上（110學年）,https://www.kingstone.com.tw//basic/2015216915596?zone=book&lid=book_class3_te1&actid=book_class3_te1,編輯,南一書局  ,4718373550256,https://cdn.kingstone.com.tw/book/images/product/20152/2015216915596/2015216915596b.jpg
國小(南版)社會評量講義五下(109學年),https://www.kingstone.com.tw//basic/2015216798526?zone=book&lid=book_class3_te1&actid=book_class3_te1,編輯,明霖      ,4072115501907,https://cdn.kingstone.com.tw/book/images/product/20152/2015216798526/2015216798526b.jpg
國小南一新超群評量社會五上（109學年）,https://www.kingstone.com.tw//basic/2015216557444?zone=book&lid=book_class3_te1&actid=book_class3_te1,編輯,南一書局  ,4718373550232,https://cdn.kingstone.com.tw/book/images/product/20152/2015216557444/2015216557444b.jpg
國小(南版)社會評量講義五下(108學年),https://www.kingstone.com.tw//basic/2015216409132?zone=book&lid=book_class3_te1&actid=book_class3_te1,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216409132/2015216409132b.jpg
國小(南老師)社會評量講義五下(108學年),https://www.kingstone.com.tw//basic/2015216415201?zone=book&lid=book_class3_te1&actid=book_class3_te1,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216415201/2015216415201b.jpg
國小(南老師)社會評量講義五上(108學年),https://www.kingstone.com.tw//basic/2015216163249?zone=book&lid=book_class3_te1&actid=book_class3_te1,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216163249/2015216163249b.jpg
國小(南版)社會評量講義五上(108學年),https://www.kingstone.com.tw//basic/2015216171602?zone=book&lid=book_class3_te1&actid=book_class3_te1,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216171602/2015216171602b.jpg
