書名,書籍網站,作者,出版社,ISBN,圖片網址
閱讀素養全攻略（五年級）,https://www.kingstone.com.tw//basic/2015216180277?zone=book&lid=book_class3_tef&actid=book_class3_tef,熊鴻文,世一文化  ,4719742157045,https://cdn.kingstone.com.tw/book/images/product/20152/2015216180277/2015216180277b.jpg
活力造詞造句100分 五年級,https://www.kingstone.com.tw//basic/2015231831277?zone=book&lid=book_class3_tef&actid=book_class3_tef,范雅芬,世一文化  ,4719742065814,https://cdn.kingstone.com.tw/book/images/product/20152/2015231831277/2015231831277b.jpg
悅讀旅行團高年級（1）,https://www.kingstone.com.tw//basic/2015232513622?zone=book&lid=book_class3_tef&actid=book_class3_tef,王惠娟、黃建維、郭育婷,前程出版社,9789577044938,https://cdn.kingstone.com.tw/book/images/product/20152/2015232513622/2015232513622b.jpg
悅讀旅行團高年級（2）,https://www.kingstone.com.tw//basic/2015232513752?zone=book&lid=book_class3_tef&actid=book_class3_tef,王惠娟、黃建維、郭育婷,前程出版社,9789577044945,https://cdn.kingstone.com.tw/book/images/product/20152/2015232513752/2015232513752b.jpg
悅讀旅行團高年級（3）,https://www.kingstone.com.tw//basic/2015232513882?zone=book&lid=book_class3_tef&actid=book_class3_tef,王惠娟、黃建維、郭育婷,前程出版社,9789577044952,https://cdn.kingstone.com.tw/book/images/product/20152/2015232513882/2015232513882b.jpg
悅讀旅行團高年級（4）,https://www.kingstone.com.tw//basic/2015232513912?zone=book&lid=book_class3_tef&actid=book_class3_tef,王惠娟、黃建維、郭育婷,前程出版社,9789577044969,https://cdn.kingstone.com.tw/book/images/product/20152/2015232513912/2015232513912b.jpg
語文評量100分（高年級1）,https://www.kingstone.com.tw//basic/2015232258547?zone=book&lid=book_class3_tef&actid=book_class3_tef,世一編輯部,世一文化  ,4719742091721,https://cdn.kingstone.com.tw/book/images/product/20152/2015232258547/2015232258547b.jpg
語文評量100分（高年級2）,https://www.kingstone.com.tw//basic/2015232238433?zone=book&lid=book_class3_tef&actid=book_class3_tef,世一編輯部,世一文化  ,4719742091738,https://cdn.kingstone.com.tw/book/images/product/20152/2015232238433/2015232238433b.jpg
國語文推理智力測驗（9）高年級適用,https://www.kingstone.com.tw//basic/2015232203042?zone=book&lid=book_class3_tef&actid=book_class3_tef,郭靜宜,前程出版社,9789577043313,https://cdn.kingstone.com.tw/book/images/product/20152/2015232203042/2015232203042b.jpg
國語文推理智力測驗（11）高年級適用,https://www.kingstone.com.tw//basic/2015232203592?zone=book&lid=book_class3_tef&actid=book_class3_tef,郭靜宜,前程出版社,9789577043375,https://cdn.kingstone.com.tw/book/images/product/20152/2015232203592/2015232203592b.jpg
真功夫數學應用問題專輯：五年級（1）,https://www.kingstone.com.tw//basic/2015232241846?zone=book&lid=book_class3_tef&actid=book_class3_tef,許頤芳、黃博勝,前程出版社,9789577044013,https://cdn.kingstone.com.tw/book/images/product/20152/2015232241846/2015232241846b.jpg
國語文推理智力測驗（12）高年級適用,https://www.kingstone.com.tw//basic/2015213715540?zone=book&lid=book_class3_tef&actid=book_class3_tef,郭靜宜,前程出版社,9789577043412,https://cdn.kingstone.com.tw/book/images/product/20152/2015213715540/2015213715540b.jpg
國語文推理智力測驗（10）高年級適用,https://www.kingstone.com.tw//basic/2015232203912?zone=book&lid=book_class3_tef&actid=book_class3_tef,郭靜宜,前程出版社,9789577043795,https://cdn.kingstone.com.tw/book/images/product/20152/2015232203912/2015232203912b.jpg
閱讀測驗實力評量五年級,https://www.kingstone.com.tw//basic/2015231505291?zone=book&lid=book_class3_tef&actid=book_class3_tef,解昆樺,幼福文化  ,9789577477385,https://cdn.kingstone.com.tw/book/images/product/20152/2015231505291/2015231505291b.jpg
108閱讀高手高年級(1)用好問題提升思考力,https://www.kingstone.com.tw//basic/2015216077683?zone=book&lid=book_class3_tef&actid=book_class3_tef,康軒編輯,康軒      ,202010904951,https://cdn.kingstone.com.tw/book/images/product/20152/2015216077683/2015216077683b.jpg
108閱讀高手高年級(2)用好問題提升思考力,https://www.kingstone.com.tw//basic/2015216077713?zone=book&lid=book_class3_tef&actid=book_class3_tef,康軒編輯,康軒      ,202011104961,https://cdn.kingstone.com.tw/book/images/product/20152/2015216077713/2015216077713b.jpg
康軒國小好學生每週一讀高年級(1)各版本適用,https://www.kingstone.com.tw//basic/2015216078055?zone=book&lid=book_class3_tef&actid=book_class3_tef,康軒編輯,康軒      ,2020109006,https://cdn.kingstone.com.tw/book/images/product/20152/2015216078055/2015216078055b.jpg
康軒國小好學生每週一讀高年級(2)各版本適用,https://www.kingstone.com.tw//basic/2015216078185?zone=book&lid=book_class3_tef&actid=book_class3_tef,康軒編輯,康軒      ,202011000641,https://cdn.kingstone.com.tw/book/images/product/20152/2015216078185/2015216078185b.jpg
康軒國小好學生每週一讀高年級(3)各版本適用,https://www.kingstone.com.tw//basic/2015216078215?zone=book&lid=book_class3_tef&actid=book_class3_tef,康軒編輯,康軒      ,2020111006,https://cdn.kingstone.com.tw/book/images/product/20152/2015216078215/2015216078215b.jpg
康軒國小好學生每週一讀高年級(4)各版本適用,https://www.kingstone.com.tw//basic/2015216078345?zone=book&lid=book_class3_tef&actid=book_class3_tef,康軒編輯,康軒      ,2020112006,https://cdn.kingstone.com.tw/book/images/product/20152/2015216078345/2015216078345b.jpg
明霖108國小暑假快樂練5功{國語}4升5,https://www.kingstone.com.tw//basic/2015216059733?zone=book&lid=book_class3_tef&actid=book_class3_tef,編輯,明霖      ,4071311400809,https://cdn.kingstone.com.tw/book/images/product/20152/2015216059733/2015216059733b.jpg
新超群國語辭典{世紀新修版},https://www.kingstone.com.tw//basic/2015216080676?zone=book&lid=book_class3_tef&actid=book_class3_tef,南一編輯,南一      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216080676/2015216080676b.jpg
小學生作文範例：高年級,https://www.kingstone.com.tw//basic/2015232135756?zone=book&lid=book_class3_tef&actid=book_class3_tef,國小作文教研會,光田      ,4712839704030,https://cdn.kingstone.com.tw/book/images/product/20152/2015232135756/2015232135756b.jpg
400字閱讀測驗（高）,https://www.kingstone.com.tw//basic/2015231737128?zone=book&lid=book_class3_tef&actid=book_class3_tef,資優國語文,光田      ,4712839700568,https://cdn.kingstone.com.tw/book/images/product/20152/2015231737128/2015231737128b.jpg
