書名,書籍網站,作者,出版社,ISBN,圖片網址
國小最新基礎數學（5年級）,https://www.kingstone.com.tw//basic/2015216993518?zone=book&lid=book_class3_teq&actid=book_class3_teq,數學資優班教研會,光田      ,9789574818037,https://cdn.kingstone.com.tw/book/images/product/20152/2015216993518/2015216993518b.jpg
小學數學舉一反三（5年級）第2版,https://www.kingstone.com.tw//basic/2015216449930?zone=book&lid=book_class3_teq&actid=book_class3_teq,數學資優班教研會,光田      ,4710562780178,https://cdn.kingstone.com.tw/book/images/product/20152/2015216449930/2015216449930b.jpg
數學應用題理解（國小5年級）第2版,https://www.kingstone.com.tw//basic/2015216326699?zone=book&lid=book_class3_teq&actid=book_class3_teq,陳志宏,光田      ,4710562780055,https://cdn.kingstone.com.tw/book/images/product/20152/2015216326699/2015216326699b.jpg
智力數學綜合評量（國小5年級）,https://www.kingstone.com.tw//basic/2015233124315?zone=book&lid=book_class3_teq&actid=book_class3_teq,資優數學教研會,光田      ,4712839709523,https://cdn.kingstone.com.tw/book/images/product/20152/2015233124315/2015233124315b.jpg
國小數學統整講義（5年級）,https://www.kingstone.com.tw//basic/2015233121819?zone=book&lid=book_class3_teq&actid=book_class3_teq,資優數學教研會,光田      ,4712839709332,https://cdn.kingstone.com.tw/book/images/product/20152/2015233121819/2015233121819b.jpg
數學資優重點評量（國小5年級）,https://www.kingstone.com.tw//basic/2015215860132?zone=book&lid=book_class3_teq&actid=book_class3_teq,光田出版社,光田      ,4712839707758,https://cdn.kingstone.com.tw/book/images/product/20152/2015215860132/2015215860132b.jpg
小學數學單元精練（5年級）,https://www.kingstone.com.tw//basic/2015215703385?zone=book&lid=book_class3_teq&actid=book_class3_teq,光田出版社,光田      ,4712839707574,https://cdn.kingstone.com.tw/book/images/product/20152/2015215703385/2015215703385b.jpg
數學邏輯思考訓練（國小5年級）,https://www.kingstone.com.tw//basic/2015233071183?zone=book&lid=book_class3_teq&actid=book_class3_teq,光田出版社,光田      ,4712839707376,https://cdn.kingstone.com.tw/book/images/product/20152/2015233071183/2015233071183b.jpg
數學應用題理解（國小5年級）,https://www.kingstone.com.tw//basic/2015233042244?zone=book&lid=book_class3_teq&actid=book_class3_teq,陳志宏,光田      ,4712839708779,https://cdn.kingstone.com.tw/book/images/product/20152/2015233042244/2015233042244b.jpg
國小奧林匹克數學講義（5年級）合訂本,https://www.kingstone.com.tw//basic/2015232624502?zone=book&lid=book_class3_teq&actid=book_class3_teq,吳建豪,光田      ,4712839707864,https://cdn.kingstone.com.tw/book/images/product/20152/2015232624502/2015232624502b.jpg
國小奧林匹克數學講義（高年級1）,https://www.kingstone.com.tw//basic/2015232518412?zone=book&lid=book_class3_teq&actid=book_class3_teq,吳建豪,光田      ,4712839707123,https://cdn.kingstone.com.tw/book/images/product/20152/2015232518412/2015232518412b.jpg
國小奧林匹克數學講義（高年級2）,https://www.kingstone.com.tw//basic/2015232518542?zone=book&lid=book_class3_teq&actid=book_class3_teq,吳建豪,光田      ,4712839707130,https://cdn.kingstone.com.tw/book/images/product/20152/2015232518542/2015232518542b.jpg
國小奧林匹克數學講義（高年級3）,https://www.kingstone.com.tw//basic/2015232518672?zone=book&lid=book_class3_teq&actid=book_class3_teq,吳建豪,光田      ,4712839707147,https://cdn.kingstone.com.tw/book/images/product/20152/2015232518672/2015232518672b.jpg
