書名,書籍網站,作者,出版社,ISBN,圖片網址
五年級數學科總復習,https://www.kingstone.com.tw//basic/2015231828024?zone=book&lid=book_class3_ter&actid=book_class3_ter,楊善駿,世一文化  ,4719742047933,https://cdn.kingstone.com.tw/book/images/product/20152/2015231828024/2015231828024b.jpg
數學精武門（五下）,https://www.kingstone.com.tw//basic/2015232464528?zone=book&lid=book_class3_ter&actid=book_class3_ter,許世宏,世一文化  ,4719742094302,https://cdn.kingstone.com.tw/book/images/product/20152/2015232464528/2015232464528b.jpg
勝卷在握：數學三級挑戰評量（五年級）,https://www.kingstone.com.tw//basic/2015232418941?zone=book&lid=book_class3_ter&actid=book_class3_ter,徐雲鳳,前程出版社,9789577044860,https://cdn.kingstone.com.tw/book/images/product/20152/2015232418941/2015232418941b.jpg
數學精武門（五上）,https://www.kingstone.com.tw//basic/2015232319262?zone=book&lid=book_class3_ter&actid=book_class3_ter,楊善駿,世一文化  ,4719742094296,https://cdn.kingstone.com.tw/book/images/product/20152/2015232319262/2015232319262b.jpg
超優數學（五上）,https://www.kingstone.com.tw//basic/2015232284980?zone=book&lid=book_class3_ter&actid=book_class3_ter,楊山林,世一文化  ,4719742090649,https://cdn.kingstone.com.tw/book/images/product/20152/2015232284980/2015232284980b.jpg
超優數學（五下）,https://www.kingstone.com.tw//basic/2015232227024?zone=book&lid=book_class3_ter&actid=book_class3_ter,楊山林,世一文化  ,4719742090656,https://cdn.kingstone.com.tw/book/images/product/20152/2015232227024/2015232227024b.jpg
數學反覆計算練習（五年級）,https://www.kingstone.com.tw//basic/2018230014238?zone=book&lid=book_class3_ter&actid=book_class3_ter,欒美慧,世一文化  ,4719742052593,https://cdn.kingstone.com.tw/book/images/product/20182/2018230014238/2018230014238b.jpg
數學升級魔法書（五下）,https://www.kingstone.com.tw//basic/2015232246216?zone=book&lid=book_class3_ter&actid=book_class3_ter,沈俊青,前程出版社,9789577043092,https://cdn.kingstone.com.tw/book/images/product/20152/2015232246216/2015232246216b.jpg
明霖108國小暑假快樂國數館-4升5,https://www.kingstone.com.tw//basic/2015216058521?zone=book&lid=book_class3_ter&actid=book_class3_ter,編輯,明霖      ,4071321401001,https://cdn.kingstone.com.tw/book/images/product/20152/2015216058521/2015216058521b.jpg
明霖108國小暑假快樂練5功{數學}4升5,https://www.kingstone.com.tw//basic/2015216059153?zone=book&lid=book_class3_ter&actid=book_class3_ter,編輯,明霖      ,4071313401002,https://cdn.kingstone.com.tw/book/images/product/20152/2015216059153/2015216059153b.jpg
小五先修班（2冊） 數學5+生活5,https://www.kingstone.com.tw//basic/2015232444674?zone=book&lid=book_class3_ter&actid=book_class3_ter,Papyrus co.、李慧英,臺灣麥克  ,9789862035825,https://cdn.kingstone.com.tw/book/images/product/20152/2015232444674/2015232444674b.jpg
五年級數學能力分級測驗,https://www.kingstone.com.tw//basic/2015232203462?zone=book&lid=book_class3_ter&actid=book_class3_ter,中華國際數學交流協會教材研發組,前程出版社,9789577044631,https://cdn.kingstone.com.tw/book/images/product/20152/2015232203462/2015232203462b.jpg
優勝數學重點學習（國小5年級）,https://www.kingstone.com.tw//basic/2015232004922?zone=book&lid=book_class3_ter&actid=book_class3_ter,數學資優教材編寫小組,人類文化  ,4715443019064,https://cdn.kingstone.com.tw/book/images/product/20152/2015232004922/2015232004922b.jpg
五年級加強計算練習,https://www.kingstone.com.tw//basic/2015231995498?zone=book&lid=book_class3_ter&actid=book_class3_ter,人類文化,人類文化  ,4715443018531,https://cdn.kingstone.com.tw/book/images/product/20152/2015231995498/2015231995498b.jpg
南不倒數學評量(5下）（南一版）,https://www.kingstone.com.tw//basic/2015211698395?zone=book&lid=book_class3_ter&actid=book_class3_ter,海頓,海頓文化  ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015211698395/2015211698395b.jpg
南不倒數學評量卷（南一版五上）,https://www.kingstone.com.tw//basic/2015211766421?zone=book&lid=book_class3_ter&actid=book_class3_ter,海頓,海頓文化  ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015211766421/2015211766421b.jpg
