書名,書籍網站,作者,出版社,ISBN,圖片網址
國小翰林小無敵自修自然五上（110學年）,https://www.kingstone.com.tw//basic/2015216917460?zone=book&lid=book_class3_tet&actid=book_class3_tet,編輯,翰林      ,9789863339861,https://cdn.kingstone.com.tw/book/images/product/20152/2015216917460/2015216917460b.jpg
國小翰林小無敵學習卷自然五上（110學年）,https://www.kingstone.com.tw//basic/2015216921825?zone=book&lid=book_class3_tet&actid=book_class3_tet,編輯,翰林      ,9789863339137,https://cdn.kingstone.com.tw/book/images/product/20152/2015216921825/2015216921825b.jpg
國小翰林小無敵實力評量自然五上（110學年）,https://www.kingstone.com.tw//basic/2015216919624?zone=book&lid=book_class3_tet&actid=book_class3_tet,編輯,翰林      ,9789863338963,https://cdn.kingstone.com.tw/book/images/product/20152/2015216919624/2015216919624b.jpg
國小（翰老師）自然講義式評量五上（110學年）,https://www.kingstone.com.tw//basic/2015216907263?zone=book&lid=book_class3_tet&actid=book_class3_tet,編輯,良品      ,9789860738476,https://cdn.kingstone.com.tw/book/images/product/20152/2015216907263/2015216907263b.jpg
國小課堂評量｛翰版｝自然五上（110學年）,https://www.kingstone.com.tw//basic/2015216936812?zone=book&lid=book_class3_tet&actid=book_class3_tet,編輯,明霖      ,4081124501907,https://cdn.kingstone.com.tw/book/images/product/20152/2015216936812/2015216936812b.jpg
國小(翰老師)自然五下講義式評量(109學年),https://www.kingstone.com.tw//basic/2015216791572?zone=book&lid=book_class3_tet&actid=book_class3_tet,編輯,良品      ,320090301109,https://cdn.kingstone.com.tw/book/images/product/20152/2015216791572/2015216791572b.jpg
國小(翰版)自然評量講義五下(109學年),https://www.kingstone.com.tw//basic/2015216797154?zone=book&lid=book_class3_tet&actid=book_class3_tet,編輯,明霖      ,4072124501905,https://cdn.kingstone.com.tw/book/images/product/20152/2015216797154/2015216797154b.jpg
國小翰林小無敵自修自然五上（109學年）,https://www.kingstone.com.tw//basic/2015216560857?zone=book&lid=book_class3_tet&actid=book_class3_tet,編輯,翰林      ,93709-29,https://cdn.kingstone.com.tw/book/images/product/20152/2015216560857/2015216560857b.jpg
國小翰林小無敵學習卷自然五上（109學年）,https://www.kingstone.com.tw//basic/2015216564985?zone=book&lid=book_class3_tet&actid=book_class3_tet,編輯,翰林      ,95709-29,https://cdn.kingstone.com.tw/book/images/product/20152/2015216564985/2015216564985b.jpg
國小(翰版)自然評量講義五下(108學年),https://www.kingstone.com.tw//basic/2015216407688?zone=book&lid=book_class3_tet&actid=book_class3_tet,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216407688/2015216407688b.jpg
國小(翰老師)自然評量講義五下(108學年),https://www.kingstone.com.tw//basic/2015216413887?zone=book&lid=book_class3_tet&actid=book_class3_tet,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216413887/2015216413887b.jpg
國小(翰老師)自然評量講義五上(108學年),https://www.kingstone.com.tw//basic/2015216164901?zone=book&lid=book_class3_tet&actid=book_class3_tet,編輯,良品      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216164901/2015216164901b.jpg
國小(翰版)自然評量講義五上(108學年),https://www.kingstone.com.tw//basic/2015216170940?zone=book&lid=book_class3_tet&actid=book_class3_tet,編輯,明霖      ,,https://cdn.kingstone.com.tw/book/images/product/20152/2015216170940/2015216170940b.jpg
