書名,書籍網站,作者,出版社,ISBN,圖片網址
國小作文與閱讀講義（6年級）第3版,https://www.kingstone.com.tw//basic/2015216421110?zone=book&lid=book_class3_tfe&actid=book_class3_tfe,資優國語文教研會,光田      ,4710562780123,https://cdn.kingstone.com.tw/book/images/product/20152/2015216421110/2015216421110b.jpg
成語故事悅讀動動腦（國小6年級）第2版,https://www.kingstone.com.tw//basic/2015216173446?zone=book&lid=book_class3_tfe&actid=book_class3_tfe,陳文山,光田      ,4712839709783,https://cdn.kingstone.com.tw/book/images/product/20152/2015216173446/2015216173446b.jpg
國小優質閱讀測驗（6年級）,https://www.kingstone.com.tw//basic/2015216081888?zone=book&lid=book_class3_tfe&actid=book_class3_tfe,資優國語文教研會,光田      ,4712839709608,https://cdn.kingstone.com.tw/book/images/product/20152/2015216081888/2015216081888b.jpg
閱讀訓練百分百（國小6年級）第2版,https://www.kingstone.com.tw//basic/2015215740557?zone=book&lid=book_class3_tfe&actid=book_class3_tfe,資優國語文教研會,光田      ,4712839709028,https://cdn.kingstone.com.tw/book/images/product/20152/2015215740557/2015215740557b.jpg
國小成語大考驗（6年級）第2版,https://www.kingstone.com.tw//basic/2018592749212?zone=book&lid=book_class3_tfe&actid=book_class3_tfe,光田出版社,光田      ,4712839708946,https://cdn.kingstone.com.tw/book/images/product/20185/2018592749212/2018592749212b.jpg
品德故事天天讀（國小6年級）,https://www.kingstone.com.tw//basic/2015232977806?zone=book&lid=book_class3_tfe&actid=book_class3_tfe,陳文山,光田      ,4712839708601,https://cdn.kingstone.com.tw/book/images/product/20152/2015232977806/2015232977806b.jpg
字音字形基礎訓練（上冊）,https://www.kingstone.com.tw//basic/2018020448465?zone=book&lid=book_class3_tfe&actid=book_class3_tfe,陳文山,光田      ,4712839707215,https://cdn.kingstone.com.tw/book/images/product/20180/2018020448465/2018020448465b.jpg
字音字形基礎訓練（下冊）,https://www.kingstone.com.tw//basic/2018020448595?zone=book&lid=book_class3_tfe&actid=book_class3_tfe,陳文山,光田      ,4712839707222,https://cdn.kingstone.com.tw/book/images/product/20180/2018020448595/2018020448595b.jpg
字音字形基礎訓練（合訂本）,https://www.kingstone.com.tw//basic/2018020448625?zone=book&lid=book_class3_tfe&actid=book_class3_tfe,陳文山,光田      ,4712839707239,https://cdn.kingstone.com.tw/book/images/product/20180/2018020448625/2018020448625b.jpg
升國中國語文能力測驗（國小6年級）合訂本,https://www.kingstone.com.tw//basic/2015232407662?zone=book&lid=book_class3_tfe&actid=book_class3_tfe,資優國語文教研會,光田      ,4712839706669,https://cdn.kingstone.com.tw/book/images/product/20152/2015232407662/2015232407662b.jpg
成語故事閱讀評量（新版）（6年級）,https://www.kingstone.com.tw//basic/2015232299717?zone=book&lid=book_class3_tfe&actid=book_class3_tfe,陳東和,光田      ,4712839705617,https://cdn.kingstone.com.tw/book/images/product/20152/2015232299717/2015232299717b.jpg
小學國語文能力測驗6年全,https://www.kingstone.com.tw//basic/2015232088526?zone=book&lid=book_class3_tfe&actid=book_class3_tfe,資優國語文教研會,光田      ,4712839703651,https://cdn.kingstone.com.tw/book/images/product/20152/2015232088526/2015232088526b.jpg
國小作文與閱讀講義（6年級）第2版,https://www.kingstone.com.tw//basic/2015215926647?zone=book&lid=book_class3_tfe&actid=book_class3_tfe,資優國語文教研會,光田      ,4712839709233,https://cdn.kingstone.com.tw/book/images/product/20152/2015215926647/2015215926647b.jpg
成語故事悅讀動動腦(國小6年級),https://www.kingstone.com.tw//basic/2018592701098?zone=book&lid=book_class3_tfe&actid=book_class3_tfe,陳文山,光田      ,4712839708472,https://cdn.kingstone.com.tw/book/images/product/20185/2018592701098/2018592701098b.jpg
優質閱讀能力養成(國小6年級)第3版,https://www.kingstone.com.tw//basic/2015232771442?zone=book&lid=book_class3_tfe&actid=book_class3_tfe,資優國語文教研會,光田      ,4712839706850,https://cdn.kingstone.com.tw/book/images/product/20152/2015232771442/2015232771442b.jpg
國小作文閱讀指導(6年級)新版,https://www.kingstone.com.tw//basic/2015232732276?zone=book&lid=book_class3_tfe&actid=book_class3_tfe,資優國語文教研會,光田      ,4712839708052,https://cdn.kingstone.com.tw/book/images/product/20152/2015232732276/2015232732276b.jpg
