書名,書籍網站,作者,出版社,ISBN,圖片網址
國小最新基礎數學（6年級）,https://www.kingstone.com.tw//basic/2015216993648?zone=book&lid=book_class3_tfq&actid=book_class3_tfq,數學資優班教研會,光田      ,9789574818044,https://cdn.kingstone.com.tw/book/images/product/20152/2015216993648/2015216993648b.jpg
智力數學綜合評量（國小6年級）,https://www.kingstone.com.tw//basic/2015233124445?zone=book&lid=book_class3_tfq&actid=book_class3_tfq,資優數學教研會,光田      ,4712839709530,https://cdn.kingstone.com.tw/book/images/product/20152/2015233124445/2015233124445b.jpg
小學數學舉一反三（6年級）第2版,https://www.kingstone.com.tw//basic/2015216450059?zone=book&lid=book_class3_tfq&actid=book_class3_tfq,數學資優班教研會,光田      ,4710562780185,https://cdn.kingstone.com.tw/book/images/product/20152/2015216450059/2015216450059b.jpg
數學應用題理解（國小6年級）第2版,https://www.kingstone.com.tw//basic/2015216326729?zone=book&lid=book_class3_tfq&actid=book_class3_tfq,陳志宏,光田      ,4710562780062,https://cdn.kingstone.com.tw/book/images/product/20152/2015216326729/2015216326729b.jpg
國小數學統整講義（6年級）,https://www.kingstone.com.tw//basic/2015233121949?zone=book&lid=book_class3_tfq&actid=book_class3_tfq,資優數學教研會,光田      ,4712839709349,https://cdn.kingstone.com.tw/book/images/product/20152/2015233121949/2015233121949b.jpg
數學資優重點評量（國小6年級）,https://www.kingstone.com.tw//basic/2015215860262?zone=book&lid=book_class3_tfq&actid=book_class3_tfq,光田出版社,光田      ,4712839707765,https://cdn.kingstone.com.tw/book/images/product/20152/2015215860262/2015215860262b.jpg
小學數學單元精練（6年級）,https://www.kingstone.com.tw//basic/2015215703415?zone=book&lid=book_class3_tfq&actid=book_class3_tfq,光田出版社,光田      ,4712839707581,https://cdn.kingstone.com.tw/book/images/product/20152/2015215703415/2015215703415b.jpg
數學邏輯思考訓練（國小6年級）,https://www.kingstone.com.tw//basic/2015233071213?zone=book&lid=book_class3_tfq&actid=book_class3_tfq,光田出版社,光田      ,4712839707383,https://cdn.kingstone.com.tw/book/images/product/20152/2015233071213/2015233071213b.jpg
數學應用題理解（國小6年級）,https://www.kingstone.com.tw//basic/2015233042374?zone=book&lid=book_class3_tfq&actid=book_class3_tfq,陳志宏,光田      ,4712839708786,https://cdn.kingstone.com.tw/book/images/product/20152/2015233042374/2015233042374b.jpg
國小奧林匹克數學講義（6年級）合訂本,https://www.kingstone.com.tw//basic/2015232624632?zone=book&lid=book_class3_tfq&actid=book_class3_tfq,吳建豪,光田      ,4712839707871,https://cdn.kingstone.com.tw/book/images/product/20152/2015232624632/2015232624632b.jpg
小學奧林匹克進階數學（6年級）合訂本,https://www.kingstone.com.tw//basic/2015232377590?zone=book&lid=book_class3_tfq&actid=book_class3_tfq,潘小云,光田      ,4712839706409,https://cdn.kingstone.com.tw/book/images/product/20152/2015232377590/2015232377590b.jpg
資優生數學新方向（國小6年級）修訂版,https://www.kingstone.com.tw//basic/2015232334906?zone=book&lid=book_class3_tfq&actid=book_class3_tfq,數學資優班教研會,光田      ,4712839705952,https://cdn.kingstone.com.tw/book/images/product/20152/2015232334906/2015232334906b.jpg
數學推理訓練（國小6年級）上冊,https://www.kingstone.com.tw//basic/2015232305487?zone=book&lid=book_class3_tfq&actid=book_class3_tfq,資優數學教研會,光田      ,4712839705686,https://cdn.kingstone.com.tw/book/images/product/20152/2015232305487/2015232305487b.jpg
數學推理訓練（國小6年級）下冊,https://www.kingstone.com.tw//basic/2015232305517?zone=book&lid=book_class3_tfq&actid=book_class3_tfq,資優數學教研會,光田      ,4712839705693,https://cdn.kingstone.com.tw/book/images/product/20152/2015232305517/2015232305517b.jpg
新編基礎數學(國小6年級)第2版,https://www.kingstone.com.tw//basic/2015232419283?zone=book&lid=book_class3_tfq&actid=book_class3_tfq,數學資優班教研會,光田      ,4712839706775,https://cdn.kingstone.com.tw/book/images/product/20152/2015232419283/2015232419283b.jpg
