書名,書籍網站,作者,出版社,ISBN,圖片網址
國中數學基本素養1：數與代數的運算,https://www.kingstone.com.tw//basic/2015240248332?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,許建銘,五南      ,9789865221355,https://cdn.kingstone.com.tw/book/images/product/20152/2015240248332/2015240248332b.jpg
國小數學科重點總複習,https://www.kingstone.com.tw//basic/2015232183887?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,資優數學教研會,光田      ,4712839704443,https://cdn.kingstone.com.tw/book/images/product/20152/2015232183887/2015232183887b.jpg
升私中先修特訓班：數學（3本不分售）,https://www.kingstone.com.tw//basic/2015240250113?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,宗翰、齊峻,寰宇知識  ,4710701016533,https://cdn.kingstone.com.tw/book/images/product/20152/2015240250113/2015240250113b.jpg
數學！這樣準備保證上：升國中數學資優班考前衝刺秘笈（第四版）（附超值DVD）,https://www.kingstone.com.tw//basic/2015240249674?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,數理資優研究團隊,博碩文化  ,9789864345403,https://cdn.kingstone.com.tw/book/images/product/20152/2015240249674/2015240249674b.jpg
國中數學基本素養2：幾何概念與性質,https://www.kingstone.com.tw//basic/2015240248462?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,許建銘,五南      ,9789865221362,https://cdn.kingstone.com.tw/book/images/product/20152/2015240248462/2015240248462b.jpg
升國中私中智優先修（數學科）第4版,https://www.kingstone.com.tw//basic/2015216308299?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,升國中教研會,光田      ,4712839709950,https://cdn.kingstone.com.tw/book/images/product/20152/2015216308299/2015216308299b.jpg
來吧！再也不用怕數學：歡迎來到函數世界,https://www.kingstone.com.tw//basic/2015240242590?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,王富祥、游雪玲,八方      ,9789863812067,https://cdn.kingstone.com.tw/book/images/product/20152/2015240242590/2015240242590b.jpg
升私中國中全壘打（數學科）,https://www.kingstone.com.tw//basic/2015240237473?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,資優班教研會,光田      ,4712839709257,https://cdn.kingstone.com.tw/book/images/product/20152/2015240237473/2015240237473b.jpg
國小數學推理智能測驗,https://www.kingstone.com.tw//basic/2015232242638?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,王登傳,前程出版社,9789577044747,https://cdn.kingstone.com.tw/book/images/product/20152/2015232242638/2015232242638b.jpg
國小數學總複習測驗,https://www.kingstone.com.tw//basic/2015232166439?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,資優數學教研會,光田      ,4712839704245,https://cdn.kingstone.com.tw/book/images/product/20152/2015232166439/2015232166439b.jpg
升私中數學．自然綜合評量,https://www.kingstone.com.tw//basic/2015231786881?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,私中入學教,光田      ,4712839700780,https://cdn.kingstone.com.tw/book/images/product/20152/2015231786881/2015231786881b.jpg
國一數學先修（二）《升國中專用》,https://www.kingstone.com.tw//basic/2015232252385?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,王登傳,前程出版社,9789577041807,https://cdn.kingstone.com.tw/book/images/product/20152/2015232252385/2015232252385b.jpg
得分王：數學總複習講義 [升私中資優班] 附重點別冊,https://www.kingstone.com.tw//basic/2015216606548?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,編輯,康軒      ,202051100231,https://cdn.kingstone.com.tw/book/images/product/20152/2015216606548/2015216606548b.jpg
得分王：數學升私中模擬試題 [考前30天衝刺],https://www.kingstone.com.tw//basic/2015216606708?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,編輯,康軒      ,202051101851,https://cdn.kingstone.com.tw/book/images/product/20152/2015216606708/2015216606708b.jpg
升私中圖形．數學綜合評量,https://www.kingstone.com.tw//basic/2015231786911?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,私中入學教,光田      ,4712839700803,https://cdn.kingstone.com.tw/book/images/product/20152/2015231786911/2015231786911b.jpg
九年一貫數學大補帖（書+CD),https://www.kingstone.com.tw//basic/2013100049396?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,網川資訊,網川資訊  ,4718532011796,https://cdn.kingstone.com.tw/book/images/product/20131/2013100049396/2013100049396b.jpg
三段式數學特訓問題一,https://www.kingstone.com.tw//basic/2015211360995?zone=book&lid=book_class3_tgc&actid=book_class3_tgc,百世編輯部,百盛文化  ,4718395100491,https://cdn.kingstone.com.tw/book/images/product/20152/2015211360995/2015211360995b.jpg
