書名,書籍網站,作者,出版社,ISBN,圖片網址
國中康軒新挑戰百試達國文一上（110學年）,https://www.kingstone.com.tw//basic/2015216960961?zone=book&lid=book_class3_tha&actid=book_class3_tha,編輯,康軒      ,9789865358327,https://cdn.kingstone.com.tw/book/images/product/20152/2015216960961/2015216960961b.jpg
國中康軒新挑戰學習講義國文一上（110學年）,https://www.kingstone.com.tw//basic/2015216962965?zone=book&lid=book_class3_tha&actid=book_class3_tha,編輯,康軒      ,9789865358334,https://cdn.kingstone.com.tw/book/images/product/20152/2015216962965/2015216962965b.jpg
國中康軒新挑戰學習自修國文一上（110學年）,https://www.kingstone.com.tw//basic/2015216959422?zone=book&lid=book_class3_tha&actid=book_class3_tha,編輯,康軒      ,9789865358310,https://cdn.kingstone.com.tw/book/images/product/20152/2015216959422/2015216959422b.jpg
國中康軒新挑戰測驗卷國文一上（110學年）,https://www.kingstone.com.tw//basic/2015216967915?zone=book&lid=book_class3_tha&actid=book_class3_tha,編輯,康軒      ,104010100401,https://cdn.kingstone.com.tw/book/images/product/20152/2015216967915/2015216967915b.jpg
升國中智力測驗新標竿（國語科）第2版,https://www.kingstone.com.tw//basic/2015215531490?zone=book&lid=book_class3_tha&actid=book_class3_tha,升國中教研會,光田      ,4712839708540,https://cdn.kingstone.com.tw/book/images/product/20152/2015215531490/2015215531490b.jpg
升國中創新先修百分百（國語科）第2版,https://www.kingstone.com.tw//basic/2015215552396?zone=book&lid=book_class3_tha&actid=book_class3_tha,升國中教研會,光田      ,4712839708724,https://cdn.kingstone.com.tw/book/images/product/20152/2015215552396/2015215552396b.jpg
國中會考國文閱讀實戰,https://www.kingstone.com.tw//basic/2015215531520?zone=book&lid=book_class3_tha&actid=book_class3_tha,陳建志,光田      ,4712839708663,https://cdn.kingstone.com.tw/book/images/product/20152/2015215531520/2015215531520b.jpg
國中康軒新挑戰新命題焦點國文一上（110學年）,https://www.kingstone.com.tw//basic/2015216965751?zone=book&lid=book_class3_tha&actid=book_class3_tha,編輯,康軒      ,9789865358341,https://cdn.kingstone.com.tw/book/images/product/20152/2015216965751/2015216965751b.jpg
升國中入學測驗評量(國數自英)第2版,https://www.kingstone.com.tw//basic/2015232535310?zone=book&lid=book_class3_tha&actid=book_class3_tha,升國中教研會,光田      ,4712839707420,https://cdn.kingstone.com.tw/book/images/product/20152/2015232535310/2015232535310b.jpg
升國中測驗全壘打(國語科)第2版,https://www.kingstone.com.tw//basic/2015232475197?zone=book&lid=book_class3_tha&actid=book_class3_tha,國中資優班教研會,光田      ,4712839707031,https://cdn.kingstone.com.tw/book/images/product/20152/2015232475197/2015232475197b.jpg
升國中創新先修百分百-國語科,https://www.kingstone.com.tw//basic/2015232237511?zone=book&lid=book_class3_tha&actid=book_class3_tha,升國中教研會,光田      ,4712839704986,https://cdn.kingstone.com.tw/book/images/product/20152/2015232237511/2015232237511b.jpg
升國中測驗全壘打：國語科,https://www.kingstone.com.tw//basic/2015232201338?zone=book&lid=book_class3_tha&actid=book_class3_tha,國中資優班教研會,光田      ,4712839704634,https://cdn.kingstone.com.tw/book/images/product/20152/2015232201338/2015232201338b.jpg
升國中私中資優評量：國語科,https://www.kingstone.com.tw//basic/2015240099767?zone=book&lid=book_class3_tha&actid=book_class3_tha,國中資優班教研會,光田      ,4712839704511,https://cdn.kingstone.com.tw/book/images/product/20152/2015240099767/2015240099767b.jpg
升國中智力測驗新標竿國語科,https://www.kingstone.com.tw//basic/2015231924207?zone=book&lid=book_class3_tha&actid=book_class3_tha,升國中教研會,光田      ,4712839702074,https://cdn.kingstone.com.tw/book/images/product/20152/2015231924207/2015231924207b.jpg
升國中能力先修-國語,https://www.kingstone.com.tw//basic/2015231742665?zone=book&lid=book_class3_tha&actid=book_class3_tha,國中資優教,光田      ,4712839700582,https://cdn.kingstone.com.tw/book/images/product/20152/2015231742665/2015231742665b.jpg
