書名,書籍網站,作者,出版社,ISBN,圖片網址
國中康軒新挑戰學習講義英語一上（110學年）,https://www.kingstone.com.tw//basic/2015216963177?zone=book&lid=book_class3_the&actid=book_class3_the,編輯,康軒      ,9789865358150,https://cdn.kingstone.com.tw/book/images/product/20152/2015216963177/2015216963177b.jpg
國中康軒新挑戰百試達英語一上（110學年）,https://www.kingstone.com.tw//basic/2015216961203?zone=book&lid=book_class3_the&actid=book_class3_the,編輯,康軒      ,9789865358112,https://cdn.kingstone.com.tw/book/images/product/20152/2015216961203/2015216961203b.jpg
國中康軒新挑戰測驗卷英語一上（110學年）,https://www.kingstone.com.tw//basic/2015216968127?zone=book&lid=book_class3_the&actid=book_class3_the,編輯,康軒      ,104040100401,https://cdn.kingstone.com.tw/book/images/product/20152/2015216968127/2015216968127b.jpg
國中康軒新挑戰新命題焦點英語一上（110學年）,https://www.kingstone.com.tw//basic/2015216966093?zone=book&lid=book_class3_the&actid=book_class3_the,編輯,康軒      ,9789865358136,https://cdn.kingstone.com.tw/book/images/product/20152/2015216966093/2015216966093b.jpg
國中康軒新挑戰學習自修英語一上（110學年）,https://www.kingstone.com.tw//basic/2015216960091?zone=book&lid=book_class3_the&actid=book_class3_the,編輯,康軒      ,9789865358143,https://cdn.kingstone.com.tw/book/images/product/20152/2015216960091/2015216960091b.jpg
國中康軒新挑戰{麻辣}講義英語一上（110學年）,https://www.kingstone.com.tw//basic/2015216964969?zone=book&lid=book_class3_the&actid=book_class3_the,編輯,康軒      ,9789865358129,https://cdn.kingstone.com.tw/book/images/product/20152/2015216964969/2015216964969b.jpg
升國中智力測驗新標竿（自然科）第2版,https://www.kingstone.com.tw//basic/2015232796346?zone=book&lid=book_class3_the&actid=book_class3_the,升國中教研會,光田      ,4712839707994,https://cdn.kingstone.com.tw/book/images/product/20152/2015232796346/2015232796346b.jpg
升國中私中智優先修（自然科）第3版,https://www.kingstone.com.tw//basic/2015240210865?zone=book&lid=book_class3_the&actid=book_class3_the,升國中教研會,光田      ,4712839708403,https://cdn.kingstone.com.tw/book/images/product/20152/2015240210865/2015240210865b.jpg
升國中創新先修百分百（自然科）第2版,https://www.kingstone.com.tw//basic/2015214876073?zone=book&lid=book_class3_the&actid=book_class3_the,升國中教研會,光田      ,4712839707192,https://cdn.kingstone.com.tw/book/images/product/20152/2015214876073/2015214876073b.jpg
升國中創新先修百分百-自然科,https://www.kingstone.com.tw//basic/2015232237801?zone=book&lid=book_class3_the&actid=book_class3_the,升國中教研會,光田      ,4712839705013,https://cdn.kingstone.com.tw/book/images/product/20152/2015232237801/2015232237801b.jpg
升國中測驗全壘打：自然科,https://www.kingstone.com.tw//basic/2015232201468?zone=book&lid=book_class3_the&actid=book_class3_the,國中資優班教研會,光田      ,4712839704641,https://cdn.kingstone.com.tw/book/images/product/20152/2015232201468/2015232201468b.jpg
升國中智力測驗新標竿自然科,https://www.kingstone.com.tw//basic/2015231924467?zone=book&lid=book_class3_the&actid=book_class3_the,升國中教研會,光田      ,4712839702098,https://cdn.kingstone.com.tw/book/images/product/20152/2015231924467/2015231924467b.jpg
升國中能力先修-自然,https://www.kingstone.com.tw//basic/2015231742795?zone=book&lid=book_class3_the&actid=book_class3_the,國中資優教,光田      ,4712839700599,https://cdn.kingstone.com.tw/book/images/product/20152/2015231742795/2015231742795b.jpg
