書名,書籍網站,作者,出版社,ISBN,圖片網址
國中麻辣複習講義生物（全）（110最新版）,https://www.kingstone.com.tw//basic/2015216924161?zone=book&lid=book_class3_tkq&actid=book_class3_tkq,編輯,康軒      ,9789865357252,https://cdn.kingstone.com.tw/book/images/product/20152/2015216924161/2015216924161b.jpg
國中麻辣複習講義理化（3－4冊）（110最新版）,https://www.kingstone.com.tw//basic/2015216924291?zone=book&lid=book_class3_tkq&actid=book_class3_tkq,編輯,康軒      ,9789865357245,https://cdn.kingstone.com.tw/book/images/product/20152/2015216924291/2015216924291b.jpg
110升高中{麻辣}複習講義{生物}（全）+真人影音解題,https://www.kingstone.com.tw//basic/2015216607620?zone=book&lid=book_class3_tkq&actid=book_class3_tkq,編輯,康軒      ,704251516191,https://cdn.kingstone.com.tw/book/images/product/20152/2015216607620/2015216607620b.jpg
110升高中{麻辣}複習講義{理化}（全）+真人影音解題,https://www.kingstone.com.tw//basic/2015216607750?zone=book&lid=book_class3_tkq&actid=book_class3_tkq,編輯,康軒      ,704271516191,https://cdn.kingstone.com.tw/book/images/product/20152/2015216607750/2015216607750b.jpg
110升高中{麻辣}複習講義{地科}（全）+真人影音解題,https://www.kingstone.com.tw//basic/2015216607880?zone=book&lid=book_class3_tkq&actid=book_class3_tkq,編輯,康軒      ,704261516191,https://cdn.kingstone.com.tw/book/images/product/20152/2015216607880/2015216607880b.jpg
109升高中{麻辣}試題總複習{生物}(全),https://www.kingstone.com.tw//basic/2015216251069?zone=book&lid=book_class3_tkq&actid=book_class3_tkq,編輯,康軒      ,741355502181,https://cdn.kingstone.com.tw/book/images/product/20152/2015216251069/2015216251069b.jpg
109升高中{麻辣}試題總複習{理化}(全),https://www.kingstone.com.tw//basic/2015216251199?zone=book&lid=book_class3_tkq&actid=book_class3_tkq,編輯,康軒      ,746355502181,https://cdn.kingstone.com.tw/book/images/product/20152/2015216251199/2015216251199b.jpg
109升高中麻辣複習講義(全){理化}+影音解題,https://www.kingstone.com.tw//basic/2015216110908?zone=book&lid=book_class3_tkq&actid=book_class3_tkq,編輯,康軒      ,704271516181,https://cdn.kingstone.com.tw/book/images/product/20152/2015216110908/2015216110908b.jpg
109升高中麻辣複習講義(全){生物}+贈重點填圖+影音解題,https://www.kingstone.com.tw//basic/2015216111080?zone=book&lid=book_class3_tkq&actid=book_class3_tkq,編輯,康軒      ,704251516181,https://cdn.kingstone.com.tw/book/images/product/20152/2015216111080/2015216111080b.jpg
109升高中麻辣複習講義(全){地科}+影音解題,https://www.kingstone.com.tw//basic/2015216111110?zone=book&lid=book_class3_tkq&actid=book_class3_tkq,編輯,康軒      ,704261516181,https://cdn.kingstone.com.tw/book/images/product/20152/2015216111110/2015216111110b.jpg
