書名,書籍網站,作者,出版社,ISBN,圖片網址
國中會考國文科文言文閱讀特訓,https://www.kingstone.com.tw//basic/2015240207162?zone=book&lid=book_class3_tla&actid=book_class3_tla,陳文山,光田      ,4712839708120,https://cdn.kingstone.com.tw/book/images/product/20152/2015240207162/2015240207162b.jpg
110會考－3800+應用題彙編{國文}+真人難題影音解析,https://www.kingstone.com.tw//basic/2015216697683?zone=book&lid=book_class3_tla&actid=book_class3_tla,編輯,康軒      ,702001573191,https://cdn.kingstone.com.tw/book/images/product/20152/2015216697683/2015216697683b.jpg
110會考－麻辣試題{國文}+附贈解答分析別冊,https://www.kingstone.com.tw//basic/2015216698185?zone=book&lid=book_class3_tla&actid=book_class3_tla,編輯,康軒      ,710355502191,https://cdn.kingstone.com.tw/book/images/product/20152/2015216698185/2015216698185b.jpg
110升高中會考A++{國文}複習講義（1－4冊）+超強真人影音解題,https://www.kingstone.com.tw//basic/2015216607170?zone=book&lid=book_class3_tla&actid=book_class3_tla,編輯,康軒      ,704011525191,https://cdn.kingstone.com.tw/book/images/product/20152/2015216607170/2015216607170b.jpg
110升高中會考A++{國文}複習講義（5－6冊）+超強真人影音解題,https://www.kingstone.com.tw//basic/2015216607200?zone=book&lid=book_class3_tla&actid=book_class3_tla,編輯,康軒      ,704011525291,https://cdn.kingstone.com.tw/book/images/product/20152/2015216607200/2015216607200b.jpg
109會考題組{國文}應用題彙編,https://www.kingstone.com.tw//basic/2015216250567?zone=book&lid=book_class3_tla&actid=book_class3_tla,編輯,康軒      ,704011570181,https://cdn.kingstone.com.tw/book/images/product/20152/2015216250567/2015216250567b.jpg
國中教育會考模擬題本(國文)第3版,https://www.kingstone.com.tw//basic/2015215551894?zone=book&lid=book_class3_tla&actid=book_class3_tla,升高中教研會,光田      ,4712839708670,https://cdn.kingstone.com.tw/book/images/product/20152/2015215551894/2015215551894b.jpg
國中會考作文範例精選(第2版),https://www.kingstone.com.tw//basic/2015240207032?zone=book&lid=book_class3_tla&actid=book_class3_tla,國中作文教研會,光田      ,4712839708090,https://cdn.kingstone.com.tw/book/images/product/20152/2015240207032/2015240207032b.jpg
國中會考滿分祕笈(國文科)第2版,https://www.kingstone.com.tw//basic/2015214453809?zone=book&lid=book_class3_tla&actid=book_class3_tla,國中會考教研會,光田      ,4712839707208,https://cdn.kingstone.com.tw/book/images/product/20152/2015214453809/2015214453809b.jpg
國中教育會考模擬題本(國文)第2版,https://www.kingstone.com.tw//basic/2015214276217?zone=book&lid=book_class3_tla&actid=book_class3_tla,升高中教研會,光田      ,4712839706898,https://cdn.kingstone.com.tw/book/images/product/20152/2015214276217/2015214276217b.jpg
國中會考滿分祕笈(英語閱讀),https://www.kingstone.com.tw//basic/2015214260858?zone=book&lid=book_class3_tla&actid=book_class3_tla,國中會考教研會,光田      ,4712839706324,https://cdn.kingstone.com.tw/book/images/product/20152/2015214260858/2015214260858b.jpg
國中教育會考模擬題本(國文),https://www.kingstone.com.tw//basic/2015213884208?zone=book&lid=book_class3_tla&actid=book_class3_tla,升高中教研會,光田      ,4712839705020,https://cdn.kingstone.com.tw/book/images/product/20152/2015213884208/2015213884208b.jpg
