書名,書籍網站,作者,出版社,ISBN,圖片網址
會考閱讀測驗500題【題本】（二版）,https://www.kingstone.com.tw//basic/2015216853089?zone=book&lid=book_class3_tlh&actid=book_class3_tlh,李冠勳,學習出版有,9789862312063,https://cdn.kingstone.com.tw/book/images/product/20152/2015216853089/2015216853089b.jpg
歷屆國中會考英文試題全集（珍藏本）,https://www.kingstone.com.tw//basic/2015214978388?zone=book&lid=book_class3_tlh&actid=book_class3_tlh,劉毅,學習出版有,4713269381693,https://cdn.kingstone.com.tw/book/images/product/20152/2015214978388/2015214978388b.jpg
國中會考英語模擬試題（1）【升高中必備】,https://www.kingstone.com.tw//basic/2015213925109?zone=book&lid=book_class3_tlh&actid=book_class3_tlh,劉毅,學習出版有,9789862312117,https://cdn.kingstone.com.tw/book/images/product/20152/2015213925109/2015213925109b.jpg
國中會考+全民英檢初級英語閱讀素養題組高分解析,https://www.kingstone.com.tw//basic/2015216838215?zone=book&lid=book_class3_tlh&actid=book_class3_tlh,LiveABC 編輯群,希伯崙    ,9789864414246,https://cdn.kingstone.com.tw/book/images/product/20152/2015216838215/2015216838215b.jpg
國中會考英語模擬試題（4）題本【升高中必備】【QR碼版】,https://www.kingstone.com.tw//basic/2015216598904?zone=book&lid=book_class3_tlh&actid=book_class3_tlh,劉毅,學習出版有,4713269383468,https://cdn.kingstone.com.tw/book/images/product/20152/2015216598904/2015216598904b.jpg
國中英語文法與練習 2 （新課綱版）,https://www.kingstone.com.tw//basic/2015216395596?zone=book&lid=book_class3_tlh&actid=book_class3_tlh,陳明華,師德      ,9789869753890,https://cdn.kingstone.com.tw/book/images/product/20152/2015216395596/2015216395596b.jpg
私中入學模擬題庫（英語科）,https://www.kingstone.com.tw//basic/2015215890603?zone=book&lid=book_class3_tlh&actid=book_class3_tlh,升私中教研會,光田      ,4712839709110,https://cdn.kingstone.com.tw/book/images/product/20152/2015215890603/2015215890603b.jpg
國中會考英語聽力進階測驗本,https://www.kingstone.com.tw//basic/2015214973468?zone=book&lid=book_class3_tlh&actid=book_class3_tlh,李冠勳,學習出版有,4713269381662,https://cdn.kingstone.com.tw/book/images/product/20152/2015214973468/2015214973468b.jpg
國中會考英語單字2000：從C到A++，考遍天下無敵手（附MP3）,https://www.kingstone.com.tw//basic/2015240254531?zone=book&lid=book_class3_tlh&actid=book_class3_tlh,張瑪麗．湯姆斯,哈福企業  ,9789860611465,https://cdn.kingstone.com.tw/book/images/product/20152/2015240254531/2015240254531b.jpg
國中會考英語閱讀單題精練（第3版）,https://www.kingstone.com.tw//basic/2015216656093?zone=book&lid=book_class3_tlh&actid=book_class3_tlh,國中英語教研會,光田      ,4710562780314,https://cdn.kingstone.com.tw/book/images/product/20152/2015216656093/2015216656093b.jpg
國中英語文法與練習 5 （新課綱版）,https://www.kingstone.com.tw//basic/2015240245416?zone=book&lid=book_class3_tlh&actid=book_class3_tlh,陳明華,師德      ,9789869857727,https://cdn.kingstone.com.tw/book/images/product/20152/2015240245416/2015240245416b.jpg
國中英語文法與練習 3 （新課綱版）,https://www.kingstone.com.tw//basic/2015240245546?zone=book&lid=book_class3_tlh&actid=book_class3_tlh,陳明華,師德      ,9789869857703,https://cdn.kingstone.com.tw/book/images/product/20152/2015240245546/2015240245546b.jpg
國中會考閱讀測驗進階（1）【題本】,https://www.kingstone.com.tw//basic/2015215639677?zone=book&lid=book_class3_tlh&actid=book_class3_tlh,李冠勳主編,學習出版有,4713269382805,https://cdn.kingstone.com.tw/book/images/product/20152/2015215639677/2015215639677b.jpg
國中會考英語聽力進階【教師手冊】,https://www.kingstone.com.tw//basic/2015214973918?zone=book&lid=book_class3_tlh&actid=book_class3_tlh,李冠勳,學習出版有,4713269381679,https://cdn.kingstone.com.tw/book/images/product/20152/2015214973918/2015214973918b.jpg
