書名,書籍網站,作者,出版社,ISBN,圖片網址
排列,https://www.kingstone.com.tw//basic/2015214464768?zone=book&lid=book_class3_tpc&actid=book_class3_tpc,陳一理,建興      ,9789579496346,https://cdn.kingstone.com.tw/book/images/product/20152/2015214464768/2015214464768b.jpg
機率,https://www.kingstone.com.tw//basic/2015214464928?zone=book&lid=book_class3_tpc&actid=book_class3_tpc,陳一理,建興      ,9789579496292,https://cdn.kingstone.com.tw/book/images/product/20152/2015214464928/2015214464928b.jpg
組合,https://www.kingstone.com.tw//basic/2015214464898?zone=book&lid=book_class3_tpc&actid=book_class3_tpc,陳一理,建興      ,9789578953901,https://cdn.kingstone.com.tw/book/images/product/20152/2015214464898/2015214464898b.jpg
精準制高中數學講義第1冊,https://www.kingstone.com.tw//basic/2015216201514?zone=book&lid=book_class3_tpc&actid=book_class3_tpc,朱正康,建興      ,9789862243732,https://cdn.kingstone.com.tw/book/images/product/20152/2015216201514/2015216201514b.jpg
三角函數,https://www.kingstone.com.tw//basic/2015214464188?zone=book&lid=book_class3_tpc&actid=book_class3_tpc,陳一理,建興      ,9789579496384,https://cdn.kingstone.com.tw/book/images/product/20152/2015214464188/2015214464188b.jpg
空間向量,https://www.kingstone.com.tw//basic/2015214464348?zone=book&lid=book_class3_tpc&actid=book_class3_tpc,陳一理,建興      ,9789579496353,https://cdn.kingstone.com.tw/book/images/product/20152/2015214464348/2015214464348b.jpg
歷屆數學試題歸納解析,https://www.kingstone.com.tw//basic/2015214468056?zone=book&lid=book_class3_tpc&actid=book_class3_tpc,詹敏昌,建興      ,9789862242469,https://cdn.kingstone.com.tw/book/images/product/20152/2015214468056/2015214468056b.jpg
數列與級數,https://www.kingstone.com.tw//basic/2015214463716?zone=book&lid=book_class3_tpc&actid=book_class3_tpc,陳一理,建興      ,9789579496216,https://cdn.kingstone.com.tw/book/images/product/20152/2015214463716/2015214463716b.jpg
平面向量,https://www.kingstone.com.tw//basic/2015214464218?zone=book&lid=book_class3_tpc&actid=book_class3_tpc,陳一理,建興      ,9789579496391,https://cdn.kingstone.com.tw/book/images/product/20152/2015214464218/2015214464218b.jpg
微分,https://www.kingstone.com.tw//basic/2015214465130?zone=book&lid=book_class3_tpc&actid=book_class3_tpc,陳一理,建興      ,9789579496209,https://cdn.kingstone.com.tw/book/images/product/20152/2015214465130/2015214465130b.jpg
積分,https://www.kingstone.com.tw//basic/2015214465260?zone=book&lid=book_class3_tpc&actid=book_class3_tpc,陳一理,建興      ,9789579496315,https://cdn.kingstone.com.tw/book/images/product/20152/2015214465260/2015214465260b.jpg
矩陣與行列式,https://www.kingstone.com.tw//basic/2015214465420?zone=book&lid=book_class3_tpc&actid=book_class3_tpc,陳一理,建興      ,9789578953925,https://cdn.kingstone.com.tw/book/images/product/20152/2015214465420/2015214465420b.jpg
高中數學常見題之一題多解（上）,https://www.kingstone.com.tw//basic/2015214463426?zone=book&lid=book_class3_tpc&actid=book_class3_tpc,鄭金樹,建興      ,9789578177772,https://cdn.kingstone.com.tw/book/images/product/20152/2015214463426/2015214463426b.jpg
圓錐曲線,https://www.kingstone.com.tw//basic/2015214464638?zone=book&lid=book_class3_tpc&actid=book_class3_tpc,陳一理,建興      ,9789579496339,https://cdn.kingstone.com.tw/book/images/product/20152/2015214464638/2015214464638b.jpg
數,https://www.kingstone.com.tw//basic/2015214463686?zone=book&lid=book_class3_tpc&actid=book_class3_tpc,陳一理,建興      ,9789579496285,https://cdn.kingstone.com.tw/book/images/product/20152/2015214463686/2015214463686b.jpg
二次函數與多項式,https://www.kingstone.com.tw//basic/2015214463976?zone=book&lid=book_class3_tpc&actid=book_class3_tpc,陳一理,建興      ,9789579496360,https://cdn.kingstone.com.tw/book/images/product/20152/2015214463976/2015214463976b.jpg
敘述統計,https://www.kingstone.com.tw//basic/2015214465000?zone=book&lid=book_class3_tpc&actid=book_class3_tpc,陳一理,建興      ,9789579496308,https://cdn.kingstone.com.tw/book/images/product/20152/2015214465000/2015214465000b.jpg
指數與對數,https://www.kingstone.com.tw//basic/2015214464058?zone=book&lid=book_class3_tpc&actid=book_class3_tpc,陳一理,建興      ,9789579496377,https://cdn.kingstone.com.tw/book/images/product/20152/2015214464058/2015214464058b.jpg
方程組與行列式,https://www.kingstone.com.tw//basic/2015214464478?zone=book&lid=book_class3_tpc&actid=book_class3_tpc,陳一理,建興      ,9789579496407,https://cdn.kingstone.com.tw/book/images/product/20152/2015214464478/2015214464478b.jpg
圓與球面,https://www.kingstone.com.tw//basic/2015214464508?zone=book&lid=book_class3_tpc&actid=book_class3_tpc,陳一理,建興      ,9789579496223,https://cdn.kingstone.com.tw/book/images/product/20152/2015214464508/2015214464508b.jpg
數值方法,https://www.kingstone.com.tw//basic/2015214465390?zone=book&lid=book_class3_tpc&actid=book_class3_tpc,陳一理,建興      ,9789579496322,https://cdn.kingstone.com.tw/book/images/product/20152/2015214465390/2015214465390b.jpg
近十年數學試題暨詳解（乙）（新）,https://www.kingstone.com.tw//basic/2015214468216?zone=book&lid=book_class3_tpc&actid=book_class3_tpc,詹敏昌,建興      ,9789578179592,https://cdn.kingstone.com.tw/book/images/product/20152/2015214468216/2015214468216b.jpg
直線方程式,https://www.kingstone.com.tw//basic/2015214463846?zone=book&lid=book_class3_tpc&actid=book_class3_tpc,陳一理,建興      ,9789578953918,https://cdn.kingstone.com.tw/book/images/product/20152/2015214463846/2015214463846b.jpg
高中數學常見題之一題多解（下）,https://www.kingstone.com.tw//basic/2015214463556?zone=book&lid=book_class3_tpc&actid=book_class3_tpc,鄭金樹,建興      ,9789578177963,https://cdn.kingstone.com.tw/book/images/product/20152/2015214463556/2015214463556b.jpg
