書名,書籍網站,作者,出版社,ISBN,圖片網址
高中學測英文文意選填KO,https://www.kingstone.com.tw//basic/2015214469978?zone=book&lid=book_class3_tqb&actid=book_class3_tqb,張勝溢,建興      ,9789862242117,https://cdn.kingstone.com.tw/book/images/product/20152/2015214469978/2015214469978b.jpg
高中學測英文翻譯KO,https://www.kingstone.com.tw//basic/2015214470097?zone=book&lid=book_class3_tqb&actid=book_class3_tqb,張勝溢,建興      ,9789862242070,https://cdn.kingstone.com.tw/book/images/product/20152/2015214470097/2015214470097b.jpg
高中學測英文作文（引導作文）KO,https://www.kingstone.com.tw//basic/2015214470127?zone=book&lid=book_class3_tqb&actid=book_class3_tqb,張勝溢,建興      ,9789862242087,https://cdn.kingstone.com.tw/book/images/product/20152/2015214470127/2015214470127b.jpg
高中學測英文作文（看圖寫作）KO,https://www.kingstone.com.tw//basic/2015214470257?zone=book&lid=book_class3_tqb&actid=book_class3_tqb,張勝溢,建興      ,9789862242094,https://cdn.kingstone.com.tw/book/images/product/20152/2015214470257/2015214470257b.jpg
高中進階英單完全掌握：主題式速記學測高頻單字（16K+寂天雲隨身聽APP）,https://www.kingstone.com.tw//basic/2015240249964?zone=book&lid=book_class3_tqb&actid=book_class3_tqb,江正文,寂天文化  ,9789863189626,https://cdn.kingstone.com.tw/book/images/product/20152/2015240249964/2015240249964b.jpg
300個學測最愛考片語（附QR CODE隨掃隨聽）,https://www.kingstone.com.tw//basic/2015216677319?zone=book&lid=book_class3_tqb&actid=book_class3_tqb,郭文興,師德      ,9789720163028,https://cdn.kingstone.com.tw/book/images/product/20152/2015216677319/2015216677319b.jpg
30天贏戰國中英語新克漏字（16K）,https://www.kingstone.com.tw//basic/2015240244884?zone=book&lid=book_class3_tqb&actid=book_class3_tqb,Owain Mckimm、馬騁懷,寂天文化  ,9789863188827,https://cdn.kingstone.com.tw/book/images/product/20152/2015240244884/2015240244884b.jpg
高中英文連貫式中譯英速攻,https://www.kingstone.com.tw//basic/2015215569707?zone=book&lid=book_class3_tqb&actid=book_class3_tqb,蔡方,建興      ,9789862243589,https://cdn.kingstone.com.tw/book/images/product/20152/2015215569707/2015215569707b.jpg
高中英文必備成語KO,https://www.kingstone.com.tw//basic/2015215569837?zone=book&lid=book_class3_tqb&actid=book_class3_tqb,陳浚德,建興      ,9789862243572,https://cdn.kingstone.com.tw/book/images/product/20152/2015215569837/2015215569837b.jpg
大學入試英文奪標系列（6）英文閱讀克漏字測驗精析,https://www.kingstone.com.tw//basic/2015214858383?zone=book&lid=book_class3_tqb&actid=book_class3_tqb,蔡  方,建興      ,9789862243169,https://cdn.kingstone.com.tw/book/images/product/20152/2015214858383/2015214858383b.jpg
大學入試英文奪標系列（10）四合一高中英文綜合測驗,https://www.kingstone.com.tw//basic/2015214858413?zone=book&lid=book_class3_tqb&actid=book_class3_tqb,蔡方,建興      ,9789578177918,https://cdn.kingstone.com.tw/book/images/product/20152/2015214858413/2015214858413b.jpg
高中學測英文KO,https://www.kingstone.com.tw//basic/2015214470387?zone=book&lid=book_class3_tqb&actid=book_class3_tqb,張勝溢,建興      ,9789862242100,https://cdn.kingstone.com.tw/book/images/product/20152/2015214470387/2015214470387b.jpg
全方位學測英文總複習,https://www.kingstone.com.tw//basic/2015214470417?zone=book&lid=book_class3_tqb&actid=book_class3_tqb,張勝溢,建興      ,9789862242988,https://cdn.kingstone.com.tw/book/images/product/20152/2015214470417/2015214470417b.jpg
高中學測英文超速度記憶,https://www.kingstone.com.tw//basic/2015214470837?zone=book&lid=book_class3_tqb&actid=book_class3_tqb,張勝溢,建興      ,9789862242445,https://cdn.kingstone.com.tw/book/images/product/20152/2015214470837/2015214470837b.jpg
近5年學測試題&詳解（英文考科）,https://www.kingstone.com.tw//basic/2015214470677?zone=book&lid=book_class3_tqb&actid=book_class3_tqb,張勝溢,建興      ,9789862240649,https://cdn.kingstone.com.tw/book/images/product/20152/2015214470677/2015214470677b.jpg
超效率學測英文搶分試題,https://www.kingstone.com.tw//basic/2015215826626?zone=book&lid=book_class3_tqb&actid=book_class3_tqb,名校名師瑞華教育編輯委員會,瑞華      ,9789869677950,https://cdn.kingstone.com.tw/book/images/product/20152/2015215826626/2015215826626b.jpg
高中學測英文閱讀測驗KO,https://www.kingstone.com.tw//basic/2015214469718?zone=book&lid=book_class3_tqb&actid=book_class3_tqb,張勝溢,建興      ,9789862242131,https://cdn.kingstone.com.tw/book/images/product/20152/2015214469718/2015214469718b.jpg
高中學測英文克漏字KO,https://www.kingstone.com.tw//basic/2015214469848?zone=book&lid=book_class3_tqb&actid=book_class3_tqb,張勝溢,建興      ,9789862242124,https://cdn.kingstone.com.tw/book/images/product/20152/2015214469848/2015214469848b.jpg
搶救學測黃金８週（英文）,https://www.kingstone.com.tw//basic/2015214470707?zone=book&lid=book_class3_tqb&actid=book_class3_tqb,張勝溢,建興      ,9789862241509,https://cdn.kingstone.com.tw/book/images/product/20152/2015214470707/2015214470707b.jpg
歷屆學測試題暨詳解（英文考科）,https://www.kingstone.com.tw//basic/2015214470547?zone=book&lid=book_class3_tqb&actid=book_class3_tqb,張勝溢,建興      ,9789862241257,https://cdn.kingstone.com.tw/book/images/product/20152/2015214470547/2015214470547b.jpg
