書名,書籍網站,作者,出版社,ISBN,圖片網址
（升高中）資優數學挑戰100題－幾何篇,https://www.kingstone.com.tw//basic/2015215356802?zone=book&lid=book_class3_tzz&actid=book_class3_tzz,朱正康,建興      ,9789862243480,https://cdn.kingstone.com.tw/book/images/product/20152/2015215356802/2015215356802b.jpg
國中會考國文閱讀測驗（文言文）第3版,https://www.kingstone.com.tw//basic/2015232698329?zone=book&lid=book_class3_tzz&actid=book_class3_tzz,升高中教研會,光田      ,4712839707987,https://cdn.kingstone.com.tw/book/images/product/20152/2015232698329/2015232698329b.jpg
新編2年級IQ智力測驗（上冊）,https://www.kingstone.com.tw//basic/2015232514254?zone=book&lid=book_class3_tzz&actid=book_class3_tzz,前程編輯部,前程出版社,9789577044990,https://cdn.kingstone.com.tw/book/images/product/20152/2015232514254/2015232514254b.jpg
新編1年級IQ智力測驗（上冊）,https://www.kingstone.com.tw//basic/2015232514544?zone=book&lid=book_class3_tzz&actid=book_class3_tzz,前程編輯部,前程出版社,9789577044976,https://cdn.kingstone.com.tw/book/images/product/20152/2015232514544/2015232514544b.jpg
新編1年級IQ智力測驗（下冊）,https://www.kingstone.com.tw//basic/2015232514674?zone=book&lid=book_class3_tzz&actid=book_class3_tzz,前程編輯部,前程出版社,9789577044983,https://cdn.kingstone.com.tw/book/images/product/20152/2015232514674/2015232514674b.jpg
新編2年級IQ智力測驗（下冊）,https://www.kingstone.com.tw//basic/2015232514704?zone=book&lid=book_class3_tzz&actid=book_class3_tzz,前程編輯部,前程出版社,9789577045003,https://cdn.kingstone.com.tw/book/images/product/20152/2015232514704/2015232514704b.jpg
新編3年級IQ智力測驗（下冊）,https://www.kingstone.com.tw//basic/2015232514834?zone=book&lid=book_class3_tzz&actid=book_class3_tzz,前程編輯部,前程出版社,9789577045027,https://cdn.kingstone.com.tw/book/images/product/20152/2015232514834/2015232514834b.jpg
新編3年級IQ智力測驗（上冊）,https://www.kingstone.com.tw//basic/2015232508475?zone=book&lid=book_class3_tzz&actid=book_class3_tzz,前程編輯部,前程出版社,9789577045010,https://cdn.kingstone.com.tw/book/images/product/20152/2015232508475/2015232508475b.jpg
數學反覆應用練習（五年級）,https://www.kingstone.com.tw//basic/2015231643726?zone=book&lid=book_class3_tzz&actid=book_class3_tzz,汪明怡,世一文化  ,4719742056584,https://cdn.kingstone.com.tw/book/images/product/20152/2015231643726/2015231643726b.jpg
造詞造句活用評量初級,https://www.kingstone.com.tw//basic/2015231278973?zone=book&lid=book_class3_tzz&actid=book_class3_tzz,幼福,幼福文化  ,9789577474612,https://cdn.kingstone.com.tw/book/images/product/20152/2015231278973/2015231278973b.jpg
國中精選歷屆試題30天完全衝刺（套書）,https://www.kingstone.com.tw//basic/2015216826984?zone=book&lid=book_class3_tzz&actid=book_class3_tzz,世一文化編輯群,世一文化  ,9789864296989,https://cdn.kingstone.com.tw/book/images/product/20152/2015216826984/2015216826984b.jpg
字音字形訓練366（上）,https://www.kingstone.com.tw//basic/2018020575611?zone=book&lid=book_class3_tzz&actid=book_class3_tzz,蔡有秩,螢火蟲    ,9789864522750,https://cdn.kingstone.com.tw/book/images/product/20180/2018020575611/2018020575611b.jpg
字音字形訓練366（下）,https://www.kingstone.com.tw//basic/2018020575741?zone=book&lid=book_class3_tzz&actid=book_class3_tzz,蔡有秩,螢火蟲    ,9789864522767,https://cdn.kingstone.com.tw/book/images/product/20180/2018020575741/2018020575741b.jpg
IQ數學思考（一）（低、中年級適用）,https://www.kingstone.com.tw//basic/2015215994462?zone=book&lid=book_class3_tzz&actid=book_class3_tzz,王登傳、劉臻文,前程出版社,9789577041715,https://cdn.kingstone.com.tw/book/images/product/20152/2015215994462/2015215994462b.jpg
認識臺灣閱讀評量（1）臺灣的形成（第2版）,https://www.kingstone.com.tw//basic/2015215903617?zone=book&lid=book_class3_tzz&actid=book_class3_tzz,陳東和,光田      ,4712839707598,https://cdn.kingstone.com.tw/book/images/product/20152/2015215903617/2015215903617b.jpg
認識臺灣閱讀評量（2）臺灣的族群（第2版）,https://www.kingstone.com.tw//basic/2015215903747?zone=book&lid=book_class3_tzz&actid=book_class3_tzz,陳東和,光田      ,4712839707604,https://cdn.kingstone.com.tw/book/images/product/20152/2015215903747/2015215903747b.jpg
認識臺灣閱讀評量（3）臺灣的現代化（第2版）,https://www.kingstone.com.tw//basic/2015215903877?zone=book&lid=book_class3_tzz&actid=book_class3_tzz,陳東和,光田      ,4712839707611,https://cdn.kingstone.com.tw/book/images/product/20152/2015215903877/2015215903877b.jpg
國小字音字形競賽特訓（上冊）第3版,https://www.kingstone.com.tw//basic/2015233063560?zone=book&lid=book_class3_tzz&actid=book_class3_tzz,陳文山,光田      ,4712839708854,https://cdn.kingstone.com.tw/book/images/product/20152/2015233063560/2015233063560b.jpg
國小字音字形競賽特訓（下冊）第3版,https://www.kingstone.com.tw//basic/2015233063690?zone=book&lid=book_class3_tzz&actid=book_class3_tzz,陳文山,光田      ,4712839708861,https://cdn.kingstone.com.tw/book/images/product/20152/2015233063690/2015233063690b.jpg
（升高中）資優數學挑戰100題－代數篇,https://www.kingstone.com.tw//basic/2015215356772?zone=book&lid=book_class3_tzz&actid=book_class3_tzz,朱正康,建興      ,9789862243497,https://cdn.kingstone.com.tw/book/images/product/20152/2015215356772/2015215356772b.jpg
升高中 資優數學挑戰100題－綜合篇,https://www.kingstone.com.tw//basic/2015215356932?zone=book&lid=book_class3_tzz&actid=book_class3_tzz,朱正康,建興      ,9789862243503,https://cdn.kingstone.com.tw/book/images/product/20152/2015215356932/2015215356932b.jpg
