書名,書籍網站,作者,出版社,ISBN,圖片網址
編寫程式的邏輯：如何用物件導向實作複雜的業務需求,https://www.kingstone.com.tw//basic/2013120588523?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=0,李運華,博碩文化  ,9789864347841,https://cdn.kingstone.com.tw/book/images/product/20131/2013120588523/2013120588523b.jpg
學習物件導向系統開發的六門課Six courses to successful learning the objected oriented information sys,https://www.kingstone.com.tw//basic/2015216695559?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=0,曹永忠　許志誠,千華駐    ,9789575926625,https://cdn.kingstone.com.tw/book/images/product/20152/2015216695559/2015216695559b.jpg
UML3 & XML3物件導向 程式設計寶典,https://www.kingstone.com.tw//basic/2014941681011?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=0,孫惠民,易習圖書  ,9789576154348,https://cdn.kingstone.com.tw/book/images/product/20149/2014941681011/2014941681011b.jpg
無師自通的物件導向程式設計：結合生活與遊戲的 Visual Basic 語言,https://www.kingstone.com.tw//basic/2013120553392?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=0,邏輯林,五南      ,9789577638960,https://cdn.kingstone.com.tw/book/images/product/20131/2013120553392/2013120553392b.jpg
UML物件導向系統分析與設計（第四版）,https://www.kingstone.com.tw//basic/2800000030497?zone=ebook&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=0,游峰碩,電子書,9789864344482,https://cdn.kingstone.com.tw/book/images/product/20131/2013120526587/2013120526587b.jpg
UML物件導向系統分析與設計（第四版）,https://www.kingstone.com.tw//basic/2013120526587?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=0,游峰碩,博碩文化  ,9789864344482,https://cdn.kingstone.com.tw/book/images/product/20131/2013120526587/2013120526587b.jpg
C++ 程式設計與運算思維實務：輕鬆掌握物件導向設計技巧的16堂課課（第二版）,https://www.kingstone.com.tw//basic/2013120526297?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=0,吳燦銘、ZCT策劃,博碩文化  ,9789864344475,https://cdn.kingstone.com.tw/book/images/product/20131/2013120526297/2013120526297b.jpg
徹底研究最新C++ 物件導向程式設計實例,https://www.kingstone.com.tw//basic/2013120517202?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=0,數位新知,深石數位  ,9789865004095,https://cdn.kingstone.com.tw/book/images/product/20131/2013120517202/2013120517202b.jpg
物件導向程式設計－結合生活與遊戲的JAVA語言（第二版）（附範例光碟）,https://www.kingstone.com.tw//basic/2015216225886?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=0,邏輯林,全華      ,9789865031817,https://cdn.kingstone.com.tw/book/images/product/20152/2015216225886/2015216225886b.jpg
圖解蘋果核心開發技術：Objective－C物件導向程式設計極效攻略,https://www.kingstone.com.tw//basic/2013120514966?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=0,傅志輝,佳魁      ,9789863797630,https://cdn.kingstone.com.tw/book/images/product/20131/2013120514966/2013120514966b.jpg
物件導向程式設計－結合生活與遊戲的C#語言（附範例光碟）,https://www.kingstone.com.tw//basic/2015216116030?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=0,邏輯林,全華      ,9789865030315,https://cdn.kingstone.com.tw/book/images/product/20152/2015216116030/2015216116030b.jpg
輕課程 物件導向程式設計：使用 Alice 3D動畫,https://www.kingstone.com.tw//basic/2015216055575?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=0,饒瑞鈞,台科大    ,9789864557783,https://cdn.kingstone.com.tw/book/images/product/20152/2015216055575/2015216055575b.jpg
物件導向程式設計－結合生活與遊戲的C++語言（第五版）（附範例光碟）,https://www.kingstone.com.tw//basic/2015216010697?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=0,邏輯林,全華      ,9789865030322,https://cdn.kingstone.com.tw/book/images/product/20152/2015216010697/2015216010697b.jpg
企業戰略資源管理系統：UML3 & XML3物件導向系統分析與設計,https://www.kingstone.com.tw//basic/2014941550027?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=0,孫惠民,易習圖書  ,9789578755376,https://cdn.kingstone.com.tw/book/images/product/20149/2014941550027/2014941550027b.jpg
物件導向程式設計：結合生活與遊戲的C++語言（第四版）（附範例光碟）,https://www.kingstone.com.tw//basic/2015215707833?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=0,邏輯林,全華      ,9789864638116,https://cdn.kingstone.com.tw/book/images/product/20152/2015215707833/2015215707833b.jpg
物件導向程式設計－結合生活與遊戲的JAVA語言（附範例光碟）,https://www.kingstone.com.tw//basic/2015215499257?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=0,邏輯林,全華      ,9789864636143,https://cdn.kingstone.com.tw/book/images/product/20152/2015215499257/2015215499257b.jpg
物件導向程式設計：結合生活與遊戲的C++語言（第三版）（附範例光碟）,https://www.kingstone.com.tw//basic/2015215332950?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=0,邏輯林,全華      ,9789864635054,https://cdn.kingstone.com.tw/book/images/product/20152/2015215332950/2015215332950b.jpg
無瑕的程式碼 敏捷完整篇：物件導向原則、設計模式與C#實踐,https://www.kingstone.com.tw//basic/2013120433397?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=0,Robert C. Martin- Micah Martin,博碩文化  ,9789864342099,https://cdn.kingstone.com.tw/book/images/product/20131/2013120433397/2013120433397b.jpg
UML物件導向系統分析與設計（第三版）,https://www.kingstone.com.tw//basic/2800000023599?zone=ebook&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=0,游峰碩,電子書,,https://cdn.kingstone.com.tw/book/images/product/20131/2013120416529/2013120416529b.jpg
UML物件導向系統分析與設計(第三版),https://www.kingstone.com.tw//basic/2013120416529?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=0,游峰碩,博碩文化  ,9789864341818,https://cdn.kingstone.com.tw/book/images/product/20131/2013120416529/2013120416529b.jpg
Python 3 物件導向程式設計 第二版,https://www.kingstone.com.tw//basic/2014713490568?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=0,Dusty Phillips,碁峰資訊  ,9789863479819,https://cdn.kingstone.com.tw/book/images/product/20147/2014713490568/2014713490568b.jpg
C++入門進階：C&C++基本語法/物件導向/例外處理/樣板/STL(適用Visual Studio 2015版),https://www.kingstone.com.tw//basic/2013120393578?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=0,位元文化,松崗      ,9789572245804,https://cdn.kingstone.com.tw/book/images/product/20131/2013120393578/2013120393578b.jpg
物件導向程式設計－結合生活與遊戲的C++語言（第二版）（附範光例光碟）,https://www.kingstone.com.tw//basic/2015214910050?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=0,邏輯林,全華      ,9789864631063,https://cdn.kingstone.com.tw/book/images/product/20152/2015214910050/2015214910050b.jpg
細說Java 8 Vol. I：物件導向程式設計,https://www.kingstone.com.tw//basic/2013120352698?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=0,李剛,博碩文化  ,9789864340576,https://cdn.kingstone.com.tw/book/images/product/20131/2013120352698/2013120352698b.jpg
Ruby物件導向設計實踐： 敏捷入門,https://www.kingstone.com.tw//basic/2013120336582?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=1,Sandi Metz,博碩文化  ,9789864340101,https://cdn.kingstone.com.tw/book/images/product/20131/2013120336582/2013120336582b.jpg
TQC+ 物件導向視窗及資料庫程式設計認證指南Visual C# 2013,https://www.kingstone.com.tw//basic/2014713462251?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=1,財團法人中華民國電腦技能基金會,碁峰資訊  ,9789863476887,https://cdn.kingstone.com.tw/book/images/product/20147/2014713462251/2014713462251b.jpg
現代軟體工程：物件導向軟體發展策略,https://www.kingstone.com.tw//basic/2013120331082?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=1,郭忠義、薛念林、馬尚彬、黃為德,博碩文化  ,9789862019979,https://cdn.kingstone.com.tw/book/images/product/20131/2013120331082/2013120331082b.jpg
現代軟體工程：物件導向軟體發展策略,https://www.kingstone.com.tw//basic/2800000002370?zone=ebook&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=1,郭忠義、薛念林、馬尚彬、黃為德,電子書,,https://cdn.kingstone.com.tw/book/images/product/20131/2013120331082/2013120331082b.jpg
深入淺出物件導向分析與設計,https://www.kingstone.com.tw//basic/2014713429117?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=1,D.McLaughli,歐萊禮    ,9789867794994,https://cdn.kingstone.com.tw/book/images/product/20147/2014713429117/2014713429117b.jpg
物件導向程式設計－結合生活與遊戲的C++語言(附範光例光碟)(06261007),https://www.kingstone.com.tw//basic/2015214625244?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=1,邏輯林,全華      ,9789572196144,https://cdn.kingstone.com.tw/book/images/product/20152/2015214625244/2015214625244b.jpg
UML 3函數物件導向視覺化系統分析與設計寶典,https://www.kingstone.com.tw//basic/2013120305199?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=1,孫惠民,經瑋      ,9789865835767,https://cdn.kingstone.com.tw/book/images/product/20131/2013120305199/2013120305199b.jpg
暢談設計模式？就從物件導向下手,https://www.kingstone.com.tw//basic/2013120268036?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=1,劉濟華,佳魁      ,9789865764203,https://cdn.kingstone.com.tw/book/images/product/20131/2013120268036/2013120268036b.jpg
Visual C# 2012物件導向程式設計,https://www.kingstone.com.tw//basic/2013120245136?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=1,黃聰明,松崗      ,9789572241356,https://cdn.kingstone.com.tw/book/images/product/20131/2013120245136/2013120245136b.jpg
物件導向系統分析與設計（第二版）,https://www.kingstone.com.tw//basic/2013120379046?zone=book&lid=search&actid=WISE&kw=%E7%89%A9%E4%BB%B6%E5%B0%8E%E5%90%91&pi=1,魯明德,新文京    ,9789862367810,https://cdn.kingstone.com.tw/book/images/product/20131/2013120379046/2013120379046b.jpg
