書名,書籍網站,作者,出版社,ISBN,圖片網址
Hyper－V虛擬化技術企業現場實戰第二版,https://www.kingstone.com.tw//basic/2014713552815?zone=book&lid=search&actid=WISE&kw=%E8%99%9B%E6%93%AC%E5%8C%96%E6%8A%80%E8%A1%93&pi=0,Patrick Lownds、Charbel Nemnom,碁峰資訊  ,https://cdn.kingstone.com.tw/book/images/product/20147/2014713552815/2014713552815b.jpg,9789864767908
連亞馬遜都用的虛擬化技術：Citrix XenServer6親自架設,https://www.kingstone.com.tw//basic/2013120399600?zone=book&lid=search&actid=WISE&kw=%E8%99%9B%E6%93%AC%E5%8C%96%E6%8A%80%E8%A1%93&pi=0,楊文智,佳魁      ,https://cdn.kingstone.com.tw/book/images/product/20131/2013120399600/2013120399600b.jpg,9789863793786
認識虛擬化技術的第一本書(超圖解，學習無負擔),https://www.kingstone.com.tw//basic/2014713479402?zone=book&lid=search&actid=WISE&kw=%E8%99%9B%E6%93%AC%E5%8C%96%E6%8A%80%E8%A1%93&pi=0,高岡将,碁峰資訊  ,https://cdn.kingstone.com.tw/book/images/product/20147/2014713479402/2014713479402b.jpg,9789863478430
Hyper-V 3.X虛擬化技術企業現場實戰,https://www.kingstone.com.tw//basic/2014713405685?zone=book&lid=search&actid=WISE&kw=%E8%99%9B%E6%93%AC%E5%8C%96%E6%8A%80%E8%A1%93&pi=0,Leandro Carvalho,碁峰資訊  ,https://cdn.kingstone.com.tw/book/images/product/20147/2014713405685/2014713405685b.jpg,9789862768969
24小時不打烊的雲端服務 ： 專家教你用Windows Server 2012 Hyper：V3.0實戰虛擬化技術,https://www.kingstone.com.tw//basic/2013120240506?zone=book&lid=search&actid=WISE&kw=%E8%99%9B%E6%93%AC%E5%8C%96%E6%8A%80%E8%A1%93&pi=0,王偉任,博碩文化  ,https://cdn.kingstone.com.tw/book/images/product/20131/2013120240506/2013120240506b.jpg,9789862017326
漫步雲端：虛擬化技術之實戰VMware,https://www.kingstone.com.tw//basic/2014713233660?zone=book&lid=search&actid=WISE&kw=%E8%99%9B%E6%93%AC%E5%8C%96%E6%8A%80%E8%A1%93&pi=0,張巍,碁峰資訊  ,https://cdn.kingstone.com.tw/book/images/product/20147/2014713233660/2014713233660b.jpg,9789861819693
Hyper-V R2叢集虛擬化技術--容錯移轉、線上備份、集中管理（附DVD),https://www.kingstone.com.tw//basic/2013120255173?zone=book&lid=search&actid=WISE&kw=%E8%99%9B%E6%93%AC%E5%8C%96%E6%8A%80%E8%A1%93&pi=0,周伯恆,益大資訊  ,https://cdn.kingstone.com.tw/book/images/product/20131/2013120255173/2013120255173b.jpg,9789868689206
Windows Server 2008 R2虛擬化技術 Hyper-V,https://www.kingstone.com.tw//basic/2014713203779?zone=book&lid=search&actid=WISE&kw=%E8%99%9B%E6%93%AC%E5%8C%96%E6%8A%80%E8%A1%93&pi=0,趙驚人,悅知文化  ,https://cdn.kingstone.com.tw/book/images/product/20147/2014713203779/2014713203779b.jpg,9789866348280
Hyper-V虛擬化技術101問-最小支出、,https://www.kingstone.com.tw//basic/2014713173317?zone=book&lid=search&actid=WISE&kw=%E8%99%9B%E6%93%AC%E5%8C%96%E6%8A%80%E8%A1%93&pi=0,周伯恆,文魁      ,https://cdn.kingstone.com.tw/book/images/product/20147/2014713173317/2014713173317b.jpg,9789866382376
Windows Server2008Hyper-V虛擬化技術,https://www.kingstone.com.tw//basic/2014713125736?zone=book&lid=search&actid=WISE&kw=%E8%99%9B%E6%93%AC%E5%8C%96%E6%8A%80%E8%A1%93&pi=0,趙驚人,悅知文化  ,https://cdn.kingstone.com.tw/book/images/product/20147/2014713125736/2014713125736b.jpg,9789866761751
深入淺出虛擬化技術VMWare與Virtual PC,https://www.kingstone.com.tw//basic/2014713058942?zone=book&lid=search&actid=WISE&kw=%E8%99%9B%E6%93%AC%E5%8C%96%E6%8A%80%E8%A1%93&pi=0,虛擬機之家,博碩文化  ,https://cdn.kingstone.com.tw/book/images/product/20147/2014713058942/2014713058942b.jpg,9789862011218
