ISBN,書籍簡介
9781838982591,"

Explore the world of augmented reality development with the latest features of Unity and step-by-step tutorial-style examples with easy-to-understand explanationsKey Features: Build functional and interactive augmented reality applications using the Unity 3D game engineLearn to use Unity's XR and AR components, including AR Foundation and other standard Unity featuresImplement common AR application user experiences needed to build engaging applicationsBook Description: Augmented reality applications allow people to interact meaningfully with the real world through digitally enhanced content.The book starts by helping you set up for AR development, installing the Unity 3D game engine, required packages, and other tools to develop for Android (ARCore) and/or iOS (ARKit) mobile devices. Then we jump right into the building and running AR scenes, learning about AR Foundation components, other Unity features, C# coding, troubleshooting, and testing. We create a framework for building AR applications that manages user interaction modes, user interface panels, and AR onboarding graphics that you will save as a template for reuse in other projects in this book. Using this framework, you will build multiple projects, starting with a virtual photo gallery that lets you place your favorite framed photos on your real-world walls, and interactively edit these virtual objects. Other projects include an educational image tracking app for exploring the solar system, and a fun selfie app to put masks and accessories on your face. The book provides practical advice and best practices that will have you up and running quickly.By the end of this AR book, you will be able to build your own AR applications, engaging your users in new and innovative ways.What You Will Learn: Discover Unity engine features for building AR applications and gamesGet up to speed with Unity AR Foundation components and the Unity APIBuild a variety of AR projects using best practices and important AR user experiencesUnderstand the core concepts of augmented reality technology and development for real-world projectsSet up your system for AR development and learn to improve your development workflowCreate an AR user framework with interaction modes and UI, saved as a template for new projectsWho this book is for: This augmented reality book is for game developers interested in adding AR capabilities to their games and apps. The book assumes beginner-level knowledge of Unity development and C# programming, familiarity with 3D graphics, and experience in using existing AR applications. Beginner-level experience in developing mobile applications will be helpful to get the most out of this AR Unity book.
                    
"
9789865005443,"


解密AR技術、完成AR專案，快速學習AR應用的全面教程；本書包含最完整詳細的講解，包含材質、動畫、剛體與效果、AR Camera與ImageTarget、APK匯出等

	只要對AR有興趣者想學習AR開發、沒有程式基礎者…等，皆可透過此書，按照範例逐步入門學習。
	讓讀者體驗從無到有的AR製作過程。透過漸進式的主題學習，初學者可以先從概念與不需程式腳本的基礎課程入門，不用寫太複雜的程式碼，也能根據本書製作出AR專題實務。

	 

"
9786203635881,"

Androgen insensitivity syndrome (AIS) is the result of dysfunction of the androgen receptor causing a deficit in the action of these hormones in target organs. Mutations in the AR gene that codes for this receptor cause varying degrees of androgen receptor dysfunction which is subsequently expressed as a mismatch between phenotype and genotype. Androgen insensitivity syndrome is the most common etiology of male pseudohermaphroditism. The objective of this work is to search for molecular abnormalities of the AR gene in 12 Tunisian patients with ASI and to study the clinical-genetic correlation in them. We looked for mutations in the AR gene by the direct sequencing method from PCR products. Complete genotype determination was possible in 5 of 12 patients studied. The sequencing made it possible to identify two new mutations not reported in the literature as well as three previously described mutations.
                    
"
9789813365483,"

This book constitutes selected and revised papers from the First International Conference on VR/AR and 3D Displays, ICVRD 2020, held in Hangzhou, China, in December 2020.The 12 full papers presented were thoroughly reviewed and selected from 29 submissions. The papers present recent serearch on virtual reality, augmented reality, 3D displays and related topics, including but not limited to human-computer interaction, near-eye displays, naked eye 3D displays, modeling, simulation, animation, and applications.
                    
"
9781484263174,"

Gain an in-depth knowledge in immersive web development to create augmented reality (AR) and virtual reality (VR) applications inside web browsers using WebXR API, WebGL, Three.js, and A-Frame. This project-based book will provide the practice and portfolio content to make the most of what the futures of spatial computing and immersive technology have to offer.Beginning with technical analysis of how web browsers function, the book covers programming languages such as WebGL, JavaScript, and HTML, with an eye on a complete understanding of the WebXR lifecycle. You'll then explore how contemporary web browsers work at the code level and see how to set up a local development server and use it with the Visual Studio Code IDE to create 3D animation in the WebGL programming language. With a familiarity of the web-rendering pipeline in place, you'll venture on to WebGL abstractions such as the Three.js JavaScript library and Mozilla's A-Frame XR Framework, which use WebXR to create high-end visual effects. In the final projects of the book, you'll create an augmented reality web session for an Android phone device, and create a VR scene in A-Frame (built on Three.js) to demo essential components of the WebXR API pertaining to user positioning and interaction.Game engines have become common-place for the creation of mixed reality content. However, developers not interested in learning entirely new workflows may be better suited to work within a medium almost universally open to all--the web; AR and VR Using the WebXR API will show you the way.What You'll LearnMaster the creation of virtual reality and augmented reality features for web pagePrepare to work as an immersive web developer with a portfolio of projects in sought-after technologiesReview the fundamentals of writing shaders in WebGLExperience the unity between client, server, and cloud architecture as it applies to location-based ARWho This Book Is ForAspiring immersive web developers and developers already familiar with the fundamentals of web development who want to further explore topics such as spatial computing, computer vision, spatial anchors, and cloud-computing for multi-user social experiences.
                    
"
9786202405690,"

Em v獺rias 獺reas tecnol籀gicas 矇 muito comum nos depararmos com a modelagem matem獺tica de fen繫menos do mundo real, isto 矇, a representa癟瓊o de tais fen繫menos por express繭es matem獺ticas. Neste livro apresentamos um estudo da concentra癟瓊o de polui癟瓊o do ar na cidade de Uberl璽ndia causada pela chamin矇 de uma ind繳stria. Realizamos a modelagem unindo a representa癟瓊o do fen繫meno por uma equa癟瓊o diferencial parcial advectiva-difusiva com a teoria dos conjuntos fuzzy. A uni瓊o destas duas teorias proporcionou determinar qual 矇 a melhor localiza癟瓊o de um ""polo industrial"", dos cinco pontos estudados em setores de regionaliza癟瓊o diferentes da cidade de Uberl璽ndia. O livro de Jennifer e Rosana 矇 uma grande oportunidade para os cientistas que estudam fen繫menos do mundo real para conhecerem a Teoria dos Conjuntos Fuzzy, e perceberem a sua aplicabilidade.
                    
"
9786139681945,"

Nas 繳ltimas d矇cadas as pessoas passaram a permanecer grande parte do dia em ambientes fechados com pouca ou nenhuma troca de ar com o ambiente externo, aumentando o uso de t矇cnicas de climatiza癟瓊o nos locais de trabalho e em resid礙ncias, criando condi癟繭es potencialmente prejudiciais ? sa繳de humana. As bibliotecas s瓊o ambientes de grande circula癟瓊o de pessoas e com enorme acervo de livros, com poucos estudos a cerca deste tema. Assim foi selecionada a biblioteca da Universidade Estadual de Maring獺 como ambiente deste estudo. Este presente trabalho teve como objetivo observar a qualidade do ar interno e relacionar os ambientes fechados com ventila癟瓊o natural e artificial por equipamentos de ar condicionado com a S穩ndrome dos Edif穩cios Doentes (SED) relacionando os poss穩veis sintomas apresentados pelos trabalhadores do local como alergias, irrita癟繭es e problemas respirat籀rios. A edifica癟瓊o estudada apresenta 獺rea de 13.298,03 m簡 dividido em subsolo, t矇rreo e dois pavimentos, o inferior faz uso tanto de ventila癟瓊o natural por janelas quanto por sistema de ar condicionado do tipo Split, o segundo pavimento 矇 dotado apenas de ventila癟瓊o natural por janelas.
                    
"
9786139609130,"

Os sistemas de ar condicionado automotivo atuam com um flu穩do refrigerante em seu sistema, este 矇 respons獺vel pela realiza癟瓊o da troca de calor entre o interior do carro e o ambiente externo. O presente trabalho visa o estudo comparativo entre flu穩dos refrigerantes utilizados em sistemas de ar condicionado automotivo. Os refrigerantes estudados no trabalho foram o R134a e o R437a, ambos utilizados na 獺rea automotiva. A metodologia utilizada para o experimento baseou-se em trabalhos anteriores que tinham como finalidade a compara癟瓊o entre flu穩dos refrigerantes. Foram avaliados alguns par璽metros como tempo de resfriamento da cabine do ve穩culo, vaz瓊o e temperatura do ar na sa穩da do difusor, umidade relativa do ar da cabine e consumo de combust穩vel, par璽metros utilizados para uma an獺lise comparativa entre os flu穩dos refrigerantes. Posteriormente utilizou-se um m矇todo para tratamento dos dados obtidos nas medi癟繭es e os resultados obtidos desta an獺lise foram muito similares para ambos os refrigerantes.
                    
"
,"


你今天AR了沒？
	全書附6篇AR體驗，
	拿起你的手機，
	來一趟AR之旅吧！
	 
	AR不僅是現今體感科技的潮流，更是一種快樂科技，
	這個世界需要AR讓生活精彩有趣，讓腦海中的夢想化為真實！
	 
	AR魅力無可擋，全球大型產業更已紛紛導入AR領域應用，本書帶領您深入了解AR的趨勢發展、產業應用、設計模式、精彩案例與未來展望，帶領您深入AR領域，透過創新思維，幫助您了解這塊不退流行的AR美麗新世界！ 
	 
AR到底是什麼
	Augmented Reality擴增實境技術（簡稱AR），由首次的概念提出到現在已經歷經了數十載，直到2010年代，才開始逐步由實驗場域進入市場，讓一般大眾有機會見識到虛實之間真實結合的魅力！
	AR到底是什麼？
	AR擴增實境不僅是一項技術，也是一種創意工具；
	AR串起了實體與虛擬間的橋梁，讓各項資訊與動態可以透過視覺直接連接；
	AR引領現今的數位轉型與體驗經濟，有效達成外部行銷溝通與內部模擬訓練的效果；
	AR可串連電腦、手機、智慧眼鏡等載具，透過跨平臺運作支援各項繁雜需求；
	AR可以在場域中進行虛擬導覽導購，也可以在家成為防疫工具；
	AR創造出來的成效不僅讓人想主動參與，並將體驗成果深刻印記在腦海中，達到記憶力提升的效果，進而達到促動傳播、引發消費等主動式行為！
	AR是一種快樂科技，在探索中創造全新感受，達到心流體驗與自我成長的境界！
	AR有極大可塑性，可幫助各產業達到創新模式，並且與生活緊密結合！
	AR魅力無可擋，不僅Apple、Google、Facebook、微軟等大廠皆已投入資源引領研發，全球大型產業更已紛紛導入AR領域應用，在這股科技創新趨勢下，本書將帶領您深入了解AR的趨勢發展、產業應用、設計模式、精彩案例與未來展望，帶領您深入AR領域，透過創新思維，幫助您了解這塊不退流行的AR美麗新世界！

"
9786202030328,"

A busca por alternativas para aumentar a resist礙ncia ? oxida癟瓊o ao ar a altas temperaturas de metais e ligas aumenta a cada dia devido ? necessidade de otimiza癟瓊o da vida 繳til dos equipamentos que operam nestas condi癟繭es. Novos materiais projetados para trabalhar nestas condi癟繭es possibilitam reduzir custos de manuten癟瓊o, aumentando a produtividade dos equipamentos, devido ? redu癟瓊o do tempo de paradas programadas. O uso de a癟os inoxid獺veis microligados a elementos terras raras 矇 uma das alternativas adotadas, por exemplo, para tubula癟繭es para a ind繳stria de petr籀leo e g獺s. Este estuda a resist礙ncia ? oxida癟瓊o ao ar a altas temperaturas de juntas soldadas de um a癟o inoxid獺vel austen穩tico microligado ao c矇rio. As juntas soldadas foram confeccionadas atrav矇s do processo de soldagem MIG/MAG, depositando-se cord繭es de solda em chapas de a癟o inoxid獺vel austen穩tico AISI 304L, variando-se a composi癟瓊o dos gases de prote癟瓊o e mantendo-se os outros par璽metros de soldagem.
                    
"
9786202254403,"

En el presente trabajo se hace referencia a una de las problem獺ticas que m獺s inciden en el desarrollo del proceso de ense簽anza-aprendizaje de la geometr穩a plana, tem獺tica de prioridad en la asignatura Matem獺tica cuyo objetivo es la implementaci籀n de actividades did獺cticas centradas en el uso de una sucesi籀n de indicaciones con car獺cter heur穩stico, las cuales permiten a los estudiantes ser protagonistas en la construcci籀n de sus propios conocimientos. Las actividades dise簽adas refieren una secuencia l籀gica en la aplicaci籀n de la instrucci籀n heur穩stica para la ejercitaci籀n de este dominio cognitivo, reflejado en la calidad del aprendizaje y en el est穩mulo a los estudiantes a expresar sus ideas y juicios relacionados con la motivaci籀n hacia el aprendizaje de la geometr穩a plana.
                    
"
9789865411893,"

本書收錄109年度桃園市兒童美術館《小時候》特展，邀集1910至1990年代出生的十一位臺灣藝術家的作品，收錄展覽現場、互動體驗，並結合AR擴增實境的技術，藉此探看不同時代的童年樣貌、召喚各時代的集體記憶，透過藝術分享經驗、與他者對話。
                    
"
9789865405762,"


你今天AR了沒？
	全書附6篇AR體驗，
	拿起你的手機，
	來一趟AR之旅吧！
	 
	AR不僅是現今體感科技的潮流，更是一種快樂科技，
	這個世界需要AR讓生活精彩有趣，讓腦海中的夢想化為真實！
	 
	AR魅力無可擋，全球大型產業更已紛紛導入AR領域應用，本書帶領您深入了解AR的趨勢發展、產業應用、設計模式、精彩案例與未來展望，帶領您深入AR領域，透過創新思維，幫助您了解這塊不退流行的AR美麗新世界！ 
	 
AR到底是什麼
	Augmented Reality擴增實境技術（簡稱AR），由首次的概念提出到現在已經歷經了數十載，直到2010年代，才開始逐步由實驗場域進入市場，讓一般大眾有機會見識到虛實之間真實結合的魅力！
	AR到底是什麼？
	AR擴增實境不僅是一項技術，也是一種創意工具；
	AR串起了實體與虛擬間的橋梁，讓各項資訊與動態可以透過視覺直接連接；
	AR引領現今的數位轉型與體驗經濟，有效達成外部行銷溝通與內部模擬訓練的效果；
	AR可串連電腦、手機、智慧眼鏡等載具，透過跨平臺運作支援各項繁雜需求；
	AR可以在場域中進行虛擬導覽導購，也可以在家成為防疫工具；
	AR創造出來的成效不僅讓人想主動參與，並將體驗成果深刻印記在腦海中，達到記憶力提升的效果，進而達到促動傳播、引發消費等主動式行為！
	AR是一種快樂科技，在探索中創造全新感受，達到心流體驗與自我成長的境界！
	AR有極大可塑性，可幫助各產業達到創新模式，並且與生活緊密結合！
	AR魅力無可擋，不僅Apple、Google、Facebook、微軟等大廠皆已投入資源引領研發，全球大型產業更已紛紛導入AR領域應用，在這股科技創新趨勢下，本書將帶領您深入了解AR的趨勢發展、產業應用、設計模式、精彩案例與未來展望，帶領您深入AR領域，透過創新思維，幫助您了解這塊不退流行的AR美麗新世界！

"
9789865004828,"


	這本書淺談所有跟AR有關的一切基本知識，包含適地性服務（LBS）、有趣和實用的AR APP 介紹、相關設備、甚至包含四大種普羅大眾都能輕易就手的AR 開發工具，只要您有好的內容、創意和想法，都能盡情揮灑在這些工具上，並且進而跟朋友分享這份AR 專案的喜悅。準備好一窺AR 的神秘面紗嗎？預祝您閱讀本書之後，有著滿滿的發想能應用在日常生活中。
	解密AR技術、完成AR專案，快速學習AR應用的全面教程；本書包含最完整詳細的擴增實境講解，包含ARTIVIVE、MAKAR、BuildAR、FLARToolKit等AR編輯器的介紹及應用。

"
9783662608258,"

Augmented und Virtual Reality sind Medieninnovationen mit spezifischen Merkmalen. Sie erzeugen beim Nutzer eine Immersion, da der Nutzer in das Medium und seine 360簞 Umgebung hineintaucht. Um erfolgreich Inhalte und Anwendungen f羹r AR und VR zu entwickeln, m羹ssen psychologische Wirkungsweisen, die Besonderheiten der 360簞 Umgebung, die Geschichte und die Art der Mediennutzug mit den Bed羹rfnissen und Erlebnissen des Nutzers abgestimmt werden. Contentproduzenten stellt das vor neuartige Herausforderungen bei der Contententwicklung, der Methodenwahl, der Teamarbeit und dem gesamten Herstellungsprozess von AR und VR Experiences.Das Buch f羹hrt den Leser in die Merkmale der immersiven Medien ein und bietet ihm wissenschaftliche Belege und praxisrelevante Tipps, die ihm helfen, hochwertige und nutzerzentrierte Inhalte f羹r die Immersiven Medien zu produzieren. Die wissenschaftlich hergeleiteten Erfolgsfaktoren in Form von Checklisten sind ein Leitfaden und eine ideale Grundlage, um den Herstellungsprozess zu standardisieren und die eigenen Projekte weiterzuentwickeln.
                    
"
9781800600270,"

Si desea crear sitios web de alta calidad utilizando WordPress sin esfuerzo, siga leyendo... 聶Tienes problemas con WordPress? 聶Est獺 seguro de que su sitio web es seguro? 聶Has agregado complementos o extensiones a tu sitio web?聶Has proporcionado a los usuarios la mejor experiencia posible? Si lo hace, dentro de este libro encontrar獺 muchos de los principales creadores de sitios web que han compartido sus conocimientos sobre c籀mo superar estos problemas. En esta gu穩a definitiva, se le ense簽ar獺 El 繳nico m矇todo que debe seguir para hacer que la navegaci籀n sea lo m獺s f獺cil posible para los usuarios del sitio.La estrategia m獺s poderosa para que su sitio web sea lo m獺s seguro posible para sus usuarios y usted.Por qu矇 comprar alojamiento relevante para su sitio, lo ayudar獺 a obtener una clasificaci籀n m獺s alta en los motores de b繳squeda y ganar m獺s visitantes.C籀mo un enfoque de creaci籀n de sitio web particular lo ayudar獺 a proporcionar una mayor experiencia de usuario.Comprender獺 por qu矇 algunas personas crean sitios web p矇simos.Y mucho, mucho m獺s. Los m矇todos y conocimientos probados en este libro son muy f獺ciles de seguir. Incluso si nunca antes ha intentado crear un sitio web, podr獺 crear sitios web de alto nivel que a los usuarios les encantar獺 usar. 聶Le gustar穩a saber m獺s? Desc獺rguelo ahora si desea crear sitios de WordPress de aspecto incre穩ble de los que pueda estar orgulloso. Despl獺cese hasta la parte superior de la p獺gina y seleccione el bot籀n ""Comprar Ahora"" ya mismo.
                    
"
9781790377992,"

The implementation of an interface element capability within the COMET-AR software system is described. The report is intended for use by both users of currently implemented interface elements and developers of new interface element formulations. Guidance on the use of COMET-AR is given. A glossary is provided as an Appendix to this report for readers unfamiliar with the jargon of COMET-AR. A summary of the currently implemented interface element formulation is presented in Section 7.3 of this report. Mccleary, Susan L. and Aminpour, Mohammad A. COMPUTER PROGRAMS; FINITE ELEMENT METHOD; MATHEMATICAL MODELS; BEAMS (SUPPORTS); COMPUTATIONAL GRIDS; DEGREES OF FREEDOM; DESIGN ANALYSIS; SUBROUTINES...
                    
"
9783030794569,"

This two-volume set of LNAI 12798 and 12799 constitutes the thoroughly refereed proceedings of the 34th International Conference on Industrial, Engineering and Other Applications of Applied Intelligent Systems, IEA/AIE 2021, held virtually and in Kuala Lumpur, Malaysia, in July 2021.The 87 full papers and 19 short papers presented were carefully reviewed and selected from 145 submissions. The IEA/AIE 2021 conference will continue the tradition of emphasizing on applications of applied intelligent systems to solve real-life problems in all areas. These areas include the following:  Part I, Artificial Intelligence Practices: Knowledge discovery and pattern mining; artificial intelligence and machine learning; sematic, topology, and ontology models; medical and health-related applications; graphic and social network analysis; signal and bioinformatics processing; evolutionary computation; attack security; natural language and text processing; fuzzy inference and theory; and sensor and communication networks Part II, From Theory to Practice: Prediction and recommendation; data management, clustering and classification; robotics; knowledge based and decision support systems; multimedia applications; innovative applications of intelligent systems; CPS and industrial applications; defect, anomaly and intrusion detection; financial and supply chain applications; Bayesian networks; BigData and time series processing; and information retrieval and relation extraction
                    
"
9789865437824,"

南島語族的擴散是人類文化史上一項偉大的成就。本繪本目的是使讀者能瞭解整個擴散的歷程，因此主題的編排乃以時間軸為編排原則，亦即以南島語系擴散的歷程作為?事的軸線。
                    
"
9781484236178,"

Create a fully featured application that's both sophisticated and engaging. This book provides a detailed guide in developing augmented reality games that can take advantage of the advanced capabilities of new iOS devices and code while also offering compatibility with still supported legacy devices. No programming experience is necessary as this book begins on the ground floor with basic programming concepts in Unity and builds to incorporating input from the real world to create interactive realities. You'll learn to program with the Unity 2017 development platform using C#. Recent announcements of increased AR capabilities on the latest iPhones and iPads show a clear dedication on Apple's part to this emerging market of immersive games and apps. Unity 2017 is the latest version of this industry leading development platform and C# is a ubiquitous programming language perfect for any programmer to begin with. Using the latest development technologies, Beginning iOS AR Game Development will show you how to program games that interact directly with the real world environment around the user for creative fantastic augmented reality experiences.What You'll LearnDownload assets from the Unity storeCreate a scene in Unity 2017Use physics and controls on mobile devicesWho This Book Is ForBeginner programmers and/or people new to developing games using Unity. It also serves as a great introduction to developing AR games and educators teaching the subject at high school or higher levels.
                    
"
9789813365599,"

This book presents selected articles from the 4th International Conference on Architecture and Civil Engineering 2020, held in Kuala Lumpur, Malaysia. Written by leading researchers and industry professionals, the papers highlight recent advances and address the current issues in the fields of civil engineering and architecture.
                    
"
9780128193426,"

Environmental Water Requirements in Mediterranean Mountainous Areas presents comprehensive and scientifically sound, approaches and methodologies for estimating the environmental water requirements and possible tradeoffs for water allocation, by analysing anthropogenic and natural water needs. A comparative assessment between the most important and widely acceptable methods for quantifying environmental water requirements and specific guidelines will be produced for the optimum approach depending on the data availability and hydroecological conditions is included. Focusing on the mountainous surface water bodies for presenting and assessing appropriate environmental water requirements methods is essential but currently missing from the existing literature. Environmental Water Requirements in Mediterranean Mountainous Areas covers environmental water management issues in mountainous areas especially focusing on the Mediterranean region which exhibits significant contrasts in its demographic and hydrologic features that have shaped the water management policies of the Mediterranean countries. The authors include paradigms and information that will be useful for Water resources managers - decision makers, scientists working in the fields of ecology and water resources management, engineers that design hydraulic works and environmental policy makers to understand the water requirements in the aquatic ecosystems and design optimum relevant management practices.
                    
"
9789863797203,"


 Unity3D基本概念、操作介面介紹
  

 使用Vufoira、easyAR兩款擴增實境SDK，開發圖片識別顯示3D模型視訊應用

  

 高德地圖定位、常用攝影機、聲音控制、伺服器端和使用者端通信等開發技巧

  

 Unity3D是由Unity Technologies公司開發的一款跨平台的遊戲企業軟體，能夠讓使用者輕鬆快速地建立互動遊戲、即時動畫等內容，並發佈到蘋果、Android等多個平台。因其良好的生態及廣泛的支援，使其在擴增實境開發上也獲得許多廠商的青睞。很多擴增實境提供商都提供了以Unity3D為基礎的SDK套件。

  

 本書針對Unity3D的初學者，全書分為14章，詳細講解Unity3D的安裝、發佈、介面等主要功能，並深入介紹AR（擴增實境）、VR（虛擬實境）開發方法，以及地圖定位、攝影機、聲音播放等開發技巧，讓讀者瞭解到如何使用Unity3D製作AR\VR產品，快速進入Unity3D應用開發之門。可以透過本書快速地了解Unity3D以及擴增實境的基本概念和一些實例，並且快速地參照實例製作出擴增實境的作品。

  

 適用：Unity3D的初學者、使用Unity3D平台開發AR\VR遊戲和應用的行動開發人員，或作為行動遊戲開發培訓機構教材。

"
