ISBN,書籍簡介
9789571387185,"


以犀利和幽默聞名世界的文化評論家比爾．布萊森，
	重新挖掘英倫狂想故事、軼事、荒唐事！


	『我真正熱愛英國的原因，其實是未知感。
	英國有太多事物讓人一頭霧水，
	沒有任何人能真正理解英國或完全知曉英國的特殊之處。
	英國有太多太多的東西超越所有人能理解的範圍。
	這不是很美好嗎？』————比爾．布萊森（Bill Bryson）

．原來，英國跟你想的不一樣！．

	《比爾．布萊森的大不列顛碎碎唸》帶我們見識到和想像中不太一樣的英國，布萊森寫下對大不列顛島的愛恨交織情感：歌頌他深愛的田園風光，哀悼消逝中的英國文化，以及那些糾纏理智線，引發他叨絮、碎唸、挖苦、埋怨，差點就要謾罵起來的荒唐事。當今英國的種種崩壞現象，透過布萊森辛辣、嘲諷、一針見血的筆調，更是勾起喜愛他的書迷們捧腹大笑。

．布萊森私房路線．

	布萊森更在書中創造了一條「布萊森私房路線」（The Bryson Line），並隨意地沿此路線探訪英國。他從英國南端的博格諾禮吉斯（Bognor Regis）出發，最後落腳於北端的憤怒角（Cape Wrath），沿途經過眾多常人以為百無聊賴的景點，布萊森卻能從中找到亮點。大多時候英國總會讓他陷入失望，甚至處在混亂與困惑之中，但布萊森總能輕鬆發現奇異、有趣的事物，他的筆徹底寫下了英國文化的蠢笨、可愛、諷刺與謊言。透過他精闢的觀點，我們重新認識今日英國最美好也最醜陋的一面！

	Trip #1　該死的博格諾！ Bugger Bognor!
	對很多人而言，博格諾並沒有那麼糟。畢竟該地擁有海灘以及蜿蜒的水泥步道，以及雖然稱不上繁華倒也小巧、整潔的市中心。不過我必須承認，博格諾就差不多是這樣了。以網路搜尋博格諾，第一個跳入眼前的就是霍頓公園，第二有名的則是電動輪椅店。

	Trip #2　七姊妹 Seven Sisters
	七姊妹巖為英國最棒的登山步道之一。黑文峰視野絕佳。放眼望去即是連綿不絕的山丘，山峰的盡頭則是陡峭的白色懸崖。在所有和今天一般晴朗的日子裡，七姊妹巖就是綠草地、白色懸崖、湛藍深海與朗朗白日的一派風景。

	Trip #3　多佛 Dover
	我對多佛有特殊的情感，或許那不見得是什麼好感，但多佛對我就是有特別的意義，好難解釋啊。或許那是因為在我第一次踏上英國土地時，該地正是多佛吧。所以，以全英國來說，多佛應該是我最熟悉的地方。然而，每一次造訪多佛，我都發現該處正在慢慢凋零。

	Trip #4　倫敦 London
	倫敦應該是全世界最大的都市。我指的絕非腹地面積或是人口總數，而是以其歷史之複雜性與深刻程度而衡量。以面積來看倫敦一點也不大，但是以其歷史縱深而言，倫敦具足重要性。歷史在倫敦身上留下了華麗而混亂的浪蕩足跡。

	Trip #5　摩托比亞 Motopia
	如果摩托比亞如願建造，洛斯貝里絕對會成為家喻戶曉之地。傑福瑞·傑利科創造了兩個超前出眾的想法，一是將老舊的工業建築改造，二是將汽車逐出日常空間。這絕對超越了當時社會的普遍常識。

	Trip #6　偉大的公園 A Great Park
	溫莎大公園為古老溫莎森林的遺跡。溫莎就像是一小塊奇幻之地，歡愉之土，樹林、農地以及如詩如畫的管理者宿舍、蜿蜒奇幻的無人祕徑。溫莎公園佔地四十平方多哩，地處倫敦市邊緣，但仍舊無法掩蓋獨特光輝。

	Trip #7　深入森林 Into the Forest
	新森林其實不新也不是森林。該處在諾曼人征服英格蘭時期就已存在，雖然有小部分面積的樹林奔長，但絕大部份為開闊的石南樹叢，基本上很難讓人聯想到所謂的森林。新森林向來以野馬奔騰著稱於史，牠們縱橫四方，並以絕美姿態呼嘯而越城鎮村莊。

	Trip #8　海灘 Beside the Seaside
	今天天氣適合散步勝過做日光浴，氣溫涼爽多雲。有不少人待在沙灘上，裝作一副很享受的樣子。從那天開始我知道，即便英國人很開心地做某件事，也絕對不代表那件事很有趣。基本上，我的理論完全正確。

	Trip #9　一日之旅 Day Trips
	埃夫伯里巨石的形狀突兀詭異，羅列成陣，並以奇幻無比的姿態組合成巨石群，相較於巨石陣圓滑而整齊排列的景象，埃夫伯里巨石顯然更為原始而陰森。埃夫伯里巨石群真正撼動人心的原因是其規模與尺寸，而非外型美觀與否。

	Trip #10　遠走西部 To the West
	作家約翰‧福爾斯撰寫的《法國中尉的女人》（The French Lieutenant's Woman）讓此地蜿蜒婀娜的海岸線聲名大噪，海灘上的美景確實也攝人心魄。我曾在此岸邊散步數次，景色優美。我剛來多塞特郡時大家都稱呼這裡是多塞特海岸，不過現在這裡的正式名稱為侏羅紀海岸世界遺產地，聽起來有派頭多了。

	Trip #11　德文郡 Devon
	這裡終於可以好好散步。我漫步到妥爾卡斯村莊上方的大丘陵，路不好走，但濱海山頭景色不凡。草原上到處都是牛糞，好險沒有牛兒在此閒逛，讓我鬆了一口氣。山頂遼闊，史塔灣一覽無遺，這絕對是全英國最優美的景色之一。

	Trip #12　康瓦爾郡 Cornwall
	當遇難貨船求救時，八名勇士——包括老師、水管工人、酒吧老闆，立刻放下手邊的事衝向救生艇。不管天候如何惡劣、也不管實際情況為何，他們願意冒著大險，前往搭救陌生人。他們的高貴、勇敢，凡人難以匹敵。這就是英國為什麼是全世界最棒的國家的原因之一，不是嗎？

	Trip #13　古代布列顛 Ancient Britain
	第一眼望去時，巨石陣不是那麼顯眼，甚至讓人覺得有點迷你，不過只要再多加觀察一會兒，你就能體會為什麼巨石陣能夠讓人如此吃驚，而其規模與美麗更是讓人震撼到說不出話來。這絕對是人類所創造過最美麗而突出的事物，並且空前絕後。

	Trip #14　東英吉利 East Anglia
	沒有人知道船艦塚的主角是誰，因為船艦中根本沒有屍首。或許遺體早已在酸性土壤中腐敗惡爛，也可能遺體早已燒成骨灰並漫撒在船艦遺跡四周。許多人推測船艦塚應屬於東盎格利亞王國的利沃德國王，不過這也僅是其中的一種推測罷了。

	Trip #15　劍橋 Cambridge
	世界的改變如此之大。現在，擠在劍橋街上的人比住在劍橋的人還多。有些街道擠滿了當地人，有些街道則擠滿了觀光客。每前進幾步，就會有擠眉弄眼的年輕人將傳單塞到眼前，頻頻推銷觀光行程──巴士巡禮、徒步導覽、鬼故事探訪、隨招隨停巴士之旅。

	Trip #16　牛津周邊 Oxford and About
	一七五五年當時仍存有一件大嘴鳥標本，或許為填充標本吧不確定，當時艾許莫林博物館館長嫌大嘴鳥的標本發出霉味，因此將它扔進火堆之中，果然，不是只有我們的年代會生出蠢材。館員見狀奮力一躍搶救回大嘴鳥，不過僅奪回燒焦的鳥頭與部分的腳。這就是世間唯一僅存的大嘴鳥。

	Trip #17　米德蘭茲郡 The Midlands
	我第一次到伯明翰時非常震撼，全世界有任何城市是刻意讓自己看起來很醜陋的嗎？我的老家是滿醜的，不過那也都是意外造成的。但是伯明翰是為醜陋而生，這話一點也不誇張。內環道路、陰暗潮濕的行人地下道、巨型運輸交叉道以及恐怖至極的高樓大廈區，簡單來講，伯明翰是全天下最醜陋的地方。

	Trip #18　心情好！ It’s So Bracing!
	這裡看起來就像是最普通的英式濱海小鎮，霓虹燈四處閃耀、吵鬧的電動遊戲機台和噁心的棉花糖味道伴隨著雨水味濃濃地朝我鼻腔襲來。放眼望去所有人都躲在門廊或雨棚下。有少數人在吃著炸魚薯條，而多數人則是站著呆望濕冷陰沉的斯凱格內斯。這哪裡讓人心情好啊。

	Trip #19　峰區 The Peak District
	我愜意地沿著德文特及豪登水庫走了一陣，享受涼風陣陣的樹林與波光粼粼的湖塊令人印象深刻的石碑。石碑獻給牧羊犬提普，根據上面的描述，提普「待在死去的主人喬瑟夫．泰格先生身邊，不肯離去，長達十五週」。十五週實在滿久的。容我提醒你，泰格的屍體可是壓在狗鍊之上。

	(節錄)

"
9789865534295,"



		年幼時離開鄉村，點燃廚房的火。打掃暖爐。打掃房間、掃除灰塵。擦亮靴子。到樓上拿早餐。整理床鋪、清理汙水。早餐飯後收拾和洗碗盤。磨刀子。準備午餐，鋪桌巾……直到11點上床睡覺。每天超過十六個小時的長時間勞動，宴會、季節性的移居或是幫忙同事等等，再加入非屬常態性的工作，勞動時間更久。
		她們，戴帽，身著黑洋裝白圍裙，緞帶飄動搖曳著；稍稍屈膝，微微點頭，典型的西洋式禮儀。
		她們，受雇於他人家庭，領取薪水，接受提供食宿。
		她們，是家裡的精靈般，出入彷彿不能被看見！
		她們，是電影裡的配角，百年英國最龐大的女子勞動人口。
		她們是……女僕。

		 

		本書欲以十九世紀後半到二十世紀初的英國為中心，蒐集各式各樣的圖片，重新建構女僕的人生樣貌。把目光聚焦在這群「最平凡的女子」身上，將其配角的身分轉換為主角，談談箇中的工作，喜、怒、哀、樂、戀愛、結婚以及未來。


	 

"
9789862590713,"


★★★外交官/德國議題評論者 蔡慶樺 推薦★★★

	 

日本義大利外務省Premio Marco Polo獎賞得主

知名歐洲中世紀研究專家  

池上俊一

	 

茂密的森林、縱痕交錯的河川、聳立在南方的阿爾卑斯山─若除去自然要素就無法談論德國千年的歷史。

作為音樂國度、環保先進國而聞名的德國，其獨特壯闊的自然景觀，竟與魔女狩獵和納粹迫害猶太有千絲萬縷的關係。

	 

	長期處於分裂狀態，直到柏林圍牆傾倒後才真正統一的德國，是如何在幾十年後成為工業經濟大國，成為歐盟的支柱，甚至被譽為「歐洲成長的引擎」。

	 

	不僅如此，席捲於德國各地的浪漫主義、有機哲學世界觀，帶動了對於「自然」的嚮往與崇拜。

	看似矛盾的工業與環保，卻在德國達到完美的平衡！

	 

	以帝國為起點，走向共和國的漫長道路上，一草一木皆是促進德國往前的動力。

	 

	●從自然中追求身分認同的日耳曼民族

	●宗教改革而朝向邦國分立的時代

	●納粹致力於環境保護跟公共建設！？

	●從山川河流孕育出的「德國製」

	 

	在歐洲大陸中，沒有明顯與自然關係如此深厚的國家，甚至可以說沒有這些森林與山川，就沒有現今的德國。

	讓我們來透過自然，追溯不思議的德國。

"
9789869470483,"


想跟抖森搭肩搖嗎？
想要知道英劇裡主角們的真實生活嗎？
來一本英國製造、充滿各地景點紀念品店的明信片插畫集
讓正統的English Attitude進入你的血液裡！


	除了啤酒、足球，英國人頭殼都裝些什麼？
	準確來說，大英聯合王國的範圍包含了哪裡？

	從貴族的差別待遇到球場上的豔遇——稱頌我們可愛且不朽的怪癖！

	《學做英國佬２》滿足你對英式文化更大的好奇心，
	讓你暢行英國游刃有餘，絕不踩雷！

"
9789570829112,"

本書探討十八世紀法國的思考方式。書中試圖陳明的不只是人們想些什麼，而且包括他們怎麼思考－－也就是他們如何闡明這個世界，賦予意義，並且注入感情。探究的途徑不是遵循知識史的高速公路，而是探入文化地圖尚未標示的一個領域，在法國稱之為「心靈史」（l\histoire des mentalites）。這個類別在英文仍然無以名之，為了單純起見，不妨稱作文化史（cultural history），因為那是以人類學家研究異種文化的同一方式處理我們自己的文明。那是人種誌（ethnography）觀察入微所看到的歷史。「根據一名目擊的工人，賈克‧文森的印刷舖發生過最有趣的事情，是一場翻天覆地的貓大屠殺。」羅伯．丹屯用這樣的破題句，開始探索十八世紀中葉法國技工所舉行的暴力儀式。在一系列妙筆生花的文章中，丹屯教授考掘啟蒙運動時代法國居住在都市、城鎮與鄉村的平凡人與不平凡人匪夷所思的世界觀。從法國農民陰森森的民間故事出發，一路逛到把盧梭和散佈省區各地的讀者扣在一起的浪漫情懷，丹屯引領讀者見識久遭誤解的思考與感受的方式。十八世紀法國人的文化有珍奇的一面，也有尋常的一面，丹屯一一召喚而出，藉以邀請讀者思索這一類的問題：為什麼巴黎的一群工匠覺得貓大屠殺那麼有趣？玩笑如何在舊制度的工人間發酵？《貓大屠殺》揭露一個文化的萬花筒視野，既熟悉又奇妙。羅伯．丹屯在本書提供了治療文化震盪所不可或缺而且入口難忘的一帖藥劑。
                    
"
9789865534509,"



窺看尼德蘭最真實相貌，旅歐教育學家的第一手文化解析！
從慢式哲學到60分剛剛好的教養思維，荷蘭比你想得更有意思！

		 

		●精打細算、心直口快！熱愛統計數字，想要說服他們，拿出數據是成功的一半！
		●Gezellig生活主張，舒服自在滿足的正向文化，所有問題都迎刃而解！
		●強調自由，又注重公平正義！性、大麻、紅燈區既不禁忌、也不日常！

		 

深入荷蘭文化社會、直擊生活現場，秒懂在地核心思想！
		●低分文化教育學！
		喜歡上學、熱愛學習，願意接受挑戰，養出最快樂又最不怕失敗的荷蘭小孩。
		●隱藏版的荷蘭文化！
		荷蘭版的聖誕老公公與黑彼得爭議、紅燈區與性工作者的孤單與哀愁、大麻微量合法？蘇利南移民的自我認同…
		●看醫生這麼做！
		先燒三天或拉五天再說！不打水痘疫苗，每個小孩都像行走的草間彌生；沒有什麼病是泰樂諾治療不了的，如果一顆不行，就吃兩顆…
		●工作的像個荷蘭人！
		好嗆、敢言的職場文化超震撼；一人公司多，荷蘭CEO滿街跑；休假是必須，度假是應該！
		●我在荷蘭當媽媽了！
		貼心的育兒物資箱、寶寶管家到你家、早餐就吃巧克力米？跨文化小孩的教養挑戰！
		●Hallo荷蘭人！
		高個民族卻住小房子？是務實還是小氣？愛熱鬧慶生也愛閱讀，愛數據分析也愛居家布置…


	 

"
9789865223939,"

本書詳細介紹西班牙地理、歷史、鬥牛、節慶，同時搭配作者錄製的OCW影片，聆聽賞析。西班牙位於歐洲西南端，自古以來就是連繫歐非的交通要道。十六世紀黃金時代，國力達到巔峰，不可一世，史學家譽為第一個海上霸權，日不落國。西班牙所處的伊比利半島，宛如非洲瓜熟蒂落後的一塊土地，銜接著歐非兩大洲。終年陽光充足，坐享舒適的地中海氣候。這令人稱羨的陽光國度，每年總能吸引無數來自歐洲和世界各地的觀光客，成為重要的財政收入。本書從西班牙地理位置介紹起，就像是唐吉歌德在伊比利半島冒險前進，拜訪各地歷史、文物、鬥牛、節慶、佛朗明哥舞蹈音樂等等。作者同時錄製了課程影片，並提供照片賞析。網址如下: https://ocw.stust.edu.tw/tc/node/SpainishCulture
                    
"
9789578595927,"


	本書是啟超先生於1903年間赴美考察的紀錄。雖名為遊記，但絕非風景之記，而是對於美國政治、歷史、社會種種實情的觀察與評論。時值西方迅速發展，較之東方的社會情狀大不相同，而以先生的眼光來作紀錄更具價值。遊美與歐遊是梁啓超一生中最重要的兩次遊歷，記載前者而有《新大陸遊記》，記載後者而有《歐遊心影錄》。

本書特色

	1.本書是啟超先生於1903年間赴美考察的紀錄，對於其政治、歷史、社會種種實情的觀察與評論。
	2.遊美與歐遊是梁啓超一生中最重要的兩次遊歷，記載前者而有《新大陸遊記》，記載後者而有《歐遊心影錄》。

"
9789863447238,"


麥田時代感系列 第十冊
 法國二十世紀異質哲學大師巴塔耶
 分析情色藝術、極限經驗與酷刑影像經典作品

  

 法國重要思想家巴塔耶生前最後一本著作。本書從史前時代追溯至當下，透過傳統的圖像概述了「原始愛欲」與「情色影像」的歷史，在原始石雕和洞穴畫、希臘羅馬瓶繪以及文藝復興以來各大流派的繪畫中，回顧了從史前時代直到二十世紀的情色、極限圖像史。巴塔耶所稱的愛神（Eros），其實並非維納斯的名字，而是愛神之子。兩位愛神，兩道眼淚。愛神與眼淚同處於一種模糊性當中。他更在《愛神之淚》一書中，以哲學觀點重新詮釋中國的「凌遲」酷刑，以「Eros」的「狂喜」狀態，詮釋受刑者處於「極限體驗」的觀點，成為西方討論凌遲酷刑時，最常被引用的論述。對於酷刑影像，巴塔耶曾說：「我從未停止對圖片中痛苦的迷戀，甚至到了一種狂喜且無法承受的地步。」宗教式的犧牲形象與極端的恐怖，成為聯繫欲望的深淵。

"
9789863445920,"


納粹鐵蹄踏過，花都沒入暗影
屈辱的歲月中，仍有光輝閃爍

最忠實呈現納粹占領時期巴黎文化圈生活的巨著 ! 
	 

	【內容簡介】

	一九四○年六月，巴黎陷落，城市之光熄滅，世界文化之都成了納粹最大的戰利品。繼承世世代代的文化遺產、催生了印象主義及超現實主義等現代藝術流派，巴黎依舊是偉大藝術家、作家、音樂家的搖籃，從喬伊斯到畢卡索......納粹入侵法國之後，許多藝術家逃離了，選擇待在巴黎的人，必須設法生存下去。馬諦斯大隱於市，但畢卡索很難避開納粹的訪客；少數人──例如劇作家貝克特──加入了抵抗組織；有些人被捕並死於納粹之手；其他人則試著娛樂敵人。琵雅芙繼續唱歌、跳舞女郎回來了、歌劇院及劇場重新開張、電影放映機重新轉動、藝廊出售奪自猶太家庭的畫作、親德派及反德派作家用筆墨決勝負。本書透過知名創作者及當時見證者的經驗，權威地陳述了德軍占領下的巴黎藝文世界如何生存。從戰敗的絕望到創造力的高峰激盪，這是一段關於生存、合作及反抗的動人歷史。

"
