ISBN,書籍簡介
9789869348164,"


解讀帝王維繫權力的玄妙手法
探究王朝振衰起弊的關鍵良方


 權力的分散與集中，往往形塑了人類政治體制的發展樣貌以及後續的歷史。兩千多年的歷史長河裡，中華帝國的四位君主各自對政府體制進行改造，終於打造出了雄視東亞、文化壯麗璀璨的強大皇權帝國。

 秦孝公時期，重用法家的商鞅進行改革，削弱打壓貴族，集中權力於國君，為日後中華帝國的成形奠定了初步基礎。

 漢武帝摒棄黃老尊崇儒術，採行董仲舒的帝制神權體係，強化了君權神授觀念，從道德與意識形態上鞏固了皇帝的權威。

 宋太祖將地方兵權納歸中央，分散宰相權柄，營造了一個皇帝與士大夫共治天下的穩固文官政治結構。

 明太祖廢除宰相，設置錦衣衛監控百官，並以廷杖羞辱大臣，從此百官淪為天子家奴，帝王威權臻至巔峰。

 四大名君各領風騷，開創先局，將中國的皇帝權力一步步推上最高峰，本書深入淺出，條理剖析歷史表象下的玄妙關鍵，為研究此類權力政治現象時，不可或缺的最佳入門讀物。

本書特色

 ◎以趣味生動筆法切入歷史的幽暗幕後，探索帝王的權力如何集中與進一步強化鞏固。

 ◎詳盡剖析四位君主的人格特質與關鍵決策，說明個人意志與國家體制的建構所產生的互動，解釋君主體制何以穩固傳承數千年。

"
9789869980838,"


揭穿「中國大陸蔣介石研究第一人」楊天石的真面目

	 

他視《蔣介石日記》如寶藏，讓日記自己說話，自以為客觀科學，實則貽笑大方。

	 

	楊天石號稱中國大陸「蔣介石研究第一人」，但他慣用「替換」的手法，針對其他學者研究過的主題，用其他史料替換，偽裝成自己的原創。抄襲以外，他還盲目依賴「獨家史料」而不顧史實，每看到一批新的史料，不仔細考證，就迫不及待寫一篇文章，深恐「獨家」被人搶走。正因此種不健康的心態，造成了他治學的急躁和冒進，以致於不斷做出偏離史實的解讀。

	 

	他研究蔣介石的史學方法，盲目相信依賴、甚至「濫用」蔣介石日記。不看其他學者的研究成果、沒讀過美國檔案原文、也沒有核對英語原文，看不出翻譯的瑕疵，僅根據中方材料，就斷定蔣介石在一個國際談判事件中扮演了重要角色。在沒有其他旁證的前提下，單獨使用蔣介石日記做闡述，偏離了重點。最經典者，是他認為蔣介石參與了暗殺希特勒的計畫，怪誕又荒謬。

	 

	他不探究歷史背景、一昧堆疊史料的壞毛病，常欠缺前後連貫性，讀來吃力且前後矛盾。他只能針對一個時間點的一件史事做評述，顯少能對一段時間的歷史有宏觀而深刻的理解，缺乏對事件全域的分析。僅憑日記立論，何以能稱蔣介石研究第一人！

	 

本書特色

	 

	◎本書揭示的並非一字不改的簡單抄襲，而是道出一般人看不出的高明抄襲手段，令人大開眼界。

	 

	◎本書也示範了史料的運用，不可僅用一家之言，即使是當事人的日記，也會有模糊、刪改、避而不談、作偽的可能。欠缺前後脈絡的掌握和多視角的比對，只會是史料的堆砌整理或斷章取義，不具學術價值。

	 

專文推薦

	 

	盧建榮（知名歷史學家）

	 

推薦書評

	 

	李戡書為我們揭示了「曲學阿世」以及「為稻梁謀」的機會主義者臉孔。這種人以後會大抄台灣學者，自是不令人意外。在日記的限制方法論部分，更是幫助有志史學工作者提升研究檔次的津梁。──盧建榮（知名歷史學家）

	 

"
9789869818858,"


走過歲月，他們種下的樹，已長成了一番風骨


★三萬公里的追尋，大歷史的最佳見證
 ★百張親繪插圖＋詩文，人文風采滿溢
 ★書法大師董陽孜親筆封面題字

 一場壯遊，走遍大江南北，只為了心中的一棵哲學樹！

 從河北到山西，從河南到山東，從周朝到清朝，王浩一出入千年古城，走進歷史扉頁，輕觸眼前的千年老樹，思索著，誰種下了它們？這些先賢哲人所種植的古樹，為何顏色依舊？撫樹思哲人，也許有部分的想像，但更多的是未曾看清的歷史曾經！

 我在古樹旅行之中，觀賞了它們，撫觸了它們，也讚歎了它們。我知道它們不僅是很神奇的古樹，也是不容易說清楚的「較寬廣視野的歷史」。學院裡的歷史討論往往過於細緻繁瑣，我只是在旅行中輕鬆地走入歷史，以那些哲人們所種植的古樹，當是歷史現象背後千絲萬縷的「線頭」。——王浩一

【叔虞 X 太原晉祠 X 臥龍柏】
 只見舊事成了凝固的斜影
 英雄的腳印已在野塚之外
 遊客喧囂，我是唯一的孤獨

【李世民 X 西安古觀音禪寺 X 銀杏】
 終南山下的古禪寺，千年前有英雄繫馬
 千年後，在寺前卸了鞍
 我來磨劍
 編織一個鏗鏘的唐朝夢

【白居易 X 洛陽嵩陽書院 X 將軍柏】
 他們數著樹幹的虯紋
 數著月影下的皺紋
 樹上的是千年青翠與蒼勁
 樹下的，卻是花甲白髮與蹣跚

【六祖惠能 X 嵩山初祖庵 X 古柏】
 那罇村酒有些桂香
 那件袈裟顯得老舊
 那株古柏獨然孤寂
 那座初祖庵，只有雲作伴

【歐陽脩 X 滁州醉翁亭 X 古梅】
 有一處文學山亭
 醉臥在北宋群山與南宋眾水之間
 閒走著年輕的綠和傴僂著歲月的灰

【孔子 X 曲阜孔廟 X 古檜】
 一位朝謁的小小旅人，已隱了來路
 不能再東，這裡就是起點
 二千五百年的歷史
 從這裡足跡森森

【蘇東坡 X 常州藤花舊館 X 紫藤】
 在惠州，老松林葬了朝雲，酒酹花退殘紅
 在儋州，冬無炭夏無泉，無藥無友也無酒
 在海上，舉杯遙敬入夢的乘鶴韓琦，預言北歸中原
 在常州，人生無處不青山，乾杯！

【皇太極 X 瀋陽昭陵 X 榆樹】
 八旗飛揚，風沙飛揚
 藍天之下的英雄夢更亮麗了
 號角如響雷，鬍渣曬得黑沉
 鼓鳴如松濤，刀馬閃得晶明

"
9789861372563,"


	★超人氣 #敏鎬體 創作人，令廢青們雙頰一紅、擲果盈車的絕世才子，千呼萬喚首次出擊！

	★重新認識古代文學家、重讀經典古文的另類讀物！且看古人如何奮力掙扎、勇敢耍廢，從而留下千古名篇！

	 

	◆孔子擅長被霸凌，孟子靠著爐火純青嘴砲技不斷跳槽？

	◆屈原專長教人撩妹，竹林七賢上班摸魚最行？

	◆韓愈柳宗元發高級廢文一等一，而《聊齋志異》其實是大清最狂BBS？

	 

人生不如意十之八九，讓人只想耍廢很久很久。

只是當生命挫折接二連三來襲，

該如何接招拆招，如何在心酸心碎之餘，

還能含著眼涙帶著微笑堅強活下去？

	 

	現代耳熟能詳的文學家，在當時往往都是不得志的魯蛇邊緣人，除了不斷遭遇各種令人厭世的悲摧事，也擁有傲嬌易碎的玻璃心。他們的人生和我們一樣，同樣有愛恨情仇，同樣有風有雨；甚至還會颳起暴風雪，冷到像是待在北極圈。

	 

	這些擅長發廢文、開酸、被邊緣，即使不得志也依然故我的古人們，留下一篇篇證明自己如何努力活著的紀錄。然而後人只忙著背誦作者注釋題翻譯，卻忘了他們和現代人沒什麼兩樣，在無法施展自己抱負時，同樣會忍不住指桑罵槐、悲憤怒吼、上演小劇場！

	 

	取暖找不到伴？灰心找不到力量？厭世找不到解方？「敏鎬的黑特事務所」為你點亮一盞盞隱藏在古人詩文中的人生光明燈，除了取暖討拍、趨吉避凶、提高人生耐震係數，還能讓你瞬間和古人心靈相通，不再感覺孤獨寂寞冷！

	 

魯蛇酸民自古有之，嘴砲開噴更是傳統美德（無誤）；

文起八代之衰往往誤會一場，發出不平之鳴才是真心誠意。

從現代角度重看古人生命歷程，感受隱藏在文章裡各種不得不的堅強！

"
9789869650007,"


	◎得罪吃貨，國君也會沒命；下棋講垃圾話，竟被臣子砸死。古人吃喝玩樂很認真。
	◎唐朝人就喝手搖飲：金橘煎、桂花酸梅汁……每種都費工、天然。
	◎角鬥、劍舞、擊鞠、投壺……學一樣漢唐的運動，保證眾人用仰慕眼光看你。
	◎金乳酥、曼陀樣夾餅、清風飯、洗手蟹是啥？開水白菜為什麼是最高級川菜？

這本中國史，不提宮鬥、外戚宦官、內亂外患，只說吃喝玩樂，告訴你
	誰是「舞」林高手？是吳王夫差的寵妃西施，還是唐玄宗最愛的楊玉環？
	學學古代吃貨：被老闆降職到哪就吃到哪的蘇東坡、毒舌系美食家袁枚、
	見識一下永遠走在時代前端、替美食代言的乾隆皇。
	這才叫享受，套句四川人的口頭禪：太安逸啦。

	本書是知名漫畫企業漫友文化的策劃作品，將動漫與文化史做連接，
	匯集知名繪師繪製插圖、漫畫，從歷史角度將古代生活情景一一重現，
	    
	◎古時資源不多，早餐該吃啥？晚餐又會準備哪些功夫菜？:
	三餐吃什麼？真是世紀難題。你會佩服古人變出這麼多花樣：

．儘管蒸煮煎炸烘烤花樣多，麵食本來一律叫做「餅」：
	饅頭是諸葛亮發明的，演變出花捲和包子。
	捲餅、披薩、甚至甜可麗餅的吃法，唐朝就引進了。
	麵條本來叫湯餅，魏明帝用這道來驗證誰是花美男。
	吃過冰冰麵嗎？這是熱食。還有臊子麵，你應該吃過但是你不知道。

．貴族百姓都吃雞鴨鵝料理，但方法不同：
	平民用鹽、糖醃漬，或用醬油來滷食材；高官貴族竟然用人乳來煮雞湯。
	你知道蘇東坡發明多少菜嗎？沒有蘇東坡，豬肉不會普及到成為料理食材。
	吃完各種美食後，最適合來一杯煎茶去膩，只是茶以前不叫茶，叫「荼」。
	怎麼來的？由茶聖陸羽造字、發明煎茶（日本發揚光大，但不是日人發明）。

．史上最毒舌美食家──袁枚，主人請吃飯，他竟罵人「真乞兒賣富」？，
	但他用40年整理出來的《隨園食單》，不只是當時官宦人家最愛用的食譜，
	更是現代美食家的必修課，本書特別將其中的
	王太守八寶豆腐、芙蓉肉、假牛奶三道菜譜，用原始比例與配料完整重現。

	◎跳舞、玩遊戲、參加競技、看特技魔術，沒人覺得孤獨：

．唐玄宗有400匹舞馬，不但能跳舞，還會銜酒杯向皇帝祝壽，有文物佐證。
	至於他的愛妃楊玉環，更是胡旋舞的高手。但跳舞絕非女人專利，
	連大胖子安祿山也是跳胡旋舞的佼佼者，只因為玄宗喜歡看。
	此外，唐代還有位大將軍的舞蹈，跟李白的詩齊名，並稱唐代三絕。
	他們喝酒之餘不喇賽，而是找人跳舞，拒絕可會引發社交（性命）危機。

．阿哥與格格們這樣過小時代：
	早上喝梅湯、看玉器，中午買包子，聽聽說書或是鬥蛐蛐，
	這就是阿哥們一天的生活。他們都在哪裡約會呢？梨園看戲，場場是live：
	竇娥冤揭露社會黑暗；漢宮秋是皇帝犧牲女人保衛國家；
	桃花扇講一個國破不成家的愛情故事。
	這些經典很精彩，只是，臺上那些漂亮的花旦姊姊，居然都是哥哥。
	       
	不碰電腦、不滑手機、不玩線上遊戲，日子要怎麼開心過？
	這裡有各式菜飯麵湯飲料點心，保證滿足你口腹之慾，
	現場表演音樂舞蹈百戲，玩玩秦漢國君必修的六博棋，你樂此不疲。

推薦者

	《讀古文撞到鄉民》作者／祁立峰

"
9789866274619,"

晚明諸遺老之在清初立節制行之高潔，成學著書之精嚴，影響清代兩百六十年，迄今弗衰。惟方以智密之著書雖流傳，而行事隱晦不彰，關心諸遺老史跡者，每以為憾。蓋密之入清以來，即披薙為僧。不如夏峰青主輩雖曰高尚其事，遁匿終身，要是在士林冠帶之列。其為學亦不出性理經史，雖亦蹊徑各別，而承先啟後，固同在學術大傳統之下。密之則藏身方外，學思言行，不能無殊，軌途既隔，傳述遂寡。志猶合而道則乖，所以有顯晦之相歧也。及門余君英時，發憤有作，為《密之晚節考》，於密之披薙後生涯，博稽廣搜，備引同時各家詩文，旁涉雜史、方志、寺院碑碣、禪門掌故，下逮近代諸家所考索，一鱗片爪精思密會，排比既詳，條貫秩然。——錢穆明清之際，桐城方密之以智才思照耀一世，然身後品藻則已屢經改易。當乾隆之世，漢學鼎盛，四庫館臣極稱許《通雅》，所重者顯在其考證，此第一期也。密之早年治學，博雅所及，兼通物理，與並世耶穌會諸子頗上下其議論。「五四」以來，遠西郯子見重於中土，言密之者率多推其為近世科學與音韻學之先驅，此第二期也。洎乎最近，學風再變，思想與社會之關係最受治史者注目。密之少負澄清天下之志，接武東林，主盟復社，言思所涉，遍及當時社會問題之各方面，則宜乎今人之特有愛於密之者轉在其為一時代之先覺矣。此第三期也。然當密之生前，其自期果何如乎？同時流輩之視密之又何如乎？就史學立場言，此皆最先當知之事也。密之〈史斷〉篇嘗云：「尚論古今，貴有古今之識。考究家或失則拘，多不能持論，論盡其變。然不考究，何以審其時勢，以要其生平？」故未詳密之一生遭際而暢論其學術，其事終為有憾。不幸密之事跡在晚明諸遺老中最為隱晦，三百年來不僅無人譜其生平，即欲求一翔實可信之傳記亦渺不可得。唯余考密之晚節尚別有一重困難而為通常考證之所無者，即隱語系統之破解是已。以隱語傳心曲，其風莫盛於明末清初。蓋易代之際極多可歌可泣之事，勝國遺民既不忍隱沒其實，又不敢直道其事，方中履所謂「諱忌而不敢語，語焉而不敢詳」者，是也。物不得其平而又不能鳴，其聲迴盪曲折，於是隱語之系統出焉。錢牧齋、吳梅村之詩向來號稱難解，其故在此。——余英時
                    
"
9789866487552,"

歷來最具典型意義的宮廷鬥爭？沉迷於神仙方術、丹藥的帝王，服食而死者不勝枚舉？尼祿當政初期一度堪稱羅馬的鼎盛時期，卻是羅馬歷史上最詭異的13年？本書從四個主題討論古代帝王后妃之死：隕落的紅顏美玉、長生夢斷帝王魂、殘酷的宮廷殉葬制度、遙遠國度的亡靈。翻開千年歷史的頁面，輝煌又醜陋地記載著明爭暗鬥的後宮體制、無能昏敗的帝王、政變奪權，殘忍地揭開歷史真相的醜惡與殘酷！　　作者旁徵博引正史記載與野史傳聞，不偏不倚地論述歷史事件的真相，文字描述時時鮮活，不只是令人戰慄，在字?埵瘨‘i窺見作者對於歷史的深層思考，「最終你不僅僅是毀滅，你還會被記錄在書中永無止盡地重複著這次毀滅，每當有人翻開此頁，你便又回到了被人手起刀落前的那一?那」。回溯帝王后妃之死－－王權的絕症，讓人留下無限的悲哀和沉思…。 帝王後宮是個充斥著陰謀算計和淒美愛情的場所，也是小說家們熱衷的題材，但歷史真相卻總是出乎意料的醜惡與殘酷……「人彘」的受刑人戚夫人、後宮爭鬥下的犧牲品王皇后、莫名被處以凌遲的端妃、被活活餓死的帝王蕭衍、被送上斷頭臺的國王路易十六，以及新婚夜離奇死在床上的「上帝之鞭」阿提拉……愈是致命，就愈是充滿誘惑力！隨著時代更迭，這些慘惡故事早已褪了當時的血腥，只留下斑斑歷史痕跡……你會帶著審視過人類苦痛的憐憫把本書關上，儘管你更可能是帶著獵奇的心態把此書打開。
                    
"
9789865578107,"


	近代上海報刊的歷史，大致可分為四個時期。第一個時期（1850年至1895年）誕生與初步發展，隨著上海都市的形成，上海報刊進入初步發展時期。第二個時期（1895年至1915年）突破性的發展，依靠著民主政治運動與外國租界的庇蔭，上海報刊發展基本奠定，報刊已成市民日常生活必需品。第三個時期（1915年至1937年）全面穩定的發展。第四個時期（1937年至1949年）萎縮與停滯，此時期發生了兩次的戰爭：抗戰爆發與國共內戰，致使言論空間遭到限縮，加上通貨膨脹問題，帶給報業極大的營運壓力，至1949年中國政局轉易，商業報紙遭到新政權軍管封閉，報界出現空前的蕭條。

	本書收集史料種類多元，如上海市檔案館檔案、報人回憶、報章雜誌文章，分成四個主題：

	壹、報館營運，分析報館發行、廣告、印刷等各種實際營運問題，以中國長年銷量第一的《新聞報》來看，計算《新聞報》每份報紙的成本、批價、售價，如何靠廣告賺錢；營運問題可參考1947年上海申報派員到臺灣駐點，可見申報戰後在臺灣拓點所遭遇到的困難。

	貳、記者職業，揭露了新聞工作者的職業認同、工作紀律、稿費待遇等職涯問題，呈現當時對記者道德的討論，以及關於黃色新聞的流弊與記者報導的分寸等。

	參、管制與戰爭，論述新聞檢查、暗殺報人、戰爭威脅等報館的種種困難。

	肆、小報，包含重要小報的歷史與特色、管制小報、小報取材、小報經營、小報報人等內容。

"
9789865578091,"


	近代上海報刊的歷史，大致可分為四個時期。第一個時期（1850年至1895年）誕生與初步發展，隨著上海都市的形成，上海報刊進入初步發展時期。第二個時期（1895年至1915年）突破性的發展，依靠著民主政治運動與外國租界的庇蔭，上海報刊發展格局奠定，報刊已成市民日常生活必需品。第三個時期（1915年至1937年）全面穩定的發展。第四個時期（1937年至1949年）萎縮與停滯，此時期發生了兩次的戰爭：抗戰爆發與國共內戰，致使言論空間遭到限縮，加上通貨膨脹問題，帶給報業極大的營運壓力，至1949年中國政局轉易，商業報紙遭到新政權軍管封閉，報界出現空前的蕭條。

	本書收集史料種類多元，如上海市檔案館檔案、報人回憶、報章雜誌文章等，分為三個主題：

	壹、報業概況，包含上海報業的基本特色、民初上海各大報的歷史、報業公會的運作。

	貳、報館職工，可知報館各類職工的相關訊息，像是報館對印刷工學歷、工作時數、效能、薪資的要求，也收錄了當時校對員工的合約，了解報館對校對工作的要求。有關報館員工的待遇問題，可參考新聞報與申報兩報的員工待遇比較表，包括報館職工每部門的人數、工作標準與計薪方式，皆有完整記錄。

	參、新聞編採，包含報館收集訊息、編輯新聞的相關規定，詳盡介紹從採訪、編輯、印刷、發行，報紙的出產環節均一一收錄。

"
9789577111869,"


	宋代是中國典籍出版史上茁壯的關鍵時代，積極徵集典籍文獻，更進一步結合當時發展成熟的印刷技術，刊行各類典籍，包括儒、釋、道、醫學、藝術、兵學、工藝、譜錄、政書等眾多典籍文獻。其中最能彰顯朝廷角色且影響深遠的，莫過於垂名後世的《太平御覽》、《太平廣記》、《文苑英華》及《冊府元龜》四大書。

	 

	這四部大類書不僅構成宋代的立國特色，對後世中國典籍文獻的保存、出版與流傳，更具有重要影響；明清二代編纂各類大典，正是這種傳統的延續。充分說明宋代四大書在中國典籍出版史上的關鍵地位。

	 

本書特色

	 

	本書兼融歷史、圖書、文獻整理各專業領域，結合時代與制度等多個層面，揭示宋代重視文化，推動、發展的背景，過程及實績，是一部集大成而堅實的學術力作。

	 

"
