ISBN,書籍簡介
9789864777730,"


	古代帝王必讀，現代人從史籍挖寶借鑑，學以致用，
	歷史評論家公孫策帶您一同挖出通鑑裡的人生哲學。

	司馬光所編寫的《資治通鑑》（簡稱《通鑑》）是我國第一部編年體通史，計294卷，字數達300多萬字。書中根據歷史事件總結出很多的經驗教訓供統治者借鑑，在官修史書中占有極重要的地位。宋神宗認為此書「鑒於往事，有資於治道」，以歷史的得失做為鑑誡來加強統治，將它定名為《資治通鑑》。

	資治通鑑事實上記載了1362年當中橫跨16個朝代的重要事情，歷史人物的智慧與愚昧都記載在裡面，當然一定有現代人可資效法與戒惕之處。簡單說，本書就是拋開帝王統治思考，擷取現代人也能以史為鑑的歷史人物言行，但由於前人智慧包羅萬象，為避免流於漫談，所以作者聚焦於四種對現代職場／社會仍具功能性的行為：揣摩、保命、識相、跳槽，內文形式則仍然是說歷史故事，但在說故事當中，抽取出跟這四項行為有關係的故事，集成一本現代人的世情通鑑。

揣摩，不是拍馬屁，不是一味討好，而是做足功課、反覆推求、臨機制變，如果要擷取資治通鑑裡的拍馬屁故事，那可多了，只怕本書兩倍篇幅也不夠羅列，可是高級的揣摩術加上有效的運用，如蘇秦能夠以之左右國際大勢，而魏徵能夠佐成貞觀之治，就如鳳毛麟角，值得挑出來一述，也可資現代人學習應用。

保命，不是苟且偷生，而是保全他人（可能很多人），也包括自己（個人或家族）的生命，絕不包括賣友求榮、靦腆事敵等言行。

識相，說的不是一般定義的「識趣」或「忍氣吞聲」，而是「先識」，預見情勢或情況的變化方向，或慧眼識英雄，但不是靠「面相」，也包括了認清現實而不盲動。

跳槽，是現代詞彙，很多故事的性質跟揣摩、保命、識相有所重疊，但這對現代人縱橫職場（或在風浪中求生）很有裨益，因此特別拉出來供讀者參考。

	本書是【公孫策說歷史故事】系列的第八本，也是第一本從實用角度切入，可用在日常生活中做為借鏡的「世情通鑑」。全書以「三家分晉」為楔子，共25篇，依歷史年代順序進行，事件環環相扣，在看過融合原典敘事的精彩故事之餘，接著看公孫策精闢闡述「揣摩」、「保命」、「識相」、「跳槽」四通鑑，以《資治通鑑》裡的人生哲學為師，無論在職場歷練或處世待人上皆能受益無窮。

"
9789869762540,"


為人君而不知《通鑑》，當不了好老闆！
	為人臣而不知《通鑑》，當不了好下屬！
	為人子而不知《通鑑》，當不了好小孩！
	按時間敘事，說明重要史事的前因後果
	以往事為殷鑑，不讀不可的好國民教科書


	為什麼，當皇帝的永遠懷疑臣子們結黨營私？
	為什麼，當兒子的永遠肖想最高的皇帝位置？
	為什麼，當妃子永遠只能勾心鬥角或美色誤國或後宮干政？
	為什麼，當文臣的永遠只能戰戰兢兢、有功無賞有錯砍頭？
	為什麼，當武將的永遠只能敵軍入侵你去打、功高震主就要殺？
	為什麼，歷朝歷代的開國君主通常是各種英武神勇人見人愛花見花開？
	又為什麼，亡國之君就一定是你懦弱、你溫吞、你只會吟詩詞玩女人？

	歷史真相從來沒有那麼簡單，編纂成史學巨著更是難上加難！
	且看司馬光在打破水缸之後，如何一路走到細心整理、大膽剖析的史學名家，
	並帶讀者從遠因近果、時空背景等多元面向深入了解～
	各種將相叛亂、陰謀篡位、天下分合，背後都可能有各種人在江湖身不由己，
	而歷代興衰、政變民亂、改朝換代，更可能只是天時地利人和一擁而上的趕鴨子上架！

本書特色

	●規模空前　重點精選
	從全書共294卷、300餘萬字，且橫跨從戰國到五代十國共1362年歷史的《資治通鑑》中，精選最具代表性篇章，按時間順序整理編撰，讓讀者能更真實、直觀、全面的了解中國歷史。

●內容經典　體例科學
	為了幫助讀者更易理解原著，書中增設了導語、注釋、譯文等內容，降低讀者閱讀障礙，深入體會作品內涵，更有助掌握原著精華。

●以圖輔文　好讀易懂
	600餘幅精美圖片，與文字相輔相成，為讀者帶來身臨其境的感受，彷彿置身於立體真實的歷史博物館中，充分享受閱讀的樂趣，獲得豐富的視覺感受和想像空間。
	　
●經典讀本　值得典藏
	清晰簡明的體例、精彩豐富的故事、珍貴精美的圖片、兼顧傳統文化與現代美學的設計理念，打造出典雅舒適的閱讀空間，全面提升本書的欣賞與藝術價值。

"
9789864022991,"

經典著作優秀改寫，全白話無障礙讀本，內含精美手繪插圖，人物、典故、成語、知識點隨文注釋，是一版適合青少年閱讀的國學入門書。《資治通鑑》是北宋司馬光主編的多卷本編年體史書，共兩百九十四卷，歷時十九年告成。它以時間為綱，事件為目，從周威烈王二十三年（前四○三年）寫起，到五代的後周世宗顯德六年（九五九年）征淮南停筆，涵蓋十六朝、一千三百六十二年的歷史。《資治通鑑》是一部文學價值與史學價值並重的巨著，它是中國首部編年體通史，與《史記》並稱為中國史學上的兩顆「明珠」。本書為《資治通鑑》白話版，可幫助青少年更好地了解這部古典史學著作。
                    
"
9789573243113,"

李存勗前一半誠是一條好漢，後一半，也就是當他住進皇宮之後，徹頭徹尾成了流氓，使人扼腕。到底哪一種基因是真？我們不知道。但有一點是知道的，他並不是從稱帝後才變，稱帝之前，他要殺恩公張承業時，就已暴露出來他的邪惡性格。證明了一點：權力不可以不受制衡！如果沒有娘親劉太夫人派人來喚，張承業早就死在刀口之下。娘親雖然依靠母子親情，但，情也好，法也好，都是一種制衡，劉太夫人一死，流氓帶槍入市，罪惡傾巢而出，更不可制。 


任何一個開國領袖，或領袖的爹，都有過艱難奮鬥的來時路，知道政權得來不易。李存勗並不是白手成家，或毫不費力取得政權，但他喪亡之速，以一個創業帝王而言，真是破金氏紀錄--自登基稱帝到被亂兵誅殺，不過四年，再糟的政權，也會多少維持更長一段時間。
                    
"
9789573243137,"

原因很簡單，就在九六○年，後周帝國將領趙匡胤，在陳橋叛變。所謂「叛變」，是二十一世紀用的語言，當時用的語言是「黃袍加身」。偏偏趙匡胤建立的，不是一個短命帝國，而是一個長達三百二十年之久的宋王朝。司馬光和袁樞，又恰恰都是宋王朝的官員，他們絕不敢振筆直書，指出他們的開國皇帝趙匡胤，是一個叛軍首領。不要說在絕對專制時代，就是在二十世紀毛澤東掌權和蔣中正掌權時代，誰又敢伸手到他們褲子裡，戳一下他們的屁股？滿坑滿谷關於他們的報導，全是歌他們從沒有過的功，頌他們從沒有過的德。我們不能抱怨司馬光、袁樞沒有史學家的勇氣，只有感謝二位先生，即令在那種環境下，仍為我們後人盡量留下歷史真相。

宋王朝的建立，宣告「五代」終止。但小分裂時代唯一的一位英明領袖郭榮，英年早逝，沒有能夠統一中國，實在遺憾。歷史上，每一次美景盼望，最後往往都會落空，難道是中國人的宿命？
                    
"
9789573243120,"

電影上有這麼一幕，一個小伙子追求一位姑娘，姑娘警告說，她已有了男友！小伙子說：「等他來，我揍他一頓！」一會兒功夫，拳擊手男友出現，小伙子結巴說：「當然，當然，對不起！」就腳底抹油。 不過，「不可橫挑拳擊手！」有人相信，「不可橫挑強鄰！」卻有人不相信。歷史上至少有一個人不相信，那就是後晉帝國宰相景延廣先生。不管什麼原因，他反正硬是不相信，非「橫挑強鄰」不可，並且把胸脯拍得咚咚響，集天下忠義於一身，任何反對他意見的人，都被他咬定是畏敵如虎，吃裏扒外，有漢奸賣國嫌疑，不，簡直這就是漢奸賣國證據；揚言夷狄如敢來犯，我自有十萬枚導彈，迎頭痛擊，上帝都制止不住他的發飆。通鑑紀事本末把這項歷史事件，整理在一起，使人一目就了解來龍去脈，讀者不妨看個仔細。最有趣的一段是：最後，當遼國皇帝詢問他，十萬枚導彈在哪裏時，他閣下的嘴臉，實在可觀。他一個人為了口舌之快，大言不慚，闖下滔天大禍，自己一死了之，應是罪有應得！致於千萬小民何辜？卻為他一個人的膨脹，而付出生命。景延廣之輩，永不絕跡，猶如其他類型的人，都永不絕跡一樣，使人不得不顫慄緊張！
                    
"
9789570414196,0
9789888694433,"


．必讀經典
《資治通鑑》是中國第一部編年體通史

．學術簡史
再現《資治通鑑》成書過程及編寫旨趣

．人物小傳
觀照司馬光政治家身份以外的學術成就

	《資治通鑑》是中國第一部編年體通史，於古，被譽為“帝王之書”，於今，是研習中國歷史必讀典籍。古往今來，點評批注《資治通鑒》的帝王將相、文人騷客、各界名流不勝枚舉。

	本書以簡約的篇幅、翔實的筆觸介紹了《資治通鑑》的編寫過程、內容特點及史學價值，並藉此勾勒出编著者司馬光的學術生平及史學貢獻，有助於讀者了解司馬光政治家身份以外的另一面。參與《資治通鑑》編修的其他學者，及與這部名著相關的史學著述，也在本書中賅要列出。誠為歷史學的上佳讀物。

"
9789863923268,"


■ 全方位、新視角、多層面的闡述中國歷史，簡單扼要地勾勒出中國歷史的發展。

	《資治通鑑》的本意是「鑑於往事，有資於治道」，是司馬光根據大量的史料編纂而成的一部編年體史書，記載了上起周威烈王二十三年（西元前403年），下終後周世宗顯德六年（西元959年）共1362年的歷史。其內容以政治、軍事和民族關係方面的重要史實為主，兼及經濟、文化和歷史人物評價，有「網羅宏富，體大思精，為前古之所未有」的美譽。

■ 本書的敘述手法，輕鬆而詼諧，讀者可以因此進入歷史的時光隧道，與古人的生活合而為一。

	自《資治通鑑》橫空出世以後，成為歷史上很多君王枕邊的必備書，書中對政治、軍事、少數民族關係的描寫，對經濟、文化政策以及歷史人物的評價，都發人深省，被推崇至極。

	清代著名學者王鳴盛曾評價此書道：「此天地間必不可無之書，亦學者必不可不讀之書。」他在肯定《資治通鑑》歷史價值的同時，也極高地評價了它的文學價值。

	我們從《資治通鑑》中選取了一百多個經典故事並編纂成書，希望能夠給讀者打開一扇觀照歷史的窗戶。讀史使人明志，願我們的努力能為您帶來些許收穫。

	歷史不但是一個國家和民族的發展史，也是一部有思想、有靈魂的生活史和奮鬥史。回顧中國過去五千年的歷史，每一處都值得人們去感受、去品味。

"
9789865163372,"


	為人君而不知《資治通鑑》，則欲治而不知自治之源，惡亂而不知防亂之術；為人臣而不知《資治通鑑》，則上無以事君，下無以治民；為人子而不知《資治通鑑》，則謀身必至於辱先，作事不足以垂後。《資治通鑑》流傳至今，雖過千年，仍經久不衰，它為什麼有這麼大的魔力呢？

	晚清著名思想家龔自珍曾經說過：「欲知大道，必先為史。」一部《資治通鑑》，既包括社會的進退得失之道、政治的興衰治亂之道，又包括個人品德的善惡美醜之道。參照這面歷史的鏡子，可以練就看破成敗的眼光，養成敏銳的世情嗅覺，讓我們跳出人性的盲點，不再重蹈歷史的覆轍。

	歷史是最不該被忽視的智力資源。關於今人面臨的競爭、成敗、取捨、抉擇等生存問題，過去的時空中早就有過相關的案例。破解爾虞我詐的政治權謀，領略對抗性的精英思維，悠悠青史無疑是最寶貴的閱歷。

	司馬光主持編纂了中國歷史上第一部編年體通史《資治通鑑》，賜碑「忠清粹德」。他為人溫良謙恭、剛正不阿，是傑出的北宋文學家、史學家、教育家。宋陝州夏縣涑水鄉人。哲宗初，入朝為相，罷王安石新法，恢復舊制，歷仕仁宗、英宗、神宗、哲宗四朝。死後追贈太師、溫國公，諡文正，世稱為「涑水先生」。

"
