ISBN,書籍簡介
9789570848656,"


這段歷史的焦點是人民！
文革爆發50週年，從人民視角重探文化大革命的真實歷史
當代中國史學家馮客經典力作──《文化大革命：人民的歷史1962-1976》
2016年《金融時報》最佳歷史類選書
檢視中國社會底層如何經歷了一場文革魔幻之旅
更重要的是，埋葬了毛澤東主義。


 文化大革命不是一場群眾運動，是一個人在用槍桿子運動群眾──王榮芬

 在共黨幹部、政府官僚、解放軍和紅衛兵的鬥獸場之外，還有一段真正屬於普通中國人民的文革史。普遍中國人民在十年文革浩劫中究竟遭遇到怎樣的衝擊？他們如何面對毛澤東一人由上而下發起的報復清算運動？如何自保、甚至從中尋求新的生存空間？

 當革命猛力搖撼建國以來形成的種種基層集體組織和權力結構時，計畫經濟體系也意外地隨之崩潰，這是毛澤東始料未及的結果。

 馮客的《文化大革命：人民的歷史1962-1976》，就是要描述這場中國無產階級文化大革命為何發生？如何演變？留下了什麼樣的創傷和遺產？本書是從中國基層人民角度，揭露1962至1976年間，他們所經驗過的文化大革命真相。這種從人民歷史角度出發的書寫，有異於過去的一般研究。本書資料來自數百份檔案庫中的文件，其中大多數在這本書是首度被使用，包含紅衛兵受害者的詳細狀況、政治肅清的數據、針對農村情況所做的調查、工廠和作坊的問卷報告、警方的黑市報告，甚至還有村民寫的投訴信，關於文革的回憶錄，自費出版的「自印書」（由基層黨員、甚至普通民眾執筆撰寫，提供了官方記載中看不到的視角）、訪談紀錄等。本書嘗試將「大歷史的敘述」與曾經身處這場人倫悲劇之中那些男男女女的「故事」連結在一起。從處在政權頂端的領導人物，直到偏僻地區的窮困村民，大家都面臨過極度艱難的考驗，而他們當時做出的不同選擇，顛覆了世人的印象──世人通常認為毛澤東時期最後十年裡的幾億中國人都具有相當高的同質性。事實上，他們所做的種種抉擇加總起來，最終將國家推向了一個與毛澤東設想中截然不同的方向：他們沒有打擊殘存的資產階級文化，而是推翻了計畫經濟，使黨的意識形態空洞化。

 馮客在《文化大革命》書裡提出，史達林過世之後，毛澤東相信自己應該已經成為全世界社會主義的最高領導人，這是他所追求的歷史定位。為了證明這一點，毛澤東在1958年發動大躍進，結果引來一場慘痛的失敗，許多同志和老戰友都認為毛澤東必須負起最大責任。

 毛澤東為此憤恨難平，經過幾年思考之後，他再度出手，於1966年發起了無產階級文化大革命。這是一場源於毛澤東個人積怨憤怒的政治運動，他號召年輕人挺身為他戰鬥，肅清沒有人知道何時開始潛伏在黨內的「走資派」、「修正主義分子」、「階級敵人」，而且讓紅衛兵的矛頭指向他想要報復的政敵。

 但是他的政敵們並非束手無策，他們早已學得了分化、轉移的手段，讓紅衛兵們分裂成許多派系，為了爭執「誰才是人民公敵」而內鬥不休。毛澤東當然不能就此罷手，於是呼籲全體中國人都必須投身文革，將運動的規模擴大到前所未見的程度，鋪天蓋地而來，混亂程度幾近內戰。

 1968年，以林彪為首的軍隊出面接管了這片大混亂，國家的權力卻同時由黨組織轉移到軍方手中。隨著林彪聲勢日益上升，毛澤東的猜忌心也日益增長，最終導致了林彪叛逃身亡事件。

 文化大革命使黨組織和軍隊都受到了創傷，飽經苦難因而堅韌的基層人民卻逐漸發展出自己的應對方式，從集體組織的桎梏中掙脫出來，一點一滴地將計畫經濟埋入土中，為日後鄧小平的改革開放開啟了一扇大門。

"
9789570850895,"


歷史傳記暢銷作家張戎：這是一本必讀的書。
少數民族、宗教團體、農民、藝術家、企業家、質疑各項政策的黨員……
他們才是受到這場巨大災難影響的普通人，但他們的故事幾乎被歷史淹沒

以人民視角書寫中國革命史的最新觀點！揭開毛澤東宣傳假面，還原中共建國真相！
人民發聲的歷史，是正史難以承載的生命重量。來自中國檔案館的大量證據，揭開黃金時代的恐怖真相！


	中國共產黨將1949年的勝利稱作「解放」，看到這個詞，人們通常會聯想到興高采烈的群眾湧上街頭慶祝重獲自由的情景。然而在中國，「解放」和「革命」的故事卻與和平、自由及正義無關，而是充滿了精心策劃的恐怖和有組織的暴力。解放後，廣大中國人民面對的是「一座精心設計的奧許維茲思想集中營」。共產黨政權建立不到十年，已經無人敢反對毛主席。

	首當其衝的是地主，共產黨在農村發動的土地改革，其實是黨和窮人之間的血腥交易、一場精心策劃的殺戮，導致兩百萬地主遭到清算。接著是鎮壓反革命的恐怖運動，目地是消滅所有黨的敵人，毛澤東甚至設定了殺人指標。為達成殺人指標，幹部們往往只是隨機挑選殺害對象，最後有將近兩百萬人遇害。然後是少數民族、宗教團體、農民、藝術家、企業家、工商業主、教師、學者，以及對各項政策提出質疑的黨員……

	《解放的悲劇：中國革命史1945-1957（當代中國史學家馮客三部曲）》的主角就是受到這場巨大災難影響的普通人。他們的故事大多被歷史所淹沒，因為官方的宣傳報導中只充斥著大量領導人的談話，而這些談話只是描述了一個他們想要建成的社會，最多只能算是設計藍圖，並不能反映社會現實，而且通常只提到工人和農民中的模範人物，找不到有血有肉的普通人。

	當代中國史學家、《文化大革命：人民的歷史1962-1976》作者馮客擷取近年才得以公開的檔案資料。他所蒐集的數百份來自中國各檔案館、從未解密的檔案文件中，包括祕密警察的報告、未經篡改的高級領導人的演講、在思想改造運動中寫的悔過書、對農村反抗事件的調查報告、鎮反運動的詳細統計資料、工人工作條件的調查、普通人的上訪信件等內容。輔以各種回憶錄、信件和日記，以及親身經歷者的記述，勾勒出那些革命的主要參與者和受害者的真實故事。

	那些早期的親歷者所留下的證詞，通常被同情共產黨政權的學者所忽視，但他們的描述如今恰可與檔案資料互相參證，對研究歷史的真相幫助很大。透過這群有血有肉的普通人的故事，讀者獲致前所未有的機會，得以穿透中共宣傳的表相，接櫫毛澤東政權下最慘烈的時代悲劇。

"
9781625035493,"

本書是新聞尖兵廖兆暄的採訪史實，分為上下二部，上部：成長篇、出征篇、血淚篇、秘密篇、復仇篇、壯志篇、松山篇、凱旋篇；下部：袍澤篇、悲喜篇、尋史篇、珍珠篇等紀實。內容生動寫實，對二次世界大戰中國戰場有詳細深刻的紀錄。
                    
"
9789578924086,"


	自稱「半個馬克思信徒＋半個佛教徒」的達賴喇嘛，自1959年出走西藏、流亡印度近六十年，始終在達蘭薩拉實踐其追求民主平等的「大西藏文化自治」。

	關於西藏的未來，達賴喇嘛的代表與中共迄今已進行七次會談，然而雙方卻存在許多分歧：達賴喇嘛要求「西藏自治」，北京的中央政府則認為西藏已經自治了；達賴喇嘛自1979年便宣佈放棄西藏獨立，但北京並不認為達賴喇嘛已經實踐這樣的諾言；達賴喇嘛認為雙方會談很有進展，但北京方面認為會談並沒有實質進展；達賴喇嘛提出返國赴山西省五臺山朝聖，北京卻不作任何的應諾。

	西藏將往何處去？這是上世紀五十年代初「西藏和平解放」之後不斷探索的路向；主張「解決漢藏問題走中間道路」的達賴喇嘛，又將帶領西藏走向何方？

	本書由前《亞洲週刊》資深記者紀碩鳴長年追蹤報導，完整收錄八次專訪達賴喇嘛及兩次專訪達賴喇嘛二哥嘉樂頓珠的精彩內容，揭秘自鄧小平、江澤民、胡錦濤至習近平以來的西藏政策！

本書特色    

	前《亞洲週刊》資深記者紀碩鳴長年追蹤報導，
	完整收錄８次專訪達賴喇嘛＋２次專訪達賴喇嘛二哥嘉樂頓珠的精彩內容，
	揭秘自鄧小平、江澤民、胡錦濤至習近平以來的西藏政策！

"
9789888298808,"


	金融科技，會吞掉整個銀行業？     

	恰恰相反，中國的金融科技令銀行業逃過一劫，化解了地球上最大的信貸泡沫！

	幾十年來，中國信貸業和次貸業都超級旺盛，製造了地球上最大的信貸泡沫！但與一些分析師所作的末日判斷不同，信貸泡沫一直沒有破滅！

	被譽為「最佳中國分析師」的張化橋，在本書為你細心分析箇中因由：

	原來，大量的非銀行金融機構為銀行業扮演了先驅敢死隊，而大量的創業者亦把金融科技引入次貸領域，促進次貸業發展，吸納了幾乎所有的次級借款人，卻給銀行留下了優質的客戶。

	的確，信貸業亂象頻生，一萬多家小額貸款企業，給政府監管造成困難，也令大量投資者和借款人造成損失，詐騙犯和違約者也確實讓整個行業元氣大傷，但這形勢有利有弊。

	如果中國次貸行業的企業扮演著銀行的水管工的角色，給銀行排污堵漏；如果金融科技能夠讓中國金融業變得更安全可靠、成本更低和效率更高，這些混亂和困難就都值得了。

	作者亦向讀者展示了次貸業內龍頭公司的商業模式，顯現其機遇與挑戰並存的現狀。

本書賣點

	暢銷財經書作者張化橋的最新著作，再次觸及中國的信貸泡沫問題，為中國次貸（Subprime credit）的前景作最新分析及預測。

	本書以最熱的金融科技（FinTech）為主軸，作者以第一身的經濟及見聞，詳述中國金融科技界的最新發展。

	書中包括多位中國金融科技界前線人士的訪問，亦就多間金融科技公司作詳盡介紹，如馬雲旗下的螞蟻金服、剛於美國上市的趣店，以及騰訊旗下的微眾銀行等，有助讀者了解中國的金融科技界。

"
9789869590754,"


一位資深記者回憶故鄉的浮光掠影，
一個真實的五○年代上海灘……


★資深新聞工作者的親身見聞，以第一手資料創作之紀實文學作品。
★帶讀者領略五○年代上海灘的大城小事

 她幾十年來周遊各地，到東北插隊、到日本留學，在外面轉了一大圈，當再次回到這故鄉地，細細端詳這美麗、魔幻的城市時。突然，她有一種深深的體會：從書籍被燒、文物被砸，到寺廟被毀，這個城市也和她一樣歷經了許多人間滄桑，以及許多大時代下的哀愁……

 原來她不太喜歡上海，有滿滿幾抽屜的日本照片，可是沒有幾張上海的風景照，在外面轉了一大圈，她才知道上海灘的魅力。

 葉落歸根，她終於能靜下心來看上海、寫上海。回憶當年背著書包，走過的每一條弄堂，那裡有平常人家，也有上海灘上的名人：對面洋房裡著名畫家程十發先生、隔壁院子裡住的筆桿子姚文元、長樂路上周信芳的家。

 她好奇地走進了當年轟動全國的豪宅「水晶宮」中，看到一個和外面完全不同的世界……於是她開始採訪，原來這深牆高院裡，有這麼多曲折而有趣的故事。

 當年的小姑娘終於結束冒險回到故鄉，她溫柔的回望那些往事韶光，並執筆寫下當年的所見所聞與大家分享。

本書特色

 ★資深新聞工作者的親身見聞，從小人物的視角仰望大時代的巷衖故事，以第一手資料創作之紀實文學作品。

 ★作者尋訪當年「腳踢天安門」事件主人公之子，真實記述當年轟動全國事件的背後故事。

"
9789888466405,"


了解毛澤東思想軌跡與閱讀之關係
了解毛澤東的個人閱讀與中國當代史之關係
啟發讀者從中共領袖視角去審視書中所提的這些書籍


	毛澤東酷愛讀書。在不同時期，因背景不同，任務不同，境遇不同，需要解決的問題不同，關注的重點不同，興趣和精神狀態不同，他重點閱讀的內容也有所不同。梳理毛澤東的閱讀史，可以更真切地了解他在不同時期為甚麼讀書，重點讀甚麼書，怎樣讀這些書，如何運用書中知識……這樣一些饒有意味的話題，進而了解他的思想和內心活動，以及他的某些決策的前因後果。

推廣重點
	1，了解毛澤東思想軌跡與閱讀之關係
	2，了解毛澤東的個人閱讀與中國當代史之關係
	3，啟發讀者從中共領袖視角去審視書中所提的這些書籍

"
9789869308854,"


	中國流亡作家茉莉自從1998年訪問印度達蘭薩拉流亡藏區以來，全部涉藏寫作，都是在如烏賊噴射的墨汁中，力圖揭露謊言，引起公眾對西藏問題的關注。北歐的流亡生活，使茉莉在觀察研究西藏問題時，站在綜觀世界的立足點，多角度觀察、對比、質疑與分析。

	 

	誠實說理，與強權分庭抗禮，表達正義的聲音，尋找解決西藏問題之途徑。

"
9789869465359,"


 「謹以此書，作為紀念“六四”28週年的內容，獻給那些在1989年，為了中國的未來而付出青春與生命的代價的人們，也送給那些現在仍然致力於推動中國進步的人們。」――王丹

 「八九六四」的記憶從當下向歷史移轉，在喧囂之中，我們需要更緊貼土地的真實紀載。本書從「口述歷史」的型態出發，透過採訪紀錄的忠實呈現，帶給讀者更多面向的「八九六四」。

 一九八九年的民主運動，不是一場精英運動，而是一場全民民主運動。它留下了不能被遺忘的傷痕；或許我們未曾參與歷史，但都可以作為一個真相的傳承者。

"
9781625033659,"

本書是二戰老兵廖兆暄的回憶錄，分為：成長篇、出征篇、血淚篇、秘密篇、復仇篇、奇蹟篇、凱旋篇、袍澤篇、史公篇、輝煌篇、悲喜篇、遺恨篇等紀實，內容生動寫實，對二次世界大戰中國戰場有詳細深刻的紀錄。
                    
"
