ISBN,書籍簡介
9789570533347,"


林昭是「當代中國僅存的自由之聲」──已故諾貝爾和平獎得主劉曉波
	她以信仰與意志，抗爭八年；她以血與墨，書寫幾十萬字，刻劃不羈的青春。


	林昭的一生可謂近代中國史的縮影。

	1932年，林昭出生，童年經歷過國民黨的統治，因此自幼時就心繫革命與中國共產黨，甚至因為其父彭國彥早年沒有支持革命，而毅然決然地捨棄了家族姓氏。

	1949年，新中國成立，林昭加入了共青團，也開始了她對自我信念的掙扎與衝突。她曾經信仰左派理論與馬克思主義、對中國共產黨十分信任與忠誠，甚至難以接受自己屬於「小資產階級」的過去，積極參與共產黨的下鄉運動。

	1959年，林昭逐漸無法容忍中國共產黨的殘忍，她在地下刊物《星火》上批評毛澤東的大躍進政策，隔年被捕入獄，判決20年有期徒刑。

	長達八年的牢獄之災，使她受到各式酷刑，儘管遭遇了食物不足、暴力、虐待的痛苦，仍未阻斷林昭救國救民的意念。在獄中，患有肺結核的林昭，秉持著對人性與基督的信仰，以血為墨寫下多達二十萬字的「自由書」，不斷控訴中國共產黨不當的政策與作為，用生命寫下她對國家社稷發展的關懷，展現她以卵擊石、不屈不撓的一生。

	1968年，文革爆發後，林昭被改判死刑，同年執行槍決。

林昭簡史

	1932年1月23日，生於江蘇蘇州，原名彭令昭。

	1947年，入讀基督教監理會創辦的蘇州景海女子師範學校，不久後受洗成為基督徒。

	1948 年，祕密加入中國共產黨；翌年因未服從命令而失去黨籍。

	1949年，畢業於景海女師，之後不顧父母反對，入中共蘇南區委開辦的蘇南新聞專科學校受訓成為紅色記者。

	1950年，畢業於蘇南新專，加入蘇州農工團、投身「土改」，力求重新入黨。

	1954年，考入北京大學中文系新聞專業，就學期間曾任《北京大學校刊》、《北大詩刊》和學生文藝刊物《紅樓》編輯。

	1958年，因於1957年參加北大「五．一九」民主運動而被劃為「右派」，留校接受「監督改造」。

	1960年，因參與出版譴責中共苛政和「大躍進」的地下刊物《星火》被捕入獄。

	1962年，保外就醫，其間起草「政治綱領」，計畫創建「中國自由青年戰鬥聯盟」，同年第二次被捕入獄，先後在上海提籃橋監獄和上海市第一看守所受長達二年六個月的審前監禁，其間遭受酷刑並開始寫血書進行反抗。

	1965年5月31日，被上海市靜安區人民法院以「『中國自由青年戰鬥聯盟』反革命集團主犯」罪名判處20年有期徒刑。

	1965～1968年，監禁於提籃橋監獄；期間堅持其「上帝僕人的路線」，兼用筆墨和鮮血寫下致《人民日報》編輯部、聯合國和母親等共約五十萬，鞭撻中共「極權暴虐」的文字，宣告「奴役他人者同樣地不得自由！」

	1968年，改判死刑，於4月29日在提籃橋監獄內被槍決；時年36歲。

	1980～1981年，上海市高級人民法院撤銷對林昭的死刑判決，二次宣告她無罪。

本書特色

	1.藉由大量的史料與第一手的訪查，撥去盤桓在北京才女林昭身上的疑雲，重新建構林昭的一生。
	2.描繪新中國誕生前後的政治發展，包括共產黨成立、大躍進運動、文化大革命等。
	3.呈現大時代下知識分子堅忍的意志與信念，以及他們面臨的認同衝突。

"
4712977748705,"


他曾領軍五四新文化運動，為了國家興亡而在海外奔波。

他既熱情，又平淡；既軟弱，又硬挺；既自由，又保守。

他是近代史的第一號人物：胡適。

	 

	胡適，是中國近代史上眾所皆知的人物，他引領了五四運動的發展、開創了白話文學，為當時知識界、輿論界不可或缺的領袖。同時，他也是自由主義的奉行者，一生崇尚民主自由。儘管有著如此崇高的地位，在政治方面，胡適卻總被評價是一名「軟弱」的人物。相較於殷海光、雷震等人公開反對蔣中正威權政府的態度，胡適則是願意與政治權威妥協，不肯跳入「火坑」。

	 

探究知識分子的抉擇與兩難，更全面的看到「人性」的光輝

	 

	胡適的一生，真的可以用「軟弱」兩字一筆帶過嗎？探究胡適的性格，必須深入了解他背後的歷史情境，探討其真正抉擇和思想脈絡的核心。胡適的從政生涯，看似遠離風險，但他從未改變的是他身為自由主義者的堅持與情操。在國家興亡之前，他選擇容忍；在民主憲政之前，他不願妥協。

	 

	本書將對「胡適」抽絲剝繭，重新探討其在思索政治問題、面對政治權威的態度、思想，並且作為一位極少數能涉足政治，最後能「得君行道」或全身而退的例子，對比1949年留在中國的知識分子，讓我們更了解近現代史的面貌。

	 

本書特色

	 

	1. 剝去胡適身上的各種疑雲，呈現一名真實、充滿「人性」的胡適

	2. 理解知識分子遇到理想與現實衝突時的妥協與容忍

	3. 從胡適的角度看近代臺灣政治史的發展與演變
	 

好評推薦

	 

	中央研究院史語所教授 王汎森

	中研院近代史研究所副所長　潘光哲

	政治大學歷史學系兼任教授　劉季倫

	（依姓氏筆畫排列）

	 

	本書述說胡適的政治生活與影響，別開生面；有意瞭解現代中國知識人與政治權力的讀者，必然開卷有益。──中研院近代史研究所副所長　潘光哲

	 

	此書寫胡適的蹤跡大綱，寫他的進退存亡、行藏用舍，也就寫出了左右夾擊下自由主義在中國發展的曲折。描他的情懷小樣，描他接受蔣介石的美金餽贈，描他在雷案中的內疚彌深，也就描出了他無兵無將、無權無勢，而仍然堅持以「公共輿論」來改變中國，至於對蔣犯顏直諫的難能可貴。自由主義因此不再只是一種抽象的理念，而是面對現實中的艱困橫逆，步步展開，卻又節節頓挫的歷史現象。

	從顧孟餘的清高，到胡適之的頓挫，黃克武寫出了那未能成真的另一種可能；讓讀者流連、遺憾，終而掩卷興歎。──政治大學歷史學系兼任教授　劉季倫

	 

"
9789578018853,"


生涯遍及五國的資深評論員，
 走過八十一個春夏秋冬的回憶錄。

  

書寫「心史」與「跡史」
何謂「賣國」與「愛國」
如何「順民」變「刁民」

 印尼成長、中國學習、香港就業、美國短居、台灣入籍
 歷經東亞政治局勢動盪時刻，原鄉與異鄉間的輾轉奔波
 身分認同與人生價值的抉擇，書寫七十餘載的壯闊漂盪

 本書雖以「心史」為主，也不乏「跡史」，即可作自傳來看，也可作歷史來讀。由於作者生涯遍及印尼、香港、中國、美國到最後定根台灣，而且敢言人之不敢言，內容豐富多彩自不待言。

 作者披露了他的「雜種」身份，還是皇親國戚的「賣國」世家；「賣國」表達他具體化中國歷史的若干背景，「雜種」更是對傳統中國史觀的顛覆。

 這是一本作者由共產黨的「順民」轉變為「刁民」的歷史見證；從史的誤會走向歷史的必然。不但有上當受騙的經歷，也有覺醒反思的過程，更有追尋光明的勇氣與行動。

 在面對全球民主與獨裁、自由與專制大對決的關鍵時刻，作者對其一生平實的敘述與敏銳的觀察，有其可貴的價值。

"
9789869373937,"


傳記文學的奇葩   口述歷史之極品


	潮流興口述歷史，然而口述歷史出得濫了，便使人覺得都是些「老王賣瓜，自賣自誇」的貨色，多數是隱惡揚善、文過飾非的偽史。不過，口述歷史也有出類拔萃的，諸如《顧維鈞回憶錄》、《周宏濤回憶錄》以及《張發奎口述自傳》。前者是元老外交官顧維鈞將一生所積累的一百多箱外交文件整理而成的，周宏濤回憶錄是依據傳主擔任蔣介石機要秘書時的日記撰寫而成的﹔後者則是美國哥倫比亞大學派專人來香港訪問張發奎上將四百多次寫成的。

	張發奎十六歲從軍，至八十四歲離世，戎馬倥傯多姿多采的一生，從辛亥革命開始到北伐、東征、剿匪、抗戰、國共內戰，經歷了廿世紀中國歷史的許多重大事件，之後在香港組織反共反蔣的第三勢力兩次反攻大陸、支援馬來亞政府剿共、支援印尼革命軍反抗蘇卡諾政權等等。他所結交或過招、對抗的現代名人有國民黨陣營的，包括擁蔣反蔣；有中共陣營的；有革命軍人；有外交官；有名流紳商；有幫會豪強；有漢奸土匪；有北方軍閥；有南方軍閥；有桂系人馬；有貳臣叛逆；有閩變分子；有情報特工；有五十年代在香港從事第三勢力活動者；有包括副總統的美國有關涉中的官員、顧問、CIA情報人員；有英國港英政府要員；有蘇俄在華顧問、專員；有包括胡志明、武元甲在內的越南革命志士；有朝鮮革命志士；有印度革命領袖；有日本華南派遣軍要員……

	所以這本口述自傳堪稱二十世紀中國歷史的縮影，史料價值彌足珍貴。

	國共兩黨各自在統治的地區掌握歷史教育話語權已長達數十年，有許多歷史的真相被扭曲、被美化、被掩蓋、被刪除、被纂改，本書的出版披露了許多聞所未聞的真相，釐清了許多國共兩黨黨國制式教育下永不可能知道的另一面事實，彌補了歷史的缺憾。

"
9789869677738,"


	從一九三七年抗日開始到今天，是中國現代史上變亂最劇烈的一段時期。我深切感到：如何將這一特殊歷史階段的重大變動在訪談稿中呈現出來，其意義遠大於追溯我個人生命史的發展。回憶錄因個人的處境互異而各有不同，這是不可避免的。我一生都在研究和教學中渡過，因此回憶也只能騁馳在學術、思想和文化的領域之內。不用說，我所經歷的世變也是通過這一特殊領域得來的。我希望我的回憶對於這一段歷史流變的認識稍有所助。同時我也相信，一定會有和我同代的其他學人，以不同方式留下他們的回憶。這樣的回憶越多越好，可以互證所同、互校所異。出版這部「回憶錄」的另一動機：拋磚引玉，激起更多學人追憶往事的興趣。如果允許我再有一個奢望，我想說：我在《回憶錄》中所記述的個人學思歷程，無論得失如何，也許可以獻給新一代求學的朋友們，作為一種參考。——余英時

	全球華人引領翹望，期待已久的鉅作，《余英時回憶錄》終於問世了。余英時教授不但是中央研究院院士，第一屆唐獎得主，更曾在2006年獲美國克魯格學術獎肯定，可謂聲蜚國際。更重要的，他多年堅持反共、平反六四的立場，從不受各種利誘而動搖，遙居人格者高位。這部回憶錄具現他從成長求學迄今的心路歷程，以及轉折，與時代變亂相綰繫，從而形塑生命中深沉與不斷思索的肌里，是當代難得一見的，最重要的學人心史。從訪談到成書，歷十二寒暑，成書之不易與下筆之慎重，可見一斑。

	在一個缺乏理想和理念的年代，《余英時回憶錄》的問世，不啻暮鼓晨鐘，發人省思。

"
9789865559847,"


	◎以細膩的文學筆觸，真實記錄共產中國下受害家族反抗暴政的奮鬥故事。

	◎作者回望父親與自己的一生，父女倆既是毛的囚犯，也是拯救親人突圍求生的囚犯。

	 

	★澳洲齊氏文化基金會、「推動中國進步獎」創辦人齊家貞女士的自傳小說。

	 

	這個罕有其匹的家族故事，既是共產中國億萬個自生自滅的生靈抵死反抗暴政的一碑活化石，也是一幕極簡、深情而又痛徹心扉的人類戲劇。

	 

	只因國民政府鐵道運輸高級技術管理者的身分，

	父親於中共奪政後即被管制和拘役10年；

	母親餵養著從15個月大至10歲的五個兒女；

	女兒欲偷渡出國圓求學夢，被以「叛國投敵罪」判監13年，

	父親受累被判監15年；

	破碎的家庭，在毛主席沒完沒了的政治瘟疫中咬緊牙關苦撐。

	 

	身心受創的父親，誓言要把亡妻放心不下的兒女們搬運到民主之國，過一下真正的人的生活。

	父親在72歲時非法滯留美國打工，先把47歲的女兒搬運到澳大利亞讀書。

	由此開始，為逃離祖國，一對父女囚犯和四個兒子，經年累月，在亞洲、大洋洲、北美洲原地疾走，直到世間再也無人看見過他們的身影。

	 

	「關於紅太陽的傳說，我小時候也聽老人們講過，他們說紅太陽裡有個神叫做毛主席，領導那裡的窮人鬧革命，把很多富人的身高都壓縮了，不服壓縮命令的就地鎮壓。所有窮人都翻身做了主人。大家都身高百米。連毛主席本人也是身高百米。那裡廣大的窮人不答應，強烈要求之下，毛主席才答應他的身高每年長一米。掐指算來，毛主席到今天也該有兩千米了吧。

	……紅太陽裡住個毛主席是個神話。……但我已經堅信那不是神話。我將車子發動到最高馬力，開上了通往太陽的星際公路。這條公路從來沒有修完，最後那段路，我必須在近太陽的灼熱空間裡自己摸索前進。我開車是現學的，車技糟糕，但我決定已下，我要看一下紅太陽上的人們過著何等幸福的日子。我還要看一下他們互相之間是多麼的平等。最後，我一定要央求這位身高有兩千米的超巨人，將地球改造得和他的紅太陽上的一樣好。」

	——七格《一百米身高的世界》

"
9789865541446,"

張良的謀略，出於他對天下局勢的洞悉，而他的機智最精采的，莫過於他的辯才，他最令人佩服的，則是他深知人性的弱點。張良的祖先是戰國時韓國首都陽翟（今河南省禹州市）人，他的祖父張開地曾擔任韓昭侯、韓宣惠王、韓襄哀王的相國，父親張平曾擔任韓釐王與韓桓惠王的相國。秦國在前230年滅韓後，張良散盡家財求得善擲沉重鐵錐的大力士報仇，於博浪沙伏擊行刺秦始皇，卻誤中副車，行刺失敗，張良只好隱姓埋名躲避通緝。在秦時，他也一度幫助殺人的項伯（項羽的堂叔）逃離公家的拘捕。張良在流亡時認識了隱士黃石公，受贈《太公兵法》，潛心苦讀十年而有成，張良聚集了百餘名少年，成為當地的遊俠，得知景駒自立為楚王，打算前去投靠。但路上見到以滅秦為目標的劉邦在附近屯軍，便率眾加入劉邦部隊，又因為劉邦重視他，成為頂尖謀士，因此張良也打消了去投靠景駒之念。沛公到了薛城投靠項梁，當時項梁立楚懷王之孫為楚後懷王。張良於是遊說項梁，希望也讓韓國復國，於是項梁封了韓國公子韓成為韓王，張良改為跟隨韓王，受封韓國司徒，率領一千餘人與秦兵在潁川進行游擊戰，戰果並不顯著，項梁在定陶之戰被秦少府章邯所討死。劉邦出兵滅秦時，張良、韓成的部隊與劉邦會師，公元前207年，劉邦攻入咸陽，秦朝滅亡。當時劉邦意圖自立為關中王，項羽得知後非常憤怒，要滅除劉邦，幸虧在項伯與張良的幫助下，劉邦與項羽在鴻門宴之中和解。
                    
"
9789865548414,"


「水，永遠都是放鬆卻做好準備的。就像有句俗話叫「一發不可收拾」。

「光有知識是不夠的，你得學以致用；光有決心也不夠，你得付諸行動。」

「如果你熱愛人生，那就別浪費時間，因為人生就是由時間構成的。」

	 

★亞馬遜傳記暢銷第1名，讀者狂讚：「現代人最需要的正念方法」！

★《華盛頓郵報》、《新聞週刊》、《紐約時報》等暢銷作家專文推薦！

★一出版即入選《今日美國》不可錯過書單！

★至今已售出英、日、法、德等20國版權！

	 

「Be Water，My Friend !」

	意思是武者不被形式所拘，要像水一樣流動，既柔軟又剛強；

	既能適應萬物，又能匯聚為強大的力量。

	 

為什麼這句話能夠流傳至今，影響無數世人？

因為這是香港已故武打明星李小龍的人生哲學。

	 

	李小龍是誰？為什麼逝世已近半世紀，還是有不少狂熱的追求者？

	他師承葉問，在美國創立截拳道，被尊稱綜合格鬥之父（Mixed Martial Arts）

	世界拳王泰森（Mike Tyson）對他的評價是：「在拳擊臺之下，我沒有勝算。」

	 

	除了格鬥技術，李小龍在影史的地位也相當傑出，

	1970年代拍攝的《唐山大兄》、《精武門》、《猛龍過江》震撼世界影壇，

	甚至邀請他的徒弟，NBA知名球星「天勾」賈霸（Abdul-Jabbar）一起拍攝電影。

	 

	他是武術家？演員？哲學家？或三者都是？

	本書由李小龍之女李香凝執筆，解析武打巨星李小龍的人生哲學。

	 

◎李小龍的「水之道」，從詠春開始   

	李小龍年少輕狂脾氣差，師父葉問總是教導他要溫和，

	「脾氣溫和是要怎樣打贏別人？」李小龍一直很納悶。

	  

	直到有一回，他從香港的港口划小船出遊，突然使勁槌了海水好幾下，

	海水竟毫髮無傷，他突然理解師父的用意：

	水既柔軟又堅韌，是世界上最偉大的力量。

	  

◎阻礙從來不是重點，重點在於你怎麼對待 

	當水被某種障礙物擋住時，它會平靜等待，卻又伺機而動；

	一旦移開障礙物，就會立刻奔流過去，毫不遲疑。 

	所以，李小龍說，面對競爭與阻礙，

	「水，永遠都是放鬆卻做好準備的。就像有句俗話叫「一發不可收拾」。

	 

◎功夫，是怎麼訓練出來的？靈魂與肌肉一樣，沒操過就不會變壯

	數學功力、演講功力、帶小孩的功力……任何事都可能練出一身好功夫。

	那麼，李小龍的功夫又是怎麼練出來的？ 

	他說：「我不怕練過一萬種招式的人，我只怕把一種招式練過一萬遍的人」。

	 

	許多參觀過李小龍作品檔案室的人都會驚訝於

	這個只活到32歲的人（1940—1973），怎麼可以留下這麼多作品？

	 

	李小龍的答案很簡單，卻值得你花一輩子來體悟：

	「請記住，我的朋友，杯子何時能發揮用處？只有當它是空著的時候。」

"
9789570856804,"


中華民國歷任最久的聯合國大使——蔣廷黻


★ 運用蔣廷黻英文日記（1944-1965）掌握史家從政後半生
	★ 直接援引《口述自傳》，修正白色恐怖時期譯本曲筆

	「我不喜歡從俗、隨波逐流。我行使我獨立判斷的權利。這個習慣讓我在工作崗位上所付出的勞與憂，都遠超過一般官場上所定義的勞與憂。然而，這樣的態度才能使人生有興味、有挑戰。」——蔣廷黻

	「在你從政以後，現代中國毫無疑問地失去了它最有能力的歷史家。……然而，即使如此，我知道作為史家的你，會有史家的視野來意識到你傑出的貢獻。這是無法用文字來形容的。」——美國漢學家 費正清（John King Fairbank）

	蔣廷黻是一位卓越的歷史學者，從美國哥倫比亞大學取得博士學位後，歷任南開大學與清華大學教授。他亦是一位傑出的政論家，評論散見於《大公報》等著名刊物，並與胡適共同創辦《獨立評論》。然而，蔣廷黻在現代中國集體記憶裡重新出土的時間，比胡適晚了近二十年，不只因為其從政生涯遠長於學者生涯，更因他是中共政權在政治上的敵人。

	離開學界後，蔣廷黻歷任國民政府行政院政務處長、駐蘇聯大使、駐聯合國常任代表與駐美大使，而他在聯合國與美國的首要任務，便是阻擋中國進入聯合國，以及阻止美國承認中國。美國頒給蔣介石的兩道「免死金牌」——「緩議方案」與「重要問題」——在他的斡旋下，讓中華民國保有聯合國席次二十年。

	江勇振繼《舍我其誰：胡適》四部曲後，為學優則仕的蔣廷黻作傳，以三份難得的珍貴史料為基礎：英文版《口述自傳》、1944至1965年的英文日記，以及《美國哈佛大學哈佛燕京圖書館藏蔣廷黻資料》，描繪出歷經國難驚濤的一代外交官風範，與蔣廷黻個人生命的愛恨灑脫。

	江勇振：「許多喝過洋墨水的近代中國人常會用英文寫下不可為國人道也的秘密。胡適如此，蔣廷黻也如此。……蔣廷黻在日記裡批評蔣介石的話如果是用中文寫的，而且如果在大使任內就流傳，他的命運至少一定會跟葉公超一樣，被召回而且軟禁。」

▍關於中日戰爭——1938 年8月20日 蔣廷黻寄胡適信：
	因為缺乏醫療，許多受傷的人死去。非常高比例的人沒有得到任何救助。有些餓死、渴死。情況非常慘。委員長身邊的人只告訴他好的消息。我不認為他知道實際的情況。……如果戰爭再持續六個月，我們可能會淪落到被敵人和憤怒的百姓夾擊的地步。當然，日本害怕其經濟結構會崩潰。我們不怕，因為我們根本連那個結構都沒有。中國經濟崩潰，就會是以傳統流寇（banditism）的現象來顯現。那些高喊抗戰的人是躲在後方的人。他們根本就不知道真正在戰場上的人所吃的苦。

▍關於美蘇冷戰——1948年6月22日 蔣廷黻日記：
	雖然我投票贊成美國的提案，但我並不是完全樂意的。當然，最好的作法是讓核子武器從這個世界永遠消失。然而，究竟是讓美國或蘇聯擁有這個武器？這個選擇很容易。如果蘇聯比較像樣一點（more decent）的話，我是會樂意加入它的陣營來禁止核子武器的。將來，這個世界也許會後悔美國有這個武器。

▍關於國共內戰——1948年12月31日 蔣廷黻日記：
	今年值得誌記的是國民黨的崩潰。從它興起到滅亡總共歷時二十五年。其興起是拜民族主義以及北方軍閥的腐敗之賜。其滅亡則是由於：一、長期對日抗戰；二、食古不化（medievalism）；三、未能改善老百姓的經濟情況。造成後者的原因是由於沒有眼光，以及由個人野心所造成的長期的內戰。……國民黨在其所存在的二十五年之間沒有出現一個真正的政治家。

▍關於中國代表權問題——1950年12月4日 蔣廷黻日記
	他［顧維鈞］從華盛頓核心人物得來的消息說「中國」在聯合國的席次會讓給赤共。我相當樂觀地進去，而卻沮喪地出來。我就是不理解：如果美國守不住韓國，就撤退好了；中共沒有海軍，沒有辦法到任何地方去打美國：為什麼要平白地用「中國」在聯合國的席次去交易？

▍關於《中美共同防禦條約》——1955年2月12日 蔣廷黻日記：
	在協防條約簽署、台灣安全了以後，老蔣將會繼續扮演他導師—領袖的角色，亦即，獨裁者——一個小島上的小獨裁者。他將永遠不會體認到他的缺點或者認清事實。俞國華是他找到的一個理想的行政院長——一個基督徒的應聲蟲；同樣地，張群是他理想的祕書長。前景黯淡。他毫無疑問地會發表一些說教式的文告來滿足他的虛榮心（amour proper）。

"
9789860613001,"


聆聽百歲老人講述世紀傳奇──南懷瑾著作最佳代言劉雨虹的人生行路。


	◎從家庭背景、學習成長、婚姻交友，到追隨南師，且看奇女子走過一世紀的人生故事。
	◎「照人依舊披肝膽，入世翻愁損羽毛」是南師對劉雨虹的評語，是讚賞也是勉勵。
	◎作者筆觸生動真誠，雨虹師的人格風範在充滿細節的史料故事中自然流出。

	「我覺得一輩子過得太熱鬧了，我自己一生有很多奇遇，我告訴你，我這麼想，現在年紀這麼大，假如我涅槃了，離開這個世間時，請大家為我歌唱。」這種莊周「鼓盆而歌」的生死觀堪作雨虹師一生曠達的總結。

	劉雨虹，一九二一年生，已晉百歲嵩壽，追隨南師四十三年，與南師亦師亦友，孺慕情深，南師曾親函四十三封信予劉老師，後編成《懷師的四十三封信》一書。劉老師一生為整理出版南師的著作而勠力不懈，南師仙遊後，並整理出版南師未面世之書籍多種，可見其深得南師思想精髓與信任，南老師視之為「道友」，稱她為自己的「總編輯」，為南師著作的第一代言人。

	雨虹師生於西風東漸，傳統文化花果飄零的新文化五四運動時期，經歷過延安、西昌、成都、南京、臺北及美軍顧問團等各處的文化洗禮，卻在知命之年從學南師後轉變想法，進而襄助南師弘揚傳統文化。有心人訪百歲人瑞，留下一部世紀傳奇，其間的思想轉折，讀者們或也能從岱峻先生對雨虹師的細膩挖掘中，窺見一二。

	陝北公學、西昌康專、重慶先修、成都金陵，涉險參學數座黌宮；
	曉園大姊、瓊瑤姪女、春翔姊夫、夢蝶詩友，有緣情結幾多人傑？

	適袁府，蹈過兩次戰火，體證家國命運；
	居台島，歷經幾度寒暑，感悟三界悲欣。

	追隨南師，編輯濟世良言；
	沉潛蘭若，寫出平常心語。

	～～人生無奇君莫笑，當我離世，請為我歌。

"
