ISBN,書籍簡介
9789576634734,"

暢銷書《電學之父－法拉第的故事》作者張文亮教授的最新著作。　　＊金鼎獎作者張文亮，用最簡淺的文字，融合科學、歷史、地理，讓你認識客家人開發台灣的貢獻。　　＊告訴你在百年之前的客家人，有哪些現代科技都派不上用場的智慧，可以讓丘陵變良田。　　＊告訴你在貧瘠的東台灣河邊，為何能生產五結、池上、電光、關山與富里等舉世聞名的「好米」？　　＊被稱為「東方猶太人」的客家人，在農業、水利工程與生態保育上，有哪些偉大的發明。　　＊沒有任何悲情訴求或八股教條，對客家人來說，是一本認識祖先的文化基本讀物。對非客家人來說，是一本認識台灣鄉土的最佳教材。

"
9789865434151,"


	民視製播節目《行轉我庄》規劃出版節目專書，並且依「臺灣新創客家學」的概念，重新編輯節目所提之50集內容，如何將其提高至符合「客家學」之高度，展示客家產業新創的思考方向。當然，亦有必要轉化渡「客家學」此一較嚴肅、具學術性的概念，至一個更易於當下閱讀市場接納、廣傳、形成話題的方向。

	因此，我們認為可以將「客家學」在此書中，轉化為現在正蔚為潮流的風土設計與地方創生的結合、描述與呈現。如果「客家學」視為一種「客家之道」，那麼本書便是追尋此道的旅程，一次地氣風土創生之旅，在這個旅程中，我們透過審視客家的美學、日常生活、人文、自然觀，來重新認識節目所紀錄的產業、產品、職人、創業經驗、居遊體驗等等。而這便是本書的企劃核心，一：從風土設計的切入角度來審視，這些事物不僅僅是某種消費或創意商品，它們是在風土千錘百鍊的結晶與「客」的藝術。二．同樣是從風土設計的角度切出，節目裡無論成功或失敗的經驗，風土都是所有願意投入新創或青創的人的共同資產。

	在節目專書裡，我們要提出的核心就是：「我庄風土就在那裡，一視同仁，端視參與者如何機變運用。」正是這些機變運用，才足以形成複雜廣闊的「客家學」，也才有橫向連結的可能基礎—因為我們有共同的「我庄風土」。

"
9789860598407,"


	「承蒙」，是客家人說謝謝、表示感激、誠心致意的幾種方式之一。本書以承蒙為標題，所表達的是客家族群對臺灣社會的謝意，因為，後者充沛地滋養了客家文化。展示臺灣客家文化，事實上就是試圖呈現客家文化和社會人群互動的成果，客家文化如是豐富，當係承蒙廣體臺灣長期又細膩的滋潤給養。從另外一個方面來看，客家人群作為臺灣社會的重要組成，其文化實作，特別是與周邊人群的互動往來，一起建構了島嶼國度的人文歷史特色。因此，客家臺灣、臺灣客家、客家臺灣文化及臺灣客家文化等的創詞，其意義格外深遠。

	展示，作為介紹客家與臺灣的一種方式，期許如其所如的從臺灣認識客家、從客家認識臺灣。客家的源起，以及客家與臺灣相互建構過程的歷史，容或有多種解釋，我們認為，應本於學術研究的基礎，如其所如的展示。

	客家委員會客家文化發展中心臺灣客家文化館的新常設展，即是基於此一理念的產物。歷史客家、全球客家、常民客家、文化客家及公民客家等五個展示主題，及其相互呼應之架構的提出，源於客發中心多次諮詢會議的決定。常設展主軸即定位於客家與臺灣社會的關係，而整合起五個主題的宏觀視野，正是得以通過認識客家來認識臺灣並再造自若自信的客家

"
9789578679542,"


對客家人，一般印象是什麼？
	群居於山區、節儉、務農、喜愛唱山歌……


實際上客家民族源遠流長，
	早在十九世紀就有西方傳教士為了傳教，
	而對客家族群有所觀察描述，並影響到二十世紀的客家認同建構，
	甚至將客家研究放在整個世界民族誌的研究脈絡中。

	啊，原來在二十世紀的客家研究之前，已經有這些民族誌了！
	在建立客家歷史與文化內涵的過程中，德意志地區出身的傳教士歐德理所撰寫的〈客家漢人民族誌略〉和〈客家歷史大綱〉絕對是最重要的文獻之一。
	前者在十九世紀末葉不斷被提及客家的西方著作引用參考，後者則建立了客家人由中原移民華南的歷史圖像。
	即便在近年客家研究的發展下，歐德理的看法已經過時，但其先驅地位，並不會被後起之秀所取代。

"
9789864782239,"

孔子說：「安上治民，莫善於禮。」（《禮記‧經解》）可見禮與人生的關係密不可分，更是人們安身立命的圭臬。古禮源於風俗民情，最可考見當時社會現狀。因此全書所探索的範疇，涵蘊臺灣客家姓氏與堂號、臺灣客家文學、客話成語、客語釋音、堂號與宗祠聯語、客家三獻禮、族譜家訓、宗祠文化、客家信仰禮俗等部分。追溯我國的禮制，是起源於對天地神明與祖先崇敬的祭拜儀式。《禮記‧祭統》也說：「凡治人之道，莫急於禮；禮有五經，莫重於祭。」強調祭禮的重要。數千年來，歷經朝代的更迭、社會結構的變遷，客家傳統的信仰禮俗，無論是禮儀形式或行禮內容，多遵循傳統禮制，不僅具有教孝感恩、報本反始的意涵，也是傳承儒家文化道統的原動力。
                    
"
9789869615648,"


	攝影作品不止是一種藝術資產，它同時見證了許多文化、歷史、事件的過程，後輩人有權利也有義務知曉前代人的努力，透過比文字更讓人印象深刻、信服的歷史照片，使我們對前人的足跡有比較直觀的認識。以往攝影作品總是被歸在藝術類門，或因編輯成價格高昂的藝術類書籍，常常使得這些具時代意義的歷史照片被排拒於一般民眾眼光之外，本書保留了傳統藝術書籍的高品質印刷與質感，但以更低廉的價格向民眾推廣這些前輩攝影家的偉大作品，同時讓我們在遂行知曉前人努力的權利和義務時能更容易一些，激發我們對前人更大的敬意。

"
9789865659172,"


 「客家認同」如其他「族群認同」一樣，是多面向的建構，為多種「制度性文化生活領域」共同呈現的綜合體。不同的歷史文化脈絡、政治經濟發展現況與族群互動關係，當會影響並形成不同的族群發展特色和不同面貌的集體認同與意識。

 本書為集體創作的成果，旨在勾勒和建構臺灣與東南亞客家族群發展的特色及其族群認同變貌的典範移轉，並藉由比較研究來凸顯臺灣客家認同的特色。亦即透過與東南亞客家經驗的對比，來彰顯臺灣獨特的客家集體意識及其典範樣貌。本書各章以「制度性文化生活面向展現」和「族群認同的綜合呈現及其變貌」兩個層面，分別比較臺灣與東南亞五個制度性文化生活面向的彰顯程度，包括語言、族群組織、家庭、宗教信仰和跨國通婚，並凸顯出兩地客家社會文化元素的四種變貌：延續、斷裂、重組和創新，以及兩地客家認同意識展現的差異，並驗證出「一種客家、多種認同變貌」的全球現象。

"
9789860541397,"


客家還神祭典與客家八音運用之研究


 客家歲時祭典中之｢還神｣祭典，為客家生命禮俗極重要的一項祭典，也是各種祭典儀式之依據，如傳統婚禮之敬外祖、拜天公還神祭典、插新娘花、上燈、祭祖、謝媒等，都有其重要的意涵存在，但在時代變遷快速的當今社會，各項傳統祭典皆逐漸簡化而消失於大眾記憶之中，是極為可惜的事情。

 本書為多年來客家地區的各項傳統祭典儀式與客家八音之輯錄，以紀實性田野採集方式呈現，希冀提供給有興趣者做為參考，並保存這些即將消失的客家祭典與音樂資產。

本書特色

 1.以在地定點為記錄與報導，可讓讀者深入了解一地方的發展，從歷史起源到產業特色，最後融入文化旅遊資源的創新介紹。

 2.以手繪地圖導覽在地人文、自然、產業等景觀與美食，讓讀者按圖索驥，深度賞遊最道地的文化。

 3.以大量今昔照片圖解方式，圖文並茂提供讀者認識在地的歷史文化。

 4.整體看見客家還神祭典與客家八音的民間信仰民俗活動。

"
9789860516869,"


	本書是作者孔邁隆（Myron L. Cohen）教授於1960年代到美濃的大崎下進行兩年田野調查後出版的著作。

	本書呈現了豐富的田野資料與各種文獻檔案，孔教授以此資料解開了他的問題：為什麼美濃沒有像傳統中國那樣的仕紳階層，卻有那麼多大家庭。不論是美濃的研究，還是漢人家庭制度的研究，在這本書出版四十年後的今天，它仍是一本歷久彌新、值得參考的著作。書中有許多細膩的觀察、分析與推論，有賴讀者一一去發掘。

"
9789860519501,"


	中國（臺灣）鄉村人民的文化與經濟成熟程度，獲致更全面的認識，就有必要針對這些依然相對較少被探索的鄉村社會、經濟與宗教生活，從事更進一步的研究；這樣的研究也能讓我們站在更佳位置，將鄉村文化連結到中國（臺灣）的城市文化。

"
