ISBN,書籍簡介
9789866220333,"


出版即登日本亞馬遜數學排行榜No.1！
	專為不擅長數學的你所設計的數學書，自學、教學、個人指導都好用！
	應用數學專家帶你了解原理，6天不僅能學完3年國中數學，
	更能鍛鍊出天天都用得到的邏輯力、思考耐力！


你害怕數學嗎？還是只要一提到數學，你就馬上舉旗投降？
	其實，學數學不是只有背公式、也不是只有解方程式，更不是只有一堆數字與符號，
	而是透過學習演算的過程，能幫助你深度思考，鍛鍊出更強的邏輯推算、完備你解決問題的耐心，
	不論是生活上、職場上，這些都是必備的能力之一。

	42歲就當上東大教授，理想是讓0歲到100歲都能體會數學趣味的西成活裕，
	更是專門研究如何用數學邏輯解決塞車等生活問題的「壅塞學」專家，
	本書是他透過輕鬆幽默的對話、生活化的舉例，
	引導「打算畢業後就再也不碰數學、徹底害怕數學的男子」鄉和貴，
	一步步透過學習國中數學，激發他的思考耐力、邏輯力，
	並打倒國中數學魔王「一元二次方程式、二次函數、幾何(畢氏定理、圓與三角形)」的過程。
	自認不擅長數學的你會在閱讀本書時發現，思考的練習竟然能讓你欲罷不能，
	「好像變聰明了！這個過程原來這麼有趣！」
	本書在日本受到非常多讀者好評，有些人甚至只花3~4天就能閱讀完畢，
	並且發現：原來國中數學可以這麼簡單、好懂！

	現在就透過本書，勇敢撕下「我數學不好」的標籤，建立與人談話、就業、解決問題都必備的邏輯思考力！

本書特色

	1. 東大教授開課！一本讓你從「害怕數學」到「愛上數學」的思考力鍛鍊書！
	數學被認為是台灣學生學得最痛苦的考科，痛苦指數已經達到「恨」的地步。你過去是個考試前狂寫題目，但考試時看見題型一變、腦袋就當機的學生嗎？別怕，很多人都跟你一樣誤會了數學，而42歲就當上東大教授、具備補習班講師經驗的西成活裕，將打破你對「數學無用、數學就是背公式」的想法，重新打通你的思考邏輯！學校的數學課因為無法給予每個人充足的思考、解題時間，讓你錯過了體會數學趣味的機會，然而透過本書，你會發現，只要透過重新學習國中程度的數學，就能體驗思考的趣味，並且大幅改善生活所需的思考邏輯力，並培養思考耐力。

2. 你只是沒有用對方法學數學！東大教授透過「對話」助你開啟數學之鑰，重建你的學習信心！
	本書內容由「熱愛數學的東大教授&害怕數學的男子」兩人真誠有趣的對話構成，看教授如何用引導式對話，幫助畢業後就打算再也不碰數學的鄉和貴，一步步建立對自己的信心，更打敗「一元二次方程式、函數、圓與三角形定理」；鄉和貴更在短短6天的學習後，不僅相信自己可以教女兒國中數學了，更撕下「自己是文組，本來就不夠聰明」的標籤，改變了對自己的負面感受！不擅長數學的鄉和貴在書中的反應，相信也和「害怕、討厭數學的你」說的話很像，或許你在閱讀本書時，也會忍不住說出：「我也有這種感覺！」因此，這本書會是有數學障礙的你需要的第一本數學書，也會是你看見不一樣的自己的鑰匙。

3. 與台灣「108課綱」同步，發現生活和數學的關係，帶孩子活用數學聯想輕鬆得高分！
	你家也有對討厭數學的孩子嗎？你知道孩子在新課綱會遇到什麼樣的考驗嗎？108課綱特別重視「把學到的知識應用在生活中」，因此大考的題型只會越來生活化，要具備更強大的解題能力，就得試著從數學的角度思考生活中的問題，究竟生活和數學有什麼關係呢？讓西成教授一一告訴你。拍電影、做料理需要因式分解能力？做動畫、養貓咪需要懂畢氏定理？本書提供了最多元的跨領域聯想，你也能透過書中的方法，幫助孩子從多角度發現數學的趣味，讓思考更靈活，不背公式也能輕鬆解題！

4. 超值附錄「小學生也能懂的基礎微積分」：就算曾經是數學魯蛇，現在也有能力越級挑戰！
	其實本書5天就能幫助你KO國中數學的「一元二次方程式、函數、畢氏定理」了，最後1天則讓你自由選擇要不要「跳級」認識高中才會學到的微積分，你可能不是第一次聽到「微積分」，而且光是聽到這個詞就有種「好可怕」的感覺，但其實只要會計算一個湖泊的面積，就能學會微積分喔！東大教授正是要用小學生也能懂的文字，帶你1小時讀懂「微積分」。你想透過本書幫助孩子的學習嗎？你想提升自己解決問題的能力嗎？翻開本書的你將會看見過去熟悉的數學名詞，卻對這些名詞出現全新的感受，愛上數理思維方式，並且有效提升思考的邏輯力與耐力！

"
9789862355992,"


榮獲文化部第三十八次中小學生優良課外讀物、2016年建中暑期數學指定讀物、十四所高中職推薦閱讀


	「老師，在數學課上講這些，真的可以嗎？」
	一個重度數學狂熱分子vs. 一群聞「數」色變的數學憂等生
	速配指數比絕對零度還低的師生組合
	竟翻轉出一連串完全越界、瀕臨失控的超展開數學教室……

★關鍵評論網2017未來大人物、「數感實驗室」共同創辦人賴以威 第一本數學校園青春小說！
★結合青春校園故事和數學趣味，為想從故事和漫畫中培養數學感的人所寫的「數學打怪指南」

	「數學是什麼，能吃嗎？」
	「老師，這題會考嗎？」

	故事要從一個熱血沒有極限的工程師，明明立志回到校園教數學，卻被派為五個麻煩高中生的輔導老師開始說起……
	他上課時想數學、走路時想數學、吃飯、洗澡……時時刻刻都離不開數學，
	而這努力讓五個各有特色的麻煩學生愛上數學的「數學怪咖」，
	到底該怎麼一步步牽引學生認識數學呢？

	◎面對對待文科與數學的態度天差地別的商商，他選擇用數學為她解構雍正王朝的權力關係，那些電視劇裡的算計與爭鬥，居然都是數學？

	◎欣妤說：「我沒有心情上課。」好吧，那就來聊聊頭彩上看十億的大樂透，到底為何連續兩年都抽到獎的人，和她的中獎機率一樣？

	◎想親手做月曆送人的積木遇到難題了，那就放下課本一起想，該怎麼用「數學感」設計巧思、製造浪漫？

	◎聽到扼腕的阿叉說心儀女孩走向馬路另一側，來不及追上，那就一起規畫「搭訕路線」，下一次，絕對不再輕易地錯過！

	◎數學好的人居然也不喜歡數學？那該怎麼帶他看到數學真正美妙之處？而完美演繹數學魔力的孝和，又如何回過頭來協助陷入評量危機的老師脫困？

	這是一本書寫數學的輕小說，
	邀請你在熱血的故事裡陪著這些角色感受悲喜、體驗青春成長的點點滴滴，
	讀完會發現，若是能跟著數學一起經歷笑淚交織的成長生活或走一段路，真的還不錯！

"
9789863126683,"


[節省時間的數學公式定理速查手冊]

	 

	AI 機器學習、自動駕駛、機器人、量子電腦等等都是現在經常聽到的詞彙，許多人紛紛投入這些深具未來性的當紅領域。從業者不僅僅是工程師，包括行銷或業務人員也都需要懂，至少數學邏輯觀念一定要足夠才行。

	 

	不過，當一般人打算重拾數學時，由於教科書的內容過於冗長，在學習上需要花不少時間，因此本書著重在重要的公式、定理、法則，讓讀者有效率的查閱，將以前學過以及職場上需要用到的數學快速複習。而且小編也會適時補充幫助理解。

	 

	此外，本書也適合高中生複習數學之用，省略冗長的推導過程，直接將公式定理等列出，並提醒重要觀念以及各數學主題之間的相關性。作者在各單元也會納入一些商業、工程、影像處理、3D 動畫、AI 機器學習......等範例，讓讀者瞭解學習數學不是只會解題而已，還要知道如何應用。

	 

	本書亦考慮到讀者閱讀的舒適性，採用 17公分x23公分尺寸製作，版面要比坊間類似書籍為了節省成本用的 15公分x21公分來得大，文字易讀性自然提高許多，是本書貼心之處。

	 

[各單元的架構]

	 

	本書將中學數學的各個主題獨立成單元來介紹。一開始會先對「通識學習」「工作應用」「升學考試」的重要姓分別給定 1~5 顆星的建議，星數越多就越重要。在 Point 框框內的內容是本單元快速查閱的重點整理，包括公式、定理、法則的說明，並於其後有較詳細的解說。另外在 Business 區塊是本單元主題的應用領域舉例，可以幫助理解這些公式、定理可以用在哪些方面。

	 

本書特色

	 

	● 讓需要查閱數學公式的讀者能夠快速找到，並能有效率的複習。

	● 穿插數學在 AI 機器學習、工程與商業上的應用，讓讀者瞭解數學能如何用。

	● 依「通識學習」「工作應用」「升學考試」的重要性給定 1~5 星等級建議。 

	 

"
9789865408459,"


	學會寫程式，從數學思維與邏輯訓練開始
	沒有艱難的數學式，而是透過情境對話和關鍵提示來引導你的思考方向。
	發掘數字規則、拆解複雜問題、提升分析能力……
	幫助程式設計師強化學習程式，也適合程式設計門外漢，或是「一看見數學式就想跳過」的人！
	★★臺灣大學資訊管理學系副教授 孔令傑 審訂推薦★★
	▌強師推薦 楊宗穎 │ 北一女中數學科老師

"
9789862359839,"


――――暢銷數學經典，18堂魔法般的數學課――――
	 

等公車、做美食、洗熱水澡、切蛋糕、超市結帳……
	81個有趣又好玩的謎題，漫遊驚奇不斷的數學世界！


	為什麼公車一來就是三班，而且總是看到公車朝反方向離去？
	為什麼動物形體上常出現偶數特徵，植物卻比較多是奇數？
	聰明人也會做錯事，演算法如何幫助我們做出最佳選擇？
	看地圖找路時，為什麼要找的路總在邊界上？
	數學不只是用來回答問題。很多事情乍看一點都不數學，其實核心正是數學。

	你是否想過，錯過公車有可能是好事？為什麼每次趕路時，總是碰到紅燈？才晚5分鐘出門，怎麼就多花了半個小時才到達目的地？每天都像今天一樣無聊的機率是多少？如何遇上百萬分之一的幸運？生活中數學無處不在，萬事萬物可能的面貌遠比眼前所見更多。

	蘋果可以讓我們學習黃金比率，花瓣、葉片和松果告訴我們數列的奧祕，森林、海洋和天空展現圓形的極限力量，淋浴水溫揭示一切事物的基本交互作用。機率、正切、圓周率、矩陣、質數……，讓大家傷透腦筋的數學原理和定律，用一點點有趣的觀察角度就能輕鬆理解。

	本書揭開數學這個優雅迷人的奇妙宇宙，破解日常生活中各種看似巧合卻其實深富道理的現象，改變我們對周遭世界的看法。

【81個有趣的謎題，用數學來解釋萬事萬物】

	▌第1堂課的謎題：
	☉四葉幸運草是自然界裡的數學大驚奇？☉費波那契數列、黃金比率、圓周率和圓……，它們與自然界的關係是……？☉為什麼動物沒有輪子？☉蜜蜂的蜂巢為什麼是六角形的？

	▌第2堂課的謎題：
	☉柯尼斯堡道路之謎究竟是……？☉「拓撲學」與倫敦地下鐵間也有關係？！☉瓦斯查表員該怎麼走最省時？☉旅行推銷員最想解決的問題是什麼？☉迷宮有兩種……？☉曼哈頓的計程車司機如何估算出正確的最短距離？

	▌第3堂課的謎題：
	☉我能相信收視率調查嗎？☉訪問的樣本人數足夠嗎？☉樣本的選擇與統計結果有關嗎？

	▌第4堂課的謎題：
	☉經驗和智慧為什麼也會壞事？☉藥物試驗員又做了什麼蠢事，讓自己灰頭土臉？☉星際板球場的柵欄竟然短少X公尺……發生什麼事了？☉威士忌和水該怎麼調才速配？☉心算常犯哪些錯？

	▌第5堂課的謎題：
	☉是哪個數學家熱衷研究下注的必勝技巧？☉硬幣和骰子要怎麼賭才是最佳賭法？☉樂透彩要怎麼玩勝算最大？☉同樣是下注，賽馬和樂透彩為何大不同？☉有沒有逢賭必贏的玩法？

	▌第6堂課的謎題：
	☉7月4日，美國總統奪命日？☉好巧！你的生日竟然和我一樣？！☉不引起注意的巧合事件到底有多巧？☉如何遇上百萬分之一的幸運？

	▌第7堂課的謎題：
	☉如何輕鬆擊出最準的撞球角度？☉踢英式橄欖球的自由球時，最佳的位置在哪？☉遊客們該如何選擇瞻仰高大雕像時的絕妙位置？☉海灘遊俠們是如何選擇一條奔向美女的最佳路線？

	▌第8堂課的謎題：
	☉瑪麗女王的密碼系統為何被破解了？☉凱撒大帝的密碼系統到底有多遜？☉古老的「斯凱大利」密碼裝置與木棍有什麼關係？☉現代密碼學中的「陷門」究竟如何讓解碼客們束手無策？

	▌第9堂課的謎題：
	☉錯過公車，你該鼓掌叫好？！☉公車真的是一來就三班，還是兩班……☉為什麼總是看到公車反方向離去？☉雨中該跑還是該漫步，才不會被淋濕？

	▌第10堂課的謎題：
	☉先倒牛奶還是先倒茶？☉七人份的蛋糕要怎麼切？☉用心理戰術分蛋糕？☉火腿三明治也有奧妙定理？☉下午茶的太太們，如何不內疚地吃到巧克力餅乾？☉不同顆馬鈴薯，也能找到一模一樣的馬鈴薯兄弟？

	▌第11堂課的謎題：
	☉操盤演練，對手優勢如何個個擊破？☉如何打敗情敵，贏得美人芳心？☉上面談的是賽局理論，你已掌握箇中精髓了嗎？☉猛打廣告，誰占便宜？☉勞資糾紛，是雙贏還是雙輸？

	▌第12堂課的謎題：
	☉運動排行榜的究極奧義是……？☉排行榜的排行其實很離譜？！☉唱片公司都是操弄流行音樂排行榜的行家？☉誰是有史以來最偉大的運動員？

	▌第13堂課的謎題：
	☉我們能合理解釋厄運嗎？☉看地圖找路時，為什麼要找的路總在邊界上？☉每次趕路，總是碰到紅燈？☉別人玩樂透都中獎，為什麼好運老輪不到我身上？☉13……真的不祥嗎？

	▌第14堂課的謎題：
	☉福爾摩斯如何解開謀殺之謎？☉又錯了！為什麼經過深思才推論的結果總是與事實不符？☉一句中出現3次的不要（或否定），那究竟是要還是不要？☉電腦的邏輯=比爾‧蓋茲的邏輯？！

	▌第15堂課的謎題：
	☉為什麼高速公路、電扶梯和超級市場老是大排長龍？☉為什麼有紅綠燈的地方就得先停車再通行？☉沒有紅綠燈的地方，一樣要塞車？☉車子開慢一點！這樣反而可以提高車速？！

	▌第16堂課的謎題：
	☉為什麼飯店的水溫始終都不對？☉麥克風為什麼爆出震耳尖嘯？☉澳洲為什麼兔子暴增？☉為什麼駕駛們都可以順利轉彎不出事？

	▌第17堂課的謎題：
	☉如何以最省的方式、最短的時間烤好三片土司？☉注意！順序一做錯，全盤皆輸？！☉如何在限定時間內完成程序複雜的肉餡馬鈴薯餅？☉如何縮短病人等候的時間？

	▌第18堂課的謎題：
	☉1號把戲：動物魔術☉2號把戲：超能力遊戲☉3號把戲：預測數字☉4號把戲：魔術方陣☉5號把戲：無聊的數字，驚喜的結果！☉6號把戲：顛倒數

【名家好評推薦】

	「一般人對於學校數學的習焉而不察，部分原因可能是數學知識與日常生活的連結，沒有受到足夠的強調與重視。想必有鑑於此吧，本書作者由此切入，這當然也解釋何以本書各章標題如此引人入勝……總之，這是一本輕薄短小、內容合宜的數學科普著作。由於它的知識門檻不高，所以，我相信只要讀者有一點點『知識獵奇』的心情，就一定會愛不釋手的。」
	――國立臺灣師範大學數學系退休教授洪萬生

	 

"
9789864612390,"


	★日本牛頓獨家授權精美圖解

	★符合一○八課綱學習素養，延伸學習觸角

	★學習虛數與複數的重要概念

	 

	「什麼是虛數？」這個問題如果答不太出來的話，那麼，「少年伽利略」的《虛數》或許可以幫助你釐清觀念。

	 

	虛數是從imaginary number翻譯而來，之所以是「想像」的，是因為它並不實際存在。虛數用i來代表，其定義是(-1)的平方根。從剛開始的整數，進而發現分數、小數、根號，好不容易接受了0跟負數的概念，卻又出現了平方之後竟然是負的，這跟一般「負負得正」的概念是相反的。虛數到底有什麼用處呢？

	 

	──有了將虛數與實數加起來的「複數」，想要用數學式表現波動、聲音、電磁波，便可化繁為簡。

	──想要了解量子力學的基礎方程式，一定要學好虛數。

	──利用傅立葉轉換的降噪耳機，也用了以虛數為主角的歐拉公式。

	──與相對論有關的四維距離，流動著虛數時間？

	 

	虛數看似與生活無關，其實很重要。理解虛數，不要求快，踏實最重要，《虛數》以精彩圖片搭配解說，從數的發展脈絡開始講解，帶領讀者一起釐清虛數和複數的基礎概念及其運用。

	 

系列特色

	 

	1. 本書系取得日本牛頓出版社的授權，以精美插圖、珍貴照片及電腦模擬圖像，深入淺出解說科學知識，淺顯易懂。

	2. 以一書一主題的系統化，縱向深入閱讀，橫向觸類旁通，主題涵蓋天文、數學、物理、化學、生命科學等領域。

	3. 以不同的角度提出各種科學疑問，啟發讀者對科學的探究興趣。

"
9789864612406,"


★日本牛頓獨家授權全新系列！

★彩色印刷，圖解豐富，但只有80頁，內容輕量化，價格門檻更低。

★內容提綱挈領，方便讀者快速掌握重點，由點、線、面搭建國高中的學習橋梁，鍛鍊理科思維

	 

	質數就是只能被1和自己整除的數，這個現象讓許多人為之著迷，投身研究。《質數：讓數學家著迷的神祕之數！》就是在讓讀者對質數有粗淺的認識。

	 

	比方說，我們輕易就可以找出幾個質數3、5、11、13……，但是最大的質數是多少？質數的出現有規律嗎？為什麼有些蟬的生命周期13、17年也是質數？有關質數的謎題讓許多數學家著迷不已，年輕的學生也可從本書培養對數學的素養與興趣。

	 

	質數不只有趣，在實際上也有很大的用處，像我們用信用卡消費時，就需要透過加密技術，這個也與質數有關。所以生活中處處都有數學，「少年伽利略」系列就是讓年輕讀者在輕鬆的閱讀中建立「先備知識」，再去接觸學校的數學時，可以融會吸收課堂的教學，事半功倍！

	 

系列特色

	 

	1. 日本牛頓出版社獨家授權。

	2. 以更輕量的方式整理脈絡，建立學習觀念。

	3. 一書一主題，範圍明確，知識更有系統，學習也更有效率。

	 

"
9789864612352,"


收納82個重要數學概念！
	掌握數學關鍵字，是學好數學的第一步！


	數學是許多學科的基礎，數學沒學好，理科很難學得好。而且，數學非常講究「先備知識」，重要的觀念沒有建立好，以後的學習一定會碰到瓶頸。

	人人出版取得日本牛頓授權，推出全新「伽利略科學大圖鑑系列」，第一本就推出《數學大圖鑑》，完整收入重要的數學觀念，使用關鍵字引導學習，以一個跨頁來呈現一個主題，好學習，好吸收。除了基礎的方程式、對數、三角函數、機率，也有較為深奧的四色問題、費馬最終定理等，精采圖解，由淺而深，循序漸進。

	《數學大圖鑑》是一本值得每個學生都放在書桌上的常備參考書。想要打好數學基礎的小學高年級生、被進度追趕的中學生、難度逐漸提高的高中生，請不要錯過這本對你的學習極有助益的《數學大圖鑑》。

系列特色

	1. 日本牛頓出版社獨家授權。
	2. 主題明確，解釋清晰。
	3. 以關鍵字整合知識，含括範圍廣，拓展學習視野。

"
9789864759910,"


 想理解現代科學，就絕對不能不知道20世紀初葉前的科學知識。

 2000年之前就被發現，至今仍活躍的公式、定理們

 只需一本書，搞定所有數學公式和定理！

  

 向量的內積、平面圖形的向量方程式、立體圖形的向量方程式、一次函數的圖形、

 二次函數的圖形、機率的定義、獨立事件與重複試驗的定理、平均值與變異數、

 中央極限定理、母體均值的估計、比率的估計、貝氏定理……

  

 本書介紹的公式、定理、和觀念，大多是數學中堪稱「古典中的古典」。

 其中更有比『萬葉集』或『古事記』更加古老，早在1000多年前就已經發現的知識。

 理解這些超越了時空、傳承至今的真理，或許會對我們的日常生活發揮難以想像的妙用。

  

 第1章　證明與邏輯

 第2章　數與式

 第3章　圖形和方程式

 第4章　複數、向量、與矩陣

 第5章　函數

 第6章　數列

 第7章　微分

 第8章　積分

 第9章　排列、組合

 第10章　機率、統計

  

  

"
9789862623220,"


 班傑明教授在本書直接讓我們探索了「數學世界本身的趣味」。──賴以威

 國中代數xy、高中三角函數sin cos到大學微積分，
 這些你曾經學過，卻好陌生的數學，
 TED演講10,000,000爆高點閱率數學翻轉教育大師，
 52個數學魔術，帶你完全了解12個重大觀念！

 ◎美國每個學生都有一本！美國數學協會(AMS)強力推薦！
 ◎《普林斯頓期刊》美國TOP300教授
 ◎暢銷書《超展開數學教室》作者賴以威教授超好評推薦序
 ◎作者三度百萬點擊率TED演講，聽眾直呼「原來數學就這樣而已啊！」 
 ◎美國AMAZON 4.5顆星讀者好評！
 ◎紐約時報暢銷書

 我們先跟作者一起玩一個數學小魔術……
 首先，請從1到10之間挑一個數字（但如果你想，也可以挑更大的數字）。然後，將這個數字乘以2。乘好了嗎？我們再將乘好的這個數字加上10，這時候你會擁有一個截然不同的數字，再打亂一次，我們將這個新數字除以2。最後，我們把這個計算結果減掉一開頭你所挑的數字…我相信，你現在所想的數字一定是5，對吧？
 有沒有覺得很驚奇？
 你一定很好奇這個魔術背後的秘密是什麼？正是代數！

 橫跨國中到大學，十二個數學重要單元
 以「數學中玩出魔術」知名的美國數學教授亞瑟‧班傑明，這次將不只是玩耍數學魔術，他要你完全弄懂數學到底在搞什麼。本書涵蓋了以下從國中到大學的所有重要數學章節：
 1.    數字的意義 
 2.    代數的變換
 3.    特別數字「9」
 4.    排列組合
 5.    費氏數列 
 6.    數學證明法
 7.    幾何的推導 
 8.    Π
 9.    三角函數 
 10.    根號負一「i」和「e」
 11.    微積分 
 12.    無窮級數

 由淺入深，從基礎的數字意義、代數的出現，到使用數字做平面運算的幾何和三角函數，甚至是高等數學思考的無窮級數和微積分的概念等，全部共十二個我們中學到大學一年級整整七年所學到的重要數學觀念，以簡單易懂的方式講解，搭配五十二個數學小魔術，並適時引入正規的公式或代數運算法，使你瞭解與實際操作某定理之特殊性質，像巴斯卡定理與費氏數列、黃金比例之間的微妙關係，讓你重新全面理解埋藏在這些數學中的大觀念！

 美國數學鬼才教你看到數學規律，求解，更理解！
 作者被譽為美國數學鬼才，也被票選為美國最佳三百位教授，他曾上過三次TED演講，每一次演講都讓所有的聽眾折服於數學的神奇當中，第一個演講甚至達到六百萬個點擊率。本書為作者的最新作品，將不只教你如何求解得到正確答案，更是教你如何看透數學的規律，全面理解數學的x 與y。

 專業推薦(按照姓氏筆畫序)：
 ◎李信昌／「昌爸工作坊」站長
 班傑明站在普羅大眾的立場，精挑細選出兼具趣味與生活的例子，活化了書中每一個章節要討論的數學主題。原本不易瞭解的數學觀念，總是可以展現其美妙迷人的規律與內涵，讓人想一窺堂奧，這是一本吸引讀者重複細細品嘗的好書。

 ◎林壽福／教育部國教署中央團諮詢教師、台北市興雅國中退休教師
 每個數學概念透由作者的智慧和巧思演繹後，具有畫面和故事性，不僅平易近人，高潮迭起，且不失深刻。的確，本書每一章節都可以設計成令學生喜愛的魔術，非常值得推薦給廣大的中學生和教師們參考！

 ◎洪萬生／台灣師大數學系退休教授
 我們閱讀本書，除了欣賞他的這些個人風格之外，還可以從容地理解他在熟悉的數學主題上，帶給我們意想不到的驚喜！

 ◎施信源／龍埔國小國際教育中心主任、全球翻轉教學推廣亞洲區輔導教師
 翻轉數學課堂的經驗中，對於數學的拆解、重組、觀察與變化是非常重要的思考探索。本書是身為翻轉教師所必備的優質教材，也是誘發孩子「Buy In」數學課最佳的起點。

 ◎賴以威／師大電機系助理教授 數感實驗室共同創辦人
 有一種符合本書主題的二分法：討厭數學的人跟喜歡數學的人。
 前者埋怨
 「數學跟現實脫節。」
 後者部分同意這話，他們會說
 「數學是獨立於現實世界的另一個世界。」
 請帶點魔幻的色彩來想像以下的畫面：你拿起筆在紙上算數學，簡單的1+1或微分方程都可以。然後奇妙的事發生了，你的手穿過紙張，整個人往紙裡墜，你進入了數學的另一個世界。
 不需要畫五芒星的魔法陣(我忍住不跟你聊裡面的黃金比例)，不需要任何繁瑣的祭祀儀式，只要一張紙、一支筆跟任何一道數學式子，你就能自由進出數學的世界。

"
