ISBN,書籍簡介
9789864612499,"


	★日本牛頓獨家授權，2021年全新系列！
	★彩色印刷，圖解豐富，只有80頁，內容輕量化，價格門檻低。
	★內容只談重點，方便讀者快速掌握，為國中的自然科學習打下札實的基礎。

	《數學謎題：書中謎題你能破解幾道呢？》收錄38道跟數學有關的謎題，在推理的過程中，訓練邏輯能力，自然融入數學概念。這是一本適合消磨時間的益智遊戲，也適合學生來演練讀題、解題的能力。

	－如何只移動少數幾根火柴棒，就排出題目想要的圖形呢？
	－從好幾個砝碼之中找出重量不均的瑕疵品
	－要如何用最少的路線通過所有地點呢？

系列特色

	1.日本牛頓出版社獨家授權。
	2.釐清脈絡，建立學習觀念。
	3.一書一主題，範圍明確，知識更有系統，學習也更有效率。

"
9789864612512,"


	★日本牛頓獨家授權，2021年全新系列！
	★彩色印刷，圖解豐富，只有80頁，內容輕量化，價格門檻低。
	★內容只談重點，方便讀者快速掌握，為國中的自然科學習打下札實的基礎。

	《數學謎題》還不過癮？這次推出難度更高的38道謎題。雖然書名有「進階篇」，不過只用到基本的數學概念，重點是思路彈性靈活，邏輯思考能力夠強，就能破解謎題。
	尤其現在大考出題方向越加多元，配合圖片解題，有時找不到解答是因為沒讀懂題目或是不會活用觀念。透過《數學謎題 進階篇：能解答就是天才！燒腦數學謎題》，活絡一下腦筋吧！

系列特色

	1. 日本牛頓出版社獨家授權。
	2. 釐清脈絡，建立學習觀念。
	3. 一書一主題，範圍明確，知識更有系統，學習也更有效率。

"
9789864612437,"


	★日本牛頓獨家授權全新系列！

	★彩色印刷，圖解豐富，但只有80頁，內容輕量化，價格門檻更低。

	★內容提綱挈領，方便讀者快速掌握重點，由點、線、面搭建國高中的學習橋梁，鍛鍊理科思維

	 

學邏輯、學推理、學數學！

	 

	少年伽利略《邏輯大謎題：培養邏輯思考的38 道謎題》，有常見的渡河謎題、河內塔謎題，或是容易囿於成見的謎題等，搭配插圖更好理解，可以從思考的過程中輔助引導，從中訓練邏輯推理的能力，如果碰到不會的題目也沒關係，翻到後面馬上就有解說，從解答搭配思考過程，也是很重要的學習方式，大人小孩都可以來挑戰看看！

	 

	在緊繃的生活中，偶爾解解題、動動腦不但可以增加樂趣，培養邏輯思考，更是每個人終生受用的能力。

	 

系列特色

	 

	1. 日本牛頓出版社獨家授權。

	2. 以更輕量的方式整理脈絡，建立學習觀念。

	3. 一書一主題，範圍明確，知識更有系統，學習也更有效率。

	 

"
4713510945322,"


	任何領域的每一個人，都必須學會怎樣解題。

	本書作者波利亞，是數學教育史上極重要的數學教育家，《怎樣解題》可說是流傳最廣、影響最深遠的代表作，自出版以來，已經影響了一代又一代的讀者。在書中，波利亞提出了解題的四大步驟，並且穿插了範例，你可以跟著波利亞的腳步，學會如何從推理與提問，直搗證明題或求解題的核心，而這樣的數學方法，對解決任何問題都有幫助。

	熟讀《怎樣解題》，你就能成為思考、分析、解題的頂尖高手。

"
9789571191379,"


數學解題應該像尋寶遊戲一樣有趣！
大學教授不藏私的解題過程大公開！


	1.本書蒐集國中參考書及澳洲AMC8考題中代表性題目，加以設計改編而成。
	2.附解答以及快速解題之鑰。
	3.含基本題以及變化題型參考。

	數學被公認為「科學之母」的重要知識，卻也是台灣中學生最厭惡的學科。如何讓學生由積極主動面對數學的邏輯思考訓練，進一步享受解題過程的挑戰與樂趣，值得深思。作者在親子國中數學學習過程中，發現許多題目其實可以有很不一樣的「另類解法」！「另類解法」的思考過程，不但可以帶來腦力激盪，也如同尋寶遊戲般，增加了學習的樂趣。

	本書蒐集不同版本國中參考書及歷年澳洲AMC8考題中代表性題目，加以設計改編，每題除了標準「制式」的解法外，作者提出兩種以上不同策略與快速解題方法。內容涵蓋代數與幾何兩大部分，題型包括：基本觀念問題、基本公式定理應用問題、延伸公式推導與證明及其應用問題，同時也附上類題及變形題組。

	本書想要傳達的基本理念是：「數學解題應該像玩尋寶遊戲！解題方法是多變而有趣的！只要你願意思考，即使是非常簡單的問題，也可能想出很不一樣的解法！」期盼國中學生在數學學習過程中，由積極面對，勇於嘗試而最終能享受數學解題樂趣！

"
9789863712442,"


★ 亞馬遜讀者4.7顆星好評推薦
★ 貼近童心的題目與插畫，大人小孩都能從中找到樂趣，新鮮感不斷
★ 解謎時間只需數分鐘，通學、通勤等零碎時間皆可隨心所欲隨時挑戰
★ 超過100道心算益智謎題，正等著你一一擊破

	或許你會感到困惑――明明可以使用計算機，為什麼要會心算？你的生活周遭充斥著數字，每天你都會碰上各種任務，不管是逛街購物、計算時間，或是比較數量的多寡，都一定會用到心算。你的心算能力越好，數學能力就會跟著提升。

	讓我們從最簡單的加減法開始，練習在腦海裡心算、解決各種心算謎題，並且愈算愈快吧！解謎之前，別忘了閱讀謎題中不時出現的解謎高級情報，有時候這反而是謎題裡最困難的部分，所以如果你必須讀好幾次才能理解的話，也別太擔心。

	讓超級獅子、超級大象和超級豬豬英雄等動物，與你一同在心算修練之路上成長，增強你的心算超能力！如果你真的卡住了，可以用計算紙動手運算，然後等等再試一次，看看第二回合能不能在腦中就算出來。如果真的卡住算不出來，就偷瞄一下後面的解答，再試試看自己解題。

	隨著遊戲的深入和日常生活經驗的積累，觀察能力和推理能力將自然增長，本書絕對能讓你樂在其中，保證愈算愈有心得，並且愛上解開題目時的喜悅與成就感。注意了……愈後面的謎題難度愈高！每一道遊戲都可以寫上解題時間，檢視自己的作答時間是不是夠快。祝你好運，玩得開心點！

多樣化的遊戲類型＊＊＊＊＊
	✔ 日常生活的心算運算，例如：金錢換算、時間計算。
	✔ 各種算式代換、數字帶入益智謎題。
	✔ 數字記憶謎題。
	✔ 加減乘除數列心算謎題。

玩中學，提升數學表現＊＊＊＊＊
	✔ 培養好奇心與抽象推論力，能觀察規律，分析與解決問題。 ✔ 啟發數學思考力，體驗學習的喜悅，增加自我價值感，改善數學恐懼症。
	✔ 學會在日常生活中活用心算技巧，讓心算速度更為流利，增進數學能力。

本書特色

	✔ 共101題心算益智遊戲，從簡單概念到綜合應用，漸進式引導，不知不覺增進心算速度。
	✔ 每道謎題皆有各自的主題及插畫，眾多可愛的超級動物英雄是加速心算能力的神隊友！
	✔ 好玩好讀、巧思滿點，適合親子共讀之外，也能夠與朋友一起算數、想答案。

"
9789862621400,"

除了足球之外，還有一個故事能從巴西燒到全世界！全世界最暢銷的「趣味數學解謎故事」，傳誦七十年仍歷久不衰，發行超過十二種語言，原版狂賣2,000,000冊，全球最熱門的數學故事書！當數學謎題闖進了《天方夜譚》裡……奉真主阿拉的名，數字無所不在，幾何無所不在，真理也無所不在，再玄的數字都有被破解的時候！在那滿是駱駝的城市，一間煙霧瀰漫的小茶館裡，數數人撒米爾因為他的智慧與臨危不亂，名氣愈來愈大，樹大招風的結果讓他又得挑戰新的謎題。這次來挑戰的是個說書人：「從前，有個壞心眼的法官，故意出了一道難題。他將九十顆蘋果分給三姐妹，規定老大一定要賣出五十顆，老二要賣出三十顆，老三只能賣出十顆，每個人賣出的價格必須相同，最後每個人的總收入也必須一樣。」「比方說，老大一顆賣七元，老二和老三也必須一顆賣七元。這太難了，三姐妹感到非常困擾，明明是不同數量的蘋果，怎麼可能賣相同的價格還能得到一樣的收入呢？這分明就是壞心眼法官在找碴！」「不知所措的女孩們向智者請教，從智者那裡得到了解決的方法，果真在用相同的價格賣出不同數量的蘋果後，每個人還能得到一樣的收入。我的故事說完了，親愛的撒米爾呀，你能為我們解開這椿神奇的買賣嗎？」撒米爾不慌不忙地解決了這道難題，想要挑戰他的人，無不打從心底敬佩起來。充滿智慧的撒米爾啊，沒有一個謎可以難得倒他，直到最後一個謎，那將是他此行最大的賭注，他能順利解開嗎？流傳超過半個世紀的經典故事，在已故巴西數學家馬爾巴塔罕的神來之筆下，活靈活現的串連文字、數字與真理間的奧妙，並榮獲巴西文學院大獎。奉真主阿拉的名啊，正確的分配不一定是最好的分配，有時付出才會是最棒的收穫。所以數字不難，真理也不難，且看馬爾巴塔罕如何用數字說真理、用文字算數學。狂銷超過兩百萬本的趣味、驚奇與感動，在你讀過後必能心領神會。
                    
"
9789861290300,"

◇融合實際教學經驗，詳細介紹MCS-51的功能與特色，循序漸近由淺入深。 ◇簡單實用的電路編排，好教好學，即學即用。 ◇精闢的學後評量，奠定完整基礎觀念。 ◇階段式的單元安排，學到哪做到叩，讓理論與實作並行。 ◇實習單元採用較普遍控制元件，讓學習基礎更紮實。 ◇更新的內容，讓您充份掌握單晶片市場脈動。
                    
"
9789866749643,"

本書蒐集古往今來世界各國的數學名題，內容包羅萬象。包括各種命題（原理、定理、法則、公式及其推導過程、推論）、各種算題（各類知名問題、各種算術解法、代數方程式）、各種圖形與圖像、益智趣聞與數學遊戲等等。本書系統性的將歷史名題分成十章，詳盡的介紹其歷史來源、沿革、解法、在數學史上之重要性等等，可讓讀者從各方面體會到數學的博大精深與和諧之美。本書特色1.本書由中國知名數學權威沈康身教授編著，蒐集古今中外的經典數學名題，所選材料來自中國古典的《九章算術》、《孫子算經》，西方的名著《希臘箴言》、《萊因得紙草》、《益智題集》等等。不管是「質」或「量」，都能徹底滿足數學愛好者的需求。2.本書對各種名題做系統性的分類，根據命題、算題、圖像等分章敘述，層次井然，也讓讀者可以針對需求與喜好閱讀。3.作者對歷史名題做出詳盡且深入的介紹，除了題型、答案與解法，還比較分析古今類似題型，並針對其在數學史上的地位加以評論，絕非一般只列出數學問題的題庫。4.本書蒐集的數學名題，可以針對不同數學程度的讀者。有符合中小學程度的「分數運算」與「四則運算」問題，也有適合大學以上的「數論」高級證明題。5.作者在章節最後，都細心準備了「思考與習作」。思考與習作除了包含作者提出的練習題外，還蒐集了歷年來各國數學奧林匹克競賽的題目，可以讓有心的讀者練習，並增加對題型靈活運用的能力。

"
9789570855920,"


給資優的孩子更多啟發性的資源

不只是齊頭式的教育

如果您的孩子或學生對數學有學習的熱忱和興趣

如果您對孩子或學生有信心他們能表現得更出色

給孩子更多學習和訓練的機會

讓天賦找到出路

孩子這樣學數學，前進奧林匹克競賽

	 

	國際數學奧林匹克競賽的歷屆最大贏家是中國，究竟他們是如何從小訓練孩子數學的理解能力？想要精進數學，和上海的學子齊頭並進、挺進世界，就跟著上海的奧數教材一起努力！

	 

	數學的要領和關鍵是理解與練習，有好的延伸教材，才能輔導對數學有興趣的孩子更上一層樓。《培養資優孩子的數學練習本》將數學觀念整理歸納，並設計了多元的題型，注重理解與思考。

	 

	台灣很多孩子在數學方面有不錯的成績，如果想更有國際競爭力，多看多演算不同的教材，能幫助拓展視野，增進自己的實力。這套數學練習本由兩位在奧數方面有專長研究，並帶隊指導參賽及得獎無數的專業老師編寫，更能幫助學生掌握奧數的精髓、培育對數學有天分的孩子。

	 

本書特色

	 

	‧編寫團隊權威、具代表性

	‧架構清楚，解說詳盡，提升邏輯思考力

	‧練習題紮實、充分，反覆螺旋性學習

	‧每個主題細分程度需求，適才適性

	 

"
9789570855937,"


給資優的孩子更多啟發性的資源

不只是齊頭式的教育

如果您的孩子或學生對數學有學習的熱忱和興趣

如果您對孩子或學生有信心他們能表現得更出色

給孩子更多學習和訓練的機會

讓天賦找到出路

孩子這樣學數學，前進奧林匹克競賽

	 

	國際數學奧林匹克競賽的歷屆最大贏家是中國，究竟他們是如何從小訓練孩子數學的理解能力？想要精進數學，和上海的學子齊頭並進、挺進世界，就跟著上海的奧數教材一起努力！

	 

	數學的要領和關鍵是理解與練習，有好的延伸教材，才能輔導對數學有興趣的孩子更上一層樓。《培養資優孩子的數學練習本》將數學觀念整理歸納，並設計了多元的題型，注重理解與思考。

	 

	台灣很多孩子在數學方面有不錯的成績，如果想更有國際競爭力，多看多演算不同的教材，能幫助拓展視野，增進自己的實力。這套數學練習本由兩位在奧數方面有專長研究，並帶隊指導參賽及得獎無數的專業老師編寫，更能幫助學生掌握奧數的精髓、培育對數學有天分的孩子。

	 

本書特色

	 

	‧編寫團隊權威、具代表性

	‧架構清楚，解說詳盡，提升邏輯思考力

	‧練習題紮實、充分，反覆螺旋性學習

	‧每個主題細分程度需求，適才適性

	 

"
9789570855913,"


給資優的孩子更多啟發性的資源

不只是齊頭式的教育

如果您的孩子或學生對數學有學習的熱忱和興趣

如果您對孩子或學生有信心他們能表現得更出色

給孩子更多學習和訓練的機會

讓天賦找到出路

孩子這樣學數學，前進奧林匹克競賽

	 

	國際數學奧林匹克競賽的歷屆最大贏家是中國，究竟他們是如何從小訓練孩子數學的理解能力？想要精進數學，和上海的學子齊頭並進、挺進世界，就跟著上海的奧數教材一起努力！

	 

	數學的要領和關鍵是理解與練習，有好的延伸教材，才能輔導對數學有興趣的孩子更上一層樓。《培養資優孩子的數學練習本》將數學觀念整理歸納，並設計了多元的題型，注重理解與思考。

	 

	台灣很多孩子在數學方面有不錯的成績，如果想更有國際競爭力，多看多演算不同的教材，能幫助拓展視野，增進自己的實力。這套數學練習本由兩位在奧數方面有專長研究，並帶隊指導參賽及得獎無數的專業老師編寫，更能幫助學生掌握奧數的精髓、培育對數學有天分的孩子。

	 

本書特色

	 

	‧編寫團隊權威、具代表性

	‧架構清楚，解說詳盡，提升邏輯思考力

	‧練習題紮實、充分，反覆螺旋性學習

	‧每個主題細分程度需求，適才適性

	 

"
9789570855906,"


給資優的孩子更多啟發性的資源
	不只是齊頭式的教育
	如果您的孩子或學生對數學有學習的熱忱和興趣
	如果您對孩子或學生有信心他們能表現得更出色
	給孩子更多學習和訓練的機會
	讓天賦找到出路
	孩子這樣學數學，前進奧林匹克競賽


	國際數學奧林匹克競賽的歷屆最大贏家是中國，究竟他們是如何從小訓練孩子數學的理解能力？想要精進數學，和上海的學子齊頭並進、挺進世界，就跟著上海的奧數教材一起努力！

	數學的要領和關鍵是理解與練習，有好的延伸教材，才能輔導對數學有興趣的孩子更上一層樓。《培養資優孩子的數學練習本》將數學觀念整理歸納，並設計了多元的題型，注重理解與思考。

	台灣很多孩子在數學方面有不錯的成績，如果想更有國際競爭力，多看多演算不同的教材，能幫助拓展視野，增進自己的實力。這套數學練習本由兩位在奧數方面有專長研究，並帶隊指導參賽及得獎無數的專業老師編寫，更能幫助學生掌握奧數的精髓、培育對數學有天分的孩子。

本書特色

	．編寫團隊權威、具代表性
	．架構清楚，解說詳盡，提升邏輯思考力
	．練習題紮實、充分，反覆螺旋性學習
	．每個主題細分程度需求，適才適性

"
9789570855845,"


給資優的孩子更多啟發性的資源
	不只是齊頭式的教育
	如果您的孩子或學生對數學有學習的熱忱和興趣
	如果您對孩子或學生有信心他們能表現得更出色
	給孩子更多學習和訓練的機會
	讓天賦找到出路
	資優的孩子這樣學數學，前進奧林匹克競賽


	國際奧林匹克數學歷屆最大贏家是中國，究竟他們是如何從小訓練孩子數學的理解能力？想要精進數學，和天資聰穎的學子齊頭並進、挺進世界，就跟著本系列的奧數教材一起努力！

	數學的要領和關鍵是理解與練習，有好的延伸教材，才能輔導對數學有興趣的孩子更上一層樓。《培養資優孩子的數學練習本》將數學觀念整理歸納，並設計了多元的題型，注重理解與思考。

	很多孩子在數學方面有不錯的成績，如果想更有國際競爭力，多演算不同的教材，能幫助拓展視野，增進自己的實力。這套數學練習本由兩位在奧數方面有專長研究，並帶隊指導參賽及得獎無數的專業老師編寫，能有效幫助學生掌握奧數的精髓、培育對數學有天分的孩子。

本書特色

	●編寫團隊權威、具代表性
	●架構清楚，解說詳盡，提升邏輯思考力
	●練習題紮實、充分，反覆螺旋性學習
	●每個主題細分程度需求，適才適性

"
9789570855852,"


給資優的孩子更多啟發性的資源
	不只是齊頭式的教育
	如果您的孩子或學生對數學有學習的熱忱和興趣
	如果您對孩子或學生有信心他們能表現得更出色
	給孩子更多學習和訓練的機會
	讓天賦找到出路
	資優的孩子這樣學數學，前進奧林匹克競賽


	國際奧林匹克數學歷屆最大贏家是中國，究竟他們是如何從小訓練孩子數學的理解能力？想要精進數學，和天資聰穎的學子齊頭並進、挺進世界，就跟著本系列的奧數教材一起努力！

	數學的要領和關鍵是理解與練習，有好的延伸教材，才能輔導對數學有興趣的孩子更上一層樓。《培養資優孩子的數學練習本》將數學觀念整理歸納，並設計了多元的題型，注重理解與思考。

	很多孩子在數學方面有不錯的成績，如果想更有國際競爭力，多演算不同的教材，能幫助拓展視野，增進自己的實力。這套數學練習本由兩位在奧數方面有專長研究，並帶隊指導參賽及得獎無數的專業老師編寫，能有效幫助學生掌握奧數的精髓、培育對數學有天分的孩子。

本書特色

	●編寫團隊權威、具代表性
	●架構清楚，解說詳盡，提升邏輯思考力
	●練習題紮實、充分，反覆螺旋性學習
	●每個主題細分程度需求，適才適性

"
9789570855869,"


給資優的孩子更多啟發性的資源
	不只是齊頭式的教育
	如果您的孩子或學生對數學有學習的熱忱和興趣
	如果您對孩子或學生有信心他們能表現得更出色
	給孩子更多學習和訓練的機會
	讓天賦找到出路
	資優的孩子這樣學數學，前進奧林匹克競賽


	國際奧林匹克數學歷屆最大贏家是中國，究竟他們是如何從小訓練孩子數學的理解能力？想要精進數學，和天資聰穎的學子齊頭並進、挺進世界，就跟著本系列的奧數教材一起努力！

	數學的要領和關鍵是理解與練習，有好的延伸教材，才能輔導對數學有興趣的孩子更上一層樓。《培養資優孩子的數學練習本》將數學觀念整理歸納，並設計了多元的題型，注重理解與思考。

	很多孩子在數學方面有不錯的成績，如果想更有國際競爭力，多演算不同的教材，能幫助拓展視野，增進自己的實力。這套數學練習本由兩位在奧數方面有專長研究，並帶隊指導參賽及得獎無數的專業老師編寫，能有效幫助學生掌握奧數的精髓、培育對數學有天分的孩子。

本書特色

	●編寫團隊權威、具代表性
	●架構清楚，解說詳盡，提升邏輯思考力
	●練習題紮實、充分，反覆螺旋性學習
	●每個主題細分程度需求，適才適性

"
9789570855876,"


給資優的孩子更多啟發性的資源

不只是齊頭式的教育

如果您的孩子或學生對數學有學習的熱忱和興趣

如果您對孩子或學生有信心他們能表現得更出色

給孩子更多學習和訓練的機會

讓天賦找到出路

資優的孩子這樣學數學，前進奧林匹克競賽

	 

	國際奧林匹克數學歷屆最大贏家是中國，究竟他們是如何從小訓練孩子數學的理解能力？想要精進數學，和天資聰穎的學子齊頭並進、挺進世界，就跟著本系列的奧數教材一起努力！

	 

	數學的要領和關鍵是理解與練習，有好的延伸教材，才能輔導對數學有興趣的孩子更上一層樓。《培養資優孩子的數學練習本》將數學觀念整理歸納，並設計了多元的題型，注重理解與思考。

	 

	很多孩子在數學方面有不錯的成績，如果想更有國際競爭力，多演算不同的教材，能幫助拓展視野，增進自己的實力。這套數學練習本由兩位在奧數方面有專長研究，並帶隊指導參賽及得獎無數的專業老師編寫，能有效幫助學生掌握奧數的精髓、培育對數學有天分的孩子。

	 

本書特色

	 

	●編寫團隊權威、具代表性

	●架構清楚，解說詳盡，提升邏輯思考力

	●練習題紮實、充分，反覆螺旋性學習

	●每個主題細分程度需求，適才適性

	 

"
9789570855883,"


給資優的孩子更多啟發性的資源

不只是齊頭式的教育

如果您的孩子或學生對數學有學習的熱忱和興趣

如果您對孩子或學生有信心他們能表現得更出色

給孩子更多學習和訓練的機會

讓天賦找到出路

資優的孩子這樣學數學，前進奧林匹克競賽

	 

	國際奧林匹克數學歷屆最大贏家是中國，究竟他們是如何從小訓練孩子數學的理解能力？想要精進數學，和天資聰穎的學子齊頭並進、挺進世界，就跟著本系列的奧數教材一起努力！

	 

	數學的要領和關鍵是理解與練習，有好的延伸教材，才能輔導對數學有興趣的孩子更上一層樓。《培養資優孩子的數學練習本》將數學觀念整理歸納，並設計了多元的題型，注重理解與思考。

	 

	很多孩子在數學方面有不錯的成績，如果想更有國際競爭力，多演算不同的教材，能幫助拓展視野，增進自己的實力。這套數學練習本由兩位在奧數方面有專長研究，並帶隊指導參賽及得獎無數的專業老師編寫，能有效幫助學生掌握奧數的精髓、培育對數學有天分的孩子。

	 

本書特色

	 

	●編寫團隊權威、具代表性

	●架構清楚，解說詳盡，提升邏輯思考力

	●練習題紮實、充分，反覆螺旋性學習

	●每個主題細分程度需求，適才適性

	 

"
9789570855890,"


給資優的孩子更多啟發性的資源

不只是齊頭式的教育

如果您的孩子或學生對數學有學習的熱忱和興趣

如果您對孩子或學生有信心他們能表現得更出色

給孩子更多學習和訓練的機會

讓天賦找到出路

資優的孩子這樣學數學，前進奧林匹克競賽

	 

	國際奧林匹克數學歷屆最大贏家是中國，究竟他們是如何從小訓練孩子數學的理解能力？想要精進數學，和天資聰穎的學子齊頭並進、挺進世界，就跟著本系列的奧數教材一起努力！

	 

	數學的要領和關鍵是理解與練習，有好的延伸教材，才能輔導對數學有興趣的孩子更上一層樓。《培養資優孩子的數學練習本》將數學觀念整理歸納，並設計了多元的題型，注重理解與思考。

	 

	很多孩子在數學方面有不錯的成績，如果想更有國際競爭力，多演算不同的教材，能幫助拓展視野，增進自己的實力。這套數學練習本由兩位在奧數方面有專長研究，並帶隊指導參賽及得獎無數的專業老師編寫，能有效幫助學生掌握奧數的精髓、培育對數學有天分的孩子。

	 

本書特色

	 

	●編寫團隊權威、具代表性

	●架構清楚，解說詳盡，提升邏輯思考力

	●練習題紮實、充分，反覆螺旋性學習

	●每個主題細分程度需求，適才適性

	 

"
9789865408114,"


網路為現代人帶來無限便利，

「密碼」已然成為守護安全的利器。

但是關於密碼，我們了解多少？

本書將從密碼基礎知識至實際應用方法，

層層剝開密碼的神秘面紗！

	 

	有絕對安全的密碼嗎？

	如何防止密碼被盜用？

	數學系、工程師必讀！

	密碼學基礎知識，搭配本書一看就懂！

	密碼無所不在，一點就通！

	 

	現代人深度依賴網路，

	上網購物、彈指間買賣股票、使用手機轉帳、網路銀行交易……

	網路的普及使我們的生活更便利，

	但你是否想過如何保護網路上的重要資訊呢？

	 

	密碼的技術大幅發展，這不僅是資訊安全相關專家的研究領域，

	對生活於網路時代的我們而言，了解密碼也是必要知識。

	本書用生動漫畫，解說密碼技術的構造與功能，也期望藉此讓讀者輕鬆理解密碼技術上不可或缺的複雜數學。

	 

	第１章　密碼學的基礎

	第２章　共通金鑰（對稱金鑰）加密系統

	第３章　公開金鑰加密系統

	第４章　實際的密碼應用

"
9789863710738,"


★ 1天只要5分鐘，就能活化大腦、增進數理力
★ 腦科學研究證實，快速進行單純數學運算，將能有效活化大腦前額葉
★ 本書收錄366道題目共5000小題，只要每日持續解題，將提升思考力與腦活力
★ 單純填入式的計算題老少咸宜，也可親子共玩，全年齡皆適用

	川島隆太教授是日本國內大腦功能開發研究的翹楚，專門研究透過「寫字」、「朗讀」和「單純計算」等行為如何活化大腦。而本書便是川島隆太教授與日本學研社共同研究製作，證實解開本書收錄的計算題時，對於活絡大腦思考將有很大的幫助！

►計算大全收錄的題目類型
【單純填入式計算】兩個數字計算、空格計算、三個數字計算、兩個數字與三個數字計算、三個空格計算
【連線計算】行列計算、電驛計算、樹狀加法
【數量計算】棋子的數量、方塊的數量

►誰適合玩計算大全？
	✓ 喜愛挑戰算術遊戲或動腦遊戲的所有年齡層
	✓ 計算大全需要大量使用四則運算及九九乘法，完成本書必能增進算術能力，因此也相當適合想增進計算能力的人
	✓ 需要刺激思考、加強數理邏輯的學生
	✓ 引導學生提升數字邏輯強度的老師

►每天1頁計算練習，持續366天的腦力保養計畫！
✓ 活化大腦：在解題思考過程中，對於活絡大腦思考有很大的幫助。
✓ 提高專注力：能享受專注在一件事的滿足感，改善注意力不集中的問題。
✓ 培養耐力：只要一個數字不對，便無法找出正解，必須耐心反覆驗算才能完成。
✓ 舒緩壓力：解題時心思都集中在數字運算上，靜心的過程將能暫時忘卻煩惱與壓力。
✓ 喚起好奇心：解題的過程能帶來成就感，培養主動解決問題的能力，也能對新事物湧起興趣和熱情。

本書特色

►老少咸宜、親子共玩、促進互動的闖關遊戲
	收錄5000道題目，大人小孩都能玩，雖然是靜態遊戲，卻帶來令人著迷的效果。
►訓練邏輯思考，鍛鍊大腦永保年輕
	藉由計算遊戲，訓練數理及邏輯和抽象思維，能延緩大腦隨年齡退化，加強大腦活性與認知能力。
►培養數感，找回數學的樂趣
	豐富的題型，即使每天玩也不會膩，不同的題型也能培養對數字的直覺與邏輯，訓練解題技巧。

"
