ISBN,書籍簡介
9789869941266,"


★風靡全球，簡單有趣，掌握基本運算過程即可無限延神，迅速破題求正解

★化繁為簡，每天10分鐘，運算速度提升10倍，強化大腦靈活性，學會永不忘

★0～99歲都能學的「頭腦瑜伽」，打破既定思維，同步提升邏輯力、創造力

	 

化繁為簡，翻轉運算過程，

比計算機更簡便、比心算更強大的神奇速解法

免背公式，3秒求解，

快速、正確，一看就會，從玩中練出數學金頭腦

	 

	本書解讀印度數學的精髓和運算過程，打破以往演算的定向思維，免背公式，快速提升邏輯推演能力。

	 

	印度數學中獨特的逆向演算法、補數演算法等計算過程，能夠讓學習者跳出慣性思考，培養跳躍式的解題路徑，直達問題核心，做到「一看算式，立知答案」的數學直覺。

	 

◆你能在3秒內算出95×95的解答嗎？

◆你想從複雜的3位數運算和4位數運算中跳脫出來，一看就知答案嗎？

	這些超強的計算能力，印度小學生就能辦到！

	翻開本書，跟著我們一起來體驗奇妙的印度數學，

	比魔術更神奇，比遊戲更有趣，比計算機更迅速！
	 

	◆對於學生

	可促進左右腦平衡開發，提高數學學習興趣，快速提升計算速度和準確性，考場輕鬆考高分

	◆對於成年人

	可訓練超強思維能力，提升邏輯力、思辨力和企畫力，在工作和生活中都能更加出類拔萃

	 

	1.高速秒算，節省時間：將原本的四則運算化繁為簡，以從左到右、運用補數的方式，創造發散性思維的學習模式，一題多解，觸類旁通，比尋常的計算方法快10～15倍。

	 

	2.簡單實用，有趣好玩：印度數學的運算方法簡單，且靈活多樣、不拘一格，讓生硬枯燥的數字運算變得生動有趣，是學習和日常生活中，進行數學計算的有效工具。

	 

	3.實例詳解，清晰明瞭：每種計算方法都有詳細的解題示範，幫助讀者快速掌握，有效提升運算能力。

	 

	4.練習多樣，答案對照：每種計算方法後，銜接主題性練習題，並附有參考答案，可在解題後核實正誤，鞏固學習成效，學會永不忘，一懂就是一輩子。

	 

本書特色

	 

★★分章清晰，學習脈絡明確★★

	本書分為四個章節，循序漸進介紹印度數學在加減乘除運算中的妙用，尤其是乘除運算，更是印度數學大顯神威的舞臺。

	1.第一章：帶領大家走進神奇的印度數學世界。

	2.第二章、第三章：介紹印度數學的核心——補數思想。

	3.第四章：介紹三種遊戲式的簡演算法，將印度數學中輕鬆有趣的一面呈現在讀者眼前。

	 

★★創新方法，越算越聰明，越學越上癮★★

	書中呈現破解數學運算的公式原理，還有印度數學與眾不同的創造性思維，令人讀來耳目一新，大有所獲。

	　

★★題型多元，觸類旁通，其他科目同步提升★★

	每個主題都提供配套練習題，附有詳細解答，透過多重練習，除了能夠增強運算能力、邏輯推演能力，還能從中激發創造力和想像力，有助增強其他課業。

	 

"
4717702904098,"


 你知道
 【交換禮物】是數學控制的嗎？
 【職場競爭力】由了解數學的人決定？
 【戀愛緣份】竟然由數學牽線？
 【親子互動】數學可以加溫？

 不論是學生、上班族、家長……
 我們都有不同的煩惱
 我們都不想當麻瓜
 每個人都希望自己擁有魔力
 解決人生中必定遭遇的問題

 「數學」不好不是問題，「麻瓜」身份也沒關係；
 「魔數術學」解決人生問題，讓好人壞人敵人陌生人都會成為你的貴人。

 【本書3大特色】
 ◆魔數一學就會，輕而易舉成為炒熱氣氛的溝通高手。
 ◆連載漫畫圖解魔數，易讀、易懂、易操作。
 ◆以脈絡分明的推理小說為布局，解析如何使用科學方法操縱人心。

 【各界好評聯手推薦】（依姓氏筆畫排序）
 ◆林國楨
 國立彰化師範大學教育研究所所長
 ◆洪萬生
 國立台灣師範大學數學系退休教授
 ◆郭君逸
 國立台灣師範大學數學系教授
 ◆陳宏賓
 UniMath總編輯
 ◆葉丙成
 國立台灣大學電機系教授
 ◆劉謙
 國際魔術大師
 ◆魏澤人
 國立東華大學應用數學系副教授
 ◆蘇恭弘
 國中數學輔導團召集人暨台南市新興國中校長

"
9789864612284,"


	★三角函數除了學科外，還有什麼其他用途嗎？
	★我數學基礎這麼不好，該怎麼辦？本書從頭帶你認識三角函數的原理、公式、練習題目及應用領域，一起放膽學數學！
	★日本牛頓獨家授權，Amazon4.5星評價，用精美圖解擴及應用，培養你的數學素養！
	★書末附上學科相關三角函數重要公式一覽表

	三角函數的基礎是正弦sin、餘弦cos、正切tan，雖然令許多學生頭痛不已，卻是相當基礎且重要的數學定理，其用處無遠弗屆。

	從古代天文學的三角測量開始，到如今網路影片、地震速報，三角函數的應用早已涵蓋工程學、航海學、測繪學、音樂、物理、天文、地震分析，甚至是目前的網路影像與聲音壓縮、合成等等，堪稱是現代生活中各種技術的必備基礎。具備良好的數學運算能力，也有助於整合觀念，培養邏輯清晰的推理能力。

	有鑑於此，本書以「三角函數」為主題，運用大量精彩圖片，有系統且循序漸進的方式，從三角形的性質開始談起，逐步解說三角函數的起源、基礎、公式、用途，並擴及廣泛應用於各領域的代表性工具「傅立葉分析」、「量子力學」、相關的數學公式等。其中還特別附上三角函數的練習題，供讀者自我測驗，是內容相當豐富且全面性的三角函數專書，不但可幫助學生打穩基礎，對想進一步學習的讀者或老師，想必也能有所裨益。尤其本書中所列出各步驟的計算過程和解說，最有助於解開艱澀難懂之處，是市面上難得一見的數學讀本。

內容分成六大部分：
	一、序章：三角形的性質、畢氏定理、三角測量、三角函數的起源、三角形的全等與相似、利用三角形相似性質的古代測量、托勒密《天文學大成》。

二、三角函數基礎：分別介紹sin、cos、tan及三者的應用、√與無理數、變數「x」與固定常數「a」、函數意義、日本三角函數發展史。

三、三角函數重要公式：三角函數間的關係、餘弦定理、正弦定理、和角公式，以及「餘弦定理」、「正弦定理」、「托勒密定理」證明，並附上三角函數練習題與解題演算。

四、從「三角形」到「波」：三角函數與單位圓、三角函數的性質、「座標」結合數學式與圖形、弧度法、旋轉與三角函數、振動與三角函數及其物理學、波與三角函數、三角函數的微分與積分、反三角函數。

五、三角函數與傅立葉分析：聲音與傅立葉分析、三角函數合成、傅立葉級數、傅立葉轉換、圖像壓縮與傅立葉分析、生活中的傅立葉分析、三角函數的正交性及其衍生的傅立葉轉換、傅立葉轉換對音樂與數位訊號處理，以及聲音合成、地震分析和ALMA望遠鏡的三角函數應用。

六、深入探討三角函數：泰勒展開式、歐拉公式、量子力學的三角函數應用，另外特別介紹數學天才歐拉與歐拉公式導出過程，以及三角函數與虛數的結合、三角函數的「相關」函數，最後整理列出三角函數的重要定理與公式。

本書優點：
	1.鉅細靡遺闡述三角函數的來龍去脈、應用與逐步解析過程，補足課堂上因時間侷限而無法詳述的內容，對剛開始學習三角函數的初學者、學習卡關的人，帶來極大幫助。
	2.在推導出公式的計算過程後，附上測驗的練習題目，有助於提升學習效果，更適合課後複習加強印象。
	3.特別就三角函數的應用，以及擴及的三角函數微分與積分運算、相關函數等都有解析，是一般三角函數讀本所不及的部分，能讓讀者通盤了解三角函數的重要性。
	4.書末整理了三角函數的重要定理與公式，有助於隨時查閱、快速複習。

系列特色

	1. 本書系來自日本牛頓出版社的科普書系列，一貫以精美插圖、珍貴照片以及電腦模擬圖像，來解說科學知識，深入淺出、淺顯易懂。
	2. 以一書一主題的系統化，縱向深入閱讀，橫向觸類旁通，主題涵蓋天文地理、生物、數學、物理、化學、工學、歷史、醫學藥學九大類。
	3. 總以各方角度來闡明各類科學疑問，啟發讀者對科學的探究興趣。

"
9789865535582,"

沒有人完全不懂數學！一本寫給非數學人的數學書»DNA檢測到底有多準確？»疾病篩檢陽性，為什麼最好再測一次？»怎麼利用37%法則，做出最好的選擇？許多人覺得數學太難，在學校上課時就下意識排斥，甚至畢業後真的只用加減乘除來處理日常事務。這實在太可惜了！數學最大的用處，就是幫助我們在複雜的世界中找出模型，讓我們更容易理解現實的問題、做出最好的決定，像是：．看穿金字塔騙局，遠離投資陷阱．秒懂複利效應指數模型，趁早開始理財．瞭解流行病傳播方式，做好防護、經常洗手葉茲利用「故事」這個最簡單、最重要的模型，來解釋日常生活幾個常被忽略，卻又相當重要的數學概念，也告訴我們，這些攸關貧富與生死的數學並不難，只需花點時間認識它們，在人生旅途中不僅能多上一分欣賞風景的樂趣，還可以閃開不易察覺的坑洞，避凶趨吉。
                    
"
9789865659325,"


 數學是一種語言，一種非常精準的語言，人們使用數學語言與自然對話、與藝術對話、與文學對話、與生活對話、與文化對話、與教育對話、與文明進展對話、與民主對話、與愛情對話。《文化脈絡中的數學》將引領我們，聆聽數學與各種領域的對話，層層疊疊、抑揚頓挫、從天上來、打心底起，讓數學融通了生命與生活，從而讓讀者有了屬於自己的數學聲音。

 數學不僅是文化的產出，數學也形塑了文化。本書所涉及的文化領域，包括語言、文學、歷史、藝術、電腦、選舉、教育、宗教與信仰等，作者企圖以說故事的方式，一層一層慢慢展開論述：以文藝創作旁敲數學、用郵票來述說數學的大歷史、藉由人物傳記讓世界的數學發展史跟我們自己拉上更親近的關連，並針對切身熟悉的文化活動來闡述數學的角色，從而讓讀者體認到數學學習的真正價值及趣味。

"
9789869378932,"


本書特色

	準備ACT數學只需這本書，ACT數學滿分 買這本書就夠了！
	美國高中數學老師 Tiffany Jang & Dr. Simon Jang
	帶領無數學生ACT數學滿分最新力作！

	‧超過1500道練習題，能有效複習考點觀念
	‧10回擬真模考測驗，每題皆附上答題詳解
	‧滿分技巧詳細解析，幫助無數考生ACT數學滿分
	‧美國Amazon排行最佳暢銷書，擁有超高讀者評價

	字神帝國英語學院-教學總監「康老師」大力推薦

"
9789865408060,"


★★★前臺灣師範大學數學系教授兼主任  洪萬生 專文導讀★★★

★★★國立彰化師範大學數學教育研究中心專委  莊惟棟  專文推薦★★★

臺灣師範大學數學系教授   游森棚

臺師大電機系助理教授 數感實驗室共同創辦人  賴以威

一致好評推薦！

	（按姓氏筆畫排列）

	 

	《數學文章寫作》進階級——《推敲篇》，來了！

	數學，推敲推敲！唐朝賈島作詩「僧敲月下門」，韓愈說：「作敲字佳。」遂定稿，這就是推敲的由來。

	如何寫出正確又容易閱讀的數學文章，向讀者傳達你的思維呢？在前作《數學文章寫作【基礎篇】》中，作者結城浩集結數十年來的數學書籍寫作經驗，舉出「好的例子」和「不好的例子」，告訴我們什麼是「好的數學寫作」。

	在這本《數學文章寫作【推敲篇】》中，我們要進一步，將「好的數學寫作」，修改為更正確、流暢的文字。作者結城浩在寫作的時候，站在讀者的立場，為讀者著想，仔細推敲，重讀數遍自己寫好的文章，一點一點加以修改。

	既然是推敲，本書分為四個重點「執筆、推敲、校正、評論」一一說明。

執筆時站在讀者的立場，讀者對哪些名詞和定義會覺得不清楚不了解呢？我們就要把些部份寫清楚來。寫完了不是就寫完了，寫完才是推敲的開始。修改的時候一邊改一邊讀，確認自己把自己的想法都充分寫清楚了。然後斟酌字詞的選擇，寫這個詞和寫那個詞，哪一個比較好呢？字改好了，句子通順嗎？所有句子的組成平衡嗎？哪些寫太多，哪些寫太少嗎？草稿終於改好了，拿給別人看看，有什麼值得我參考的意見嗎？可以幫助我提升文字品質。推敲花了太多時間，寫好一篇來不及做別的事嗎？你需要時間管理，作者告訴你，他的親身經驗，有效率的寫作方式。最後寫好了，怎樣知道寫好了？改了十次算不算是改好了？話說結束一篇文章也是有學問的，該有人出來告訴你「時候到了！」

	最後，還會附上理科人士最愛的「檢查表」，讓你吃完還能帶著走，回顧你所寫好的文章。

	同樣的審定老師，同樣堅強的推薦陣容。不僅可以知道數學文章怎麼寫，還可以反過來，知道出題老師教授是這樣在想一篇數學文章，一道數學題目的。

"
9789865408022,"


全台第一本數學寫作專書

寫作文章的目的，是向讀者傳達你的想法！

	 

★★★前臺灣師範大學數學系教授兼主任  洪萬生 專文導讀★★★

	 

國立彰化師範大學數學教育研究中心專委  莊惟棟

臺灣師範大學數學系教授   游森棚

臺師大電機系助理教授 數感實驗室共同創辦人  賴以威

一致好評推薦！

	（按姓氏筆畫排列） 

	 

	 

	日本數學會出版賞得主結城浩教你邏輯清晰的寫作技巧

	解題時常常「不知道題目想表達什麼」嗎？

	命題時常常煩惱「怎麼寫學生才看得懂」嗎？

	文章順序怎麼排才容易閱讀？

	如何適當舉出幫助讀者理解文章的例子？

	8大章節循序漸進，教你寫出「對讀者有益」的實用文章！

	 

第1章〈讀者〉

	清楚理解讀者的背景知識、動機、目的。

第2章〈基本〉

	重視格式並意識字詞、句子、段落、章節等文章構造。

第3章〈順序與階層〉

	構成文章的順序與階層，如何安排文章順序，統整內容。

第4章〈數學式與命題〉

	數學式與命題的寫法，從寫出數學式的目的，到如何防止讀者誤解。

第5章〈舉例〉

	如何舉例才能幫助讀者理解文章？學習舉出正確且具有效果的例子。

第6章〈問與答〉

	對讀者提出問與答的方法，如何提出適當難度的問題，不讓讀者感到混亂。

第7章〈目錄與索引〉

	做出真正能幫到讀者的目錄、索引。

第8章〈唯一想要傳達的事情〉

	複習並總結如何實踐「為讀者設想」。

	 

	適合學生、教師、補習班講師、網路／書籍作者

教學、報告、論文、考試命題都能派上用場

「說明的目的在於教導，而非自我表現」──美國電腦科學大師‧史丹福大學教授  傑夫‧厄爾曼(Jeff Ullman)

	 

	它是一本寫好「文章」，加入「數學」元素還可寫出「好文章」，完美演繹「寫出好文章」的書！

	彰化師範大學數學教育研究中心專委  莊惟棟

"
4717702096557,"


	現代世紀的靈魂取決於無限小
	無限小的戰爭是一場你死我活的生存之戰，無限小的勝利帶來了現代文明的進步
	無限小理論是微積分與許多現代數學以及科技的基礎，它究竟如何影響十六、十七世紀的文明發展？

	從歐洲宗教戰爭到英國內戰，從耶穌會到英國皇家學會，從伽利略到牛頓，無限小是無數神學家、數學家、哲學家熱辣辣戰爭的主角，它也是歐洲科學進步、思想自由以及更寬容社會的關鍵，義大利與英國成為現代國家的分野。

	一六三二年八月十日，五位穿著飄拂黑袍的人，受召在一棟堂皇卻陰沉的羅馬建築物中，裁定一個令人誤以為簡單的理論：一條連續的線是由獨立但無限的微小部分組成。耶穌會的神父們大筆一揮，禁止了無限小的概念，宣布永遠不能教授這個理論，甚至連提都不准提。他們認為這個概念危險又具顛覆性，對世界是一個有秩序的地方，而且由一套嚴格而不變的規定所治理的這個信仰有威脅。如果接受了無限小，耶穌會害怕整個世界都將墮入混沌。

	獲獎無數的歷史學家阿米爾．亞歷山大在《無限小》中揭發了耶穌會這個裁決背後的深層原因，並敘述無限小的理論如何繼續，終於成為微積分與許多現代數學、現在科學理論與科技的基礎。的確，並非所有人都贊同耶穌會。歐洲各地的哲學家、科學家與數學家都接受無限小，並將之視為科學進步、思想自由以及更寬容社會的關鍵。一如亞歷山大在書中所揭露的，支持與反對無限小的兩大陣營在開打前，歐洲的階級與秩序力量就已經在對抗多樣化和改變的力量了。

	這個故事把我們從歐洲宗教戰爭與英國內戰的血腥戰場，帶到當時最偉大的數學家與哲學家的生活中，包括伽利略、托里切利、牛頓、貝拉明樞機主教、湯瑪斯．霍布斯、克里斯多佛．克拉維烏斯與約翰．瓦里斯。在義大利，無限小的挫敗預告了這個國家主導歐洲文化的朝代已經結束；而在英國，無限小的勝利則幫助了這個島國走向了世界第一個現代國家之路。

	從德國的帝國城市到英國薩里郡，從羅馬教廷到倫敦皇家學會的大堂，亞歷山大闡述了一個數學觀念的歧異如何演變成天體與地球的爭論。無限小的矛盾與彈性對應到政治態度的獨斷與民主政體，摒除無限小，除了教宗與國王的正統性，還有我們所相信的人類自由與進步的科學，全都岌岌可危。

"
9789571192086,"


	高中版《數字搜查線》
	14個懸疑神秘的案件等你來破解！
	西瓜成為詐欺的工具？！
	利用數學來作弊？！
	籃球場上有何陰謀？！
	根據握手次數可以抓出兇手？！

	在這本偵探式的解謎故事集裡，和十四歲的數學天才李維鬥智吧！

	本書每一篇偵探故事都圍繞著數學謎題這個核心。試試你的數學和物理技巧，並好好欣賞李維如何利用智慧、三角學、機率、組合數學及邏輯推演來機智地分析所有的計謀。

"
