ISBN,書籍簡介
9789863812173,"


我是誰、我從哪裡來、要到哪裡去？
	生命意義與宇宙真相的三大終極問題，
	盡在量子力學及混沌理論之中。


	本書以淺顯易懂、娓娓道來的方式從全像原理、暗物質與暗能量、費曼的路徑積分、耗散結構理論、玻爾茲曼大腦、人擇理論等等一一對宇宙的面貌與人生的意義進行解析與證實，從科學到宗教，從老子到柏拉圖，真理其實皆指向唯一。

	★電子雙縫實驗證實宇宙是自己的意識所創造；
	★熱力學顯示了人生的無常為宇宙精心設計；
	★歌德爾的不完備性說明生命要不斷自我超越；
	★貝葉斯法則則是改變命運的一支生命程式。

	隨著科技的快速發展，宇宙真相似乎也逐漸明朗。結合「弦理論」與「黑洞熱力學」的「全像原理」說明世界是心的投影，宇宙不是物質，而是心智與心靈！你會發現世界是如此精密奧妙，而生命就是一場深耕及釋放天賦、不斷創新的旅程。
	    
	以自我為出發點，一步步破解宇宙真理的同時，更重要的是學會面對人生中的挑戰和對未知的坦然。你會感嘆人類的誕生簡直是上天的恩寵、宇宙進化的推動者，所有的一切都是最好的安排，所有的一切都是為你的成長而運轉。

	印度聖人尼薩加達塔：「你會確鑿無疑的認識到，世界在你之中，而不是你在世界之中。」

"
9789865779566,"


理工科救星！

漫畫掌握材料力學

邁向頂尖科技大學；橫掃所有理工科系

擺平理論與實務問題，

平衡物理與化學性質。

	 

	易懂漫畫打好基礎，

	貫通力學理論與實際材料！

	 

	機械設計與製造、微機電系統、機械工程、土木工程、建築設計、一般製造業……

	理工科學生的夢想，從材料力學出發！

	設計圖不只是空想，

	材料力學就是所有具體建物的藍圖！

	 

	材料力學是機械工程學的重要領域，製作安全結構體的基礎學問。

	不懂材料力學，理工科畢不了業！

	 

	製作物品該如何選擇材料，設計結構？

	不同的製作方式，會造就不同的物品性能？

	技術性的製造工程，其實處處是理論！

	 

	參透材料性質，追求完美「力平衡」，讓物品「耐操，好擋，拼第一」！

	本書從簡單的書架製作出發，

	告訴你材料力學的一切！

	 

	力是具有大小、方向的物理量？

	物體處於靜止狀態，也有力在作用？

	「力」有哪幾種？壓縮力、拉力、張力、剪力與扭力有何差別？

	如何分析物體所承受的作用力，以及「力流」？

	什麼是安全係數，安全係數越大越好嗎？

	1kg物體所承受的重力記為1kgf？

	1N（牛頓）是讓質量1kg的物體產生1m/s2加速度的力？

	翹翹板是力矩的作用？

	用相同力道按壓枕頭，不同方向的力會造成不同的變形？

	物體的變形種類其實有很多？作用的力與計算方式皆不同？

	如何考慮各種作用力，計算長椅板材所需的厚度？

	 

本書以漫畫方式，讓讀者從力的基礎知識出發，探討物體的變形、應力、材料強度和力學性質以及材料力學的應用，不只解說理論，更教導各種力的計算方式，讓讀者打好基礎、精確計算，朝製造業、設計業、建築業甚至是學界，一步步邁進。理工科學生必修的材料力學盡在本書！

"
9789579119818,"


	這是一本精確介紹邊界元素法計算概念和方法的書，目的在穰讀者能夠真正的學習到這個方法，也同時能夠真正的用來計算問題。本書內容為藉由一維問題說明邊界方法的基本概念，也藉由一維問題說明邊界方法的計算原理，一維問題可以說已經包含全部邊界方法的意涵。二維問題比較接近實際的物理問題，也包括全部邊界元素法所有的計算細節，二維應用問題包括有基本的測試問題、基本的流體力學問題、地下水滲流問題、還有作者個人專業領域的波浪問題。三維邊界元素法應該是本書最大的特色，包含所有需要用到的計算細節，照著使用應該就可以計算三維的問題。最後，Helmholtz方程式的應用計算，則是常用的三維問題簡化，可利用來計算港池振盪問題，也是波浪問題中很重要的應用。

"
9789865408077,"


解釋超導體、量子力學

2016年諾貝爾物理學獎，就是以拓樸概念解開物質的奧秘！

	 

	馬克杯和甜甜圈竟然是相同的形狀？

	如何一筆畫完成柯尼斯堡七橋？

	映射、流形與扭結

	從曲面幾何猜想宇宙形狀

	解開百年大謎——龐加萊猜想！

	這些都可以用拓樸學一一解密！

	 

	2016年的諾貝爾物理獎由3位英國學者共同獲得，其中1∕2的獎金頒給目前任教於美國華盛頓大學的David J. Thouless，其餘1∕2則由美國普林斯頓大學的F. Duncan M. Haldane及美國布朗大學的J. Michael Kosterlitz分享。

	這3位學者獲獎的主要貢獻是「物質的拓樸相變及拓樸相態的理論發現」，物質在極低溫的環境中常會產生一些奇異的現象，這物質會轉變成完全不同的狀態（或稱相態），即人們熟知的超導體。

	這個發現不僅開啟了人們對不同於傳統四態（即固態、液態、氣態、電漿態）及傳統相變的全新領域的探索，也對當前材料、電子科學及量子電腦的發展有重要的影響。

	 

	拓樸學（topology），是在數學上一門鑽研不會受到形狀或大小的連續變化而改變的幾何性質。

	例如就幾何形狀來看，碗、馬克杯、甜甜圈這3樣東西，哪兩個看起來比較相似呢？

	拓樸學從數學拓樸的概念來看，馬克杯跟甜甜圈其實才是相同的。

	 

	在拓樸學中有一種克萊因瓶，這是一個非常特殊的瓶子，我們生活的空間幾何維數是三維，而克萊因瓶只能在四維及更高維空間存在，理論上無法在我們三維空間中製造出來，就好像在一個二維平面上不能制造出一個球來一樣。

	這是一種沒有開口也沒有出口的瓶子，沒有裡面也沒有外面，外面就是裡面，裡面就是外面，這是一種只存在四維空間的克萊因瓶之祕！

"
9789579036214,"


這是一本以學生之觀點撰寫的教科書
	是工程與技職科系學生克服學習流體力學恐懼症的工具

	這是一本比科普更深入更人性化的案頭書
	期許一般大眾領略大自然力量與奧妙並讚嘆歷史長河中人類的智慧


	流體力學對於理工科系學生而言，似乎都是艱深的一門課，被「當」者大有人在，普通人更只能望其項背，而失去認識大自然的機會，殊為可惜，因為人類無論了解大自然與否，時時刻刻都生活在流體的世界中，不了解它就受其肆虐，了解它 就為我們應用造福人類，也許就是達到中國人所謂之天人合一境界吧！

	流體力學並不難學，「順藤摸瓜、循序漸進」，從日常生活及大自然中觀察、比較，建立正確之基本觀念，加上一些邏輯分析與判斷來學習，就可領略流體的奧妙，令人生畏的數學只是描述其美麗的工具而已。

	本書跳出一般中英文教科書定理、公式、證明等見樹不見林之枯燥窠臼，尤其多年來與學生之教學相長中體會到學生學習的困難與盲點，以更簡單、更人性的方法解釋看似抽象的流體世界。

"
9789864795079,"


最受學生歡迎的物理讀本，
要打通物理任督二脈，就從《觀念物理》開始！


	本書延續《觀念物理》第1冊牛頓的力學講義，
	接著探討我們每天都會碰見的圓周運動與轉動力學，
	以及如何由重心的定義來了解事物的平衡。
	遊樂場裡旋轉的「飛天轉盤」舉到幾乎垂直時，
	坐在裡面的遊客為什麼不會掉下來？
	比薩斜塔傾斜了這麼多年，怎麼還矗立在那兒？
	對玩蹺蹺板的小朋友來說，力矩觀念似乎理所當然；
	但牛頓從一顆下落的蘋果所領悟到的道理，
	卻是有史以來，人類心靈所及最遠的地方。

	接下來，休伊特老師從重力的觀點，
	為你細說你和同學之間的交互作用，
	與地球、太陽系在整個宇宙中受到的引力
	原來有著基本、共通的關連。
	而這些有趣、新奇的物理觀念，
	正是我們人類追尋太空殖民夢想的墊腳石！
	你以為相對論得等到高三才能接觸嗎？
	本書讓你提早認識近代物理大師愛因斯坦的偉大理論。
	我們從空間與時間的觀點切入，
	幫助你了解「狹義相對論」的基本理念，
	以及為什麼光速會是所有物體的速率上限？
	光速旅行又有什麼利弊？
	這是一個讓你貼近愛因斯坦智慧的絕佳途徑。

"
9789864795086,"


我們的日常生活，無一不和物理扯上關係。
觀念，往往就在一念之間。


	大家都知道，物質是由原子所構成，
	但你知道所有的原子皆可以回收再利用？
	今天你呼吸吐出的原子，他日可能會變成別人體內的一份子？

	別小看包圍身邊的大氣，沒有它，
	我們就不能用吸管喝飲料，鳥兒、飛機也都飛不上天了！
	了解密度的觀念和阿基米德原理，
	不是為了用來做計算題，
	而是可以實際幫助你辨別虛金假銀。

	冷、熱到底是什麼？你能信賴自己的感覺嗎？
	如果熱不是一種物質，那它是什麼？又要如何傳遞？
	熱脹冷縮其實並非不變的鐵律，誰是例外？

	物質三態的轉變，看似平常不過，
	背後的過程卻非常奧妙複雜。
	世間所有系統都會變得愈來愈混亂無序，那麼人類還有明天嗎？
	熱力學原理將為你一一道來。

"
9789571193847,"


	●全世界青少年最喜愛的趣味科普讀物
	●暢銷20多國，全世界銷量超過2000萬冊
	●世界經典科普名著，科普大師別萊利曼代表作

	小河裡的水居然會沿著山坡向上流？
	乘坐旋轉木馬體重就會增加？
	為什麼胸口碎大石的表演者能毫髮無傷？
	一股髮辮竟可以承受住二十公噸的重量？

	《趣味力學》是俄羅斯著名科普作家別萊利曼百餘作品之一，書中以幽默有趣的奇妙故事及經典難題，將力學知識和生活中的實際問題互相結合，使力學不再抽象遙遠，幫助讀者鞏固既有知識，培養對於力學的興趣，並啟發讀者深入探索學習。

"
9789571190402,"


	隨著科技進步及研發，生產設備和技術不斷更新，於製造儲存處理所使用之化學物質更趨於複雜化。在工業火災爆炸事故中破壞力極高，後果嚴重性常是產業所難承受。防火防爆問題正是一項引人注意之特別課題。

	從歷史上看，以爆炸為術語之物理性爆炸是由氣體（蒸氣）純物理變化釋壓現象；而化學性爆炸則是非定常混合燃燒現象。與火災不同的是，可燃物質必須先分解出可燃氣體（蒸氣），後與氧氣混合再燃燒；而化學性爆炸往往是可燃氣體(蒸氣)已與氧氣預先混合，產生帶有壓力波燃燒現象。

	本書大量取材自歐美日資料，盡量圖文解說，也置入計算量化範例，內容涵蓋了防火防爆應有實用基礎知識與專業技能，並於各章末備有模擬選擇題及申論題，使讀者更能汲取這本書內在的精髓。

"
9789863452560,"

「熱力學與熱機學」這個讓人聽了總是要皺眉頭的科目，有這麼難嗎？是同學誤解？還是師資有問題？「選錯了老師就像潑出去的水一樣，永遠無法回頭」。熱力學、熱工學、熱機學在各種考試當中佔有極重要的比例，只要多加把握拿取高分則勝利在望。就讀機械、材料、造船、航空等相關科系的同學，在研讀熱力學、熱工學、熱機學的課程時，最大的困難在於無從著手、觀念模糊或前後觀念無法連貫。而且最糟糕的是，所有相關的參考書籍都有一個共同的缺點，那就是冗言太多、廢話連篇。有鑑於此，本書對於觀念的闡述採用重點條文式，讓各位同學在最短時間之內迅速進入狀況，迅速掌握觀念。本書收集了相關的題目，包括研究所、高考、技師等等相關考題，提供各位同學作為自我練習、自我測驗之用。
                    
"
9789863452393,"

本書特色*內容新穎、鑑往知來各單元中的例題皆為該單元的代表性精選試題，確切掌握出題趨勢及準備方向，可達事半功倍之效。*解題靈丹，重點整理各單元的例題答案均有詳細精準的解答，協助讀者迅速破題。*過程步驟，流暢清晰內容編排流暢，解題步驟完整，針對難題提供題意說明，幫助讀者快速瞭解題意。*圖表說明，重點提要各單元或重要例題中含有老師在講，一定要聽的補充說明，方便讀者將該題相關觀念及流體力學的前後單元融會貫通。
                    
"
9789869283779,"


	向量

	三角函數

	慣性定律

	運動方程式

	作用力與反作用力

	動量與衝量

	力矩……

	學習牛頓力學，會畫圖就會解題！

	 

	從溜滑梯探討斜面運動，

	從腳踏車探討圓周運動，

	打棒球認識動量，

	拖行李了解摩擦力，

	電梯上升下降使體重忽重忽輕……

	日常生活中的牛頓力學無所不在，

	槓桿、彈簧、滑輪、碰撞，教你畫力學圖快速解題。

"
9789863452263,"

流體力學(Fluid Mechanics)是力學領域中最具柔性而美妙的科學，在生活中處處皆可應用與接觸，舉凡血液的流動、空氣的流動、河流的流動…等都是。這樣看來，可以說與流體力學相關的科學領域相當廣泛，如機械類群的熱傳學、環工類群的明渠水力學、水利族群的水文學…等，故若能融會貫通流體力學這一學科，相信在各領域學習上皆可有事半功倍之效。筆者認為要學好或考好流體力學有兩個重點，分別是：一. 通其觀念、脈其思路要學好流體力學，絕非單純背誦公式或多算題目即可！因此筆者在各單元中的內容、例題，都會以較親切、易懂的口吻來表達，使讀者能在短時間內輕鬆學會，並且熟悉題型，而不再懼怕流體力學。二. 準備上不分系所本書內容網羅了國內各大研究所（含機械、應力、航太、工科、環工、水利、土木、造船、大氣、醫工、海洋、海工、環安所…等）之歷屆試題，因此本書中的題型相當廣泛，使讀者擁有這一本書籍，即可快速抓住各系所之重點。本書特色◎內容新穎、鑑往知來各單元中的例題皆為該單元的代表性精選試題，確切掌握出題趨勢及準備方向，可達事半功倍之效。◎解題靈丹，重點整理各單元的例題答案均有詳細精準的解答，協助讀者迅速破題。◎過程步驟，流暢清晰內容編排流暢，解題步驟完整，針對難題提供題意說明，幫助讀者快速瞭解題意。◎圖表說明，重點提要各單元或重要例題中含有「老師在講，你一定要聽」的補充說明，方便讀者將該題相關觀念及流體力學的前後單元融會貫通。
                    
"
9789571174952,"


	二十一世紀以來高科技產業的產品已進入奈米級，元件愈做愈小，性質的效應就自動呈現出量子效應。以往經典物理的智慧已無法解決許多難題，因此必須要有另一 物理的新觀念──量子物理的境界。量子物理的概念已深深的潛現於現代高科技工程師的腦海裡，很自然的能解決當代奈米級元件的創作技術，使得許多難題迅速獲 得通暢。
	 

	本書以基礎的量子力學將物理量子化的發展足跡展示人類對於物理真理的認識過程，從抽象的理論到細緻的科學實驗驗證宇宙物質的二象元（波動與粒子）的存在。

"
9789866097799,"

結構力學是力學的一種，主要研究建築物的結構，是土木工程和機械學科的必修科目，在建築、工業等領域中多所應用。結構力學內容包括建築結構的組成、規則，必須考量在各種載重、材質等因素下的作用力變化，涵蓋軸力、剪力、彎矩、與扭力四種力學及其組合。本書從基礎的力學開始介紹，以簡潔而詳盡的解說方式，循序連接每一個階段，使學生不需在消化不良的狀態追趕進度，而可以依照自己的步調來學習。本書務將結構力學與實際應用結合，使得結構力學不只是一門學問，更是一門實用科學。本書特色從基礎的力學開始介紹「結構力學」，依序從簡單到複雜應用，即使是新手都可以依照自己的步調來學習。本書由國立台灣大學工程科學及海洋工程系林輝政教授審訂，分成6大部分、105小節、10個加強練習題組，清晰的插圖、表格，鉅細靡遺的解說，即使是再複雜的例題，都不需要害怕。照著做，就對了！．力學裡用的單位有哪些．力的基本性質．什麼是外力、內力、反力．構件所產生的應力．桁架的原理與解法．如何設計構件的尺寸/截面．如何設計壁量
                    
"
9789862219171,"

-教育部專案計畫補助跨領域教材-唯一使用Visual Fortran之計算物理教材-全書十章共25個f90程式及25個應用程式-所有應用程式均可立即於Windows下執行-隨書附贈程式光碟-支援網站spy.pccu.edu.tw/comphy本書的特點有三一、使用Visual Fortran程式語言在計算物理課程使用Fortran者甚多，但使用Visual Fortran則極少，它可以兼顧使用者對於高效能運算與即時繪圖之需求。二、Visual Fortran之二維、三維繪圖、動畫、影像及音效之處理繪圖、動畫、影像及音效是學生極感興趣的主題，本教材可協助學生自行創作圖形、動畫及音效，提升學習興趣及效果。三、PVM與MPI平行運算系統之詳盡介紹PVM與MPI平行運算系統大部分使用Unix或Linux系統，本教材介紹Windows版本，讓使用者很容易即可利用電腦實驗室汰換的電腦，自行架設及使用平行運算系統。
                    
"
9789577769886,"

【本書特色】漫畫→圖解→解說物理學是一門與自然現象息息相關的學問。力學即為其基礎。一般教科書多以文字敘述力學的動態意象，缺少了圖像連結使初學者總無法體會實際概念與真正有趣之處。本書藉由漫畫將力學的物理運動，以及力隨時間變化所產生的變動以動態方式表現出來，期望讀者能清楚理解力學的基礎概念──「牛頓三大運動定律」、「動量與衡量」、「功與能量」、「力學能守恆定律」。本書藉由漫畫清楚描繪力學的動態意象，另輔以文字說明概念，最後以循序漸進的方式說明力學基礎知識，以及與生活相關的物理學。如此一來，使得原本枯燥乏味的力學現象及相關定律變得更有趣，任何人都能依以下指示，隨著本書的安排輕鬆習得力學知識。如果你是，正要學習物理或是學不好物理的人：首先請僅閱讀漫畫部分。即使碰到無法理解的地方，也無須在意。你將因為漫畫而體驗到物理的有趣之處！物理成績普普，但想進一步學習高中程度的物理力學的人：除了漫畫外，也請接著閱讀進階部分。大學生、理工科系出身的社會人士、喜歡物理的高中生：請依序閱讀漫畫、進階至挑戰部分。此部分是以高中程度的微積分，進一步為漫畫內容作補充。

"
