ISBN,書籍簡介
4713510945216,"


沒看過《有機化學天堂祕笈》系列，千萬不要輕言放棄有機！
《有機化學天堂祕笈》講的是大觀念，
《有機化學天堂祕笈II》則是深入講解反應機構，
	 從此有機合成問題對你不再是問題！


《有機化學天堂祕笈I》
	   
	有機化學是化學中重要的一個分支，是專門講含碳分子的化學，事實上所有與生命有關的分子，都是有機分子。你如果翻開高中化學課本中教有機化學的那一些章節，甚至是大學的有機化學課本，會發現裡面介紹了多得嚇人的化合物，背不完的方程式。但對學生而言，背到昏天暗地也一定有沒背到的化學反應，記不起來的化合物，很多人就是如此敗在有機化學的手裡。

《有機化學天堂祕笈II》
	   
	沿襲《有機化學天堂祕笈》的優點，以讓你每個細胞都充滿有機的方式，引領你學習有機化學，把背誦部分降至最少，把龐雜的數百個反應，化成少數幾個觀念，任誰都能以此輕鬆快速的學習有機化學，順利的在考試中拿高分。
	  
	《有機化學天堂祕笈II》補充了許多老師在課堂上不可能詳細說明的細節，課前課後有此天堂祕笈在手，別人痛苦的上有機化學課，你卻快樂得如同在天堂！

"
9789866097140,"

有機化學完全不需要死背！藉由漫畫與內文的互相搭配，閱讀此書，讀者將輕鬆又愉快地瞭解有機化學。本書介紹有機化學理論與生活實際運用，講解著名化學反應及其運用。輕鬆翻閱右邊頁面的漫畫篇幅，搭配左邊的文字說明，如此漫畫搭配文章解說，可以獲得超越課本的知識。只要知道有機化學的基礎，就能導出建立在基礎上的推論。有了這些知識，你也將能夠解決日常生活中大部分的有機化學問題。本書特色2010年諾貝爾化學獎，由美國和日本三名學者同得，表揚他們在有機合成領域的貢獻，製造出複雜的有機化合物，應用在發明新的藥物來治療疾病，生產科技產業、農業等所需的化學物質。在成千上萬的化學分子中，稱為「有機化合物」的物質，在結構上具有碳原子與碳原子連結而成的骨幹。想要瞭解有機化合物，本書藉由漫畫與內文的互相搭配，完全不需要死背，讀者將輕鬆又愉快地瞭解有機化學。本書介紹有機化學理論與生活實際運用，講解著名化學反應及其運用。輕鬆翻閱右邊頁面的漫畫篇幅，搭配左邊的文字說明，如此漫畫搭配文章解說，可以獲得超越課本的知識。只要知道有機化學的基礎，就能導出建立在基礎上的推論。有了這些知識，你也將能夠解決日常生活中大部分的有機化學問題。
                    
"
9789864301751,"


	本書由三位在醫護院校任教多年的教師共同編寫，內容兼顧醫護類科系有機化學課程需求，詳細討論了各類化合物的命名、結構、物理性質、化學反應以及重要的反應結構、化合物的製法和有機化學未來新的發展方向。

	坊間的有機化學教材大多針對理工類科系課程需求編寫，內容及範例較適合化學或化學工程系所上課使用，醫護類科系任課教師很難找到適合學生需求的教材，本書作者依多年的醫護院校教學心得，編撰這本適合醫護院校有機化學課程使用的教材。

	本書內容簡明扼要，以豐富的精美插圖輔助讀者更容易理解，並以大量例題演示各類題型的解題過程。各章章末編有習題供讀者自行演練。

	為教學設計考量，書中習題不提供解答，讀者可先熟練例題之後，自行演練。出版社及銷售單位均無法提供習題解答，請需要標準答案的自學讀者購買前知悉並斟酌選購。

"
9789571152486,"

本書的宗旨在於教導讀者，在最短時間內學會如何判斷，有機加熱或照光反應的難易程度，並進而能隨心所欲，記住各種有機加熱反應及照光反應之反應式，及預測各種可能的有機反應途徑。本書拋開過去傳統的教學方法，用新的直觀辦法使讀者一學就懂、一點就通，在不知不覺間就領會此原理的精髓，並進而培養讀者應用知識解決實際問題的能力。
                    
"
9789571139012,"

反應機制是學習合成化學的基石，具備合成知識，才能自己規劃合成途徑，獨立研究，發明新的材料。全書共分兩單元，第一單元介紹合成芳香烴類，第二單元介紹脂肪烴類及環狀脂肪烴類，各單元再分成各種官能基化合物的合成方法。本書適用於化學、食品、生化、農藥、醫藥、有機顏料、光電材料、高分子研究者；可作為大學部選修、研究所教材。
                    
"
9789571124568,"


 幫助學生瞭解與日常生活相關的醫藥、食品、香料、清潔劑、農藥、染料等之常識及合成方法。

"
9789571122762,0
,0
4713510945193,"


	沒錯，有機化學的確很難！但這並不表示你沒辦法在有機化學上拿到高分。只要根據這本《有機化學天堂祕笈》按步操兵，你就能在有機化學課中如魚得水，快樂得像在天堂！

《有機化學天堂祕笈》能幫助你：
	．掌握有機化學全貌
	．更有效率的學習有機化學
	．增進有機化學解題能力

	有機化學是化學中重要的一個分支，是專門講含碳分子的化學，事實上所有與生命有關的分子，都是有機分子。你如果翻開高中化學課本中教有機化學的那一些章節，甚至是大學的有機化學課本，會發現裡面介紹了多得嚇人的化合物，背不完的方程式。但對學生而言，背到昏天暗地也一定有沒背到的化學反應，記不起來的化合物，很多人就是如此敗在有機化學的手裡。

	但事實上，學習有機化學就像是學習一種新的語言與文化，這本《有機化學天堂祕笈》就是告訴你有機化學的語言怎麼說，有機化學的世界要怎麼想。對於高中化學一味背背背的有機化學教法感到不耐的自然組學生，或想讀好大學有機化學課程的大學生來說，這本書無疑都是一大救星，它展示的學習方法能讓你自然充滿有機化學的細胞，不必挑燈夜戰苦記死背，就能在考試中輕鬆解題得高分。

"
4713510945209,"


	沒看過《有機化學天堂祕笈》系列，千萬不要輕言放棄有機！

	《有機化學天堂祕笈II》沿襲《有機化學天堂祕笈》的優點，以讓你每個細胞都充滿有機的方式，引領你學習有機化學，把背誦部分降至最少，把龐雜的數百個反應，化成少數幾個觀念，任誰都能以此輕鬆快速的學習有機化學，順利的在考試中拿高分。

	《有機化學天堂祕笈》講的是大觀念，《有機化學天堂祕笈II》則是深入講解反應機構，從此有機合成問題對你不再是問題。

	《有機化學天堂祕笈II》補充了許多老師在課堂上不可能詳細說明的細節，課前課後有此天堂祕笈在手，別人痛苦的上有機化學課，你卻快樂得如同在天堂！

"
