ISBN,書籍簡介
9789862358795,"


――――176幅精繪插圖，探索一切形式的根源――――
	一部結合設計、自然、科學的萬物形式演化史

萬物的世界，一切皆非理所當然――――
	尺寸的極限 × 材料的可能 × 元素的關聯 × 機能與設計的仿生美學
	 
	三角形、方形、圓形為什麼最常出現？
	雞蛋的形狀和雨滴的形狀有何關聯？
	什麼樣的物件可能存在或不可能存在？
	什麼樣的建築應該建造或不應該建造？
	永續長存的形式的共通要素是什麼？

★★主持人、作家  蔡康永  讚譽推薦★★

【專業審訂】
呂良正  國立台灣大學土木工程學系教授、康乃爾大學理論與應用力學博士
劉曼君  中華工程教育學會（IEET）辦公室主任、克萊蒙研究大學高等教育政策與行政管理博士
	 
	█ 自然的物、人造的物，各種各樣的物如何成為今日的形式？
	 
	無論是一個原子在大氣運動中的路徑，或者工匠工具的演變，
	或是森林中、河岸邊一棵樹的生長，
	都有其形式的成因和變遷發展的故事。
	透過「形式」的演化，一切事物有了連結。
	 
	鍛鐵與茂盛生長的樹有相似之處，鐵橋與兀鷹中空的翅骨相仿，
	植物葉片生長的形式與鹿角的曲線形狀相近。
	在綿長的時間尺度中，動物植物、液體固體、山脈地景、玻璃鋼鐵……
	一個物件該有多大多小、什麼樣的材料可以做出怎樣的物件、
	物件的形式與它的機能及它的設計之間的關係是什麼、
	一個物件的使用會如何改變物件本身、哪些定律影響物件的發展，
	種種問題都有了最適解答。
	 
	本書以「形式」為中心，探索萬物形式的根源和演化，
	包羅範疇含括設計理論、力學、結構和材料領域、地質學、生物學、人類學、古生物學、形態學。
	清晰易讀的闡釋說明、流暢優美的敘事、精繪細製的美麗插圖，
	帶領讀者領略這個充滿魅力的主題，開闊視野，
	而我們也能知道我們的世界如何成為今日的樣子。
	 
	█ 對我們所在世界的獻禮――――「被埋沒的珍寶……令人深深著迷」
	 
	樹木高度受哪些因素限制？大型船隻或辦公大樓為何比小型船隻或一般大樓效率更高？人類的胸廓與飛機、野牛與懸臂橋之間有何共通點？我們應該如何規畫，讓物件不會因使用而磨損，而且越用越好？本書作者提出對三度空間形式最具影響力的八種基準，分為八大主題，每個主題各構成一章，以完全不同的角度探索各種形式從何而來、往何處去，並仔細觀察及比較自然生成的產物和人工製作的物件。

	本書激發讀者開始觀察周遭環境，拋開以往對人類環境中的形式演變的成見和漠不關心，並告訴讀者更好的設計方式。作者以實際且直截了當的筆觸，搭配特別為本書繪製的精美插圖，提供關於「形式」的整體知識和了解。

	對學生、設計師、建築師來說，本書是價值非凡的作品；每一個關心自己所在世界的人，也可藉由本書踏入這個令人著迷的主題。
	 
	█ 對本書的讚譽
	 
	「形勢比人強？原意用在形容我們面對的處境，但用在萬物的形式（FORM）上也行得通，也就是形式比人強。萬物都是演化而來，其形式或形狀某方面來說都是最佳最強的！近年來流行的仿生學就是由生物的強項上獲得啟發，進而用於產品的開發與設計。本書深入淺出探討自然物和人造物的形式，把原本看似不相關的東西串連起來。萬物運行是否有統一定理可茲遵循？本書也許可以給我們部分答案……」
	――呂良正  國立台灣大學土木工程學系教授、康乃爾大學理論與應用力學博士
	 
	「作者以平易又流暢的文字，勾勒出天然和人造物質的形式及其形成原理，生動又饒富趣味，自然又蘊含深刻哲理；不知不覺中，讀者被鼓勵以不一樣的眼光反思我們的自然環境和周遭的事物，讓我們體悟到，大多數存在的物質確實已是文明演變下的最佳型態了。但就在這當下，作者又巧妙地提醒：現今所見的可能都是暫時的型態，人類文明的演變讓未來充滿了機會和可能性！」
	――劉曼君  中華工程教育學會（IEET）辦公室主任、克萊蒙研究大學高等教育政策與行政管理博士

"
9789864798056,"

»美國最有趣的科普作家瑪莉．羅曲最膾炙人口的著作»《紐約時報》非文學暢銷書排行榜第二名，盤據非文學排行榜六週我們大多數人一輩子都沒有正眼瞧過自己身上的器官，那是我們所擁有最珍貴、最神奇的東西。等到出了什麼毛病，才會想起它們的存在。—— 瑪莉．羅曲有好幾個世紀，消化道的英文就是「供給營養的運河」（alimentary canal）。想像一下，你的晚餐正沿著一條靜謐蜿蜒的水道漂流，這樣的畫面多麼宜人啊。消化與排泄不再令人感覺不適或厭惡，倒像是在萊茵河上巡遊般愜意。消化系統深處蘊藏著豐富的傳奇故事．充分咀嚼可以降低國債嗎？．如果唾液充滿細菌，為什麼動物要舔自己的傷口？．自殺炸彈客為什麼不把炸彈暗藏在直腸裡？．為什麼胃不會把自己消化掉？．脆脆的食物為什麼吃起來很「續嘴」？．便祕會不會要人命？貓王是否死於便祕？人們喜歡吃雞皮和豬皮，為什麼對吃鯨皮卻猶豫半天？其實我們的菜單是由文化構成。而文化對於替代品，一向不太留情。要說完全咀嚼有什麼好處，就是可以讓人吃東西的速度變慢。如果有人想要甩掉一些體重，這是有幫助的。人體是大型、會動的容器，裡頭裝的正是我們最嫌惡的物質——鼻涕和唾液。倘若這些物質留在自身範圍內，我們就不覺得噁心。爽脆的食物有獨特的吸引力。因為牙齒咬碎食物是一種破壞作用，人們因而獲得樂趣，或減輕壓力。要學會說這套「味語」裡的風味語言，就如同聽管弦樂團演奏，一開始你聽到的是整體的聲音，聽久了，你就會聽出巴松管、雙簧管、弦樂等結構。
                    
"
9789863448044,"


＝本書特色=
	★ 一本書清楚搞懂人體免疫系統如何工作，如何戰勝病原體及打贏抗藥性之戰！
	★ 1996年諾貝爾生醫獎得主彼得．杜赫提（Dr. Peter C. Doherty）好評推薦！
	★ 全球新冠肺炎疫情險峻，作者特別撰寫台灣版序！
	★ Amazon讀者五星好評，樊登讀書、羅輯思維強力推薦

	我們的免疫系統是怎麼形成的？它們如何跟入侵的病原體戰鬥？
	我們該如何面對免疫系統的天然缺陷？
	病毒，細菌都在不斷演化，未來的抗藥性之戰應該怎麼打？

	◆ 為什麼媽媽懷孕的時候，免疫系統不會排斥胎兒？
	◆ 為什麼有些病原體能夠騙過免疫系統？它們怎麼辦到的？
	◆ 免疫系統為什麼有時候會敵我不分，反過來危害人體？
	◆「提高免疫力」是消費陷阱嗎？萬一造成免疫失調怎麼辦？
	◆ 我們有沒有可能製造出含有抗體的牛奶，或者可治療疾病的雞蛋？

	在這本生動易讀的書裡，伊丹．班－巴拉克向我們展示了免疫系統如何運作，又是如何摧毀病原體。我們為什麼會對某些致病體產生免疫，同時，也探討了免疫系統的演化以及我們關注的抗生素與疫苗的功能，並展望了免疫的未來，帶領讀者展開一次有趣的免疫系統漫遊。

	免疫系統就像我們身體內的一支軍隊，他們跟外來的侵入者展開一連串的戰鬥。在人生的無數場戰役中，病原體施展了各種詭計：隱蔽、欺騙、偽裝甚至赤裸裸的暴力，跟人體的免疫系統展開鬥智鬥勇的殊死戰。而人體的免疫大軍有時也會失控、也會誤判敵情、甚至陣前叛變。即使如此，我們能在眾多病原體環伺下活到今天，仍都拜它們之賜，而我們對它們的認識，還在不斷地探索更新。

	作者用詼諧風趣的文字，把免疫系統執行功能的完整過程，寫成一個個幽默生動的小故事，同時又絲毫不影響全書的專業和前瞻性；本書還特別用了很長的篇幅，描寫胎兒在母體成形後，母體的免疫系統所經歷神奇而複雜的調整，讓我們得以用全新的眼光看待母嬰關係，也對大自然賦予母體的精密設計讚歎不已。此外，還精采回顧了科學界對免疫系統的認識是怎樣發展到今天的，以及展望未來最尖端的生物科學，扼要談到可能幫助長生不老的技術。

各界好評：
	「對一個複雜且重要的主題做了深入淺出的記錄。」
	——彼得．杜赫提教授（Prof. Peter C. Doherty），1996年諾貝爾生理學或醫學獎得主

	「《我們為什麼還沒有死掉？》極有雄心且非常易讀，它為大眾讀者精煉地總結了免疫系統的核心特徵。其內容非常前沿，甚至包括了最近榮獲諾貝爾獎的有關先天免疫系統演化的部分內容。這本小書是難得的通俗醫學佳作。」
	——古斯塔夫．諾塞爾爵士（Sir Gustav Nossal），愛因斯坦科學獎得主，澳洲國寶級生物學家

"
9789864612239,"


★從「生物的老化」到「死亡的過程」，以生物學角度來探討人體結構的「死」，解釋「為何人會死」，以及人類死亡時身體內部的變化，也會討論「為什麼人會殺人或自殺」。

★日本牛頓獨家授權，高解析度精美圖片解說，帶您一窺死亡的祕密。
	 
	生老病死，是生命必然的循環；而在今天的社會，死亡也不再是禁忌的話題。透過對死亡的認識，更能提升生命與生活的品質。「生死學」不只探討心理層面，而是建立在醫學與生理的基礎上：人為什麼會老化？生與死的界線在哪裡？壽命為何有上限？
	 
	《死亡是什麼》將從腦部、骨骼、皮膚等器官組織的變化來說明老化的過程；從植物人狀態與腦死的不同，探究生與死的差異；從瀕死體驗與臨終前的迴光返照解讀生死之境；從有性生殖與無性生殖看死亡的機制，從演化的歷史找出影響生物壽命長短的關鍵。
	 
老化的機制
	人的老化會表現在各方面，從髮色、皺紋，到視力、聽力、記憶的衰退，以及心、肺、肝、腎、肌肉的退化。而每個人在不同方面老化的速度又不同，所以有必要認識各個器官、組織老化的機制，從而找出不同的對應之道。
	 
生與死的界線
	從活著的狀態過渡到死亡的狀態，這是生命轉折的重大時刻，值得多加認識：雖生猶死的植物人狀態、迴光返照的原因、瀕死經驗到死亡的認定，對於我們以正確的態度認識死亡，面對周遭親友的故亡，都會有幫助。
	 
細胞與死亡
	人是由上兆個細胞所組成，所以把人的死亡化約到最基本的層次，就是細胞的死亡。個體與細胞之間，有著非常奇特而複雜的關係。細胞不斷凋亡、甚至啟動自毀機制，因而確保了個體生命的延續。當有些細胞不受控制，異常增生時，反而導致了個體生命的結束。箇中奧妙，值得探究。
	 
	每個人對生與死的看法，會受到成長環境、文化、人生經驗、職業等各種因素影響。親友的故亡也可能對一個人的性格和人生觀造成巨大影響。如今，談論死亡已不是禁忌，透過認識死亡的機制，我們更能好好活著。

"
9781647840136,"

Is there a meaning of life? Some people say : Yes.Some people say : No.What about reality?Actually this is an easy subject,Life is there.Look at you.Look at me.People have to love themselves,People have to love the earth,This is provable.
                    
"
9781647840129,"

生命有意義嗎？有些人覺得有，有些人覺得沒有，那實際上呢？其實這是個容易的題目，生命就在那裡。看看你，看看我，人要愛自己，人要愛地球，這是可以證明的。
                    
"
9789869792127,"


一本能讓你愛上生物課，感受到生命溫度的書
	比推理小說更精彩的生命科學故事
	哈佛大學學者帶你發現生命的奧妙與美麗


	一位生物學者關於看待生命、理解生命，最動人的詮釋
	--生命並非是零件組成的分子機械，而是在動態平衡下的美麗流動――

	生命到底是什麼？
	「生命就是進行自我複製的系統」，這是二十世紀生命科學所得到的一個解答。分子生物學的生命觀認為，生命體是由無數微小零件組成的精密模型，因此我們有機會利用精巧的操作來改變生命體，進行「改良」。

	但真的是這樣嗎？
	哈佛學者、知名分子物學教授福岡伸一認為，生命是在動態平衡下的流動，或許是另一個能夠定義生命的準則。但，這種「動態」到底是什麼呢？

	本書帶你深入肉眼看不到的世界，認識生命最精巧的設計，從病毒的發現、DNA雙重螺旋結構的確認與自我複製意涵、到薛丁格對生命的思考、生物化學家舍恩海默的動態生命觀……，一步步解開生命「動態」之美與謎。

	福岡教授充滿人文情懷的筆調，也彷彿推理小說般，抽絲剝繭，訴說一個個關於生命與生命科學的精采故事。

得獎紀錄

	◤獲選《朝日新聞》代表平成年代的30本書
	◤暢銷日本80萬冊
	◤中央公論新社新書大賞、三得利學藝賞，雙重獲獎作品！

"
9789571377476,"


英國《經濟學人》《週日郵報》年度選書

媲美《槍炮、病菌與鋼鐵》《人類大歷史》

	 

從一萬一千五百年前農業萌芽開始

到人類有文字記載

狗、小麥、牛、玉蜀黍、馬鈴薯、雞、稻米、馬、蘋果、人類
　　如何改變世界文明
___________________________________________

	 

	導讀

	清華大學生命科學系助理教授／泛科學專欄作者 黃貞祥

	推薦

	《國家地理》雜誌繁體中文版總編輯 李永適

	國立自然科學博物館館長 孫維新

	成功大學生命科學系特聘教授 蔣鎮宇

	交通大學傳播與科技學系教授兼系主任 魏玓

	___________________________________

	 

	數十萬年前，人類祖先靠狩獵、採集野生動植物而生，之後發生革命性變化，遠古人類與其他物種的互動形式改變了。人類開始馴化它們，人口因而急速成長，文明便出現了。

	 

	一般認為，我們今日的文明進展與科學革命、工業革命息息相關，但鮮少人注意，不管科學或工業的發展都與自然息息相關，尤其人類馴化自然動植物的結果，才是影響人類文明演變的關鍵。

	　　
	我們已經習慣科技改變人類生活的概念，但直到科學革命發生之前，人類的創新大多奠基於大自然：馴化動植物，以及從它們身上取得資源，例如羊毛、棉花。

	 

	本書作者羅伯茲（Alice Roberts）講述十個物種的深遠歷史，從一萬一千五百年前農業萌芽開始寫起，直到人類有文字記載為止：狗、小麥、牛、玉米、馬鈴薯、雞、稻米、馬、蘋果，當然也包括人類自己，如何透過馴化、教養，不僅適應生存環境，成為人類盟友，讓人類生活更美好，且影響人類文明每階段的發展，但也改變了自然秩序，使生態環境陷入危機。

	　　

	本書作者具有多重身分，她是醫學博士、解剖學家，亦專精考古學、人類學及古病理學。她以淵博的知識及生動文字，帶領讀者穿越歷史長河，探索人類起源，以及人類馴化其他物種的歷史，深具啟發，內容廣博且讓人著迷，將改變我們看待人類自身和其他物種的方式。

"
9789869727808,"


從原始基因到宇宙生命，翻出被錯漏的人類篇章
考古學／生物學／醫學／社會學／地質學
牽引出22個真實的人類黑歷史與冷知識。

 這是一本比懸疑小說精彩的科普書、同時也是一部真實又驚悚的故事版人類簡史。以人類學與五大學科交叉連結，探尋埋藏於歷史檔案塵埃下的神祕離奇事件：透視人類骨子裡的殘酷與黑暗，又訴說人性的溫暖與良善。藉由科普角度，試著從人類演化的歷程中探索真相，在嚴謹的科學背後挖掘鮮為人知、令人瞠目結舌的暗黑故事。

 ——登山者在雪山意外發現一具詭異乾屍，居然牽扯到數千年前的古老血案。
 ——人類祖先和某種已滅絕人種留下子嗣，卻在我們身體裡留下一樣東西……
 ——當虎鯨獵殺補食海中生物時，為何座頭鯨總是出面對抗虎鯨拼命搭救？
 ——寄生蟲會影響宿主的意志、逼著宿主投河自盡？若人類被寄生蟲纏上，難道真會像電影中的喪屍般，被控制意識進而失去理智、改變性情嗎？
 ——蛋白質明明是人畜無害的軟萌東西，但美國神經學家布魯希納不畏無數質疑的聲浪，直指蛋白質是某種致病的元凶？
 ——大富翁遊戲的背後，竟然有著版權爭議的過往？它還被英國情報局當成協助戰俘越獄的工具？
 ——困在北極冰封絕境下，是種怎樣的體驗？在這種環境下人性會走向怎樣的發展？
 ——經驗豐富的蘇聯登山隊為何在雪山全員離奇暴斃？
 ——航海時代的名船長庫克，落得客死異鄉的真正原因是什麼？
 ——資產家召集菁英所建造的類地球環境為何無法住人？
 ——明朝京師發生的大爆炸真的是火藥庫所引起的？
 ——南美小鎮的居民為何選擇集體自殺？

 科普全新閱讀體驗，大開腦洞穿越時空！在真實而平淡的世界背後，還有著許多刺激恐怖的離奇事件，本書作者眠眠，以人類學為框架，透過各種史料證據，交叉五大學科冷知識，拼湊跨越時空的線索，滿足人類永無止盡的好奇心：未解之謎╱被遺忘的真相╱暗黑史╱冷知識，每則故事都超乎想像又令人欲罷不能，在作者如導演般的引領下，這些精彩絕倫、光怪陸離的暗黑史將一幕幕還原！在如同身臨其境般體驗過各個事件的來龍去脈後，除了驚嘆和感慨，更可以領略科學無所不在的魅力，以及思考人類學的終極問題：人類為何成為今日的我們？

本書特色

 ●各種學科資料翔實有據。
 ●小說般手法，沒有深奧科普理論，卻有讀史般的深省。
 ●獨特視角，兼具嚴謹與趣味。
 ●深夜級成人專屬科普故事，一場場驚異叫絕的體驗。

"
9789571374291,"


屍體才是推動醫學進展的最大功臣！


「是的，他生前是好人，我當然不想挖出他的屍體……但只要想到如果有二十個人可以因此獲益，那就值得了。」by不具名的醫學院學生

 ㊙ 古代醫學院缺乏大體老師，於是把死刑犯的屍體拿來解剖？
 ㊙ 南北戰爭時為了瞻仰戰死勇士的遺容，開啟了防腐處理的先河？
 ㊙ 汽車製造商能做出「因為看見，所以全面」的安全設備，是靠屍體去做防撞測試？
 ㊙ 當飛機落海打撈不到黑盒子，是屍塊告訴鑑識人員墜機的祕密？
 ㊙ 子彈的射擊效能提高，是因為科學家以屍體來做試驗改良？
 ㊙ 透過反覆將屍體釘上十字架，世人終於解開耶穌的秘密？

 《紐約時報》暢銷書作者瑪莉．羅區，繼《一起搞吧！科學與性的奇異交配》後，再度冒著被質疑「腦袋壞了」的風險，帶領讀者展開一場死亡之旅。

 為了一探屍體在死前與死後的作用，羅區前往南方大學醫學中心解剖室、田納西大學人類學研究中心、韋恩州立大學衝擊研究所等，看屍體的各部位如何被「有效應用」。做為一位喜愛四處獵奇的「古怪」記者，羅區認為屍體不只是屍體，它能成就不朽的科學成就。

 除了推動科學進展，瑪莉‧羅區也在書中大談我們所不知道的死後世界：

 ◆ 心臟在切斷血源後，還可以跳動1-2分鐘
 ◆ 靈魂的重量，不偏不倚是28公克
 ◆ 人的頭顱跌下斷頭臺後，還能維持10秒的意識
 ◆ 蜜餞人體及木乃伊，在16世紀被當成良藥
 ◆ 將屍體製成有機肥料比火葬來得環保

 趁著心臟還在跳動，靈魂尚未離開軀竅，瑪莉．羅曲告訴我們應該秉持開放的態度，自行決定死後的旅程：成為美妙浪漫的花園肥料，流進水裡被鄰居喝下肚，前進哈佛做個罐中腦，或是在教學陳列架赤身裸體搔首弄姿「永久保存」……在羅區的筆下，死亡再也不只是場感傷的人生大事，而能替醫學與科學進展開啟新的章節。

本書特色

 ※ 外科醫師暨金鼎獎得主蘇上豪 撰文推薦
 ※《泛科學》知識長鄭國威、作家暨節目主持人謝哲青 好評讚美
 ※《紐約時報》暢銷書
 ※ 亞馬遜書店編輯選書
 ※ 獲選「Barnes & Noble」連鎖書店「發現偉大新作家」
 ※ 獲選博多書店「原創之聲」獎
 ※《ELLE》讀者選書獎
 ※《娛樂週刊》、《舊金山紀事報》、《西雅圖時報》、《聖荷西信使報》、《拉斯維加斯信使報》、美國國家公共廣播電台「科學的星期五」二○○三年最佳圖書

"
