ISBN,書籍簡介
9789869378369,"


	熱處理入門技術，「專業知識」溫度、時間、冷卻，三種參數對應金屬材料，找這本就對了！

	熱處理行業包含多種產業，從工廠規劃、設備採買、試俥到產品生產等整廠工程及管理實務。

	鐵鋼材料在受到加熱、冷卻或加工時，其動態及靜態的強度均會發生顯著的變化；通常由於材料選擇不當、熱處理操作不當、或者不合於使用條件等之原因而起，嚴重者致使工作件不堪使用。

	此書中案例中，由專業領域的行家針對產品問題並提出解決對策及建議。

"
9789867375360,"

午茶的時光，總少不了甜甜的砂糖；潔白的外表、甘甜的滋味，讓第一次品嚐到它的人，都感到開心愉悅。十六世紀的砂糖，有藥品、裝飾品、香料、甜料和醃漬物等五種功用；十七世紀的砂糖革命，使原本連作夢都想不到的砂糖大量流入歐洲，讓加勒比海上的島嶼，一夕之間轉變成一個個的砂糖種植園，也開啟了非洲黑人的悲慘奴役生活。　　本書作者以砂糖為主角，貫穿了大航海時代、殖民地、種植園、奴隸制度、三角貿易、產業革命......等重要歷史軌跡。砂糖這個「世界商品」，不僅孕育了英國近代文明的興盛，也串起了歐亞非三個大陸的世界之旅。砂糖與茶的相會，為十七世紀的世界，展開戲劇性的變化。

"
9789577636621,"

食品添加物的管理，除了政府主管機關應制定規範供業者及民眾依循，並執行例行性的輔導與工廠查核等督導業務之外，使用食品添加物業者的自主管理以及消費者對食品添加物有正確的認識，應是食品添加物管理最有效的一環。而如何提供食品添加物的簡易正確資料，引導消費者正確的認知及業者正確管理及安全使用食品添加物，進而達到自主管理的目標，為本書最主要的目的。本書以圖解方式解說，希望讓初次接觸的讀者容易上手。
                    
"
9789867627049,"

來作有趣特殊的印刷紙品！你以為無法自己動手作的特殊印刷與製書、加工，現在都可以憑著自己的雙手完成！　　為預算拮据煩惱？苦於找不到能幫你實現趣味創意設計的工廠？僅需少量製作時，只要有了這一本，你也可以自己完成特殊印刷＆製書加工，讓你輕鬆學得──實現趣味＆設計創意的專業級作品！本書要帶給大家更多前作所沒有的內容，更多變化的特殊印刷與加工、製書方法。開頭將介紹一些可以啓發創意的DIY作品，以及在製作設計紙品時，必備的「裁切」、「摺紙」技巧。然後是相關的基本解說與便捷的機器操作方式介紹。想要親手製作獨具巧思且吸引人的印刷品，又因有限預算而無法達成的人，一定要展閱本書，相信本書絕對是你的最佳幫手。
                    
"
9789571199054,"


輕鬆理解食品加工的發展與相關理論
 以簡潔扼要的方式，清楚說明、重點整理
 配合圖表輔助，加深學習記憶

  

 本書由食品科技界耕耘多年的李錦楓教授，號召學界以及食品界有豐富實務經驗的學者及專家19人共同執筆，傳承作者的食品加工實務經驗，期望讓初次接觸的讀者藉由此書學習食品加工學能有事半功倍的效果。

 書中特別列入在食品加工上，必要的共通單元操作，是為了讓學習者透過共通技術的學習，具備基礎的能力。而在技術層面，則把最近食品加工上一些使用的新技術作簡要的介紹。本書是一本兼具理論與實務的參考書籍。

"
9789864634064,"

本書集名家之大成，作者本身的學識、經驗、文筆皆堪稱一流；劉國雄教授係日本京都大學工學博士，而林樹均、李勝隆、鄭晃忠、葉均蔚四位教授則是清華大學材料博士，五位教授均執教於國內知名學府。今有幸邀集諸位教授將數年來的寶貴心得編纂成書，分享讀者。目前材料在工業之各種不同領域上扮演著舉足輕重的關鍵性角色，相信您研讀此書後，斟酌本身所需必可使您融會貫通各種工程材料之種類及其特性與特徵。本書適合大學、科大機械、材料及相關工程科系之「工程材料」、「機械材料」課程使用，亦可提供從事於機械、材料、鑄造、熱處理等方面之研究及工程技術人員作研讀之書籍。 本書特色1、本書是材料科學基礎知識的入門書，全書編輯大綱是材料科學基礎佔四分之三的篇幅，五大類工程材料約佔四分之一，只做概念性的介紹。2、各種工程材料的各種性能及其應用，是由材料的內部結構所呈現，因此需要研習材料科學基礎知識，才能循序漸進、融會貫通各種工程材料之性能及其應用。3、工程材料在各種不同的領域，有時是關鍵性的材料，若能選擇適材適用，將使工業產品價廉物美。4、本書適合大學、科大、技術學院材料、機械、電機相關科系學生及對工程材料有興趣的工程師研習。
                    
"
9789864342471,"


	理解如何撰寫單元測試，以及讓它們變得可維護、可讀、可被信任，是這本書的主要內容，不管你使用的是何種程式語言跟編輯器。這本書涵蓋了撰寫單元測試的基本知識，並且講解互動測試的基礎，介紹了在真實世界撰寫、管理和維護單元測試的最佳實踐。

"
9789571185545,"


	「材料破損分析」相當於材料診斷學，找尋材料破壞的因果關係。而材料破壞形式共可歸納為三大類：機械力破壞、腐蝕性（化學力）破壞及高溫（熱力）破壞，透過破損分析的基本原理及分析工具，可具體了解破壞原因及破壞機構。

	本書將材料破損分析之技術案例彙整成集。以作者親自執行之實際案例進行探討與分享，藉由破損分析實際案例(機械力破損、腐蝕性破損、高溫破損、機械力腐蝕破壞、高溫腐蝕破壞)，能夠讓設計者、製造者、操作人員及有興趣之大眾參考，進而早一步發現破損原因，避免相同或相似的情況發生，減少人員安全威脅與財產損失。本書以實務為出發點，除可單獨參考外亦可配合《材料破損分析》一書閱讀，實可相得益彰。

"
9789571181783,"


	全書共分為十一章，前三章主要針對石墨烯的基本特性、檢測方法以及製備技術進行介紹，第四章解說石墨烯的摻雜技術，並詳述摻雜石墨烯在感測器、複材、能源材料以及半導體元件等相關應用，第五章則是石墨烯在鋰電池、超級電容、鋰硫、燃料電池和太陽能電池等相關能源材料之最新研究趨勢，第六章為石墨烯在透明導電膜之應用概況，第七章探討氧化石墨烯在光觸媒之相關應用，第八章主要著墨石墨烯在燃料電池以及生物感測器之相關應用，第九章則從複材的角度切入，從分散技術探討石墨烯在導電漿料、導熱膠以及纖維紡織之相關應用，第十章為完整的石墨烯專利地圖分析，第十一章是以石墨烯在半導體材料以及在高頻元件之最新研究概況進行剖析。　

"
9789571182599,"


	對於CNC四軸及五軸銑削加工，本教材從多軸銑削數控加工的基礎，材料及刀具的建立，工法選擇及刀具路徑計算，加工模擬，加工機模擬，NC碼輸出，機台工作座標設定及刀具長度測量，乃至實際加工，透過八個實際範例，儘可能遵循「通俗實用―無師自通」的原則一步一步進行講解。

	在電腦輔助加工軟體方面，本書透過編程實例來直接導引多軸銑削加工的應用概念，操作案例經由英國Delcam公司推出的PowerMILL軟體做編寫，它是目前全球市面上廣泛用於2~5軸數控銑削加工自動編程系統。在加工實作方面，本書則通過日本Roland公司MDX-40A CNC雕刻機以及德國Siemens公司SINUMERIK 840D sl控制介面的五軸加工機進行講解。對其他品牌的CAM軟體或控制器介面，讀者應該會很方便的觸類旁通，融會貫通。

	此外為適應國際化的大趨勢，本教材儘量以中-英文雙語表達，不僅使外籍學生可以使用，更可供本籍學生用來提高英語特別是機械加工專業英語的水準。

"
9789571182933,"


	全書內容主要涵蓋船舶推進系統之主/輔機裝備、甲板機械、船舶監造與檢驗、燃料油、潤滑油之性能特性與船舶安全管理等，並將上述輪機所涉及的技術與管理問題，做深入淺出之概述。

	本書可作為輪機、航海、造船及海洋工程領域學員修習之教材，亦可供航海人員、岸上船舶經理人與船舶修造工程師參考使用。

"
9789571181776,"


	化學工業導論是化工科系裡一門相當重要的課程，做為一個化工科系的學生，有必要對世界上及自己國內的化學工業的概況有一全盤性的瞭解。

	 

	本書的目的即是試圖說明台灣和鄰近地區的石油化學工業的結構和體系，以及這些工業依次在台灣、中國大陸、東南亞、日本及美國、中東和其他地區的情況和發展趨勢，以作為從事與化學工業相關工作者的參考，和作為大專院校教材之用。

"
