ISBN,書籍簡介
9789860632835,"


★美國出版商協會頒發的2018年PROSE心理學榮譽獎★
	人雖自認理性，在決策和判斷時，
	卻還是會受一張臉的眉毛和下巴線條所影響。
	一部解開臉孔諸多纖細幽微的訊息如何影響大腦建構第一印象的奇書。

	 
	我們眼見他人臉孔的那一瞬間，腦中便生成了對此人的想法，而這轉瞬之間的判斷，便預示了所有之後的重要決定。例如貌似能幹的政治人物，勝選的機會更大。我們難以抗拒以面相判斷人的性格，如此判斷卻又經常失準。在絕大多數的情境中，你我若是忽略對方的容貌，做出的推測通常會更加準確。那麼，第一印象為何會廣泛被人所信？它存在的目的又是甚麼？亞歷山大‧托多洛夫是當間此一領域首屈一指的研究者，它在闡述現代科學對於第一印象的研究故事之際，也回答了這些疑問。
	    
	本書中援引心理學、認知科學、神經科學、電腦科學以及其他領域的知識，搭配豐富的圖片，讓我們看到透過操作臉部部位的變化，就可以改變對一個人的印象和評價。作者也敘述我們如何運用專門分析臉孔的大腦區域網絡，演化出從臉孔判讀出基本社交訊息和對方瞬間情緒反應的能力。
	     
	透過電腦合成照片的連續變化，科學家為我們解密，不但讓我們看到印象如何形成，而且我們還可以透過影像操弄，創造出我們想要製造的印象。儘管我們都知道人不可貌相，但往往還是更相信自己的判斷。科學家卻透過仔細設計過的實驗告訴我們，第一印象並非反映一個人真實性格的事實，而是反映了我們的刻板印象。
	    
	這部容易理解、配圖豐富的作品，說明我們多容易在錯誤地方找尋正確訊息。也說明為什麼面相學無法真正在歷史中根除，而顏值在現代社會更是大行其道，影響我們的政治決定和經濟決策。透過這部探討人類第一印象的科學記述之作，我們更加暸解臉的意義而能避開顏值的陷阱。儘管臉孔始終誤導我們，但這本書卻讓我們用不同方式來觀看臉。

"
9789571194745,"


古典社會學大師涂爾幹的重要名著
首次為社會學建立經驗基礎
對傳統上認為純粹是個人和心理因素的自殺現象
提供了社會面向的解釋

	《自殺論》是涂爾幹的一部重要社會學名著，與《社會分工論》一書的內容十分密切，因為在《社會分工論》最後一部分已對社會分工引起的社會病態進行了分析。作者認為，所謂自殺，就是「任何由死者自己完成並知道會產生這種結果的某種積極或消極的行動，直接或間接地引起的死亡」。自殺是一種特殊的社會現象，在資本主義制度下，這種現象之所以增多，是由於資本主義經濟的發展、科學技術的進步和社會分工的變細所造成的社會病態所引起的。它跟種族、遺傳因素、個人素質、心理狀態、精神病、自然條件、氣候變化無重大關係，或者說關係不大，然而它跟社會環境、其中包括經濟危機、政治危機、社會動蕩、改朝換代、工作變遷、生活變化等卻有著密切的關係。

	但是，自殺人數的多少和自殺率的高低在不同的國家和地區則有所不同。它們與不同的宗教信仰、文化程度高低和兩性差異關係很大。在這些自殺者中，作者又按照自殺的不同原因，把自殺分為三種類型，即利己主義自殺、利他主義自殺和脫序性自殺。

"
9789862355541,"


「在這個眾聲喧嚷的時代，我們該如何辨識出群眾的缺失，
重拾理性與思辯能力，進一步釐清事實與真相？」


 長銷百年不墜，當代讀來更具意義的群體心理學經典名著
 全球近二十種語言版本，累計銷售上千萬冊
 心理學大師佛洛伊德譽之為「一本當之無愧的名著」
 美國心理學泰斗奧爾波特＆社會學大師墨頓齊聲讚賞

 為什麼一到百貨公司週年慶，人們就像失心瘋一般地大肆搶購？
 當某個公眾人物爆發醜聞時，為什麼人們都毫不遲疑地相信記者？
 看到鼎泰豐的人潮，即便沒吃過也認定它們的小籠包最好吃？
 當7-11推出集點活動時，就算你不愛Hello Kitty也會跟著蒐集？
 我的理性哪裡去了……為什麼當人成為群眾的一分子，就會變成受人擺布的玩偶？

 我們都以為人類是理性的動物，然而諸如上述這些看似不理性的行為卻是天天在發生。
 究竟是為什麼呢？

 長久以來，無數的社會學家和心理學家試圖為之提出理論上的解釋。有些學者相信，因為人類的群居天性，總要與他人形成一定的社會關係，並且脫離不了群體生活；因此他們開始研究起人們在團體中的心理狀態，想要從中找出「群眾心理」與某些非理性行為之間的關聯，因而在之後逐漸形成了「群體心理學」的研究領域。

 而本書作者古斯塔夫．勒龐，正是這個領域的先驅，本書遂也成為研究群眾心理的經典著作。

▍跨越時空限制，直剖根本人性的心理學經典

 本書寫成於一個民眾的集體意識初萌芽的年代。作者勒龐生長的背景是動盪不安的法國大革命之後，因此他對於群眾心理以及群體力量的觀察格外精闢入裡。

 勒龐在本書中對「群體」所做的精細剖析，讓心理學大師佛洛伊德、著名社會心理學泰斗奧爾波特等大師們都愛不釋手，後世更有不少心理學研究是立基於本書之上，可說是一部跨越時空限制，直剖根本人性的一部心理學經典。

 勒龐對於群體的看法是：「一個群體的運作具備其獨有的特徵，不同於個體單獨的行為模式。群體在組織化的過程中，每個成員的觀念和想法會漸趨一致，他們自覺的個性會逐漸消失，取而代之的是集體的群眾心理。」

 當獨立個體受到刺激時，大腦會告訴他不要衝動，但是成為群體一員後，他會覺得自己無所不能。因此透過匿名、傳染、暗示等因素的作用，人們就會喪失理性和責任感。表現出一些平常被視為不理性的特質，像是瘋狂、衝動、偏執、盲目、狂熱、易被鼓動等等。這種現象使得我們在無意間變成了群氓之族，身處在一個群氓時代裡。

▍群體的五大特徵

 勒龐在書中扼要地舉出了群體的五大特徵，分別為──

 ▪群體是衝動的奴隸
 「群體是衝動的奴隸。與群體成員一樣，獨立個體同樣會受到這種刺激影響，但是他的大腦會告訴他不要衝動，這是不明智的，因此他會控制自己而不受衝動影響。從心理學角度解釋這種現象，即是獨立個體具備控制本能的能力，而群體缺乏這種能力。」

 ▪群體永遠徘徊在無意識邊緣
 「（群體）的一個普遍特徵是極易受人暗示……通常，群體總是在期待中關注某事，因此很容易被暗示……最初的暗示經過相互傳染後進入群體所有成員的大腦，接著群體態度趨於一致，並很快成為既定事實。」

 ▪群體只會被極端感情所打動
 「群體情感不論好壞都會呈現出雙重性──極端簡單與誇張。這一點和許多其他方面一樣，群體成員作為個體出現時，與原始人類是相似的。他們無法對事物做出細緻的區分，只從事情的整體上觀察，而忽視中間的發展過程。任何情感態度的表露，通過暗示和相互傳染迅速散播開來，從而強化群體誇張的情感，這樣明確得到群體認可的物件就會變得異常強大。」

 ▪群體是偏執和專橫的代名詞
 「群體只知道簡單而極端的情感。他們對待各種意見、思想和信念，要不是全盤接受，就是一概否決；要不是視其為絕對真理，就是視其為絕對謬誤。通過暗示加以誘導而不是通過推理得出的信念通常亦是如此。我們意識到，這種偏狹常常與宗教信仰有關，並絕對控制著人們的思想。」

 ▪群體是矛盾共同體
 「群體有時殺人、放火，無惡不作，但有時也表現出無私奉獻、勇於犧牲以及公正無私這樣十分高尚的舉動，而且比獨立個體表現得更崇高。以名譽、光榮和愛國主義為號召，最有可能打動群體，並常常使他們不顧生命、慷慨赴義。……群體為了自己了解甚少的信仰、思想和隻字片語，便敢於直面死亡，這樣的事例數不勝數。」

▍群體的力量，不能忽視

 相較於過去的任何一個時點，現在的我們都是處在一個群體更有力量的時代。只要打開電腦、連上網路，我們就能接觸到全世界；不妨看看Facebook、Twitter這些社群網站的影響力吧！相較於傳統的大眾媒體，人們透過網路媒介，可以讓許多謠言、潮流或者廣告流竄的速度更快、更廣，群體更容易被組織起來，其力量也愈來愈不容忽視。

 在這樣的時代裡，某些特定的觀念和想法藉由群眾心理的影響力，幾乎是防不勝防地置入我們的腦袋，也讓我們在無形中不再主宰自己的思維。想要奪回你對自己的主控權嗎？ 要如何避免自己成為受他人擺布的傀儡呢？關於群眾心理作用的一切真相，你不能不知道。

 透過本書，可以讓你看清楚這個社會，也重新掌握自己的思維；不要讓有心人誤用群體的力量，對社會造成壞的結果。站在巨人的肩膀之上，我們一定能夠將群體力量導向更好的用途。

"
9789864771257,"


詐欺犯是天生的戲子與直覺精準的心理學家


 詐欺橫行的時代，無處不是騙局，網路交易、靈媒神蹟、金融風暴、結婚與商業詐欺、旅遊或彩券詐騙，不勝枚舉。
 在騙子眼中，人人都可能是待宰肥羊。
 究竟哪種人容易被騙？

 不想成為他人眼中肥羊，就先瞭解騙子與被騙者的心理機制！

 ★銘傳社會與安全管理學系講座教授 黃富源 專文推薦
 ★語言學大師史迪芬．平克、普立茲報導獎得主查爾斯．杜希格、知名記者強．朗森、暢銷趨勢作家丹尼爾．品克、小說家尼爾．蓋曼等人一致推薦
 ★阿嘉莎獎與安東尼獎非文學類作品提名人，入圍2013年Goodreads讀者最愛作品（People's Choice）決選作家新作
 ★《紐約時報》、《經濟學人》、《出版人週刊》、《華盛頓郵報》等媒體強力推薦

 你以為自己夠聰明，絕對不會上當受騙？
 但自願上鉤，才是最迷人的圈套；最高明的騙子是讓被害人成為他的共犯！

 為何靈媒、算命師總能說到我們心坎裡？
 對方只是和你在電話中短短交談幾句，你就願意為他做更多的事？
 原本只想買單一產品，最後卻花了大錢買回用不到的東西？
 你自以為不會上同樣的當，事實卻正好相反？
 明知高報酬、高風險，你卻依舊捧錢上門投資？……

 我們總以為自己絕不會被騙，以為科技發達資訊透明，事實上，高達三分之一的騙局透過網路進行；自認不會上當的人，往往就是受害者。只要是人就有弱點，不管處於情緒低潮、天性樂觀或狂妄自大，詐欺犯們早已識破，伺機趁虛而入，為每個受害者量身打造一場精巧騙局。

 知名作家暨心理學專家柯妮可娃，親身尋訪受害者的真實經驗，重現騙局原貌。深入詐欺世界，向前人就教：電影《神鬼交鋒》主人翁艾巴內爾、大騙子戴瑪哈，以及成功轉行的前詐欺犯洛維爾等人，找出騙局的模式，並藉助心理學的分析，以科學方法揭露讓人眼花撩亂的詐欺手法的運轉機制，一窺騙子與受害者間的惡性食物鏈：騙子選定目標、布下羅網，受害者渾然不覺地落入陷阱。在這趟關於騙術的驚險歷程中，更重要的是，我們要學會如何看清騙局，避免跌入其中而錯失抽身良機。

"
9789862726389,"

全球最具傳奇的真人實境實驗了解人性最需要看的經典著作一九七一年，社會心理學家金巴多教授主導「史丹佛監獄實驗」；該實驗有如一發震撼彈，引爆全球心理學界重新審視以往對人性的天真看法。三十年後，金巴多教授以《路西法效應》（The Lucifer Effect）一書，首度親自撰述、完整說明「史丹佛監獄實驗」過程，並呼應從「史丹佛監獄實驗」到「伊拉克監獄虐囚案」三十多年來觀察到的社會現象，深度剖析複雜的人性，全盤且深入解釋「情境力量」影響個人行為的概念。在實驗中，先經標準的生理與心理檢測，挑選了自願擔任受試者、身心健康且情緒穩定的大學生，以隨機方式分派到「守衛」和「犯人」兩組，接著讓他們身處模擬的監獄環境。實驗一開始，受試者便強烈感受到角色規範的影響，努力去扮演被指定的角色。但到了實驗第六天，情況卻演變得過度逼真，原本單純的大學生已轉變為殘暴不仁的獄卒或情緒面臨崩潰的犯人，連教授自己都沉醉於典獄長的角色，於是為期兩週的實驗不得不宣告中止。為什麼一套制服、一個身分，就輕易讓一個人性情大變？為什麼握有權力的人，會輕易地為「以控制他人為樂」所誘惑？而身為弱勢角色者，為什麼卻常以沉默來面對問題？面對其他弱者者也未見同情？藉由獨具開創性的「史丹佛監獄實驗」研究，金巴多教授將為讀者解釋「情境力量」和「團體動力」如何能使平凡男女變成殘忍的魔鬼。在日常生活中，我們都努力想扮演好自己的角色，如「男性－女性」、「上司－員工」、「父母－子女」、「老師－學生」、「醫生－病人」等關係，在這些社會角色劇本的規範與束縛下，我們是否會像上帝最愛的天使路西法一樣，不知不覺地做出自己都難以置信的行為？或是在某種情境壓力下，對他人做出肢體、言語暴力或其他自認不會做出的事情？本書提供認識地位和權力角色差異的原因；了解在環境中影響個人思考、情感及行動的形成及改變原因；幫助讀者重新審視、了解自己，一旦面臨陌生情境，自己「會做什麼」及「不會做什麼」，以及面對情境的強大壓力，如何勇敢反抗「路西法效應」。
                    
"
9789862724408,"

你分辨得出哪些人有著邪惡的本質嗎？世界上每25個人之中，就有一個人毫無良知，他們做了壞事不覺得罪惡、無視於別人的苦難、更可怕的是，他們有可能是你的老師、長輩、主管或同事！為避免自己受傷，你必須盡早辨認出他們並遠離！美國亞馬遜網站四顆半星讀者評鑑紐約時報、華盛頓郵報、美國新聞週刊 專題報導小心，變態就在你身邊！我們往往忽視一群潛藏在身邊的危險人物。我們以為，所謂反社會的變態會帶著一副罪犯的猙獰面目，能辨識，能加以提防。但是這群反社會者不具這些特徵，他可能是你會說謊的前男友、你的好同事、學校裡頭嚴厲的體育老師，或是自戀的公司主管。一般而言，有反社會性格的人毫無社會意識且缺乏道德感，不易接受社會習慣和規範的限制，往往以自我為中心而任性而為。作者多年研究與觀察，描繪出這群人的真實相貌。我們周遭有將近4%的人口比例為反社會性格的人，這些人自小開始隱藏內心深處想控制他人和不認輸的真實性格，並且對外展現出迷人有趣的個人形象，正因如此，一般大眾往往臣服在這些人熱情、複雜和性感的魅力之下，最後卻遍體鱗傷。作者藉由過去二十五年的臨床經驗，剖析許多遭受反社會性格的人影響的真實案例，幫助讀者釐清諸多冷血社會新聞的根源，並且提供為人處世的建議。就算無法提防，但我們要藉由體認義務、友誼和愛在人際關係中的重要性，勇敢面對社會的殘酷和折磨，讓生活平安。
                    
"
9789862983157,"

☆本書採廣受歡迎的「說故事取向」（storytelling approach）介紹社會心理學的關鍵概念，讓研究和生活連結。「小故事」編排入每一章，把教材帶進生活，每則故事搭配真實的生活現象，激發學生的興趣。☆本書強調社會心理學的「經典研究和當代研究平衡」（a balance of classic and contemporary research）。全書涵蓋經典研究及其新近研究，讓學生看見社會心理學的演進與深度。原作者Elliot Aronson、Timothy D. Wilson、Robin M. Akert和新的共同作者Sam R. Sommers根據豐富的研究和教學經驗，讓經典研究推動社會心理學的未來。☆新！第九版大幅更新了新近研究的參考文獻。新！每章開頭的學習目標帶領學生鳥瞰全文。新！每章的主要段落在結束時加上複習題，幫助學生更能掌握教材。章末摘要為整章提供簡潔速記的內容，幫助學生複習與準備考試。
                    
"
9789887992332,"

愈壞的時代，愈需要好的心態面對。2019下半年香港「反送中」事件造成的集體創傷，在2020年《港區國安法》的來臨下變成實在恐懼，自由倒退及模糊的法律界線促成大規模的移民潮，不管留守抑或遠走，我們將要面對的是甚麼挑戰？COVID-19令全球陷入公共衛生危機，長時間戴口罩、限聚令、家居隔離等措施對個人心理構成了甚麼影響？在現今機不離手、資訊爆炸的年代，時事新聞和疫情消息即時而不間斷地更新，網絡便捷性的背後又潛伏哪些危機？暢銷書《社運心理學》作者Lo’s Psychology繼續以中立、客觀的角度審視香港社會現狀，以專業的學術知識解構2019至2020年混亂世道下的複雜人心，願大家好好思考，相信自己，堅持做正確的事。
                    
"
9789865114824,"


	★ 榮獲《韓民族日報》、《東亞日報》、《首爾經濟日報》、

	教保文庫、YES24、Aladin書店……等多家權威媒體平台選為「2019年度書籍」！

	 

	★ 獲選韓國首爾市、議政府市、順天市、釜山市2020年度「One Book One City」推薦書籍！

	 

	★ 韓國網路書店YES24讀者高分★好評不斷！引用實際案例，精闢探求歧視與不平等的根源與歷程。

	 

	人們總是堅信自己是善良公民，

	絕不會、也不想做出任何歧視行為。

	 

	然而，歧視比想像中更普遍、常見。

	無論是帶有成見，或是對其他群體產生的敵意，都是非常容易的事。

	「我不歧視」的可能性，實際上趨近於零。

	 

有沒有可能，我們其實只是「善良的歧視主義者」？

	 

	「我有很嚴重的選擇障礙……」

	「皮膚黑到好像東南亞人。」

	「女生本來數學就比較弱吧？」

	「新住民會來都是想賺錢啦！」

	這些話，說起來是不是跟呼吸一樣簡單？

	 

無法判斷與發覺歧視的我們，會造成什麼樣的狀況？

	政治人物或公職人員的失言、不周全的設計或制度、

	撕也撕不掉的刻板印象標籤、持續的社會對立

	弱勢群體的權益只能停留在表面的爭論……

	 

你我皆處在歧視感受的死角地帶，

總是以所處的位置追求「傾斜的公平」，

卻沒發現自身可能已經做出歧視的行為，同時可能也受到歧視。

	 

｜女人都可以當總統了，哪來的性別歧視？

	女性「平均」處在不利情況一事，過於抽象且難以觸及，

	當出現「某些女性比自己優秀」的具體象徵，

	「女性雖是少數，但看起來沒有被歧視」便成為盲點。

	然而，女性在高階職位的比例是多少？與男性的薪資差距又是如何呢？

	 

｜男女平等──永遠的論戰

	職場男女比例、針對女性的優待方案、要不要AA制等

	無止盡的討論中，藏有怎樣的社會演變脈絡？

	男性從性別平等概念與爭論中，感受到的不合理又是什麼？

	 

｜未曾察覺的「特權」，例如結婚

	所謂特權是與其他群體比較時，擁有相對自然、有利的秩序。

	一般人也擁有特權，只是沒有受到動搖時難以發現。

	如同可以合法結婚的群體，從不認為這是什麼了不起的特權，

	直到同性伴侶的議題出現。

	 

｜種族玩笑，好笑嗎？

	以前的綜藝節目會出現黑人裝扮，或模仿其他種族的口音逗笑觀眾，

	到了今日，這些笑點還通用嗎？

	「明明可以一笑置之，幹嘛那麼敏感？」

	當笑點會因身分、立場、時間改變，

	那真的可以用「好玩、開玩笑」來一概而論嗎？

	 

兩性平權、社會正義、種族平等、性少數者、新住民……

重新面對我們所使用的詞彙、視角，剖析之中的心理與社會運作！

	歧視問題無法從單一面向討論與解決，

	人人皆有可能同時是權力者、也是弱者。

	 

	「世界真的平等嗎？自己真的與歧視無關嗎？

	所有人都需要為了拓寬視野的『醒悟』。

	倘若缺乏醒悟的時間，

	你我便會無意識地依循看似自然的社會秩序，

	在不知不覺間參與歧視。

	恰如萬事萬物，『平等』同樣不是自然而然。」

	 

	「歧視，不單是限於象徵『社會弱勢』或『少數者』等特定群體，

	更是關乎組織你我每一個人生活的關係。

	因此，我們不妨試著從本書中基於各種原因做出歧視

	和受歧視的無數關係裡，回頭檢視你我究竟該如何構建我們的生活。」

	 

	──擷取自本書。

"
9789864778928,"


超過10億人正深陷影響心理、人際、求職、投資的「FOMO症候群」

這就是造成矽谷大騙局《惡血》背後的「錯失恐懼」！

	 

	你是不是常常這樣想？

	 

	1. 我擔心別人比我擁有更多很棒的經歷。

	2. 我擔心朋友比我擁有更多很棒的經歷。

	3. 當我發現朋友在做好玩的事情，卻沒有找我，我會擔心。

	4. 當我不知道朋友都在做些什麼，我會感到焦慮。

	5. 聽懂朋友的笑話對我來說很重要。

	6. 有時，我覺得自己似乎花了太多時間試圖跟上周遭發生的事物。

	7. 錯過與朋友見面的機會，我會感到困擾。

	8. 當我擁有美好時光，我一定要分享到網路上（如更新近況）。

	9. 錯過一場事先計畫好的聚會，我會感到困擾。

	10. 就連在度假時，我也會持續追蹤朋友在做些什麼。

	 

如果你有以上症狀，別懷疑！FOMO症候群已經找上你！

	 

	「錯失恐懼」（Fear of Missing Out，簡稱FOMO）為一個新興的名詞，它描述了現今多數人的一種症狀：一旦離開社群網路，就會害怕變成邊緣人，也極易陷入與他人比較的挫敗感，這就是FOMO症候群。目前全球有超過20億個社群媒體使用者，這表示超過10億人正飽受FOMO所苦。

	 

	也因為害怕錯過任何事物，因此在投資時容易跟風炒股而造成慘賠、或很多人在求職時不知道是否為命中注定的好工作而時常猶豫不決錯失真正機會，這都是FOMO在你內心發出惡魔呢喃，讓你無法做出正確的判斷。這個流行病的惡勢力相當廣大。它如此激烈地催促我們的生活方式，感覺彷彿我們正在演化成為一種新的人種「FOMO人」。

	 

	作者派屈克．麥金尼斯（Patrick J. McGinnis）是FOMO這個名詞的創造者，他詳盡說明FOMO這個主題，指出它在廣告、社群媒體和流行文化中無所不在，探討FOMO不只是一個好唸、可以打上主題標籤的千禧年流行用語。FOMO是一種強大、持續、廣佈的心態，它會對個人引發壓力、不安全感、嫉妒心甚至憂鬱。

	 

	作者自己也深受這些心理的困擾，因此他呼籲我們檢視FOMO如何滲透日常生活的每個面向，以及我們如何學著管理FOMO並減輕它的衝擊，不讓你的FOMO影響到他人，甚至當他人有類似狀況時，更能幫助他人脫離FOMO的魔掌。

"
