ISBN,書籍簡介
9789860680201,"


☆神靈．儒學倫理．由來．慾望．愛情

☆0到99歲韓國人都知道的23篇傳說故事！

☆韓綜、韓劇都在提！

☆把握韓國文化的經典教材！

	 

	從前從前……

	流傳在韓國民間的傳說故事

	每個韓國人都知道、都朗朗上口

	代代相傳，形塑韓國文化與民族性的基本教材

	 

本書特色

	 

	第一， 本書所記載的傳說故事，是記載於韓國的小學課本，所以只要是韓國人，沒有人不知道這些故事。而透過這些故事，可以理解韓國的社會文化、風俗民情與韓國人的精神象徵。

	 

	第二， 本書以韓文故事與中文翻譯雙語方式刊行，對韓語學習者可學習到講故事的語體、詞彙與句型。

	 

	第三， 本書按故事類型分為五個主題：神靈、儒學倫理、由來、慾望及愛，並由韓語文教學、韓國研究專家撰寫五個主題的「解說與評論」，深入介紹韓國經典傳說故事的形成背景、背後意涵、並說明現在在韓國如何應用等。

	 

"
9789865509651,"


從搖籃到墳墓，都要靠裝錢的信封袋
	不需要第二名，勝利者擁有一切
	勸酒社會的特產，炸彈酒與代理駕駛

	隱藏在光鮮亮麗的韓流風潮背後，究竟何謂「韓國人」？
集韓國社會百態於一冊的觀察報告，透悉最現實的韓國人性


	一九八〇年代後的韓國歷經數起重大事件，光州民主化運動、亞洲金融風暴、陽光政策、燭火革命等，都對政經局勢影響深遠。諸如對共分室開始進行全面性的廢除、設置女性軍人保護制度等新措施，也讓韓國社會往民主與平權的方向逐步邁進。
	然而，在韓國人權運動者吳昌益的觀察中，韓國社會根深蒂固的問題依舊難以撼動，充滿不公不義與荒謬虛偽，奇妙的是，廣大韓國人民卻視為理所當然地概括承受，像是把人僅僅視為勞動力的教育體制、以住居規模論階級、種族與性別歧視、整形風氣、瘋狂關注藝人私生活，以及政府助長監視風氣、財閥會長宛如皇帝、臂章文化等。藉由描繪韓國形形色色社會樣態，作者揭露這些荒謬現象的本質，可說是一本精準且獨到的「韓國人論」。

【本書特色】
	★重量收錄：3大主題，65則韓國獨特文化，道破韓國社會光怪陸離的諸多現象。
	★趣味插圖：圖文並茂，一針見血，原來韓國人腦中是這麼想的！

"
9789869346481,"


財閥壟斷市場、青年失業率高居高不下，職場文化論資排輩、超長工時和性別歧視惡名昭彰，韓國人用「地獄朝鮮」稱呼自己的國家……為什麼外國人還要去這個國度奮鬥？

	前往韓國打工度假的台灣人大多有嚮往，提到去韓國的動機眼睛都閃著光芒。可是在韓國正式工作的人呢？

	有人哈韓，也有人對韓流無感。有人看中市場商機，有人只是失戀了來散心。有人期望落地生根，也有人試過了就想離開。有人抱著韓國夢，有人抱的則是賺錢夢、世界夢。

	這些人不一定是大眾認定的勝利組，就算對韓國沒有憧憬，實現夢想的渴望仍在心底。他們都期待在韓國轉變人生。儘管起點不同、結果各異，在韓國職場、生活上面對的挑戰和困難，卻像是主題連貫的熱血組曲。

	長期在海外工作、生活的Fion，目前定居韓國，曾經訪談前往韓國打工度假的女孩，出版了《她們的韓國夢︰打工度假的美好與幻滅》。這次她把焦點轉向在韓國職場正式工作的台灣人，經由朋友輾轉介紹，接觸到踏入韓國各行各業奮鬥的上班族、創業家和自由工作者，分享他們的人生和視野，勇氣與辛酸。

	Fion筆下不但記錄了這些台灣人遠離家鄉負海外闖蕩的動機、思索方向的過程、付諸行動的契機，和奮鬥途中的感想，並且透過後續的回訪，看看他們在半年、一年後的心境轉折，甚至職涯與人生方向的變化，讓讀者對這些選擇未來的可能或限制都有更清晰的線索。

	此外，還針對每位收訪者耕耘的不同產業，在「產業情報站」深入介紹韓國的工作環境、職場文化、產業生態和韓國企業在亞洲市場的角色，比較台韓相關工作的內容差異、收入結構，分析台灣人的優勢與劣勢。

	衝出去或者留下來？別急著下結論。買東西都要上網看開箱心得文，職涯人生，也該先看看別人的拚搏掙扎，或許你能發現一條景色絕妙的求生路徑。

	精彩篇章：
•嫁到韓國的轉業網紅：台灣妞和喜娜
	擁四十萬粉絲，在不得不創業的道路上摸索

•從「神話」粉絲到成為李昇基的學妹
	理直氣壯追星，迷妹變身特約記者

•從旅遊部落客到韓商主管
	無心插柳的部落客，斜槓人生更加多彩

•不懂韓文的韓國企業顧問
	市場分析高階人才，放眼國際舞台

•台灣薪水兩倍以上的遊戲轉譯者
	繁體中文帶來的工作機會，沒有階級文化的職場生活

"
9789571373997,"


｜韓國打工度假熱潮下，她們追夢、圓夢或夢碎的冒險旅程｜


 在這個被韓國年輕人形容為「地獄」的國度，
 為什麼臺灣女孩們仍趨之若騖？
 似乎每個人都想聽聽別人的說法，來映照自己的動機並不孤單。

 ◆曼菱／東大門批市買手
 擺脫不負責任的代辦找的爛工作後，輾轉踏進東大門，白天在貨運行驗貨，半夜當追貨小幫手，月收近十萬，「不當臺勞」的初衷已經轉變……

 ◆絭璟／餐廳廚房助手
 用半工半讀辛苦存的錢來到韓國，徹底貫徹「打工度假」精神，打過三、四種工，比手畫腳和同事搏感情，薪水省吃儉用，努力玩遍韓國……

 ◆佳瑩／百貨公司櫃姐
 為實現開店夢想，帶著二級程度的韓文到韓國闖蕩。從明洞的百貨公司到韓國人為主的購物中心，漸漸對韓國產生歸屬感，原本的夢想不斷推遲……

 ◆小璐／自由工作者
 做什麼都好，就是想留在韓國！用過語言簽、打工簽，正式工作簽太難拿，直到在「搭訕居酒屋」認識男友後，結婚似乎成為留在韓國的唯一解……

 ◆Emily／遊學公司職員
 人生目標是「交歐巴男友」！到韓國談了幾次被分手的戀愛，面試超過20次，進入代辦菲律賓遊學的公司不但做得有聲有色，更一舉成為臺灣支社長……

 ◆郁涵／民宿清掃職員
 嚮往到韓國生活一段日子，卻遇上速食店愛監控員工又偏心的慣老闆、花言巧語想占便宜的韓國男人，在民宿清掃還得躲警察盤問……

 2016年，韓國打工度假簽證600個名額，在短短4天內申請一空。
 2017年，辦事處首度發放號碼牌，才能紓解排隊申請人潮。
 2018年，名額增至800個，有人徹夜排隊，且仍在開放申請當天發光號碼牌。

 最低時薪7,530韓元（約臺幣210元），薪資水準不如澳洲，政府限制外國人打工時數……韓國條件不是最優渥，為何仍有如此大的魅力？

 求職碰壁、差別待遇、低薪高物價，加上要克服語言門檻、複雜的職場文化……實際上又在韓國過著怎麼樣的生活？

 在韓國做過地陪、上班族的Fion，根據自己與其他在韓工作者的親身經驗，分享出國逐夢該有的認知，在韓國職場打滾需注意的潛規則。更實地採訪到韓國打工度假的臺灣女孩，她們帶著各自的目標或動機，走出韓劇美好泡泡，踏入冷酷的現實。有些人找到生存之道，或開啟了人生另一個方向，也有人仍在迷惘之中。

 寫下她們的故事，不只為了分享經驗，更希望鼓勵心中有夢的每個人--夢想幻滅並不可懼，空想卻不行動才是。

  

※此書內頁之所有照片、圖片均僅為裝飾、美化版面，與文中所談論之議題或內容無關。

"
9789888599493,"

《上流寄生族》獲奧斯卡最佳電影，韓國政府如何在背後策軍？「地獄式」造星工廠，如何由「文化界總統」李秀滿一手開創？民營有線台，如何瓦解無線電視台霸權，創出一部部人氣韓劇？韓國流行文化，征服了億萬韓迷，帶動韓國經濟及軟實力突飛猛進，更開始撼動歐美流行文化的全球霸主地位！「韓流」，何止是俊俏嬌美的男神女神、引領潮流的K-pop、令人怦然心動的韓劇、直面現實的「貼地」電影；翻開此書，你會發現，韓國政府、財閥及製作團隊之間的恩怨情仇，正是令「韓流」高速進化的非凡動力。韓流達人伍麒匡，多年來研究韓國文化，他在書中以多部超人氣作品為引子，檢視韓國如何於短短二十多年間，將文化育成國家重要的經濟產業，剖析其成功因素及陰暗面，綜論電影、音樂、電視劇、綜藝節目等領域，也檢視韓流如何結合網絡漫畫、影視串流平台、數碼及社交媒體，席捲全球，大大提升韓國經濟以及軟實力。韓流的煉成，絕對是大韓民族最耐人尋味的地方。
                    
"
9789888599486,"

北韓，一場拆不穿的魔術、一台看不透的戲、一個進退不得的迷宮。Pazu薯伯伯，深入謎之迷宮，窺看朝鮮之冬；於增訂版中，再記下四次在朝鮮境外遇上北韓人的小故事。從谷歌地球的夜景圖俯瞰北韓，東亞地區四周燈火通明，僅有朝鮮半島上半部分形成一處暗角……剛好勾畫出朝鮮民主主義人民共和國的邊疆版圖。在這國度裡，有一位被人民尊稱為「太陽」的永遠領導人，他的教導句句發金光，照亮後世，普照萬民。太陽底下，鑊鑊新鮮鑊鑊甘，光怪陸離，難分真與假。旅人們，歡迎來到光明的暗角。如何在金光籠罩下看見陰暗；如何在千篇一律中找出不同；如何在核心的外圍窺見內圍，才是這迷宮的真正玩法。
                    
"
9789865220662,"


名人推薦

	朝鮮半島事務不僅是李明教授在學術生涯上的「初戀」，從他數十年來持續不斷關注、評析朝鮮半島事務及相關地緣政治來看，韓國事務仍然是他學術上的「摯愛」。《兩韓競合與強權政治》又是一個愛的結晶，獻給了讀者，讓我們仔細的品味吧！
	張京育

	這本書集結李明教授研究南北韓幾十年的心血。非本行的讀者看完它，一定會對我們這個重要鄰居有個比較完整的認識。本行的專家看了它，相信也能吸收很多別處不易取得的營養。看完本書後，最起碼大家都把南北韓情勢放到我們平日觀察國內外時事的雷達網上，因為它對台灣太重要了！
	蘇　起

"
4712966623679,"


34萬人氣部落客 太咪瘋韓國
	「韓國人和你想的不一樣」暢銷破10000本系列


《韓國人和你想的不一樣》：有趣文化差異，了解韓國大小事必看書籍！

	瘋韓劇、追偶像、學韓文，也要了解韓國人的一切；
	對韓國有成見？也許你對他們有些誤會！
	打破種種迷思，發現特殊習慣！
	★愛吃狗肉？其實不吃的人更多！
	★習慣坐地上，在咖啡廳也愛盤腿、翹腳？
	★什麼都是韓國的？韓國人表示：冤枉啊！
	★餐具各司其職，筷子只能夾菜，湯匙只能吃飯？
	★用地址找路永遠回不了家，必須認地標！

《愛上韓國歐巴，和你想的不一樣》：異國戀真心話，韓國戀愛點滴赤裸大公開！

	韓劇裡溫柔深情、體貼入微的歐巴真實存在嗎？
	太咪帶你深入日常生活，從此對他們瞭若指掌，
	愛情觀大解密，感受有趣文化！
	★聯誼是日常休閒，相親是家常便飯！
	★女友是我的所有物？大男人獨有的霸道與溫柔
	★交往時絕不帶回家，好像在談祕密戀愛！
	★擇偶條件很明確，聽父母的準沒錯？
	★追求愛情要快、狠、準，這個不行，馬上換一個！

	臺灣人看韓國，情緒實在很複雜：熱愛偶像明星、流行時尚的粉絲迷戀她，被國際賽事、網路流言影響的人則敵視她。韓國離我們那麼近卻又如此遠，也許我們從未真正懂得她。

	了解一個國家，就先從理解他們的生活開始吧！太咪打破網路流言，詳細介紹各種韓國奇妙生活習慣，更藉由自己與身邊朋友的臺韓戀經驗，寫下韓國男女的愛情觀，說出愛上外國人的酸甜苦辣。

暢銷記錄
	◆2015年博客來高中職師長百大閱讀推薦TOP71
	◆2014年度金石堂人文歷史TOP14
	◆2014年博客來「年度百大」銷售榜吃喝玩樂TOP81

"
9789863446453,"


我們這時代的「最強大腦」，兩位神級讀書人，
二十多年閲讀長河中，淘金之金粒篩選下來的精選書單。

重點文學人文新書系——書癮PLUS
童偉格‧房慧真 聯合選書
駱以軍 特別推薦

首波強打：《非軍事區之北》
童偉格 選書‧房慧真 專文導讀


	我們人生黃金期二十年，可能擁有時間、智力、真正思索的好書，也就兩百多本。沒有我們以為的多，我們以為我們可以東讀讀西摸摸，有那麼多的「時光點數」。我覺得這兩位長期安靜認真閲讀的神級讀書人，願意幫我們開一兩書單，那真是我們極幸福之事啊。
	──駱以軍

	這個書系是一個平台，計畫邀請文學創作者，將他們各自喜愛、也從中受益的書，以兼顧個人化與普及性的角度，介紹給讀者。——童偉格

	／關於本書《非軍事區之北》

	關於我所選擇的《非軍事區之北》一書。過往幾年，我讀著各種關於北韓的著作，倒沒有什麼特別的目的，只是想對這個陌生鏡像，有多一點的了解：在同一個冷戰框架的兩邊，有關北韓的既驗史實，說不定，也對照性地解釋了關於台灣，隱密的未知。而我猜想，反之亦然。
	《非軍事區之北》以素描簿般的簡樸形式報導現場，不獵奇、亦不渲染地，直述了北韓民眾的所謂「日常生活」，提出了一種平實的見證。——童偉格

世界如果真的存在瘋狂，北韓一定是那個杜鵑窩，也是最孤立無援的那個星球。
研究北韓近三十年、曾在北韓生活多年的俄裔北韓研究專家，
有關北韓社會及人民日常生活最素樸真實的第一現場記錄。

	●北韓的男孩女孩滿十二歲時，便須將金日成徽章佩戴在身上，每次出門都必須戴著，若沒有，通常下場不會太好。
	●北韓金日成和金正日的肖像無所不在，每間客廳、辦公室、鐵路和地鐵車廂都必須掛上。
	●當一個北韓家庭喬遷到新居時，第一件事便是將金氏家族的肖像掛在牆上。官方不時會進行突擊檢查，確保每一幅肖像都得到應有的照料。
	●在北韓，每位成年人都隸屬於某個「組織」，而所有的集會都由「組織」安排。每次的集會都是強迫性的，從小學生到退休的農婦都必須參加。
	●北韓人民還須參加一些政治讀書會，以學習（通常是死背）偉大的領袖的箴言為目標。
	●在北韓的書籍中，你／妳可以讀到根本沒發生過的偉大戰役與重大會議。
	●若你有機會在北韓跟當地人說話，你一定會注意到，他們對一部電影最棒的評語就是「裡頭沒什麼思想教化呢，特別有意思」。
	●一個母親哭泣對著被監禁身亡的兒子說：「你怎麼這麼快就走了？你為什麼要離開這個被詛咒的世界呢？」但當這位母親發現被監視後立即改口：「你為什麼要離開這個在偉大領袖的英明領導下，變得如此幸福的世界呢？」
	……

	這是一個傾斜的國度，一群人茫然無向，不知道是否有可能扶正的一天。原本以為並沒有看見什麼恐怖或壓迫的畫面；原本以為所看到的，和一場活生生的歐威爾式夢魘天差地遠。而原來我所看見的這些或那些，只是他們的日常。——安德烈･蘭科夫（Andrei Lankov）

	1984 年九月的一個晴天，本書作者安德烈･蘭科夫抱著複雜的心情，首次踏上北韓領土。他說：自從我第一次踏上北韓領土，我就對它充滿興趣，當時（1984年）世界對北韓幾乎漠不關心。

	本書不談國際政治，不談核武議題，不揣測兩韓是否會統一或何時統一。這本書想談談北韓的社會、這個社會裡的習俗和規範，以及它數十年來的歷史變革。書中詳細介紹作者在北韓生活所看到接觸到的人民日常，以及他多年研究所發現的這個國度裡的生活事物——從火車票到廣播節目；從娛樂時尚到婚姻愛情；從脫北者到生活在北韓的外籍人士；從各個城市裡分配食物的方式到這個國家的體制以及它實際上的運作……

	本書英文原著出版於二○○七年，是較早的一本有關北韓的著作。作者廣泛書寫北韓社會與人民的日常生活，以及它近數十年的歷史變革。全書旨在訴說這個國家的人民如何度過他們的生命，有些情節如今仍在上演。

	所有的社會中，統治階級的菁英都亟欲控制歷史，這彷彿是個定律：當一個政權愈嚴厲，就愈渴望掌控過去，而且操弄得更加露骨。這本書所帶給我們啟示，縱使事隔多年，現在仍值得反思——世界仍然以相同的模式在運轉著，強勢政權爭奪權利，平凡百姓只能載浮載沉，人類真正的平等與和平，仍需有賴繼續的反思與努力。

◎書癮PLUS書單——

	《非軍事區之北——北韓社會與人民的日常生活》(North of the DMZ：Essays on Daily Life in North Korea)／安德烈‧蘭科夫（Andrei Lankov）著／陳湘陽‧范堯寬／譯
	【以素描簿般的簡樸形式報導，不獵奇、不渲染地直述北韓人民的「日常生活」】

	《愛與戰爭的日日夜夜》(Días y noches de amor y de guerra)／愛德華多•加萊亞諾（Eduardo Galeano）著／汪天艾‧陳湘陽譯
	【烏拉圭文學大師最重要的記實散文，充滿殘酷血淚的時代記憶之書】

	《內心活動》(Inner Workings: Literary Essays)／柯慈（John Maxwell Coetzee）著／黃燦然譯
	【諾貝爾文學獎得主二十年文學評論精選】

	《小於一》(Less Than One)／約瑟夫‧布羅茨基（Joseph Brodsky）著／黃燦然譯
	【諾貝爾文學獎得主經典散文集】

	《短暫的一生》(Novelas de Santa María)／胡安‧卡洛斯‧奧內蒂（Juan Carlos Onetti）著／葉淑吟譯
	【尤薩﹝Mario Vargas Llosa﹞特別推薦：拉丁美洲文學最具大膽實驗和原創性小說，媲美二十世紀最優秀說故事高手作品】

	《薩哈林旅行記》（Остров Сахалин）／契訶夫（Anton Pavlovich Chekhov）著／鄢定嘉譯
	【契訶夫畢生至為自豪的作品；索忍尼辛在本書啟發下，寫出了煌煌巨著《古拉格群島》】

"
4717702905620,"


以法國自由精神之眼審視獨裁政治
	來到平壤，彷彿離開了地球表面，我們有如鼠疫傳染源，分分秒秒都受到監視……

	北韓，地球上最神祕的國度，若未取得官方允許，理論上沒有人能夠自由進出。
	法國知名記者葛達廉為撰寫報導前往北韓，朋友克洛漢決定同行。為了能夠合法入境，葛達廉隱瞞實際身分，冒充旅行社負責人，假開發觀光市場之名取得入境簽證，在二○一一年成功進入平壤。還在巴黎的時候，他們已經必須經過疑心重重的北韓官員一關又一關的面談，在進入平壤之後還有三名金先生以「導遊」之名如影隨形，全天候跟監。
	雖然在此之前，葛達廉已經走遍南太平洋、中南半島、巴拉圭，甚至塔斯馬尼亞，旅行過地球上八十個國家，但北韓還是讓他大吃一驚……
	每天晚上，葛達廉只能把自己關在廁所裡，用暗號寫日記。他用略帶挖苦的筆調記錄下這趟五味雜陳的旅程，也算是他對遠方國度的幾位「金」先生致意。
	 
各界讚譽
	看北韓，切勿只看金氏王朝給你看到的，要看，就看我們這些冒著生命危險、隱藏各種身分而進入北韓的故事，那是記者最真實的游擊戰報導，是親身處於沒有民主人權與新聞自由的國度裡，所奮戰出來的最真實的聲音與影像。
	——三立新聞台總編輯、知名主播  陳雅琳
	 
	《平壤冷麵》比書市上其他北韓相關書籍更有人味些，也比其他記者客觀理性書寫、脫北者的自述，更主觀又「酸味」，甚至比其他北韓遊記來得更深入且豐富些。
	——文字工作者  阿潑
	 
	葛達廉作品的力量源自於近距離觀察北韓……到處都像是一個模子印出來的，結果就像是一個清醒的惡夢：「在這個沒有存在感的國家，無論我們去了哪裡，其實什麼地方都沒去過。」
	——《快訊》雜誌（L’Express）
	 
	作者長期於亞洲各地旅行並擅長旅行文學，為讀者呈現出金氏王朝版本的《資深記者化身底層階級180天》。
	——《論點》週刊（Le Point）
	 
	充滿諷刺挖苦意味，令讀者會心一笑。
	——《閱讀》雜誌（Lire）
	 
	字裡行間描述的現象有時會令讀者驚異、焦慮不安，覺得荒唐可笑。
	——《世界報》（Le Monde）
	 
	並非新聞記者的冰冷紀實，而是作家的溫暖筆觸成就這部震撼人心的作品。
	——《解放報》（Libération）

"
