ISBN,書籍簡介
9789579528474,"


【特別增訂】相關影片連結

住在都市就能享受！自給自足的樸門永續生活～～

	從澳洲起源、的樸門哲學，開始於農業，然而涵蓋的層面包含了經濟和社群，甚至是一種生活態度，一種社會運動，訴求著用最少的能源，最高的效率，改善生活和生產方式。幾十年來已經發展為一套完整的生活設計，廣泛的影響著世界各國。樸門所包含的農業、永續和文化，讓生活回到與自然最和諧的互動方式，也深深吸引了各國想追求樂活自然的生活的人們。

	然而，一定要有一片土地才有辦法實踐樸門生活嗎？不，樸門設計原則最精彩之處，正是不管怎樣的環境，都能設計出適地適種的樸門生活，即使你蝸居都市裡老舊侷促的小小公寓，或者生硬疏離的水泥大樓，都可以打造友善循環、與自然共生的小小食物森林，捕捉不用花錢而為你所用的光、熱、水、土能源！

以陽明山野蔓園為範本！你可以運用樸門原則設計生活～～

	本書作者為台灣樸門設計師之一的亞曼，他已在陽明山所經營的野蔓園成功經驗為例，用一個個輕鬆的故事、淺顯的說明和範例圖片，告訴讀者，樸門設計是一門有著開放、分享、與學習精神的實用哲學，只要理解了樸門的原則，更重要的是實踐！

本書精選59個根據台灣風土氣候設計，並且多次實踐成功的樸門手作訣竅和設計心法，亞曼把實踐樸門十多年的經驗累積，不藏私傳授想過樸門生活的你。你可以搭配全套實踐一個完整的都市農場，也可以挑選幾個適合你的設計打造陽台菜園或螺旋花園…，跟著亞曼，Just do it：


●居家就有菜市場！有機食材隨手捻來
	無論居住在擁有一方田園的市郊山野，或者擁有咫尺前庭的巷弄社區，甚或只有方寸陽台的公寓大廈，亞曼教你如何點綠成栽，用最省力的方式打造陽台菜園、屋頂花園到食物森林，買菜不用上市場，隨手可採新鮮又營養！
●省省省！小氣廚房學問大
	講究自然、節能的烹調，總是味道單調、大鍋悶煮的菜餚嗎？作者告訴你，不用羨慕時髦的餐廳必備窯烤爐，自己就能搭建一個，製作披薩、麵包變化多端又美味！免用瓦斯的火箭爐和太陽能鍋煎煮快炒都能搞定……。樸門的小氣廚房，讓你大氣開伙！
●DIY純天然的美好滋味
	投入樸門設計多年的亞曼，也將樸門帶進台灣特有的生活飲食中，天然自製的天然酵母麵包、豆漿、醃菜脯、雪裡紅、桑葚果醬、甜酒釀和米醋……。平常工作一天累了，還可以做一杯米啤酒來喝，品嘗真材實料的美好滋味！
●自己的好宅自己蓋！
	想要住在節能的自然建築一點都不難，作者亞曼告訴你怎麼完成：不用水不發臭的堆肥廁所、淨水－洗澡－灑水一次完成的香蕉浴室、家庭各種汙水的回收再利用…不騙你，不怕停電的抽水機「免動力揚水系統」……。不騙你，不交水電費都能自在地過日子~~

	 

本書特色

1.樸門永續生活淺易入門，跟著圖文快速上手：
	樸門是一個以土地、大自然為師，讓自然界各物種合作，運用大自然的智慧來解決人們居食的一套學問。1974年於澳洲興起後就大受歡迎、席捲全世界。創始人墨立森更獲頒另類諾貝爾和平獎（alternative Nobel Prize, 1981）。在台灣，樸門潮流已經蓄勢待發，眾多關心農業、環境和土地的有識之士都認為是可以解決問題的一套法門。什麼是樸門？不說繁雜的長篇理論，從野蔓園分區解析，作者亞曼以具體的操作案例，用最淺顯簡易的故事和圖片讓人一看就懂！
2.由居家到山林，打造各種空間的樸門環境：
	本書作者亞曼十多年來不但在台北的陽明山半嶺打造野蔓園成為成功的樸門農場，多年來接受各社區大學、團體的邀請，在都會區教導如何運用樸門原則設計生活，無論市郊的大規模農園，或者市區的畸零空間，累積豐富的樸門設計經驗與成功案例。
	小從陽台空間、屋頂花園、屋前空地、到社區菜園、校園等等各種不同環境與空間大小，都有豐富的設計變化可以因地制宜。例如光是讓水資源充分運用，就能從設計生活汙水、雨水回收、打造生態池、設計集水渠，甚至垂直種植等等方式來進行。
3.針對都市環境特性，方便城市樂活族上手：
	如何把原本設計為一個自然永續的農園，濃縮在都市裡以水泥空間居多的居家環境？本書在分享樸門各種分區功能的設計同時，都會以解說如何在都會地區變化設計，讓自然生態能不費力的引入日常居家。例如都市裡優質土壤取得不易，土壤層都比較淺。亞曼告訴你，可以利用麻布袋種植，不但可以用厚土種植的方式產生營養的好土，還可以種植根系較深的植物，同時解決都市種植的兩個問題！
	而對於都市生活居食兩大課題，本書教你在都市打造可食地景，除了美化環境還能自給自足吃得安心，植栽收穫除了當作新鮮食材，本書也教你你運用最自然的元素，打造獨家風味的美食加工品，例如黃豆可以變化出豆漿、豆花、豆腐，以及醬油；糙米可以製作啤酒、甜酒釀和米醋！
4.樸門植栽撇步，人人都能成為綠手指：
	本書整理豐富完整的植栽實作訣竅，從省水省力的種植設計，如鑰匙孔花園、螺旋花園、輪胎種植等，避忌和伴護植物的組合設計，到澆水、造土、移盆等植栽基本功，亞曼都把多年種植的心得撇步完整分享，例如要讓番茄種子容易發芽，最好是把果實捏開，讓種子沾滿番茄汁液；還有，台灣夏天豔陽高照，想要避免土壤水分蒸散太快，覆蓋是最簡單又好用的方法等等。

"
9789860673418,"


	地球氣候驟變，環境資源有限，面對明日世界的生態挑戰，
	你是「先知」，還是「巫師」？
	這是全球的問題，更是我們臺灣現在正面臨的一個嚴峻問題！
	一本引領我們深入思考「人類」與「自然」關係的書！

	★Amazon網路書店三百多則評論，讀者平均四·六顆星好評
	★書評網站Goodreads超過四百則評論，平均四·二五顆星好評
	★博客來網路書店八月選書
	★美國國家學院傳播獎得主查爾斯·曼恩最新力作

	試想看看：當西元二○五○年到來時，地球預計將會有超過一百億人口。這意味著將有一百億張嘴需要被餵養，一百億個可供這些人居住的地方，兩百億隻腳需要鞋子穿。但這怎麼可能？地球真的裝得下那麼多東西嗎？就算裝得下，我們究竟要花掉多少資源來滿足這一百億人？

	今天地球提供的資源以及環境所能承載的能力，早已經遠遠超出其所能負荷的範圍。我們現在看到的不只是糧食危機，人類與環境互動往往造成更嚴重的後果：氣候驟變、水資源匱乏、能源枯竭、環境汙染等。本書作者查爾斯．曼恩藉著生動的比喻，刻畫兩種面對生態危機的聲音。一種是「先知」，認為我們應該要「減量再減量，免得人類與自然兩敗俱傷！」其代表人物是生態學暨鳥類學家威廉．佛格特（William Vogt）。佛格特認為地球的資源雖然豐富，但仍然隱隱有其生物多樣性乘載的極限，若不加限制地讓人類肆意開發資源與濫用，那最終將會造成不可逆的後果。也因此同情佛格特主張的先知們時常呼籲我們應該要大幅減少消耗。而先知的觀點正是今日環保節能主義的濫觴。

	另一種聲音則來自「巫師」，主張我們應該要「創新再創新，設法使人類與自然雙贏！」其代表人物則是諾貝爾和平獎得主、農業學家諾曼．布勞格（Norman Borlaug）。布勞格認為在人類妥善運用科技的情況下，既可以提高農作物的產量，又可以確保土壤資源可以被有效地利用而不造成額外的浪費。布勞格更進一步推測，如果農民可以在小規模的土地上想辦法提高作物的平均產量，那麼就不需要去開墾更多的土地。布勞格的努力在六○年代推動了一波綠色革命，而巫師們的聲音也是現在綠色科技、綠色能源的代言人。

	在本書中，我們將看到巫師與先知在各種環境議題上大顯神威：
	►面對糧食危機與人口暴增，到底是該堅持有機在地農耕，還是堅持產量高且又能餵飽所有人的基因改良作物？
	►如果可用的水資源加起來只有全部地球上的水的百分之一，那麼到底是該省水還是得努力「造水」？
	►能源使用的比例連年攀高，是否真有可能走向供不應求的那一天？發展替代能源或綠色能源又能帶我們走多遠？
	►氣候驟變導致的環境災害，究竟是我們的責任，還是不可抗力因素所造成？我們有可能打造「地球改造工程」來改變氣候嗎？
	►龐大的人口、無止盡消耗，如何喚醒先知對節能的呼籲，但卻也同時堅定了巫師推動綠色革命的決心？
	►人類作為一個物種，遵循著生物學的定律——繁衍、資源耗盡，而後滅亡——如果真是如此，我們又要如何避免走向自我毀滅的道路？

	雖然巫師與先知這兩種主張都是現在環保主義者的共識，但是對於人類即將面對的生態挑戰與未來世界，這兩派人馬之間還是爭論不休、互不相讓。巫師與先知就像是站在光譜的兩個極端，但不排除參與這場爭論的人只能選一邊站。有的人可以接受在一些議題上比較贊同先知，主張限縮我們對自然資源的使用，而在其他議題上比較同情巫師，鼓吹科技能源的創新再造。根據作者在這本書裡分析，這兩造雙方真正的爭論焦點並不是在事實層面，而是在於人類與自然環境之間究竟該採取什麼樣的價值觀，以及在面對生態環境的挑戰時，我們該如何思考未來世界。而這正是人類存亡的思考中，最迫切也最需要被關心的議題。

	繼成名作《一四九一》與《一四九三》後，查爾斯·曼恩再次發揮他的記者精神，研究龐大的科學數據並採訪多位專家學者，其中包含環境專家、能源專家、農業學家、氣象學家、生物學家等；除此之外，他也實際走訪世界各地，和環保人士、政客、自耕小農、政府官員等人物交涉。同時他還發揮身為作家的本領，透過書寫兩位生態學巨人——先知佛格特與巫師布勞格——的生平與貢獻，交織出這個既迫切，又讓各方人馬爭得面紅耳赤的環境論戰史。在這本書裡，我們將會看到各種因應生態危機的對策和主張，希望讀者可在閱讀這本書後，思考自己該如何回答每一個生態議題，同時也思考人類的明天究竟該何去何從。

"
9789860633610,"


不只是為了自己
	也為了現在與未來的所有生命


	本書分享樸門永續設計（Permaculture）向大自然學習的智慧
	20個充滿巧思、玩心的生活練習
	培養我們現地觀察、解決問題、主動設計與動手做的能力
	而現在我們的每一個練習
	都將為未來的孩子留下更美好的地球！

	為了在地球上愉快地生存、與自然和諧共處，也為了未來的「七個世代」，本書提倡樸門永續設計（Permaculture）的精神，並分享生活中可以實踐的三個原則：
	1珍惜愛護地球  
	2尊重所有人  
	3與他人共有、相互給予

	七個世代（Seven Generations）是來自美國原住民的生命智慧，提醒我們：「不論作什麼事，要連曾曾曾曾曾孫那個時代的可能，一併列入考量。」因為，我們其實並不是從祖先那裡「獲得」現在的地球，而是向未來的孩子們「借來」的，對於借來的東西，應該要以更好的狀態償還。

	作者索耶海（ソーヤー海）是東京・都市樸門永續設計Tokyo Urban Permaculture創辦人，與插畫家、作家攜手合作，於書中提出具體可行的永續生活提案，強調「在家就可以開始」、「看插畫就可以吸收的智慧」：
	■ 結合活潑插畫，以知識圖文書的形式，每一個跨頁開展一個具體的主題
	■ 從飲食、種植、勞動、遊戲、感受力等面向，體驗大自然生生不息的奧祕

	書中八個章節包含：吃（食育）、做（創造與消費）、在邊緣玩耍（自然探索與觀察）、設計（生態系與關係性）、相互給予（禮物精神與表達感謝）、練習安靜（心的觀察）、可持續性（地球與社會如何永續）、生活方式（生存與生活的選擇）。

	翻開這本圖文並茂的自然生活練習本，你會發現，只要生活中多花點心思實踐，就能讓我們與地球的生命更加豐饒：
	˙200餘幅生動插畫、20個兼具知識與趣味的生活練習
	˙涵蓋飲食、種植、自然探索、呼吸與靜心練習、著色畫、同理心遊戲
	˙融入食物森林花園、水與能源、生物棲地地圖…等循環性設計要素
	˙零浪費、不製造垃圾、交換才能、不花錢也能過得充實快樂的挑戰

	不論大人小孩，不論在陽台、社區、學校、城市或鄉村，大人小孩都可以成為永續生活的設計師，一起打造綠色家園和可持續的未來！

	【樸門永續設計・Permaculture】小字典
	樸門永續設計源自澳洲，1978年由比爾.莫利森（Bill Mollison）等人提出，數十年來，在世界各地獲得重大進展。樸門永續設計主張：
	˙「將世界轉化為食物森林」，以農為本又蘊涵豐富的生活形態；
	˙試圖改變既有生活形態，針對問題提出解決方案；
	˙鼓勵人們減少對石化燃料的依賴，充份利用太陽能、水資源；以友善方式耕作、畜牧和養殖，形成循環型、可持續的生活方式。

本書特色

	★200餘幅生動插畫Ｘ20個自然生活練習邊學邊玩、打造綠色家園
	★涵蓋食農x生態x手作x五感x生命教育共讀共學的最佳讀本
	★靜心x呼吸x正念畫x共感與同理心的練習培養覺察的能力

"
9789869113267,"


	1962年《寂靜的春天》出版，揭開農藥濫用對生態環境的影響；1996年《失竊的未來》則引發對持久性污染物的關注。農藥和環境荷爾蒙在這一二十年間陸續列入管制或禁用，但為什麼我們的生活還是不斷有農藥污染、環境荷爾蒙效應等環境事件危害人體與生態？

	 

	科技一日千里，有時候推進的速度快到人類無法想像。其中化學製品種類更是日新月異，目前世界上出現的十幾萬種化學物質，還陸續在增加中，而環境荷爾蒙的種類也不斷的在增加。多數合成化學物質在使用前幾乎很少進行長期人體健康和環境影響評估，過去的「無毒」有可能在今天被驗證為「有害」。

	 

「環境荷爾蒙」對健康危害最深遠，種類還不斷在增加中

	 

	近年來只要關係到飲食安全或日用品檢驗，醫生、毒物專家都會特別呼籲關注的避免攝入「環境荷爾蒙」，這類化學物質在人體或環境會對生物產生類似激素作用干擾內分泌、影響生長、生育、免疫、神經系統等，對人體和生態造成的傷害最為深遠。環境荷爾蒙會出現的地方從食衣住行都可能找得到它的蹤跡，其中製造塑膠製品所添加的塑化劑更隨著各種日用品在生活中無所不在…，不僅如此，屬於環境荷爾蒙的物質種類還不斷在增加（2017年5月又新增兩項）！

	 

	消費者往往夾在既擔心健康受損，又無法自外於化學物質無處不在的現代生活的兩難中。其實消費者不必成為毒物專家，也無須死守「無毒」兩字！不想誤觸地雷，需要的是釐清迷思，認清風險在哪裡，維持安全低風險的生活並不困難！

	 

	本書透過40篇輕薄短小、淺顯實用的識毒錦囊，教你輕鬆理解什麼是「環境荷爾蒙」，如何簡單安全的使用各種便利生活的化學材質！

	 

本書特色

	 

(一) 破解迷思，生活減毒更簡單

	化學物質如此之多，天然的成分應該就是無毒？塑膠餐具都有塑化劑溶出的風險嗎？容許殘留標準比較高的農藥，應該比容許標準低的毒性低？

	消費者對毒物的迷思有時候會讓你平白多花冤枉錢消費，有時候還會讓人誤觸地雷！有毒與否和天然或合成沒有一定關係，天然化學物質若劑量超過人體負荷還是會產生毒性：而塑膠餐具不一定都有添加塑化劑，此外美耐皿類餐具要擔心的是溶出三聚氰胺：農藥容許殘留量是依照攝取風險來訂定，不一定容許標準高的毒性較低。

	 

(二) 豐富圖解，繁瑣知識圖像化

	環境荷爾蒙對內分泌的干擾機制怎麼運作的？不同毒性分類有甚麼差別？那些日常用品可能有環境荷爾蒙、塑化劑？本書有近半數的篇幅圖像化，透過生活化的插畫與圖片，將專業的化學知識去繁簡化，避免冗長的說明，讓讀者迅速確立觀念，而非與日常無關的艱澀知識。

	 

(三) 專家審定，提供切實可行的減毒避毒訣竅

	本書邀請毒物專家陳修玲參與全書審訂，同時訪談食安、減塑生活、安全農藥等各領域專家，從確保安全的標準下提供各種適合在現代便利生活的減毒生活建議，善用各種現成標章或生活知識，對毒物風險可以從容應對，不再杯弓蛇影。

"
9789863570479,"


「如果人類的意識沒有更深沈的改革，所有的森林很快就會消失。」

  

──約翰．席德（John Seed），澳洲環保運動家


 環境運動推行數十年後，人們普遍意識到「環保」與「生態」的重要。然而世界依舊朝著災難性的未來駛去。為什麼？

 人類的心靈鑲嵌於大地萬物之中，在古代，自然同時是抵禦與崇敬的對象。隨著文明進展，人類卻忘了與大地的神聖連結，將大地矮化為「資源」，無限度地消費著。人類是地球的癌細胞嗎？或者我們可能再度進化，成為珍視與萬物連結的謙虛物種？

新興的「生態心理學」，主張人類心靈應尋回與大地的連結，為環境運動提出了新的解方。

 什麼是生態心理學？
 此領域的先驅者西奧多．羅斯札克（Theodore Roszak）將之定義為：
 1. 生態學與心理學的逐漸融合；
 2. 在心理治療的實作中技術性地運用生態學的識見；
 3. 研究人類對地球的情感聯結；
 4. 尋求以環境為基礎的心理健康標準；
 5. 在顧及整個世界的條件下重新定義「精神健全」的意義。

生態心理學的重量級著作
 本書收錄二十篇具代表性的文章，面向多元：有都市人對環境變遷的體會，也有在曠野中與大地之靈的相遇；有來自動物夥伴的訊息，也有對人類文明的思索；有聚焦於人與自然關係的研究，也有後現代觀點的反思；有導入心理治療元素的環境運動紀實，也有生態環境思考與心理治療過程相互映照之下的領悟。

 閱讀本書，你能得知……

 ．一片幼兒經常前往遊玩而產生歸屬感的自然野地，不但能讓環境教育紮根，也能做為幼兒離開母親懷抱、練習進入世界時的情感依附對象。

 ．想實踐環保，又難以割捨便利時尚的生活和投射情感的物件？看看「碳對話」和「轉型城鎮」計劃如何面對人心的矛盾，拓展了環保工作的深度與進展。

 ．常常會聽到動物或植物說話？你可能是「邊界人格」（Borderland Personality）者，肩負著維繫人類與自然平衡的靈性任務。

 生態心理學所引入的活水，將滋潤我們面臨環境危機而僵住的大腦，讓人的心靈再次與大地共振，也使大地的心靈重新復甦。

"
9789861779843,"


生活在都市當中，習慣了便利的水電瓦斯等設施，漸漸地我們失去對自然環境的洞察能力及應對自然的生存技能。而海洋、河川、土地不斷地被開發，也讓自然資源漸趨枯竭並遭受到破壞。透過里山生活的實踐，重新牽起我們與土地間的連結。

  

 最基礎的里山生活技術：除草、生火、砌牆

 最簡單的里山生活智慧：築水路、大自然廁所

 這是讓你學會所有里山生活基本術的最佳入門書！

  

 本書內容與一般戶外生活用書不同，其包含了

 ●山林的採伐方式（不光是砍伐，而是使山林環境回復豐饒）

 ●如何不使用動力來製材（劈、鑿等技法）

 ●石牆的堆砌方法

 ●水的使用方法（不光是水源，還包括排水、污水處理等，以及自然淨化的結構）

 ●建造小屋的技術（使用土與石）

 ●地爐的復活、再生

 引導您如何把里山和生活聯結在一起，與都市生活相互對照，學習在自然中自給自足的生活方式。

  

本書特色

  

 一本兼具實用性與知識性的工具書。

 回歸原始的自然生活概念，找回最初生活的美好。

"
9789578633322,"


	隨著生活進步，人們每天所產生的廢棄物大量增加，對地球的永續生存造成極大威脅。作者以化學專業，研究廢棄物的管理多年，她以淺顯易懂的方式，教導大家積極面對再生能源以及廢棄物回收，達到「零垃圾掩埋」的目標。全書以生動的方式，淺顯易懂的文字，加上大量的圖片，希望讓每一位地球人都可以來接受廿一世紀嶄新的環保理念，為地球盡一份力量。

本書特色

	出身瑞士的知名環保學者，將現代人必須面對的再生能源以及廢棄物回收議題，以淺顯的、圖文並茂的方式說明，適合每一位即將踏入社會的年輕人閱讀，為保護我們生存的地球盡一份力量；以適合專業人士收藏作為工具書使用。

"
9789865573171,"

由於人們的看法深受典範的影響，因此該用新或舊典範來解釋新生現象，就產生了許多混亂的現象。尤其是在新舊典範交替之際，此種混亂的狀況愈加明顯，往往讓學習者不知所措。有道是隔行如隔山，沒有人可以對所有科學的領域都有所涉獵，但是我們卻可以針對同一領域中不同專家學者的爭論，找出究竟誰的說法更合乎科學的要求，來增進我們對所處世界的認識，畢竟許多不同領域的知識對我們日常生活的影響是巨大的，豈能不有所瞭解。因此本書欲提醒讀者，看到運用典範來解釋新生現象時，究竟是代表新典範的來臨，還是舊典範中的意外特例而已？
                    
"
9789864779154,"


	「我是山林自然書籤，鑲嵌、斜插在草葉、花瓣之間，
	但待朋友們信手展閱，我們究竟處的無窮性靈，
	從銀河星辰，普唱到地心……」

這是一本融合植物知識、山林智慧與自然哲思的美麗之書，
	讓我們為台灣的一花一草一木、大山大海，著迷沉醉、震撼不已，
	魂牽夢繫著與大地母親的深刻連結。

	2020年初，陳玉峯教授自成功大學台灣文學系退休後，除了幾句「人之常情」外，沒有依戀或離情，他回歸山林，永遠望向地平線後方無始無終的宇宙。

	本書是他「和社會解除契約關係」後，筆耕山林的自然書寫作品。

	一篇篇美麗的情書，傳遞著與土地生界的浪漫邂逅後，無盡而堅定愛意。他「走筆如林」，捕捉自然的躍動幻變，化為充滿靈性的語言。

	「山林本來就是人們意識起源的母體子宮，足以孕育太虛幻境的所有程式與非程式；天神將數不清的稜鏡，藏在萬萬端無窮的萬象，隨時隨地讓人應現心境。」

	四十年來，陳玉峯教授從台灣環境生態的鬥士，到一位諄諄教育者，對於土地山林孤獨的哀戚，以及至死戰鬥的樂觀，兩種情感共存於他胸臆。本書的自然觀察與書寫，就是鬥士與仁者的「真實感受」，相信那將不再是孤鳴，而能喚醒我們心中最理性的感動。

"
9789865568016,"


	30多年前，臺灣公害汙染嚴重，遍地垃圾的景象，讓臺灣背負起「垃圾島」的惡名。
	 
	就在此時，環保署及環保團體陸續成立，政府和民間從法令、制度、教育到志工的推動，讓臺灣的環境徹底改頭換貌。
	 
	慈濟也在證嚴上人「用鼓掌的雙手做環保」的呼籲下，帶動全球十萬環保志工，投入資源回收，保護大地。
	 
	臺灣從垃圾島到環保島的成果足為全球表率，值得共同珍惜。如何在現有基礎上，面對當今全球暖化的世紀難題，需要大家再次攜手，以共知、共識、共行的力量，再造臺灣環保奇蹟。

"
