ISBN,書籍簡介
4717702108113,"


核電 ≠ 核能
	第一本核能工程專家對核能原理、應用與核電問題的分析專書。
簡單易懂的文字與圖表，讓你快速了解核能、核電、核武的原理、世界各國發展核電的歷史與現況，
	並清晰解說核輻射對人類環境造成的問題、為什麼需要廢除核電廠、核廢料又該如何處理。解讀核電真相、認識核能應用的最完整專書。
	特別收錄：作者於2013年6月在日本福島核災區的紀行
	 

	核四電廠的問題近年在台灣吵得沸沸揚揚，究竟擁核者說得對，還是反核者有理？
	如果核電廠有害，那為什麼世界上還有那麼多國家在使用？是否只要正常使用，核電廠就沒有安全疑慮？
	但從美國三哩島核災、車諾比核災、福島核災事件來看，理論上安全確實等於實質上安全嗎？

	 

	本書作者賀立維教授是核子工程博士，並曾任職於台灣原子能核能研究所，他以專業角度說明核電廠的問題，
	分析台灣核電廠的環境及隱憂，並說明世界各國核電廠現況；同時解答普羅大眾的疑惑，
	例如，停建核四，五年後台灣就會缺電嗎？沒有了核電廠，電價就會節節上漲嗎？
	台灣核一、核二、核三的核廢料目前處理實況與未來該如何處理？
	台灣一旦發生核災，我們該怎麼辦？
	所有專業客觀的分析與解答都在書中一一細述。

	 

Q：什麼是核能？
	A：核能就是將可分裂的原子核打破時，由當中所發出的能量，又稱為核分裂能。在核分裂的過程中，會產生一百多種自然界不存在的元素，
	例如，碘131、鈽239等，都被稱作人造元素。碘131會使人類得到甲狀腺癌的機率提高很多。鈽239除了可以製造核武之外，也是一種毒性很強的物質，人們若是誤觸會立即死亡。

Q：核電的原理
	A：核電廠的工作原理，是利用鈾原料所製成的核燃料，放在反應爐內進行核分裂，
	核分裂時會產生大量的能量，這些能量可以使冷卻水產生高溫高壓的水蒸汽，水蒸氣就可以推動渦輪機來發出電力。

Q：核子反應爐會像原子彈一樣爆炸嗎？
	A：原子爐與原子彈爆炸的原因是不一樣的，但對人類與自然環境的危害卻不相上下。

"
9789865222703,"

風為自然環境中無處不在的現象。無論是強風或弱風，對於建築物或橋梁等工程結構物安全、風災、海岸或乾旱地區飛沙、風能、都市風環境舒適及安全性、空氣污染擴散、都市熱島效應、建築通風、運輸載具與體育運最佳氣動力，舉凡與風作用等相關問題，皆屬風工程問題範疇。如何掌控與解決問題，經過多年來國際間各國學者專家努力研究，應用理論分析、風洞實驗模擬、現場調查以及計算流體力學等方式建立解決問題模式，使得風工程逐漸成形為一門跨領域綜合性學科。
                    
"
9789869893725,"


第三波能源革命──
不用繳電費、不用買家電的電力產業新模式，
打造數位整合的「能源生態圈」！

◎Utility 3.0是什麼？

	能源發展在過去已經歷兩個階段，分別是Utility 1.0與2.0。1.0為受政府規制的電業，2.0為能源開放民營階段。而日本未來的目標，則是串聯再生能源蓄電池生態、基礎建設生態（包含自來水、通信、交通、物流、垃圾回收等）及世界電網的生態，共同組成能源生態圈，也就是「Utility 3.0」。

	為了順利的轉換到Utility 3.0，本書提到，必須要有三個基本的要素：

	★第一、運輸部門和供熱部門的電氣化；
	★第二、通信、物流、自來水、氫能等基礎建設的整合；
	★第三、數位化整合創造出商業價值（包含物聯網IoT、人工智慧AI）等。

	作者在書中指出日本的發展已經落後於歐美，必須急起直追。而台灣的能源產業要如何發展、政府的綠能布局是否確實跟上未來趨勢，將如何影響你我生活，本書或許也能提供一些線索，做為相關參考依據。

◤不用繳電費的生活，可能嗎？
日本正在努力，台灣做得到嗎？◢

◎電力零售業→「體驗商法」成形，會是從此不用付電費的美好未來嗎？

	想像一下：
	在未來，不只車子會自己開、掃地機器人的機能會進化增強，
	家電用品能自動偵測使用者健康狀態，從庫存管理到訂購，以最符合使用者生活習慣方式運作……
	「Utility 3.0」是未來趨勢，既節能、省事又省錢，是家家戶戶理所當然的基本配備。

	》》因應統合能源生態圈的構成，所有家電用品由電力公司完整提供，不但節能，也做到家電之間的智慧聯繫。
	》》未來我們思考的，將不再是電夠不夠用，而是怎麼樣的配置，最有效率。

	為什麼能夠做到？
	》》因為在未來，大型發電廠即將轉型，從單純發電，轉為統合能源生態圈所生產的電力。

	為什麼可以省錢？
	》》因為現在由於運輸或發電時無法使用的多餘能源，都能夠轉為電力儲存。搭配再生能源，發電的效率會遠勝於現在，成本降下來──當然就省錢。

◤日本正面臨的5個危機與挑戰，
台灣開始思考了嗎？◢

	本書也描述了日本能源界面臨了5D的困境與挑戰，分別是：

	★人口減少（Depopulation）
	★減碳化（Decarbonization）
	★分散化（Decentralization）
	★自由化（Deregulation）
	★數位化（Digitalization）

	為了能夠有效達到減碳的目的，日本期待在最終消費內，將運輸、供熱等電力化－－也就是以電取代石油或燃煤，搭配新技術的發展（如氫能）達到電氣化社會的目標。

	而在另一方面，全日本有60%以上的地區，因為缺乏工作機會或是少子化，人口減少將近一半，因此日本也在思考，「持續維護所有的基礎建設（包括電力）」是否有其必要？如果在實務上確實難以為繼，那麼政府與人民又該如何因應？分散化的小型電力業者、以及使一般民眾參與發電的模式，可能會是解方嗎？

"
9789869845144,"


被氣候正義扭曲的化石燃料

綠能並沒有想像中這麼綠！

	 

「永續能源」換「短命經濟」

愚昧的綠能大夢終將債留子孫
	 

	環保關鍵不在碳排放，而是有害物質的排放管制！

	唯有經濟增長才能開發更有效的降低汙染技術。

	 

	由美國「傳統基金會」經濟增長項目的傑出學者和《華爾街日報》資深經濟學作家史蒂芬‧摩爾攜手「德州公共政策基金會阿姆斯特朗能源和環境中心」傑出高級研究員和主任，美國第二大環境監管機構「德州環境品質委員會」前主席凱瑟林‧哈內特‧懷特創作空頭綠能，以專家角度打破政治的操弄，看見能源政策的利與弊。

	 

	現今主流意識普遍支持綠能，但卻不知綠能背後的犧牲遠比化石燃來多的多，綠能真的環保嗎？

	 

	舉出德國、英國等世界強國執意綠能一途之後卻吞下種種惡果，連強國都「say no」，反觀台灣的我們呢？

	環保關鍵不在碳排放，而是有害物質的排放管制！

	唯有經濟增長才能開發更有效的降低汙染技術。

	 

關於能源，我們有許多誤解：

	● CO2是潔淨的「生命之氣」，「去碳化」就是自殺。

	● 「全球暖化」、「氣候變遷」尚有爭議，一九五○年代以前氣候變化更極端。

	● 太陽、水蒸氣的溫室效應大過人為溫室氣體排放，重點不是「碳排放」，而是汙染物控制。

	● 歐美綠能發展多年，無法克服不穩定及效能低落，成本過高已經傷害經濟發展與民生。

	● 頁岩革命使石油不再匱乏，打破「石油峰值」的迷思，油價將因自由競爭而趨於穩定。

	 

人類脫貧、邁向繁榮的歷史事實：

	● 能量轉換是人類文明躍升的必要條件，工業革命與化石燃料使人類脫離貧窮、打破馬爾薩斯陷阱，締造今日的生活福祉。

	● 電力是現代生活的基本，要增加不平等、飢餓、疾病、汙染、營養不良、貧窮、剝削等問題的最有效方法，就是讓能源變得更昂貴，大多數綠能根本不「綠」，只是讓窮人愈窮。

	 

	● 環保關鍵不在碳排放，而是有害物質的排放管制，唯有經濟增長才能開發更有效的降低汙染技術

	 

擺在眼前的事實：

	● 歐美綠能發展多年，效能低落，成本過高，已經斫傷經濟發展與民生。
	 

	● 德國推動綠能，電價高漲，企業出走，家庭改燒木材取暖，碳排量反增9%。英國承認綠能不足，補貼燃煤電廠重新發電。美國推動生質燃料，糧食價格上漲，全球飢民雪上加霜。

	 

	● 風力與太陽能發電等所謂的「綠能」，屬於利基能源，即使有納稅人多達數千億美元的補貼，也只能滿足我們不到3%的能源需求量。前總統歐巴馬自己的能源部門坦言，即便我們繼續提供鉅額的補貼，到二○三○年來自風力與太陽的能源仍低於10%。未來，我們須高度依賴化石燃料至少長達數十年。

	 

	● 失去電力就失去一切，風力發電及太陽能辦不到，廢棄化石燃料，將是人類文明的倒退。

	 

	本書為<能源大騙局：綠能神話引燃的世紀豪賭Fueling Freedom: Exposing the Mad War on Energy>暢銷增訂版

	 

"
9789570853223,"


缺電影響經濟，空汙危害健康！
	規劃最佳能源配比，打造綠能低碳、穩定供電的家園
	太陽能、火力發電、核能到底有何不同？
	「以核養綠」究竟是什麼？再生能源就一定好嗎？
	這本書將告訴你答案！


	2018年底，台灣通過「以核養綠」、「火力發電年減1%」等兩項公投，顯示人民對核能發電的高度關切。但目前的能源政策無法解決台灣的缺電問題，因此，透過「2019民間能源會議」邀請相關領域學者專家、企業界人士以及社會大眾，共同討論台灣能源現況，尋找最適合的能源政策。

透過這場講座的舉辦，也解答了許多人民心中的疑惑，包括：

	•為什麼要「以核養綠」？
	「核能發電是一種穩定的低碳、低汙染發電方式，國際上也明定核能是「潔淨能源」，能有效減少碳排放及空氣汙染。透過以核養綠打造綠能環境，維持電力穩定，穩健減核，逐步邁向非核家園。」

	•「再生能源」不能取代核電嗎？
	「台灣為獨立電網且規模小，包括風力、太陽能等再生能源容易受天候影響，以台灣夏季而言，用電量最高卻沒風，很難進行風力發電。因此維持原有的核能發電，並持續發展再生能源才是上策，避免因大幅度調整能源配比，導致發電不穩。」

	•「核廢料」該如何處理？
	「科技不斷進步，核廢料早已有解決方式，不論是室外或室內貯存，安全都不是問題。高階核廢料甚至可透過再處理技術，回收其中大部分可利用的元素，重製為新型燃料並繼續用於發電。」

	不論哪一種發電方式，都有優缺點，但不該輕易放棄任一選項。因此本書收錄來自各界領域專家及學者的具體建議、構想，期望為台灣找出適當的能源配比，擘劃充分、穩定、潔淨及可行的電力發展藍圖。

本書特色

	•透過專家論點剖析台灣能源配比：只有專家們才清楚的能源真相，在本書中首度完整呈現。
	•全彩圖文說明各式能源利弊：收錄大量全彩圖表，並搭配專家的文字說明，幫助快速了解各式能源的優、缺點。

"
9789869735957,"


	★首部提出臺灣能源問題應具備的大框架與系統性思考 ★
	★八個先驅者案例，真實看到能源轉型下未來生活可能的樣子★
	★一冊讓全國人民回歸理性、建立共同認知的作品★

	 

	◎為什麼全球許多國家將能源轉型列為目標？臺灣能源的真實狀況究竟為何？

	◎我們的能源自給率是多少？會缺電嗎？碳排狀況多嚴重？全球趨勢怎麼走？

	 

	空汙、PM2.5、核廢、深澳電廠、六輕氣爆……攸關大家日常生活的能源問題，往往在混亂的資訊、以訛傳訛的巷議、一種數據各自表述的矛盾、難以咀嚼的專家論述之中失焦。最後淪為「你反核，那你家夏天不要開冷氣！」「你擁核，那核廢料放你家！」的非理性辯論。

	 

	臺大風險社會與政策研究中心針對二○一九年提出的年度之書就是能源議題，希望以扎實的研究、科學分析與實際案例，讓這個曾為核能上街遊行，也為了空汙問題舉辦公投的島嶼，知道自己的能源結構，也明白全球的發展趨勢，否則將出現政府一面高喊能源轉型，但其實二○一八年能源消費量仍持續創下新高的窘境，臺灣人均碳排放也排名全球十九名。但經濟成長每多一％，電力就需要增長○‧七％，到底要如何節能並擺脫掉化石燃料的依賴呢？

	 

	其實一九九七年京都議定書後，臺灣就啟動了能源轉型意識，進入二十一世紀卻似乎停滯了。臺灣能源轉型為什麼遲滯近二十年？又是如何逐步成為政治競爭的核心戰場？事實上從各國經驗來看，能源不僅與社會變遷歷程緊密扣合，且能源轉型需要的是系統性變革，是一個長期而困難的政治、社會、經濟產業與社區工程，尤其最重要的就是逐步擺脫對化石燃料的依賴，這也是民眾最關心的問題，因為空汙主要來源是化石燃料，且早已被國際重量級研究機構列為臺灣國人死亡與疾病的十大風險因子之一。

	 

	臺灣目前的總能源供給有九八％仰賴進口，尤其是化石燃料。而臺灣的發電能源結構，化石燃料在二○一八年時占總發電量高達八四％（燃煤四六‧二八％、燃油三‧○八％、燃氣三四‧六四％），核能發電占一○‧一二％，再生能源僅有四‧七％。不論從能源安全、降低碳排與讓民眾有買得起的再生能源來說，臺灣仍有很大的努力空間。

	 

	相對於政治或經濟的上層國家制度，能源卻不分階級、扎扎實實地建構了每個人的日常生活。在這幅巨大而複雜的圖像之中，本書透過由下而上架構出的四個主題、八個先驅者案例，讓大家真實看到能源轉型將如何改變我們的未來生活。許多不同身分的「先行者」已在探索邁向能源轉型的道路，這當中有熱情的基層公務員、大樓管委會主委、地方媽媽、有創意的科學家、以環境為核心的企業甚至是社區大學，從都市到偏鄉、從臺灣頭新北市到臺灣尾屏東林邊，八個先驅者展現了真正生命力與希望所在。

	 

	轉型之路荊棘處處，滿布障礙。怎麼突破？本書最末章闡述這些障礙來自政治、既存系統的能量及壓力、產業，也來自你我的生活慣性。除了舉出國際間的現況與案例，更提出這些國際的發展歷程可為我們提供什麼參考？能為我們未來能源轉型提供哪些想像資源？

	 

	當十六歲的瑞典少女格雷塔・桑柏格（Greta Thunberg）發起「Fridays For Future」行動，親身向握有權力及資源的大人抗議不認真減緩氣候變遷，將讓他們的未來受損，雖然看似起不了什麼作用，卻象徵著氣候的問題已經蔓延為世代正義的問題。能源背後牽連的正是氣候變遷，迫切的不是只有臺灣，而是全球。從日常生活中挽起袖子來實作且持續不斷改變，雖不能保證，但我們或許得以跳脫上層的空轉，透過日常努力，為未來預備一個安全世代。在普遍兩極化的對抗氣氛下，希望這本書可以成為交集與對話的起點。

	 

	※臺大風險社會與政策研究中心2019年度風險分析報告

"
9789862356999,"


如今在福島這塊土地上的
	已非「眼睛看不見的恐怖放射線」
	而是種種「眼睛可以清楚看見的課題」


▍第一本由學者、前東電員工與廢爐作業員合力，全方位記錄福島第一核電廠從事故發生到災後復興的重要著作
	▍超過三百張照片與圖表資料，透過漫畫、圖鑑、年表與第一線工作人員的深度採訪，完整剖析福島第一核電廠的廢爐現場
	▍清華大學工程與系統科學系教授兼原子科學技術發展中心主任　葉宗洸　審訂＋專文推薦

	2011年福島第一核電廠事故發生後，福島曾經作為一塊人人避之唯恐不及、沒有未來可言的受災區，如今隨著第一核電廠「廢爐」作業的展開，以及廠區工作人員、受災居民如何重建生活等問題，這塊土地上有著的已非「眼睛看不見的恐怖放射線」，而是種種「眼睛可以清楚看見的課題」。本書為事故5年後，第一本學者、前東電員工與廢爐作業員合力，由民間立場調查紀錄，輔以圖表資料、照片、報導與專訪，全方面解析廢爐現場與災後重建的著作。

▍「福島好複雜、好麻煩」？

	311福島核災發生至今，圍繞著福島第一核電廠與災後重建的資訊，要不是內容太艱澀難懂，不然就是流於製造恐慌的謠言。本書作為福島核電廢爐小百科，不僅透過淺顯易懂的圖表，拆解廢爐的各個技術環節，還原福島第一核電廠的廢爐現場；更從工作人員與居民的食衣住行育樂出發，讓讀者掌握災區生活發生了什麼具體的轉變。

▍圖像化的福島、福島核電與事故後的廢爐現場

	世界廢爐核電廠一覽表、廢爐編年史、認識福島廢爐的15個數字
	日本核能發電廠分布圖、福島第一核電廠廣域地圖、1-4號機剖面圖、垃圾流向地圖
	工作型態圖鑑、各式配備、工作人員一日行程

▍在擁核或廢核之前，先了解什麼是「廢爐」

	談到「廢爐」，我們能聯想到的是否還只是停留在「事故當時的氫氣爆炸畫面」、「成排的污水槽」、「暴露於輻射下的勞工」呢？為反省福島核災以來，圍繞著核電的討論總不脫情緒性的核電是非論，本書將「廢爐」作業化繁為簡，以簡易明瞭的圖文說明所謂廢爐即是關於污水對策、燃料取出與除役這三大項目。不僅以圖解的方式，引領讀者走入福島第一核電廠廠區、深入理解1-4號機反應爐的構造，更透過工作人員一日作息表、核災至今飲食生活的轉變等，為冰冷的「廢爐」作業注入更多「人味」。

▍從廢爐展開的重建之路

	核災之後五年，福島這塊土地與人們樣貌是否已有所不同？有人一度離開又重返、也有人選擇在災後移居，更有從事廢爐作業的工作人員幾年來皆居住於此，作為有人生活其上的土地，討論福島災民的方式，也不該再以「偉大的犧牲者」一詞輕視災民們的日常生活。「我們能為福島做些什麼呢？」，答案或許藏在當地居民的日常生活之中。比起為了政治目的高呼「為了福島」，更不如從當地居民在食衣住行育樂上的轉變，同理他們是如何與廢爐共存。

▍日本的福島‧世界的福島

	世界廢爐核電廠一覽表、廢爐編年史、廢爐現場與機器人、3D測量保留災區景觀，借鑑全球各地除役經驗，更從世界能源史定位福島事故。讓我們深入「福島第一核電廠事故」這場世界級事故的核心，調查廢爐現場的實情，一同思索核能與人類命運的現在與未來。

專文推薦──

	「對於專業人員，本書極具災後處理與除役工程實務的參考價值；對於一般民眾，本書則有記錄廠區與鄰近受影響區域復原實況的科普教育價值。」
	──葉宗洸，清華大學工程與系統科學系教授兼原子科學技術發展中心主任

"
9789863265429,"


	電價補貼政策，幫了經濟，壞了空氣？
	臺灣用電最多的是臺北還是新竹？首都與竹科大車拼！
	澎湖除了開發賭場，其實還有另一種選擇綠金的可能？
	臺北的下一步可望循鹿特丹模式，轉型為低碳智慧城？
	水泥廠本應解決的空污問題，竟然是透過高雄小學生的自發行動才得以改善？
	臺中的火力發電廠很重要嗎？讓我們用能源地圖解開臺中的用電密碼！

	關於能源，我們實在需要知道更多！本書特邀十餘位跨領域的專家學者，以十三篇專文向讀者介紹「什麼是能源轉型？」「能源政策如何推展？」「綠電該怎麼做？」「公民可以怎麼樣參與能源轉型？」這四大議題。

	中央研究院院長廖俊智特別推薦：「世界經濟論壇指出氣候變遷為當前社會最急迫因應的風險，因此臺灣須加速建構高效能低碳社會體系，以深度減碳為願景，擘畫長期轉型路徑。本書分別從『治理體制改革』、『政策工具推動』、『公民行動串連』三大視角，系統性地檢視臺灣能源轉型的挑戰，並提出可行的政策建言，可作為臺灣邁向碳中性社會的行動指南。」

本書特色

	★十餘位專家多面向探討臺灣能源轉型的重要著作

	★中央研究院院長廖俊智、富邦文教基金會執行董事陳藹玲、氣象達人彭啟明、中國時報副總編輯謝錦芳、環境資訊中心主編彭瑞祥、駐德資深記者林育立、知名部落客王乾任、地球公民基金會－－各界聯合推薦！

"
9789869546652,"


國際能源市場大改變  石油多到用不完！


 頁岩革命使石油不再匱乏，打破「石油峰值」的迷思，
 油價將因自由競爭而趨於穩定。
 歐美綠能發展多年，無法克服不穩定及效能低落，
 成本過高已經傷害經濟發展與民生。

 德國全力推動綠能，電價高漲，企業出走，家庭改燒木材取暖，碳排量反增9%
 英國承認綠能不足，補貼燃煤電廠重新發電，還要民眾看天用電
 美國推動生質燃料，糧食價格上漲，全球飢民雪上加霜

 環保關鍵不在碳排放，而是有害物質的排放管制，
 唯有經濟增長才能開發更有效的降低汙染技術。

 穩定便宜的能源將帶動經濟成長、提高就業機會、國家安全及全球穩定

 美國即將在二○二○年成為最大能源出口國，
 川普「美國優先」的經貿政策、歐洲綠能發展的困境，
 將如何牽動未來國際局勢﹖

關於能源，我們有許多誤解：

 CO2是潔淨的「生命之氣」，「去碳化」就是自殺。
 「全球暖化」、「氣候變遷」尚有爭議，一九五○年代以前氣候變化更極端。
 太陽、水蒸氣的溫室效應大過人為溫室氣體排放，重點不是「碳排放」，而是汙染物控制。
 歐美綠能發展多年，無法克服不穩定及效能低落，成本過高已經傷害經濟發展與民生。
 頁岩革命使石油不再匱乏，打破「石油峰值」的迷思，油價將因自由競爭而趨於穩定。

人類脫貧、邁向繁榮的歷史事實：

 能量轉換是人類文明躍升的必要條件，工業革命與化石燃料使人類脫離貧窮、打破馬爾薩斯陷阱，締造今日的生活福祉。

 電力是現代生活的基本，要增加不平等、飢餓、疾病、汙染、營養不良、貧窮、剝削等問題的最有效方法，就是讓能源變得更昂貴，大多數綠能根本不「綠」，只是讓窮人愈窮。

 環保關鍵不在碳排放，而是有害物質的排放管制，唯有經濟增長才能開發更有效的降低汙染技術。
 失去電力就失去一切，數位時代需要大量、穩定的電力，風力發電及太陽能辦不到，廢棄化石燃料，將是人類文明的倒退

面對今天：

 國際能源市場大改變  石油多到用不完！

 頁岩革命使石油不再匱乏，打破「石油峰值」的迷思，油價將因自由競爭而趨於穩定。
 歐美綠能發展多年，無法克服不穩定及效能低落，成本過高已經傷害經濟發展與民生。
 德國全力推動綠能，電價高漲，企業出走，家庭改燒木材取暖，碳排量反增9%
 英國承認綠能不足，補貼燃煤電廠重新發電，還要民眾看天用電
 美國推動生質燃料，糧食價格上漲，全球飢民雪上加霜

 環保關鍵不在碳排放，而是有害物質的排放管制，唯有經濟增長才能開發更有效的降低汙染技術。

 穩定便宜的能源將帶動經濟成長、提高就業機會、國家安全及全球穩定
 美國即將在二○二○年成為最大能源出口國，川普「美國優先」的經貿政策、歐洲綠能發展的困境，將如何牽動未來國際局勢﹖

"
9789869510318,"


 二十一世紀人類生存最大的挑戰──缺水風暴
 你我都無法置身事外……

 根據聯合國資料，全球有近5成人口面臨用水短缺
 到2030年，全球可用水資源將減少40%
 而台灣，是世界排名第18位缺水的國家
 不久的將來，水恐怕會成為最缺乏的稀有資源！

 缺水或洪災，牽動著糧食、經濟、國際政治、氣候變遷等重大議題，
 這看似乎莫可奈何，畢竟降水無法預期，存水亦不容易，
 然而事實上，只要轉變我們的思維，就能發現，水可以無處不在。

 水資源稀缺的問題，人盡皆知。隨著焦慮日增，美國加州的一些農地開始休耕，世界各地的激進團體紛紛揭露土地荒漠化使人失去生計的無奈。不過，很多人正在尋找「用水安全」的新途徑，他們的發現對糧食供給、經濟復甦、氣候變遷都有重大的影響。
 朱迪絲‧舒瓦茲在書中針對水資源的問題，提出令人耳目一新的觀點，只要配合水循環的週期，我們就能讓這塊土地恢復鬱鬱蔥蔥的生機。例如，辛巴威的鄉間河流改採「恢復型畜牧」以後，如今比以前長了一公里；土桑市栽種柳橙、石榴和在地果樹的果園，是以都市淨化的廢水灌溉的；德州西部的迷你綠洲是靠露水滋潤而成。
 作者前往了美國加州、墨西哥、巴西、美國德州西部、澳洲，再回到非洲。在書中，以全球各地的精彩故事提醒我們，想要拯救日益乾涸的地球，需要先瞭解使自然生態蓬勃發展的因素，綜觀整個大局可以幫我們看清楚我們的挑戰有哪些可能的解方，哪些新方法可以幫我們停住惡性循環，啟動良性循環，並對水在土地間流動的方式產生新的見解。

"
