ISBN,書籍簡介
9789571188089,"


	刑法理論也許都會讓人覺得相當深奧與混亂，經常讓人無所循從。本書撰寫的目的，是想讓刑法的學習能夠避開「理論與爭議叢林」的困境，而能輕鬆愉快入門並深入掌握。寫作風格上，力求清晰易讀，因此本書盡量以案例引導及圖表綜合並陳的方式來敘述，應該可以減輕讀者在閱讀及理解上的困難。本書不但適合初學者的閱讀，更能提供研究者參照及考試者攻略。

"
9789865559892,"


逞一時口舌之快，小心惹刑事犯罪前科與民事賠償的問題上身！
	◎話一出口就像潑出去的水──覆水難收，瞭解法律，管好你的嘴，才能遠離罪與罰！
	◎本書從刑法解釋「公然侮辱」，並引學者見解、法院實務判例，清楚說明公然侮辱會受到的罪與罰。
	◎作者從事協調解決現代人一般生活上所遇到的法律紛爭十數年，本書以公然侮辱為主題，助讀者避免禍從口出。

	在私Line 上罵朋友87 算不算是公然侮辱呢？
	以肢體或影射方式侮辱，構成犯法嗎？
	在網路社群開罵有罪嗎？

	社會開放、網路盛行，挾言論自由，各種語言霸凌因應而生，
	沒有用本名、沒有指名道姓、國罵是我的頭禪、用流行語、
	我沒這個意思、是在非實境的社交軟體……

	但，可能都面臨拘役或三百元以下罰金的刑責！

	當你下次遇到紛爭時，請千萬冷靜應對，不要逞一時口舌之快，任意罵人，以免「禍從口出」，受到刑罰與民事賠償的司法制裁。

"
9789869940047,"

適用對象欲研究病人自主與刑法之考生改版差異內容修正並新增書籍特色本書是關於醫療的刑法論述，皆涉及病人自主。內容包括：導論、病人同意的刑法問題、專斷醫療、醫療過失、照會單的刑法評價、生命末期的病人自主、對於加工自殺罪的質疑、結論與建議。全書文字精鍊流暢，蘊藏作者的深刻思辯，讀者安靜對晤，必有感應。本書適合法界與醫界人士閱讀，醫法雙修者更能有感。
                    
"
9781647840310,"

自從刑法公佈以來，中國刑法學界圍繞著社會主義市場經濟犯罪展開一系列的研究及討論，尤其是對假藥的認定等問題，更是爭議的焦點。本書是由玉林師範學院2015級的法學畢業論文擴充而成的，在準備論文的過程中，作者廣泛地搜集了有關於社會主義市場經濟犯罪的資料，並對此從假藥問題著手研究犯罪的預備、著手等方面進行論述。同時，為了論證，引用了一些案例並進行研究分析，個別案例進行改寫。在本論文集的編撰過程中，自始至終得到楊勝榮、林樹錦、龐慶龍及韓勁松等多位老師的鼓勵和幫助，在此一一表示由衷的謝意，並在玉林師範學院專案編號：G2019SK08資助下完成。侯志君Since the promulgation of the criminal law, a series of researches and discussions have been carried out around the crime of socialist market economy. Especially the identification of fake drugs is the focus of controversy. This book is expanded from the 2015 law graduation thesis of Yulin Normal University. In the process of preparing the paper, the author has collected a wide range of materials about the crime of socialist market economy, and discussed the preparation and starting of the crime from the problem of fake drugs. At the same time, in order to demonstrate, some cases are cited and analyzed, and some cases are rewritten.In the process of compilation of this treatise, which was encouraged and helped by many teachers all the time, such as Sheng-Rong Yang , Shujin Lin ,Qinglong Pang  and Jinsong Han. The author would like to express his heartfelt thanks one by one for these teachers. This paper collection was supported by Yulin Normal University Project No.: G2019SK08.Zhijun Hou
                    
"
9789864511815,"

少年為社會的礎石、民族的幼苗，其身心的健全與否、人格的優劣、學識是否豐富，直接影響民族的盛衰，以及國家的前途，因此在少年成長過程中，積極關懷、培植和保護少年，是我們亟需加強的重點。而少年事件處理法，其立法目的，乃係為保護少年，並矯正少年不良行為，配合實施少年保護事件及少年刑事案件的處理，以期寓懲罰於教化，促使少年更生，增進其安全福祉。此觀少年事件處理法第一條明定：「為保障少年健全之自我成長，調整其成長環境，並矯治其性格，特制定本法。」所以，少年事件處理法不僅可以直接矯正、保護少年，更可間接達到維護人權與防衛社會的目標，值得我們深入探討及研究。
                    
"
9789865407537,"

隨著新中國成立70周年之際第9次特赦的施行，大陸社會各界對於特赦制度的熱議再次見諸媒體報端，也使得特赦制度的常態化運作與法治化建設成為理論界和實務界共同的新期待。本書是中國大陸邁入新的歷史時期並在四年內兩次施行特赦之後，該領域的第一本專門著作。本書的編著旨在促進相關理論研究的深入發展，研究總結特赦制度在新時期施行的經驗與不足。本書設立主題論壇、規範文本、官方意見、學界解讀、新聞時評、諮詢報告、理論研討、歷史文獻、域外法治等諸多欄目，在很大程度上可以全方位、多視角呈現大陸新時期特赦的不同側面，從而為新時期特赦制度的常態化運作與法治化建設提供助力。
                    
"
9789865407599,"

本書係以過去與刑事訴訟程序有關之司法改革議題為課題，書名為『刑事訴訟程序基礎理論』，論述刑事訴訟程序中最為基礎但卻影響深遠的問題。各章節之論述係透過或採用國內外法制的相互比較與論證方式，進而剖析刑事訴訟制度本身所存在的本質論問題。在內容上會對各課題所涉及到的制度面與實際面問題加以分析與檢驗，並對各制度或課題所存在的利弊得失，提出看法與意見。希藉此些看法與意見之提出，可以清楚了解或能夠解析目前之刑事訴訟制度之本質與各課題所涉及到的真實內容。
                    
"
9789865407650,"

通說將分期交付契約與分期付價契約歸屬於一時的債之關係之範疇，足見「債務人持續性地受債之關係之拘束」之要件，並不足以做為區別一時的債之關係與繼續性債之關係之標準。甚且，通說對於繼續性債之關係之定義，堅持債務人之總給付並未自始確定之要件。然而，在繼續性債之關係下，尤其就定有期限的繼續性債之關係而言，其債務人之總給付是否自始即未能加以確定？頗有疑問。至此，何謂「繼續性債之關係」？其與一時的債之關係又如何區別？乃有待進一步之釐清。再者，繼續性供給契約固屬繼續性債之關係之一類型，惟其債務人所應為之給付，亦呈現間歇性與反覆性作為或不作為之現象，此種情形與分期交付契約並無二致。從而，繼續性供給契約與分期交付契約之區別標準何在？乃有深入加以探討之必要。此外，鑑於繼續性債之關係下，於給付障礙發生前，債務人已為合於債務本旨之給付，並且於給付障礙排除後，債務人仍有為合於債務本旨履行之可能，斷不可僅因債務人之給付短暫地遭遇障礙，即認定為整個繼續性債之關係皆陷於債務不履行之狀態。因此，民法上立基於一時的債之關係之上的債務不履行之規範，如何適用於繼續性債之關係？乃有待進一步之檢討。抑有進者，民法第227條之2所定之情事變更原則乃以繼續性債之關係為其主要適用之對象，惟何謂「情事」？目前仍處於混沌不明之窘境。所以，如何形塑情事變更原則之具體輪廓，亦是法律解釋學上急待處理之議題。最後，若繼續性債之關係終了者，雙方當事人間是否因而發生一定之返還關係？此等返還關係之法律性質及其內容如何？尚有待對其為詳盡之闡述。針對以上各項議題，在本書中皆有完整之討論。
                    
"
9789862959640,"

本書收錄只木 誠教授各篇「以科刑上一罪為題」之日本法學論著，主要以德國刑法學理論為基礎，立證日本刑法解釋學上罪數論（競合論）之基本原理。本書首先回顧競合論之歷史，並且辯證想像競合之意義；其次，本書嘗試釐清競合論概念所形成之原理；再者，以研究心得之結論為基石，進而討論不作為犯之罪數、過失犯之罪數、共犯之罪數、混合的包括一罪之前提，並嘗試處理訴訟法之問題及競合論之特殊問題，研求探討解決該等問題之端緒。本書透過此次中文版之發行，旨在將日本之罪數論（競合論）廣泛地介紹給臺灣學術界、實務界人士以及在學學生，對於更深入理解日本刑法上之罪數論（競合論），應有助益。
                    
"
9789571199528,"

本書所蒐羅的法規並非僅單一的刑事訴訟法，尚包括與刑事訴訟相關的程序法規。全書以法典形式羅列條文，於各條文下補充相關修法理由、修法簡評、法學概念、實務見解、爭議問題、學者評釋等，書末並附錄「國民參與刑事審判法草案」、「法院組織法草案」（含扼要說明），使讀者更能領略刑事程序之原理原則與修法脈動。本版收錄了新近的實務見解，諸如：釋字第751、752、762、沒收新法的相關判決、鄭性澤案的再審判決、最高法院於106年12月作成GPS定位追蹤偵查是否為強制處分的新判決，以及106、107年度的刑事庭會議決議等等。此外，內容結合時事與時俱進，例如：法學概念（新增「卷證資訊獲知權」、「強制處分」、「無證據能力」、「臥底偵查」、「強制偵查與任意偵查」、「目視跟監與GPS定位追縱」）、簡明圖表、爭議問題（新增「境外警詢之證據能力」、「私人不法取證」）、修法簡評（新增於第33條之1）及針對實務見解的學者評釋（新增於釋字第737、752號、106台上3788判決）等等，並非單純蒐錄法條的法典，書末併附有索引，方便讀者查閱。不論是準備國家考試或有志從事刑事法學研究者而言，皆是一本不可或缺的參考書籍。
                    
"
9789578612600,"

為什麼要買這本？作者告訴你《這是一本刑法法典》升級再進化！除了收錄修法、實務、學說和爭點之外，還附上「Note筆記欄」，可直接做筆記，還有空間貼便利貼，版面不再亂糟糟。就讓這本法典，成為你最堅強的國考後盾！
                    
"
9789862958698,"

本書以當代德國刑法理論為基礎，重新詮釋我國刑法各罪規定與相關學說實務見解，並援用大量精彩實例辯證概念差異與各罪適用關係，每一個罪名都先切入保護法益與體系結構，再就不法構成要件個別要素作細緻的論述，以進行合乎目的體系的價值論證，相信能為讀者帶來更好的學習效果與思考樂趣。本書不但適合當配合上課學習與準備考試的教材，對於想要深入研究財產犯罪議題的讀者及實務人士而言，亦能發揮適當的指引功能。並且，與財產密切相關，卻規定在附屬刑法中的逃漏稅捐與洗錢，本書亦一併納入，以滿足讀者知識需求。
                    
"
