ISBN,書籍簡介
9789865719746,"


一本最貼近李前總統的書！


 李登輝，一個台灣近代史上內外皆知的名字，也是台灣政壇上最有影響力的政治家。

 1923年生於台灣日治時期的地主之家，李登輝並沒有因為富裕的家境而變得養尊處優，反而因為過早的自覺讓他從年少開始便苦於自我的追尋，這些思考生死的痛苦掙扎，最終都在他今日回首時，成了成就他今日之我的養分。

 今年已年屆93歲的李登輝，2011年底曾接受過大腸癌的手術，出院修養半年之後，便於2012年4月，秉持著「現場主義」的信條，展開了屬於他的環島「生命之旅」，決心用自己的雙腳走遍台灣的每一個角落，用自己的雙眼好好看看台灣的美好與不足，也用自己的耳朵直接傾聽人民的聲音。2013年，他在旅途中因為身體不適，又動了椎動脈支架置放手術，可是之後他還是造訪了綠島。這樣的堅持背後，是什麼在驅使著他呢？

在本書的後記中，李登輝說：

 我在今年1月迎接了91歲的生日，雖然我不知道自己還有多少時間，但我早就打算為了台灣和人民把接下來的餘生都奉獻給「第二次民主化」，這是我完成自己捨「我」奉「公」這種「我是非我之我」人生哲學的覺悟。

 想知道李登輝的「非我之我」哲學是如何演變而來，以及他究竟為何會選擇成為研究農業經濟的學者？又為何會從學者的角色踏上往後的從政之路？其中不喜歡國民黨的他，又為何毅然決然地加入國民黨？最後在國民黨勢力的孤立下，從擔任台北市長、台灣省主席到副總統之位，最後連任兩屆總統。一路走來，李登輝自己又是抱持著什麼樣的信念在為台灣和人民奮戰呢？

 一切的心路歷程都在此書當中。

"
9789861337791,"


這個世界還很新，你願不願、敢不敢，為他做出決定？


	一九八六年民進黨在驚濤駭浪中，突破黨禁、成立政黨。當時臺灣依然處於戒嚴時期，所有黨外人士都被政府監視與監看，更無集會自由，究竟民進黨是如何在圓山飯店──這個傳說中布滿國民黨特務的情報重鎮，宣布創黨？面對創黨後的關鍵十日，當時創黨的關鍵人物，是如何從抱著被抓捕的心理準備而勇敢挺身，轉變為摸著黑暗中的一絲火光邁向民主政治之路？

	如今，三十五年已悄然無聲地過去，許多創黨元老也一一辭世，當年曾一起打拚的種種史實就快被時間沖散；本書歷經籌畫多年的訪談與蒐集史料，以當時身為一九八六黨外選舉後援會召集人游錫堃的視角，述說當時才三十八歲的宜蘭農村子弟是如何展現對這片土地的熱情，和夥伴們為創黨奔走不遺餘力，面對來自四面八方的威脅，也無所畏懼地為臺灣民主政治挺身而出。

	透過這本書還原當年，讓生來就享有民主自由果實的我們也能明白，手裡握有的自由，是從如此多前人的不自由爭取而來，也希冀曾一同為臺灣自由民主之路努力的人，莫忘初衷。

	民進黨創黨三十五週年，在當時的風起雲湧中，我們一同感受希望，喚醒心中的勇氣。

本書特色

	★四面八方的暗湧不斷襲來，該如何在這黑暗的時代中，尋找那一絲微光？臺灣曾經是沒有記憶的地方，但民主前輩的身影我們不能忘，現在火炬在我們手上，你是不是有勇氣抓緊他、傳承他、大步向前？

名人推薦

	★總統／蔡英文、立法院院長／游錫堃、政治大學台灣史研究所教授／薛化元──專文推薦

	★游錫堃、陳菊、周清玉、尤清、謝長廷、邱義仁、王家驊，圓山組黨的見證者──口述歷史獨家收錄，帶你進入衝破黨禁的驚心動魄、關鍵十日。

"
9789865251871,"


五十年的淬鍊　從基層需求到中央決策
	堪稱中華民國政壇資歷最完整的政治人物

	吳敦義 清廉自持 忠誠為國
	他 始終保持從政的初心與真心……

	他把青春的腦力　獻給了問政、思辨、撰文
	他把壯年的衝勁　獻給了故鄉和他鄉
	他把熟年的智慧和幹才　獻給了國家

	五十年的淬鍊　從基層需求到中央決策
	堪稱中華民國政壇資歷最完整的政治人物

	吳敦義 清廉自持 忠誠為國
	他 始終保持從政的初心與真心……

	回首從政路，吳敦義叱咤政壇近五十年。身為白色恐怖受難者的小孩的他，憑藉自身的努力，從記者到當選台北市議員，開啟他不凡的從政歷程。仕途一路順遂的吳敦義，先後各擔任過二屆南投縣縣長和高雄市市長，走過國民黨最輝煌的蔣經國、李登輝時代，也經歷到陳水扁當選後的政黨輪替。

	二○○七年接任國民黨秘書長，之後又出任行政院院長、副總統等職，深度參與馬英九總統執政的八年。二○一六年國民黨成為完全在野黨之後，二○一七年吳敦義以過半票數拿下黨主席，在細心的運籌帷幄下，國民黨於二○一八年九合一選舉大獲全勝，曾參與多場重要選戰選舉的他，堪稱政壇的常勝軍。

	未料，二○二○大選總統候選人韓國瑜慘敗，連帶區域立法委員席次亦受影響，擔任黨主席的他固然有著不為外人的委屈，還是毅然辭去黨主席，展現政治人物的大器與擔當。

	回顧台灣政壇，從南到北，從地方到中央，除了總統職，幾乎所有重要的政務官職務他都擔任過。其所經歷的黨政要職，每個階段都是近代地方政治、中央政務和兩黨政治發展的重要記錄，堪稱是資歷最完整的重量級政治人物，關心台灣近代史和未來發展的讀者不容錯過。

	敦義兄出身窮困農家，父親是白色恐怖受難者，他能一路做到副總統，確實是中華民國歷史上的佳話。他從政生涯清廉自持，有優越的行政能力，而且未聞任何弊端，無論為黨為國，都竭智盡忠，俯仰無愧。也是因為敦義兄出身基層，對地方民意掌握精確，又對民眾的需求瞭解深刻。此外，他也是中華民國政壇史上，從地方民代幹起，資歷最完整的政治人物之一，尤其他清廉自持、勤政愛民、沉穩幹練，更是「青年報國」的典範。這次出版《堅毅之路：吳敦義》，回顧五十年從政生涯，我身為他過去的老同事與好朋友，要特別表示祝賀。我們一路走來，相知相惜，與他共事，我深感榮幸。
	——馬英九（中華民國前總統、中國國民黨前主席）

"
9789573290803,"


誰推倒了臺灣的港版國安法？
	──《刑法》100條修法30週年紀念──
	那是一個瘋狂而失常的年代
	那一年，他走入黑牢，一夜白髮
	從戒嚴到解嚴，從街頭進議場
	他讓所有臺灣人知道，在那人民失語、媒體自囚的年代
	一個好的國會議員可以是什麼模樣
	 

★威權年代這樣當國會議員：盧修一唯一國會奮戰記事
	★還原最真實的歷史場景：從街頭到國會，血淚抗爭臺灣民主的重要史實紀錄
	★獨家收錄50幀臺灣民主史上珍貴歷史影像
	 
	在萬年老賊下臺之前，臺灣人並不知道「國會議員」能為他們做些什麼
	直到30年前他走入國會，揭開這一切的序幕
	 
	本書以倒敘的筆法，序曲即生動描寫當年令全臺灣動容的「驚天一跪」。

	盧修一在臺灣人前的那一跪，不僅是1998年、成立逾10年的民進黨首度一舉拿下過半縣市長的關鍵；也讓更多人發現，唯有握緊手中的選票，才能讓民主成為臺灣人對抗權力最強大的武器。

	然而這些驚天動地、撼動威權的事蹟，其實都來自他在街頭、在國會和許多不為人知的努力下，一一播下的民主種籽。

	一九八三年，留歐歸國的學者盧修一遭情治單位羈押，身陷「二條一唯一死刑」的陰影之中。走過政治犯的絕境，他加入民進黨，並高票當選立委，在對抗威權的道路上站穩腳步。但才剛走入國會，他就發現自己與同志面臨孤掌難鳴、腹背受敵的困境：

	老國代力阻修憲、獨臺會案、援救「黑名單」人士、警察暴力、修廢惡法《刑法》100條、國民黨解凍核四、民進黨遭恐嚇解散、甲考黑官橫行……眼前百廢待舉、亟待革新的國會，正是他不可避免要挑起的千斤重擔。

	「面臨歷史的抉擇，要做魔鬼或是天使，完全在權力者的一念之間。」——盧修一

	這本書不只是一位國會議員的半生傳，或僅僅是一部國會記事。
	它真實呈現了那個站在浪尖的年代的歷史。
	它也完整還原當年國會關鍵法案的變革現場。
	盧修一作為一名國會議員，在風起雲湧的大時代衝上了浪頭，並勇敢對抗降臨在自己身上的命運。

專文作序

	陳芳明（政治大學臺文所講座教授）
	周婉窈（臺灣大學歷史學系教授）
	楊斯棓（方寸管顧首席顧問、《人生路引》作者、醫師）
	陳郁秀（臺灣公共廣播電視集團董事長）

"
9789864779352,"


《生死之間》是柯文哲體悟的生與死，堅持的是與非；
《生死之間2》跟著柯文哲穿梭死亡戰場，重回他奮勇向前的初心！

	-----------------------------------------------------------------
我是柯文哲。
在我三十年的行醫生涯中，生死抉擇幾乎都與葉克膜有關；
葉克膜體現了所有醫學倫理的問題，因為它就站在生死的中線上。
我常說，醫學救命不是奇蹟，而是智慧和經驗的累積。
每一個成功救回的病人背後，都是一連串正確醫療手段的總和；
每一個無法挽救的病人死後，則有許多生者的懊悔與值得探討的課題。
在這本書裡，我想要說更多生與死的故事，
這些經歷是我最重要的生命資產，也是最能為我引路的標竿，
更是我之所以成為我的證明。

	 

	過去幾十年，醫學有兩大進步領域，一是重症醫學，另一則是癌症醫療。我親眼目睹重症醫學的快速進步，有了葉克膜、心室輔助器、器官移植等等創新且突破性的醫療儀器與技術。其中，葉克膜的出現，徹底改變了我對於生死的看法，也讓我必須在許多無奈的人生問題中，找尋解決的辦法。

	在我看來，今天的每一個醫師都像是一四九二年的哥倫布，正航向不可知的冒險。我們終究只能用此刻擁有的的技術救眼前的病人，或許不斷遭遇失敗，但只有面對失敗，才能創造更好的醫療環境──為了未來的病人。

	做醫師做久了，對於很多事情，不再像年輕時那樣看得那麼重，尤其是對於世俗的成敗。年輕時的柯文哲與現在的柯文哲，想法截然不同，因為面臨生死，你會突然發現一個人真正能夠掌握的東西，其實沒有想像中那麼多。過去病患家屬經常問我「手術成功率有多少」、「有多少機率能活」，我很難給確切的數字，因為醫療現場充滿不確定性，生命更是充滿變數。

	我認為，醫療應該是為了解除病人的痛苦，不管是生理的、心理的、還是靈性的痛苦。醫生做的事不只是救一個人，而是解救個人背後整個傷心無助的家庭。

	在醫療這條路上，有時是生命花園的園丁照顧花草，有時是那些花草的枯榮度化了園丁。

	 

本書特色︰
	․動人的生死衝擊與醫病倫理的血淚交織
	 安裝葉克膜對需要的人來說是救命，但對某些人來說可能是場惡夢。生死的抉擇往往落在家屬與醫生身上，如果病人雖然活著，但生活品質不好、非常非常痛苦時，停止治療會是必要的一步，而為家屬承擔決定的責任，是醫生可以做也應該做的事。
	․像CSI現場一樣的葉克膜搶救生命大作戰
	葉克膜協助醫師在死亡的戰場上判斷敵人，確保在最好的狀態下施以最好的治療方法，盡可能挽回病患的生命。好比說，過去碰到猛爆性心肌炎的患者，病患只有死路一條，但有了葉克膜之後，大約能夠救回七成患者。對醫生來說，葉克膜帶來了巨大衝擊。以往交由上天或命運決定的事情，現在可能就在醫生的一念之間。
	․葉克膜引路，深入未曾走過的醫學領域
	 每救一個病患，無論成敗，累積的病例都是厚厚一大疊，這些紀錄裡，有必須視為前車之鑑，永遠不可再犯的教訓，也有可以繼續深入研究，說不定能延伸出全新治療方法的新思路。

	-----------------------------------------------------------------
	台大醫學院榮譽教授朱樹勳
	台大醫院心血管中心主任 陳益祥
	台北市立聯合醫院總院長黃勝堅
	立法委員 蔡壁如  專文推薦

	 

"
9789860763119,"


※《金融時報》2020年度最佳選書
	※《衛報》：「你會驚嘆，拜登一路走來究竟克服了多少障礙。」
	※《紐約客》王牌記者歐逸文巨獻


	他曾從死亡的低谷走過，
	因此，他更懂得尊重、傾聽與妥協。

	“他不會說冠冕堂皇的好聽話。
	但對於哀痛中的美國，
	他能給與一種慰藉，一種療癒的語言。”
	──歐逸文

	在2020年大選中，拜登的民調一路領先，成為歷來所有挑戰現任總統的候選人中最高者。在最後的投票中，憑藉史上最高的投票率，拜登囊括史上最多的票數，打贏了他聲稱的「為美國靈魂的一戰」，當選美國第46任總統。

	然而，雖然他從1972年開始即連任六屆聯邦參議員，是數一數二的政壇長青樹，但在眾多華府人士眼中，他是異類。他口無遮攔、經常失言，且在任何場合都可以滔滔不絕，這為他贏得「喬大砲」的渾名。在副總統任內，他的大嘴巴令歐巴馬的幕僚頭痛不已。

	他對於建立「人與人的連結」有莫名的狂熱，不放過任何一個與人握手寒暄、擁抱摸頭、嬉鬧打哈哈的機會。他與全美國會議員、全球政治領袖的好交情在華府無人能及，但因此也被人譏為濫情、虛偽做作。

	在菁英輩出的民主黨內，拜登的學歷平庸，是少見的沒有常春藤學歷的總統候選人。

	在政治立場上，他自詡保守派，謹守溫和中間路線。1970年代，他支持反動的種族政策，成為他政治生涯中最大的汙點之一。

	他甚至還曾公然說謊，被抓包後倉皇退出1988年的總統大選。那是他第一次參選總統。

	美國人民眼中的「老好人」、「慈祥老爺爺」，
	將以其寬厚的心胸，推動這國家繼續向前。

	另一方面，悲劇般的人生在他身上淬鍊出與眾不同的性格。1972年的一場車禍奪走了他的妻子與年僅一歲的女兒，1988年的腦瘤讓他差點喪命。與死神擦肩而過的經驗讓他嚴重缺乏安全感，但也讓他更懂得珍惜友情，更願意包容與聆聽，即使是面對立場南轅北轍的政敵。

	不幸的是，彷彿命運的捉弄還不夠，2015年，就在拜登考慮是否要參與隔年的總統大選時，長子博伊又因腦癌去世。拜登再次承受白髮人送黑髮人之痛。

	2016年的美國大選不僅是民主黨與共和黨的決戰，也是左派與右派的交鋒、「千禧世代」與「舊建制」的對壘，「新美國多數」與「白人至上」的較勁。一個幾乎已經被兩黨相爭撕裂的國家，再次來到歷史的轉折點。拜登，雖然他始終缺乏柯林頓、歐巴馬那樣的明星光環，也沒有宏大的政治論述或治國藍圖，但正因為他不偏頗極端意識形態，善於溝通合作，被許多人視為團結美國、療傷止痛的最佳人選。

	拜登團隊以第36任總統詹森為楷模。詹森不酷不炫不帥，但卻能在甘迺迪的自由主義理念的帶領下，成功推動「大社會」立法，大幅化解美國社會中嚴峻問題，奠定日後繁榮的基礎。一路走來，拜登相信，溫和、中道、堅定，路才能走得遠。

"
4717702111311,"


《生死之間》是柯文哲體悟的生與死，堅持的是與非；
《生死之間2》跟著柯文哲穿梭死亡戰場，重回他奮勇向前的初心！

	★《生死之間︰柯文哲從醫療現場到政治戰場的修練》
	急重症外科出身的柯文哲，以開刀般銳利的方式剖析自己；
	這本書，是柯文哲之所以成為現在柯文哲的故事。
	過去的柯文哲，在科學醫療中斟酌人性；
	現在的柯文哲，在人性政治中運用科學。
本書特色︰
	․最善感、最真實的柯文哲
	穿上白袍的第一天，第一個病例就讓我終生難忘。一對新婚夫妻，先生碰上工安意外腦死，妻子淚眼汪汪坐在旁邊……忽然間我發現，當醫生不是想像中那麼快樂的事。醫生固然有治療成功的喜悅，卻無可避免要面對病人很可能死亡的無奈︰要剁掉病患的雙腳繼續治療，或是關掉儀器讓他走了；要治療到什麼程度為止，才算夠了？判定死亡是醫生的特權，更是責任。
	․急診室與加護病房裡體悟的生死智慧
	二十幾歲剛當醫師時，我只看到病患；四十歲時，我看著心電圖、病理切片、抽血檢查數據就可以診斷治療，不必也不用看到病人；過了五十歲，我又看到病患了，我看到一個有七情六慾、愛恨情仇和社會糾葛不清的病人，還看到病患旁邊的家屬。我慢慢領悟一個道理，那就是一切只能盡力，但求問心無愧。
	․將「生命邏輯」帶入「政治邏輯」的柯文哲市長
	是人生的種種遭遇和行動，證明了我是誰，決定了我是怎麼樣的人。從柯醫師變成柯市長，我深深體悟，許多醫療問題出在，當醫生不再對病人的痛苦覺得不安；種種社會不信任則是源自，當為政者不再對人民的痛苦覺得愧疚。

	★《生死之間2︰葉克膜的故事》
	在柯文哲三十年的行醫生涯中，生死抉擇幾乎都與葉克膜有關；
	葉克膜體現了所有醫學倫理的問題，因為它就站在生死的中線上。
	每一個成功救回的病人背後，都是一連串正確醫療手段的總和；
	每一個無法挽救的病人死後，則有許多生者的懊悔與值得探討的課題。
	在這本書裡，他想要說更多生與死的故事，
	這些經歷是他最重要的生命資產，也是最能為他引路的標竿。
本書特色︰
	․更多動人的生死衝擊與醫病倫理的血淚交織
	安裝葉克膜對需要的人來說是救命，但對某些人來說可能是場惡夢。生死的抉擇往往落在家屬與醫生身上，如果病人雖然活著，但生活品質不好、非常非常痛苦時，停止治療會是必要的一步，而為家屬承擔決定的責任，是醫生可以做也應該做的事。
	․像CSI現場一樣的葉克膜搶救生命大作戰
	葉克膜協助醫師在死亡的戰場上判斷敵人，確保在最好的狀態下施以最好的治療方法，盡可能挽回病患的生命。好比說，過去碰到猛爆性心肌炎的患者，醫師束手無策，病患只有死路一條，但有了葉克膜之後，大約能夠救回七成的猛爆性心肌炎患者。所以對醫生來說，葉克膜帶來了巨大衝擊。以往交由上天或命運決定的事情，現在可能就在醫生的一念之間。
	․葉克膜引路，深入未曾走過的醫學領域
	新冠肺炎大流行讓柯文哲想起十七年前的SARS疫情。對他來說，每救一個病患，無論成敗，累積的病例都是厚厚一大疊，這些紀錄裡，有必須視為前車之鑑，永遠不可再犯的教訓，也有可以繼續深入研究，說不定能延伸出全新治療方法的新思路。

"
9789865519254,"


金石堂強力推薦書 !

	 

★全球授權25種語言，唯一與美同步中文版★

★歐巴馬第一本白宮生涯回憶錄★

第一位美國非裔總統，他創造歷史、改變世界、也完成自我，更於任內獲諾貝爾和平獎——

在世界動盪、時局紛亂的當下，最需要聆聽他的故事，汲取他的力量

	 

	巴拉克‧歐巴馬（Barack Obama）在備受期待、激勵人心的回憶錄第一卷中，道出一段令人難以置信的冒險旅程，其中的私人細節引人矚目：他從尋求自我認同的年輕人到當上自由世界的領袖，包括他的政治養成和第一屆總統任期內的重大時刻，充滿戲劇性轉變與動盪。

	 

	歐巴馬帶領讀者踏上了精彩又動魄的旅程，從他最初從政的抱負到打贏關鍵的愛荷華州黨團會議初選，見證了基層激進行動主義的影響力之大，左右了二○○八年十一月四日那晚劃時代的大選夜，成功將歐巴馬送入白宮，成為美國第四十四位總統，也是第一位美國非裔總統。

	 

	回顧總統任內，他以獨到而周延的觀點，探索了總統權的範圍與侷限，也以獨特見解，剖析美國涇渭分明的政黨政治以及國際外交上的折衝。歐巴馬帶領讀者深入白宮橢圓形辦公室以及戰情室，進入莫斯科、開羅、北京等地。透過本書，我們能一窺其思路，包括他籌組內閣時的全盤考量、苦思如何解決全球金融危機、忖度俄羅斯總統普丁的盤算、克服看似無法踰越的逆境讓〈平價醫療法〉（Affordable Care Act）在國會闖關、為了美國在阿富汗的戰略與將領起衝突、落實華爾街改革、因應災難性的墨西哥灣油井爆炸、授權狙擊賓拉登的「海神之矛行動」等等。

	 

	本書出奇地私密並充滿內省，講述他敢於翻轉歷史的故事，以及他這個社區工作者的信仰在世界的舞台備受考驗。歐巴馬非常坦率，告訴我們他以美國黑人的身分競選公職，承載著擁抱「希望與求變」的世代對他的期許，以及做出高風險決策時面臨的道德挑戰，他是如何平衡並兼顧三者。他大方吐露海內外反對他的聲音與勢力，生活在白宮對他妻女的影響，也毫不畏懼地揭露他對自我的懷疑與失望。然而他堅信，在美國這個仍在進行中的偉大實驗裡，進步始終是可能的。

	 

	這本優美而有力量的書記錄了歐巴馬的信念，民主不是天上掉下來的禮物，而是在同理心和共識的基礎上，靠大家攜手每天一起努力而成。

	 

【歐巴馬總統於推特發文】
	 

	「沒有一種感覺甚過完成一本書，我以本書為榮。過去這些年，我反思自己任內的表現，在本書，我嘗試誠實交代自己投入總統大選的始末與任內的表現：重大事件以及背後的操刀人；我對自己做對與做錯一些事的看法；以及我的團隊和我必須面對的政治、經濟、文化勢力──那是一股我們國家目前仍在苦苦奮戰的反撲力量。在本書，我也努力讓讀者了解蜜雪兒和我這些年的個人親身經歷，迭盪起伏好不精彩。最後，在我們國家經歷如此巨大動盪之際，本書提供了我廣泛的看法，包括如何癒合分裂的社會，帶領國家繼續向前，以及讓民主適用於每一個國民，這個艱鉅任務，無法只靠任何一個總統，而要靠我們全體公民的參與投入。除了有趣以及內容豐富之外，我最希望本書能夠激勵全國乃至全球的年輕人，高舉指揮棒、提高音量、為追求更美好的世界盡一份心力。」

	 

本書重點

	 

1.看歐巴馬逆轉勝傳奇：歐巴馬親撰，白宮生涯首度公開

	從首位非洲裔的總統到蟬聯八年，歐巴馬的白宮生涯，就是當代美國的縮影。他如何平地崛起，逆轉勝，至今仍深得人心？他首度揭秘，娓娓道來生涯關鍵事件：金融風暴、打造健保、伊拉克撤軍、訪問中國、達成核武協議等，難得現身說法，引爆全世界關注好奇。

	 

2.看歐巴馬從「我」走到「我們」：現在最需要、一本啟發個人生涯與國家處境的書

	具非裔與白人血統、出身平凡且父親早逝，遭遇身分認同危機的他，卻勇敢投身社會運動，積極接受非裔身分，以對非裔之愛，轉為對全美國人民服務之心，進而成為美國第一位非裔總統。在社運風起雲湧的當下，面對每個社會皆有的不平等，無論族群、性別或階級，個人如何在尋求「我」的身分認同、生命意義，如何啟發「我們」共同癒合分裂社會、創造更好未來？歐巴馬的生涯正是的最佳見證。

	 

3.看歐巴馬雋永的文字和說故事的本領：最好看的傳記文學！

	一向文采斐然、充滿魅力的他，道出許多從沒對外說過的內心話。這段精彩的人生，讀來興味盎然。難怪編輯拍案叫好：「史上最好看的政壇回憶錄！」

	 

4.看國際局勢：歐巴馬登上G20大國交鋒舞台，各種折衝角力

	親臨大國角力現場，看歐巴馬怎麼登上國際舞台，和法國薩科齊、德國梅克爾和俄國普丁、中國溫家寶與胡錦濤等人周旋。他怎麼想、怎麼做？本書一解好奇。

	 

5.看中國如何崛起、歐巴馬如何應對：揭開全球化向中傾斜、世界變局之初內幕

	歐巴馬經歷中國崛起過程：列強鼓勵中國融入全球經濟，遂從廉價勞動力來源晉階科技大國，他預見中國成為挑戰美國地位的潛在威脅，試圖鞏固美國勢力範圍以牽制中國，在「合作」與「對抗」之間求取平衡。帶讀者見樹更見林，從國際權力架構回顧大局變遷、透視現今版圖，進而預見未來。

"
9789869934244,"


逝後三日，緊急收錄公開靈言

粉碎中共的野望，守護世界的自由

	 

	台灣前總統李登輝過世了……

	本書內容，是他歸天後的首次發言！

	 

	「現今，香港危機、台灣危機、

	尖閣和沖繩的危機正迫在眉睫。

	日本啊！要做個像樣的國家！」

	──李登輝前總統的聲音正迴盪於世間。

	 

	本書從另一個角度，解析國際情勢與台海危機

	◆李登輝所見之日本人與中國人在價值觀上的差異為？

	◆對於有如納粹一般，向周邊國家展開侵略的中國，各國該如何應對？

	◆繼美中對立之後，會爆發印中戰爭嗎？

	◆繼香港之後，中國將同時侵略台灣與沖繩？

	◆眾所矚目的2020美國總統大選，若川普勝出，可壓制中國的行動？若拜登勝出，則會遭到鯨吞蠶食？

	 

"
9789571394053,"


台灣社會正持續崩壞中

當危機威脅到生存，就應該及時革命

從個人、社會乃至於國家，重建公平與公義

	 

	為何民主未必帶來幸福快樂？為何窮者愈窮、富者愈富？為何台灣醫療水準高，國民健康卻比不上別人？

	 

	前衛生署長楊志良觀察到台灣社會當前的問題：政府施政無能又貪腐，為了選票亂放民粹式的福利政策；權、錢、媒結合，社會資源跟財富愈益集中，貧富差距擴大，階級固化；高齡化與少子化速度愈來愈快，社會及健康醫療保險都面臨破產；用意識型態防疫，造成無辜人命的犧牲，以及經濟的重大損失；種種因素交疊加成，終將引爆生存危機！

	 

	有鑑於此，楊志良決定發起新一波的革命，從國家、社會、健康三大議題切入，提出具體有效的解方：

	‧針對罷免與公投修法，還權於民

	‧公營事業股票全民配股，還錢於民

	‧調漲公立學校學費，資源公平分配給學子

	‧支持稅改，讓社會福利能夠永續

	‧推動第三家庭以因應超高齡社會

	‧重視預防保健，醫療體制更完善

	 

	如果你也關心台灣的未來該何去何從，這本書將為你揭示政治與社會的亂象，以及新冠疫情肆虐全球的影響，並回到實務層面，提出保健、社福、政治制度的改革與重建，以及如何落實分配正義，讓社會福祉的效用極大化，進而讓這個民主國家回歸「民有、民治、民享」的核心價值。

	 

"
