ISBN,書籍簡介
9789866338670,"

這是一本兼顧理論與實務的非營利行銷的學術著作，理論的部份包括：非營利組織行銷、社會行銷、博物館行銷、地方行銷和城市行銷、以及政治行銷。案例分析的部份則包括：慈濟慈善事業基金會策略性行銷的募款策略、太魯閣國家公園管理處的社會行銷策略、台北故宮的博物館行銷策略分析、以及二○○九年高雄世運城市行銷的探討。目前國內公共行政和政策學界雖然不乏深度探討非營利組織管理方面純理論的著作，卻並沒有非營利行銷方面的專書著作，透過理論和實務對話回饋到理論概念或分析架構的驗證與修訂，本書可以彌補在這方面的缺憾。經由這本兼顧理論與實務的研究著作，筆者也試圖將內隱的知識外顯化，提供給實務界人士參考借鏡，彌補當前實證資料的不足，並可以做為相關理論個案教學的研究素材，滿足「精深」的要件，而且符合「廣博」的期待。
                    
"
9789571105703,0
9789862101940,"


二十年專業國會助理經驗分享，了解立法院運作實務必讀

	本書是作者以親身的國會助理經歷，與讀者們一同分享實際國會的運作狀況。從國會助理的生活面到實際法案的執行過關，乃至於國會內部的資源整合與運作，絶對是想要一窺國會內部的你一本不可錯過的好書。

名人推薦

	國會助理從協助立法委員擬立法提案、評估法案、審核預算案、草擬新聞稿、處理選民陳情服務事項，到與新聞媒體進行互動等所在多有。優秀的專業國會助理是如何養成？本書的確提供了擔任成功國會助理所必要的竅門、方法。－－蕭萬長（歷任行政院院長、副總統）

	國會助理的專業素質與影響力，關係到國家的發展與競爭力，因此，國會助理的養成與訓練，絕對是關乎國家進步的重要任務。本書對有志從事政治工作的讀者，提供完整而豐富的資訊與實務說明，可說是一本「國會助理DIY」的專業著作。－－謝長廷（歷任高雄市長、行政院長、民進黨主席與總統候選人）

	我非常驚訝資深國會助理田麗虹小姐寫這本書的功力與用心，可謂包涵國會運作的萬象，內容豐富、文筆流暢、感人。本書是作者服務國會十幾年來的心血結晶，也是國內難得一見、國會助理的百科全書。－－趙永茂（台灣大學政治學系教授、社會科學院院長）

	作者是相當資深的國會助理，她把多年來的實務經驗整理出來，內容豐富且極具實用性，就像立法院的一面鏡子，既凸顯國會助理的多元角色，也映照出立法院的百態，值得有心了解立法院或有志成為國會助理的人，用心一讀。－－黃清龍（中國時報副總編輯、旺報社長）

"
9789577325907,"


 公共價值存在於公眾的生產和生活中，唯有公眾才能決定什麼具有價值；而政府部門可將此視為原則與焦點，提出改善組織的策略，回應公眾的偏好，追求共好的社會氛圍。

 哈佛大學甘迺迪政府學院的王牌教授，「公共價值」理論的創建者Mark Moore引入企業界的管理理念，在提供基本服務及制定政策上，透過「策略三角」架構的應用，回應民眾對公共服務的需求，再進一步發展出「公共價值計分帳戶」及「公共價值計分卡」作為績效衡量的工具，使公私群體建立後續行動、目標及發展適切的準則，創造切合跨部門利益的公共價值。

 為了釐清「公共價值計分帳戶」及「公共價值計分卡」的概念及使用方法，作者以全美各地，不同層級與單位的政府管理者為實例，包括市政府、警察局、稅務局、廢棄物公用事業等，說明他們如何利用績效衡量和管理系統執行任務，希望鼓勵公部門、非營利組織與第三部門等公共參與者持續創新和學習。

"
9789571199696,"

◎能夠輕易理解地方政府與自治的相關理論◎用簡潔的說明方式能快速的記憶重點◎以圖表方式來加深記憶「地方政府與自治」除了是各大學之政治系或公共行政系的必修或選修學分外，更是公務員國家考試高普考及升等考試中，一般民政類科的專業科目；有許多本科系或非本科系的學生在準備上頗顯吃力；再加上相關地方自治法規的通過與修正，更增加了這門科目的困難度。本書乃以圖解的方式，深入淺出的來闡明地方政府與自治涉及的相關學理與法條。
                    
"
9789571198293,"

本圖解系列與坊間的一般圖解書籍不同。坊間許多圖解書籍其實就只是在文字中摻雜一些圖表以及流程圖，但是此套圖解每個單元設定為兩頁，左頁為文字敘述，右頁是將文字敘述轉換成圖表。除了專業內容本身之外，還有知識補充站以及小博士解說，結合現今的時事議題，使讀者可更快速的運用此知識。只要依循著閱讀文字—觀看圖表—記憶內容等三步驟，公共政策的理論再也不會困擾你。本書由淺入深地介紹公共政策，讀者可從本書依序學到下列知識：第一章「公共政策理論」介紹政策科學的基本觀念，包括政策研究的演進、範圍、基本架構，以及學術名辭的說明。第二章「政策分析理論」介紹分析公共政策的不同觀點及其背後的哲學基礎，並對其進行優缺點的評價。從第三章「政策問題認定」到第七章「政策評估」，乃以公共政策階段論為基礎，分別介紹公共政策中關於問題認定、方案規劃、合法化、執行與評估等五個階段中的相關知識。第八章「公共政策新觀念」介紹1980年後的熱門政策議題，如民意調查、新公共管理、全球化、電子化政府……等。
                    
"
9789862356890,"


	 ▎一座進步的城市不是讓窮人也能開車，而是讓有錢人也在搭乘大眾運輸

	黃偉茹（國立成功大學都市計劃學系助理教授）
	──專文導讀

	王啟川（高雄市政府都市發展局局長）
	吳鄭重（國立臺灣師範大學地理系教授）
	林靜娟（國立臺北科技大學建築系專任副教授、中華民國都市設計學會理事長）
	邱秉瑜（專欄作家、《我們值得更好的城市》作者）
	邱翊（臺北城市散步執行長）
	張秀慈（國立成功大學都市計劃學系助理教授）
	眼底城事（「眼底城事」網站平臺編輯室）
	康旻杰（都市改革組織［OURs］理事長、國立臺灣大學建築與城鄉研究所副教授）
	劉維公（東吳大學社會學系副教授、前臺北市政府文化局局長）
	──各界好評推薦

是否想過下列可能......
	用行人廣場取代行車道，並不單純為了生活小確幸或美觀，也許可替商家帶來生意？
	市區交通壅塞，先別急著認定是馬路數量不夠。
	對交通安全來說，說不定汽車車道窄一點，其實比寬一點還要理想。
	行人安全島既阻礙車流，還很浪費道路空間？真的百害而無一利？
	自行車只會妨礙行人走路，又令駕駛閃避不及──但若路上有「夠多」自行車道與自行車呢？
	封路禁止汽車通行會扼殺地方活力、使經濟蕭條？到底是開車族，還是行人與自行車騎士能帶來商機？

	臺灣歷經從農業轉型成工商社會、都市化現象發展為都會化，更從原有北、高二直轄市，增加至今天的一共六都，都市發展的進程看似一路向前。然而，都會區塞車問題、車禍事故頻仍、人車爭道，以及市區停車一位難求等萬年沉痾，從未被真正解決。有沒有可能，癥結其實並非車道過窄或馬路過少，而是上世紀以汽車為主的都市規劃，並未跟上新時代的交通運輸模式，以及當代市民的街道使用習慣？

	半世紀前《偉大城市的誕生與衰亡》作者珍‧雅各眼見汽車都市破壞了街道空間的生機，她曾寫道：｢人行道上的各種人際接觸看似無足輕重、漫無目的、隨性自在，卻是一種從小處改變，促使城市裡的公共生活開始豐富的可能起點。｣本書的真實事例發生在紐約，作者之一是紐約前市長彭博轄下的交通運輸局長珍妮特．薩迪可罕，她受到珍．雅各啟發，將過時的街道空間重新設計並校準，搭配新一代多元大眾運輸選項及新的交通政策，成功解開多年死結──令「大蘋果」成為更宜居、有活力且跟上時代潮流的一級都市。

	二〇〇七至二〇一三年，薩迪可罕推動紐約街道重新設計與交通革新，不畏複雜城市路網與老城的百年包袱，致力於堪稱全球最具挑戰的改造計畫。由作者領軍，紐約交通運輸局的新政策包括：

	★設置數十座行人廣場供駐足或小坐；行人能為街邊商家帶來生意，還路於行人可為城市注入生氣，讓道路不再只為呼嘯而過的機動車服務。
	★將百年壅塞的百老匯時代廣場周邊封路，改作徒步區；結果未發生媒體預言的「塞車末日」，交通運輸局首創以萬輛計程車GPS數據評測該區平均車速，結果比封路前提高7%。
	★推動公共自行車系統；大量自行車騎士成為街道的新視覺焦點，汽車駕駛自動減速，易肇事路段因自行車道事故不增反減。
	★將路邊停車格朝行車道方向外推，在人行道與停車格間設置自行車道；使用最低施工成本與現有道路元素，讓路邊停放車輛作為自行車與汽車車流間的屏障。
	★利用含一半舊瀝青的環保瀝青鋪設馬路，降低運送廢瀝青至掩埋場的碳足跡，也避免負載過重而輾壞路面，更經濟地翻新與養護基礎設施。

	改造後的紐約不但交通事故減少、自行車騎乘量倍數成長，塞車也得以改善。更重要的是，以人為本的新一代街道，讓城市更環保、移動更便利，人與街道的關係也更緊密，男女老幼、攜家帶眷的紐約客現在更樂意漫步街頭、擁抱城市。人潮活絡商機，多處房地產在街道改造後旋即增值。六年建設成效之佳，甚至令彭博繼任者一旦提出再將馬路還給機動車，立刻遭大力反彈。紐約用史上最經濟有效的手段擺脫交通惡夢，創造出環境與機能倶佳的都會，及對行人更友善的交通模式，值得世界各地借鏡。

"
9789571191911,"


	公共政策是一門冶科學、藝術、政治於一爐的科際性專科（Inter-disciplinary profession），其理論與實務所涉及的層面非常廣泛，因此每個人都可從不同的角度探討並論述相關的議題，本書就是此種情況的產物。本書的第一版中，著者將過去在期刊發表的42篇文章，依其性質編入「政策運作階段論」的各個階段內，此些階段為：公共政策總論、政策問題形成、政策規劃、政策合法化、政策執行、政策評估、政策相關議題。而本書第二版再增補「公共政策與行政短論篇」共29篇短文約3萬餘字，係著者在報刊專欄對公共議題所抒發的見解。

"
9789571188294,"


	公共政策已發展成為一個廣闊及跨學門的研究領域。在這領域之研究往往反映著這種廣泛性的特徵，學術研究活動聚焦在政策過程、政策設計、計畫評估、特定的政策議題及一些被簡單歸類為「政策研究」的調查研究。但對於在這領域進行教學及研究的人士而言，這種支離破碎的特性會使人混亂，並感到笨重。 

	在這本最新修正及更新版本的《公共政策入門》，作者Kevin B. Smith及Christopher W. Larimer為公共政策領域提供了一個合理且具結構性的架構，其不僅討論了幾個主要理論，也提出了一個一致連貫的架構來聯結這領域。這樣的有組織及綜合性的途徑處理了一些核心問題與概念，也處理了重要的理論架構、主要的方法學途徑，以及關鍵的爭議與爭論。Smith與Larimer在本書十章中分別涵蓋了次系統的新途徑、政策敘述、行為經濟學與政策制定、執行理論，還有其他新命題。《公共政策入門》第二版是一本有系統研習公共政策不可或缺的教科書。

"
9789577325228,"


	本書是針對非營利組織初學者所撰寫的，特別是非社會科學領域卻關心非營利組織的學習者。相較於多數非營利組織的相關書籍著重在理論的介紹，本書則以較少的理論和較多的實務分析來增加讀者對非營利組織的認識。因此，本書共分為三篇14章，分別從基礎概念、策略管理和實際運作三大面向來介紹非營利組織；尤其是第二篇策略管理部分，則從治理、課責、行銷、募款等議題來進行詳細介紹，以期加深讀者對非營利組織的瞭解。

本書特色

	‧以精簡的文字和多樣個案的介紹，引發學習興趣，是認識非營利組織的絕佳入門書籍
	‧本次改版新增「非營利組織與公共關係」一章

"
