ISBN,書籍簡介
9789860629736,"


美國最新圖解「捍衛戰士」美國海軍戰鬥機武器學校的書籍

一冊在手讓你看懂TOPGUN戰術與培訓方法

超過百張全彩照片介紹假想敵戰機特色

《圖解捍衛戰士》告訴你多年來不知的變遷與發展

	 

他們追求的不是速度，他們追求的也不是榮譽。

他們尋求的是卓越與態度，他們不是別人，正是TOPGUN！

	 

	科技發展的更迭，使得人們不再相信空中纏鬥是飛彈時代需要學習的技能。歷經學習、失傳、再學習的過程，今天空中纏鬥已經成為空戰高手的必修課。即使到了二十一世紀，空中纏鬥依然是戰鬥機飛行員不可或缺的生存之道。沒有了它，你只能任人宰割！

	 

	假想敵訓練現在已經是家喻戶曉的訓練方法，通過模擬敵人的作戰方式，讓飛行員準備好戰技和心理，知道如何與敵人對戰，務求做到知己知彼，訓練出最精湛的空戰高手。

	 

	TOPGUN是全球最為知名的假想敵作戰訓練的培訓中心，他們的事蹟經由好萊塢的傳頌，使得已經成軍超過半世紀的「美國海軍戰鬥機武器學校」至今名氣依然響噹噹！當年TOPGUN所開發出來的訓練方程式，今天已經在美國軍隊內部，甚至世界各國開枝散葉，假想敵部隊永遠是各國軍隊中最優秀的單位。

	 

	坐穩你的位子，本書將帶你飛上青天，從飛行員的角度窺看TOPGUN訓練的種種精彩畫面！

	 

	----

	本書以淺顯易懂的文字，搭配豐富的精美彩色照片，介紹TOPGUN的發展史，以及美國海軍假想敵中隊所使用過的戰鬥機。

	 

	美國海軍戰鬥機武器學校的故事始於1968年的秋天，其成立是出於形勢所需。當時，美國的戰鬥機飛行員不斷地在東南亞的上空被擊落。即便是配備超音速、革命性的空對空飛彈、強力雷達的新型F-4幽靈II式戰鬥機，也無法在當時的空戰掌握完全的主導權。

	 

	因此，美國一組海軍飛行員與雷達攔截官，設法針對上述的缺陷尋求解決方案。當時他們依據《奧爾特報告》的願景，在海軍少校丹彼特森的領導下，研究並成立了全新的「訓練學校」，教授進階的空對空戰術。TOPGUN的第一堂課始於1969年3月3日，至今已經培訓超過4,400名飛行員。

	 

	他們不是在天空追逐彼此的大男孩，而是追求捍衛領空、卓越纏鬥能力的空戰高手。透過持續的調適與超前的洞見，即使是面對新興的威脅與不斷進化的科技，TOPGUN在50年過去後依然經得起時代的考驗。

	 

本書特色

	1.圖片精美、編排合宜，非常適合典藏的圖解作品
	2.專業的寫作，文字簡要，可以讓讀者快速了解歷經半世紀發展的航空作戰大事
	3.深入淺出，完整從起源、過去、現況作全盤的介紹

"
9789578697485,"


	詹姆斯．L．霍洛韋三世（James L. Holloway III）上將以現代的視角審視冷戰中包括韓戰、越戰以及美蘇對抗中的歷史事件、歷史決策以及歷史結局。正是這些歷史鍛造了美國今日海軍的主力戰艦、大甲板艦船以及核動力航空母艦。毫無疑問，霍洛韋將軍是對這段彌足珍貴的歷史最具有發言權的人。作為韓國戰場上的飛行員、越戰中第七艦隊司令、二十世紀七十年代中期海軍作戰部長以及後來的各種調查團體中的總統民間特派員，霍洛韋將軍全程參與了整個冷戰事件。

	 

	書中，霍洛韋將軍冷靜地觀察和思索了當時國內外的戰鬥、戰術以及戰略形勢。他以第一人稱的戰鬥行動敘述方式，表達出緊張的戰場氣氛以及千鈞一髮時刻的指揮決策。從他在白宮與總統的對話中以及在作戰室與參謀長聯席會議成員的會議中，我們可一覽作戰的決策過程。無論是解釋偵察行動的戰術編隊隊形，還是描述海軍首艘核動力航空母艦投入戰鬥的動因，他都能刻畫入微，從而勾勒出冷戰時期一系列對抗行動的珍貴的立體畫卷。

"
9789864413836,"


全球武器大圖解
	軍武與科技密切相關，一覽兩者如何相輔相成，改變戰場面貌
	重裝載具 × 戰將養成 × 軍事科技× 歷史戰事

	縱觀人類歷史，不難發現它儼然就是一部戰爭史。當遠古人類部落之間為了爭奪食物或領土而發生第一次衝突時，也意味著首場戰爭的爆發。從最初的石製武器到今天的核武，由史前的戰士至今日的特種部隊，雖然在裝備、戰術和規模等方面皆持續演進，但透過武裝力量來保護自身的想法卻可能始終如一。

	為了幫助讀者瞭解戰爭的今昔，《How It Works知識大圖解》的編輯群特別集結了四大主題，帶你從「重裝載具」開始，深入探究兼具創意與火力的先進武器；接著，「戰將養成」會介紹各領域的戰士如何成為萬中選一的精英；「軍事科技」則要一窺那些改變戰場面貌的劃時代技術；最後，就讓「歷史戰事」帶大家回顧過去的著名戰役。

	即使戰爭總予人負面觀感，但它並非只帶來毀滅。軍用科技也可望惠及民間，衍生出其他商品，像GPS即為一例──原為軍事用途所設計，現在則能見於車載導航系統或手機導航中。而讓人類得以展開宇宙探索的火箭亦是源自二戰時的武器。戰爭與科技是如此的密切相關，但要如何從中取得平衡，還有賴各國政府和世人的智慧，並從歷史中汲取教訓。

"
9789863772446,"


～向繪師機關槍M.Kelly致意！～
士兵全身行頭插圖大全！收錄逼真的士兵繪製方法！


【為何士兵那麼帥氣呢？】
	◎制服上的金屬扣隨時都要磨得亮晶晶！
	◎鞋子要擦亮到幾乎可以當鏡子！
	◎檢查裝備上的金屬扣環！
	◎不管身在何地都要維持軍人的尊嚴！
	◎褲管要拉得筆直無痕！
	◎不要怠忽槍枝保養！
	◎一定要確認水壺裡的水量！
	◎壞掉的鞋帶一定要立刻換成新的！

	M.Kelly是位傳說中的繪師，
	首寫字母的「M」取自機關槍（Machine gun）。
	他就像一把白朗寧M2重機槍，不斷繪製出既流行又帶勁的插圖，擄獲一大票粉絲的心。
	每翻一頁都有新的驚喜，狂放不羈的濃烈筆觸，
	時而細膩，時而滑稽，在紙上跳著吉特巴舞，
	而且收錄的插畫量之多，似乎將映入眼簾的事物通通畫了出來，
	完全不辱傳奇的機關槍之名！

	本書可說是M.Kelly的畢生心血集結，
	並以圖文解說軍裝方面的穿著規定，
	像是貝雷帽的戴法、水壺的種類與背法、捲起袖子的方式、
	各種軍隊的士兵服裝，細部的知識詳盡到令人跌破眼鏡，
	是研究軍事界時尚流行不可或缺的珍貴資料集！

書中分為五大章節：
	【1960～1975越南戰爭風格】
	【1891～1991最前線的服裝造型】
	【女性士兵與造型「美國女性部隊」】
	【軍服、軍裝插圖大全】
	【時尚要素．戰爭孕育出的設計細節】
	期間出現的軍裝完全以M.Kelly的細膩手繪呈現，
	並加註清楚的圖說，頁面豐富到令人大呼過癮！
	翻開這本書，臣服於老兵那充滿青春活力的軍事插畫世界吧！

本書特色

	◎    傳奇繪師「機關槍M.Kelly」畢生心血作品集！

	◎    完全手繪老兵軍裝插圖，實用＋幽默感兼具，收錄各年代代表性的軍裝，可謂軍事界的時尚伸展台！

	◎    以圖文解說軍裝穿法的規定，外加帥氣士兵和性感女兵加持，成為理性與感性兼具、可充實知識、亦可收藏的經典資料集。

"
9789865568290,"


	權威專家匯整官方文件
	呈現F-104星式戰鬥機可歌可泣的空軍護臺史
	 
F-104戰機在臺海服役歷程中，肩負確保臺灣的空防及國家安全的重任，空軍健兒們枕戈待旦竭智盡忠，犧牲奉獻捨身衛國，將青春歲月留給浩瀚的臺海長空，成為有效遏阻共產主義擴張的重要力量。
	 
	F-104A型戰機，是1950年代美國防空司令部，針對蘇聯TU-4轟炸機威脅下之國防需求產物，擷取韓戰飛行員經驗所設計的輕型空優戰機，操作具傳統機械與電子線控併用；G型機是因應西德空軍總司令的作戰需求下，由美國洛克希德公司所設計生產，在當時可說是集先進技術於一身，尤以裝配「空電四系統」更為先進戰機的先河，創下2.2馬赫速度及10萬呎高度的飛行紀錄，其高速機動之性能，適用於戰略縱深短淺國家之防空作戰，因此，荷蘭、比利時、義大利、加拿大、日本等國均跟進選用。

	中華民國為民主自由的燈塔與基石。1958（民47）年中共發動臺海戰役，企圖於奪下金門後，渡海攻略臺灣，美國為維護東亞和平，及遏止共產主義擴張，讓我國成為最先獲得F-104戰機的美國海外盟邦。
	 
	F-104A型機於1960（民49）年5月17日開始軍援中華民國，1998（民87）年5月22日最後的G型機除役，在38年的服役歷程中，F-104戰機肩負著確保臺灣的空防及國家安全的重任，空軍健兒們，枕戈待旦竭智盡忠，犧牲奉獻捨身衛國，將青春歲月留給了浩瀚的臺海長空，成為有效遏阻共產主義擴張的重要力量，臺灣亦得以在中共「赤燄襲捲」的軍事威脅與困阨環境中，政治發展及經濟建設逐步成長茁壯，此種貢獻非常人所能識解。
	 
	F-104戰機部隊成員，都是空軍的菁英，建立了制度與文化，創造了許多第一。然而，如此先進的戰機，超越了當時的工業工藝技術，單座機超過個人操作極限，除無法發揮其系統全功能外，更易因操作失當而肇致失事。因而更是留下了許多血淚交織的悲壯事蹟，供後人惕厲及緬懷。

"
9789863776475,"


～古今東西戰車圖解百科～
戰車、自走砲、反戰車武器、空想未來武器……
探訪主流&非主流的戰車生態！

	身為著名軍事插畫家的作者，
	以深入淺出的解說，介紹自第一次世界大戰亮相以來，
	體積、威力都歷經大幅成長的現代戰車，以及類似的戰鬥車輛！
	內容包括古今東西的戰車歷史、著名的坦克大戰，
	以及突擊砲、自走砲、戰鬥工兵車等，
	透過系統化的說明，讓讀者認識五花八門的裝甲車輛！

【第1章　各式各樣的戰車】
	介紹各式各樣新舊戰車，以及專為特定功能或目的打造的特殊戰車、利用戰車底盤搭載工兵器材設計出的戰鬥車輛等。
	➔中東王者 梅卡瓦戰車／沙漠坦克大戰／陸戰之王 超重戰車／長矛對決！！長砲身戰車／多砲塔戰車／小戰車「Tankette」／步兵支援戰車／指揮戰車／噴火戰車……

【第2章　自走砲家族】
	自走砲是「能夠自行驅動、行駛的火砲」，並非在戰車車身上安裝火砲，而是為了讓火砲有移動能力，以履帶等戰車的行駛裝置取代輪胎，並使用了引擎。本章將會介紹五花八門的自走砲。
	➔自走砲／反戰車自走砲／驅逐戰車／飛彈戰車／防空戰車／火箭砲戰車……

【第3章　反戰車武器】
	從戰車在第一次世界大戰首度亮相的那一刻起，與其對抗的敵方便產生了反戰車武器與戰術的需求。本章將會介紹反戰車武器及其戰鬥型態的歷史演變。
	➔步兵的反戰車武器／反戰車飛彈／反戰車砲……

【第4章　吾師小松崎茂筆下的世界】
	本章要介紹的是小松崎老師想出來的各種幻想科學武器。作者考證其師父小松崎先生在1940～1945年間於月刊上連載的插畫，經過重新編排後，將這些內容呈現在讀者眼前。
	➔「機械化」的未來武器／夢幻陸軍裝甲部隊／空想德軍武器……

	書中插圖以1960年代日本戰爭漫畫熱潮時期，充滿魄力的畫風呈現，
	搭配詳盡生動的解說，
	帶領各位進入令人雀躍不已的戰車世界！

本書特色

	◎介紹第一次世界大戰～現代的戰車、自走砲、反戰車武器等各式戰鬥車輛。
	◎作者親手繪製插圖，將戰車生動的樣貌呈現在讀者眼前！
	◎收錄各種戰車的趣聞軼事，閱讀樂趣更加倍！

"
9789869563499,"


 橫跨彌生時代到江戶時代，網羅所有日本甲冑種類
 台灣第一本全方位圖解日本甲冑的專業級圖鑑

 【日本亞馬遜讀者★★★★★感動推薦】
 「本書使用大量圖解，簡單易懂。書中的用語集、索引等，讓初次接觸甲冑的人也能立即上手。」──讀者T

 【學術界人士誠摯推薦】
 李姵蓉 文藻外語大學日本語文系副教授
 徐興慶 中國文化大學外語學院院長

 「本書收錄500幅日本名家精緻手繪圖，是理解日本甲冑，探究日本戰爭文化奧祕的一本好書。」──徐興慶，中國文化大學外語學院院長


 自西元前10世紀的彌生時代起，日本人便開始製作甲冑。歷經古墳時代、平安時代、鎌倉時代、室町時代、安土桃山時代至江戶時代，時經2500餘年，甲冑的變化也大相逕庭。從簡單的木製短甲逐步改良，演變為具伸縮性、攻守得宜的鐵製鎧甲。

 本書依時代順序，一步步介紹各時期甲冑的特徵、製材與構造，並透過手繪圖來拆解各部位甲冑，讓讀者更容易了解甲冑的特色與功用。


 【本書特色】
 1.    橫跨2500多年，網羅彌生時代至江戶時代所有日本甲冑種類。
 2.    多達500幅日本名家精緻手繪圖，一眼看盡日本甲冑最奧祕的細節。
 3.    細細講解超過2000個甲冑專業用語，從甲冑流變到構造一網打盡。
 4.    收錄豐臣秀吉、織田信長、德川家康等26名日本名將的國寶級甲冑。

"
9789865661243,"


	戰場上空飛翔的「千里眼」與「順風耳」──無人機

	世界現役軍用無人機全收錄

	各型無人機性能數據、用途詳解

	以600多張精美的無人機展示圖

	呈現出研製、生產、試飛、保養、部署、作戰流程

	一本軍事迷絕對不可錯過的軍事用無人機大全

"
9789866330773,"


※對全球先進戰機從起落架到防撞燈等所有部件均無遺漏地做了詳細介紹。

※當代攻擊機、戰鬥機、轟炸機、直升機、電子戰機、教練機、加油機和運輸機的資料和結構圖。

※匯集了一百多種飛機的作戰性能和武器裝備情況。

	 

	一九四五年以來，隨著世界軍用飛機的構造日益複雜，航空技術成為科學研究的最前線，每一種原型機的出現都成為一個長期的、代價高昂的研發過程。可以說，正是飛機內部結構圖——這些以前只有少數軍方技術人員才掌握的高度機密——使得原本只是概念中的飛機飛上了藍天，並發展成為世界上威力最強大、結構最複雜的飛行器。

	 

	本書匯集了一百多種飛機詳盡準確的圖片，展示了一九四五年以來各個時代飛機的內部構造和外觀設計，對於從起落架一直到防撞燈等所有部件，均無一遺漏地做了詳盡介紹，並使用了配以說明文字的彩色照片。本書還詳細列出了每種飛機的作戰性能和技術參數，對於那些對飛機設計和建造感興趣的讀者而言極具參考價值。

"
9781606335482,"


 美國海軍全部主力戰艦詳細介紹

"
