ISBN,書籍簡介
9789860631708,"


	這本引人入勝的《中國甲胄史圖鑒》，以通俗的語言、專業的論述以及嚴謹的態度，講述了史詩般的中國甲胄發展史，從早期用竹子、藤條等植物製成的原始甲到清朝的綿甲，探索了有史以來偉大兵器甲胄的種類、功能、設計以及發展演變過程，展示了各種甲胄的細節，對軍事、歷史、繪畫、藝術愛好者，甲胄愛好者、研究者以及任何對甲胄的演變和發展感興趣的人都有吸引力，是一部精彩紛呈的甲胄圖文大百科。

	 

【一本有關甲胄的視覺指南，多方位展現中國甲胄發展史】
	◎高清的陶俑、壁畫、出土甲胄圖片。
	◎劉永華教授、復原甲胄畫師劉詩巍的精美手繪繪圖。
	◎函人堂甲胄復原工作室、中式甲胄藝術家李輝提供的精美復原甲圖片。
	◎控弦司提供的明制賜服復原款。
	◎大量高清復原圖可供甲胄復原愛好者以及從事舞臺美術、影視服裝道具等專業的設計人員參考使用。

	 

【立體式展現貫穿中國幾千年歷史的經典甲胄】
	◎將甲胄發展史與歷代戰爭形態的演變、服飾的變遷相結合，完整呈現了中華甲胄的千年風韻。
	◎作者在寫作期間到中國國家博物館、故宮博物院、中國人民革命軍事博物館、陝西歷史博物館、秦始皇兵馬俑博物館、貴州省博物館、寧夏博物館等考察了相關的出土文物。
	◎採訪了秦陵兵馬俑修復專家王東峰，《長安十二時辰》甲胄復原團隊，甲胄復原師何東明、李輝、溫陳華、郝嶺、陳斐孺、宗匠等，他們根據大量實踐經驗、細節，解析了甲胄的奧祕。

	 

"
9789869830737,"


	大多數人聞聽草綠服，馬上聯想起知名軍教電影《報告班長》、《狗蛋大兵》、《黃埔軍魂》等經典電影，國軍穿著草綠服的印象深刻植入臺灣人的印象，甚至是國軍最為精實、有精神的精神指表。不過大家都知道國軍長年穿著草綠服，卻不得而知其中細節以及由來，因此筆者特別出版這本《光輝記憶-草綠國軍映像紀實》，從遷台後的美援到中美斷交後的軍品國造，透過完整的大量照片、以及文字故事，完整呈現國軍整個草綠服時期服裝、裝備、章記的演化，最後與叢林迷彩服作為一個結尾。
	本次製作我們特別邀請《台灣靈異事件劇》的鐵頭「汪建民」參與拍攝喔。
	本書特色:
	1.大量歷史照片、模特兒穿搭照、實體照片
	2.單兵裝備、兵科階級章詳細介紹
	3.徽章配戴圖表、防區識別符號配戴表

"
9789869975049,"


	抗日戰爭結束前後，國民政府的最高中央軍政機關──軍政部，已經踏上自身歷史的最後階段，但同時也處於影響力大增的時期。1946年5月，軍政部正式裁撤，所屬單位大部移編新制的國防部，軍政部長陳誠則接掌首任國防部參謀總長。

	軍政部之所以在最活躍的時刻走向落幕，必須要從軍政部的機構職權、軍政部長陳誠的個人作用、以及國內外政治軍事情勢發展來看。自1945年1月迄1946年5月裁撤前夕，軍政部的歷次部務會報紀錄，就呈現了軍政部在陳誠主持下，如何面對當時千頭萬緒的軍事局面。

	軍事史研究學者劉馥（F. F. Liu）形容，國民政府仿若是由「軍事政府」（military administration）和「文治政府」（civil administration）兩者合組而成，再以軍政部將兩者連接起來。而要理解這階段軍政部實際扮演的角色，則不能忽略部長陳誠所肩負的特殊任務。

	抗日戰爭爆發前，陳誠受蔣介石倚重，出任軍事委員會委員長武昌行營陸軍整理處處長、軍政部次長等職位，深度參與國軍的「整軍」工作，只是還沒有成功，抗日戰爭就已經全面爆發。

	1944年11月陳誠接任軍政部長以後，整軍工作再次展開。他提出的整軍綱要，獲得蔣介石批准施行，成為當時軍政部的主要任務。

	除此之外，在抗日戰爭最後階段，國軍部隊的任務由準備反攻，遽易為部署受降，軍政部的角色也相當吃重。原訂的整軍工作，又須納入廣大的敵後游擊部隊、「偽軍」部隊，問題十分複雜。整軍政策的推動，就在各方爭議聲中，步履艱難地前進，期間還歷經了國府還都、中央軍事機構改組等重大事件。

	讀者透過本書可以一窺陳誠部長任內，軍政部處置整軍、接收、復員、還都，以及各類裝備、軍需（主要為被服、銀錢方面）、兵工、軍醫、人事（主要為榮譽軍人管理、軍事學校畢業員生調查）等工作的決策過程。

	民國歷史文化學社先後整理出版的《抗戰勝利後軍事委員會聯合業務會議會報紀錄》、《軍政部部務會報紀錄（1945-1946）》，呈現了兩個機構在自身歷史最後階段的動態，也是中華民國政治、軍事發展的極關鍵時期。讀者利用這兩部史料，並參照其他資料，綜合考量其他國內外因素、以及兩機關結束以後所屬業務的發展情形，定能更深入地探析近代中國軍事、政治史事的發展。

"
9789869944854,"


	雖然國民政府有在規劃抗戰以後的情形，但勝利還是來得太突然，多數的規劃並沒有真的走到可以實行的階段，所以我們可以看到，勝利後的復員、重建與軍事行動，總是落後一拍。

	　

	從軍隊來看，阿爾發（Alpha）師還在換裝，冰人與白塔（Beta）作戰計畫，預計到1945年12月，才能進攻廣州。於是，作為作戰中樞的軍事委員會，自1945年8月抗日戰爭結束之初，至1946年4月軍事委員會撤銷、國防部成立前夕，一共開了30次聯合業務會議／會報，要來處理軍事上大大小小的問題。

	 

	從這些會議／會報留下來的資料，看到國軍面臨最嚴重的問題，一個是後勤，特別是阿爾發師，換裝美械以後，似乎彈藥使用也比以前多，但是因為後勤跟不上，只能要求部隊自己多帶一點彈藥；一個是「偽軍」改編的問題，國軍中樞的想法是全數解散，認為他們對國家不忠，不能使用，不過，最後還是不得不用。

	 

	另外，國軍在抗戰勝利之後，戰力上的限制也不少。裝甲兵只有從印度回來的3個營，加上接收日軍的9個營，總共12個營，撒在廣大的戡亂戰場上，其實對戰局的影響很有限。而空軍在抗戰結束後，航空委員會雙手一攤，表示運輸機太少，沒有辦法支援軍事空運需求，陸空協同作戰，時間也尚未成熟。

	 

	從這本《抗戰勝利後軍事委員會聯合業務會議會報紀錄》，發現抗戰結束後，各種軍事問題的紛雜，既要配合復員到南京，又要準備改制成國防部，但也是承載著當時國民黨人設想的未來軍事建設藍圖。

	 

"
9789570855999,"


戰爭的傷亡人數不只是統計數字，
從數字背後的脈絡，找出終止戰亂的關鍵戰術


	以下這些問題，都能用數字來解答：
	★ 手機訊號覆蓋率提高會助長叛亂活動？
	★ 接受來自國外的援助計畫，會使人民遭逢更多的暴力行為？
	★ 貧窮地區的人民較支持政府，還是較支持反叛勢力？

	溺亡於地中海岸邊的男孩、奈及利亞森林區域被武裝分子綁架的女學童、伊拉克市集橫屍的民眾、雙子星高樓崩塌時竄入天際的猛烈黑煙……上述影像已經成為我們的集體經驗，象徵著當代戰事對我們直接或間接的影響。

	現代的衝突有別於傳統國家間的大型對抗型態，而是叛亂團體之小規模、地區性的恐怖攻擊行為。這一類的小型戰爭所帶來的死亡人數相當驚人，敘利亞內戰7年內奪走40萬條人命、索馬利亞的漫長內戰造成50萬人犧牲。此外，戰亂導致經濟發展遲緩，讓世代陷入貧窮之中，即使在戰爭後，長期惡化的國民健康狀況也很難迅速恢復。戰爭所帶來的代價實在一言難盡。

	本書利用大數據分析，研究過去20年發生於拉丁美洲、中東、中亞至東南亞之衝突，包括波斯灣戰爭、九一一事件後的阿富汗戰爭等，試圖釐清通信網絡、經濟發展程度、平民傷亡以及國際援助與暴力行為之間的關聯，從異於過往的獨特角度來理解戰場，進而找出能減少傷亡、平息戰亂的最佳策略。

本書特色

	◆ 利用統計方法分析戰場上的大數據資料，由此一開創性作法中，獲得許多獨特的觀點與成果。

	◆ 打破以往大規模國家對抗型戰爭的既有印象，現代戰爭多為區域型的恐怖攻擊式戰爭，書中研究針對現實情況量身打造適切而嚴謹的研究假設與方法，得到的研究結果也能應用於實際戰場之上。

	◆ 戰爭理論大多著重於如何取勝、如何造成敵方最大的傷害，而本書的研究從相反的觀點出發，以降低戰爭的傷亡，將戰爭帶來的傷害降至最低為目標，最終則希望能避免戰爭的發生。

"
9789864783571,"

元明易代下蒙古異族遺落中土。新建立的明朝又是如何處理蒙元多元民族秩序的崩潰？本書透過「山後人」這一歸附軍士的身分，剖析明朝如何透過衛所安置從元末到明前期歸附的北平移民、前元軍民、迤北達子，並剖析他們於明前期政治軍事等各方面的角色。同時考察明初錦衣衞中的暹羅、爪哇、交趾等外國人，從而反映明朝是如何透過衛所軍制吸納多元族群。
                    
"
9789869830706,"


	此書為《中國百年陸軍軍服》的續作，這回一樣透過圖文解說方式介紹抗戰勝利後至1980年兩岸分治後的軍服，與過去不同的是，這次範圍擴增至陸海空三軍，內容更加豐富精采!

"
9789869830713,"


	此書為《中國百年陸軍軍服》的續作，這回一樣透過圖文解說方式介紹抗戰勝利後至1980年兩岸分治後的軍服，與過去不同的是，這次範圍擴增至陸海空三軍，內容更加豐富精采!

"
9789864776160,"


詳盡揭露近六十年來致力研究軍事技術的祕密單位——國防高等研究計畫署
此機構專門設計無法想像的武器，從叢林、太空到網路都是可能的戰場！

 本書陳述美國國防部轄下「高研署」的成功與失敗，其卓越的創新，狂野的設計，並為它蓋棺論定。此機構專門設計無法想像的武器；我們可以看到鑽研國防的科學家為了應對核末日威脅，如何構思出電腦網路，繼而造成網際網路興起；高研署成功研發出偵察衛星、匿蹤飛機、精準武器，卻也曾有過建立太空殺手攔截網、排乾五大湖以建立摧毀粒子束導彈的瘋狂構想。


 高研署在越戰期間開發了落葉劑與世界上第一批武裝無人機，九一一之後靠資料探勘研究引發全美對監控的爭論。阿富汗與伊拉克的戰爭失敗後，在自動駕駛汽車上嚐到了勝利滋味。


 作者採訪了一百多位曾參與過高研署計畫的五角大廈官員與科學家，他們之中有很多人是第一次公開談論與該機構的合作。作者詳讀過全美各地檔案室裡無數的解密記錄、根據《資訊自由法》取得的文件，以及消息來源所提供的獨家資料。這段絕無僅有的歷史是科學、科技與政治衝撞的華麗舞台，令人目不轉睛。

"
9789862942123,"


	二十三年來，陳碧娥（黃媽媽）接過無數通電話，協助處理了上百件軍中人權事件，這二十個個案是她無法忘記，也最希望大家知道的故事。全書取材自黃媽媽多年處理軍中人權案件的珍貴紀錄，加上資深記者李儒林的冷靜筆鋒，每個案件的記述都讓人沉思不已。

	透過這些案件，可以看到二十三年來軍隊與社會環境的變化，使得軍中人權事件也有了不同的樣貌。老一輩的人常說：「孩子若能平安退伍就算是撿回來的。」表示軍隊與外界的隔閡，以及不透明的溝通管道。然而到了現在，許多事件的情況，則是因為軍隊管理對於社會變化的反應不及，或是軍民之間權利義務觀念的衝突。這樣的變化讓人不禁開始思索，我們究竟需要什麼樣的軍隊？什麼樣的國防？

本書特色：

	事件開頭多半是這樣子，一通直撥到手機上的電話，或長或短的求援語句……

	◎ 「黃媽媽，被關的小朋友都是被刑求的，你快點去救他們……」1999年，空軍桃園基地發生彈藥失竊事件，案發後主管機關迅速宣布掌握疑犯，幾個月之後卻出現了「一案雙破，兩個真相」的情況。這起罪證確鑿的軍中刑求逼供案，揭開了什麼樣的內幕，讓黃媽媽第一個就想說出這個故事。

	◎ 「合理的要求是訓練，不合理的要求是磨練」然而不曾中斷的霸凌、不當管教事件，也提醒著我們重新思考「合理」的界線、建立良好的管理制度。

	◎ 每通在不同時分撥進來的求助電話，她都想盡力幫忙，只因為這些事件中都有個「人家的孩子」。

	◎ 取材自陳碧娥（黃媽媽）協助處理過的軍中人權事件，是第一本講述軍中人權實例故事的專書。

	◎ 友軍助陣‧專文推薦
	何榮幸（《報導者》總編輯）
	汪怡昕（紀錄片《少了一個之後─孤軍》總導演）
	黃思蔤（黃媽媽的女兒）

"
