ISBN,書籍簡介
9789578018679,"


臺灣語言學巨擘洪惟仁教授歷時三十餘年語言調查；
	總合語言學、方言學、社會學、地理學的跨領域研究成果，
	獻給臺灣的土地與人民──
	 

臺灣史上第一份，深入臺灣各地的語言調查總報告
	《臺灣社會語言地理學研究》隆重問世！


※附贈A2尺寸「臺灣語言分佈全圖」一張。

	本書為臺灣社會地理語言學家洪惟仁自一九八五年起，歷經三十多年，上山下海深入臺灣各地，實際進行田野調查，並參照臺灣所有語言與方言調查報告及世界最先進的語言分類學與語言地理學理論，進行分析研究的總成果。

	本書分為二冊：第一冊《臺灣語言的分類與分區：理論與方法》闡述當代臺灣語言分類與區劃的理論與方法，並說明其語言分佈狀態；第二冊《臺灣語言地圖集》收錄一○五張彩色精美語言地圖，兼具宏觀與微觀，從各種角度與尺度，鉅細靡遺地呈現臺灣所有語種的分類與分佈。一為理論一為實際，二冊互為表裡，不可分離，合稱《臺灣社會語言地理學研究》（Studies on Social Language Geographic of Taiwan）。

※本書共有二冊，附書盒。

	第一冊《臺灣語言的分類與分區：理論與方法》（簡稱 CRLT）為本研究的理論、方法與概念，針對「社會語言地理學」的意義、「語言地理學」、「地理語言學」的分科、語言分類與語言區劃的理論與方法，及臺灣語言分佈進行簡要說明，並附「臺灣語言分佈全圖」乙張做為參照。

	第二冊《臺灣語言地圖集》（簡稱LAT）為本計畫深入全臺灣各縣市、鄉鎮、村里、聚落，針對所有臺灣現存的語言、方言進行調查或觀察、分析、研究，並做適當的語種分類與地理區劃，利用GIS電腦軟體ArcView繪製而成的彩色地圖集。按區劃層次，第二冊地圖集共繪製臺灣全圖5張，語言州圖7張，區圖21張、片圖52張，地方圖4張，縣市圖16張，共105張彩色精印地圖，並附詳盡的地圖標示說明、「臺灣語種分類系統表」、「臺灣語言區劃系統表」及參考資料。

本套書三大特色

	1.    本書為臺灣史上第一本語言地圖集及其研究專論，紀錄臺灣所有語言，包括閩南語、客語、南島語、華語及少數瀕危語言的分佈狀態。

	2.    本書為世界上最精密、最精細的全國性語言地圖集，精細程度達村里以下的自然村。共105張不同尺度、裝載不同資訊量，以GIS精確定位、彩色精印的共時地圖。

	3.    本書為世界上極少數由調查到地圖繪製階段，均由個人一貫領導完成的語言地圖集，為臺灣首見、世界少見的社會語言地理學研究之成果。

	本研究成果不只為語言學服務，也為其他的領域如歷史學、地理學、社會學、人類學研究服務，或作為語言、文化、族群政策之制定、行政實務、法律判決、人文教育、深度旅遊之參考，可謂臺灣首見、世界罕見的社會語言地理學研究之頂尖成果。

"
9789570854992,"


探索華語語系理論的內在張力與學術動能
	發掘跨領域、跨學科對話的可能契機


	Sinophone（華語語系、華夷風或其他翻譯）一詞已成為當前華人／華語文學及文化研究最重要的關鍵字之一。《華語語系十講》的內容，是以「第二屆華語語系研究國際學術研習營」的十個講座為基礎編輯而成，主題包括華語語系理論論述、文學批評、語言與文化政治、酷兒論述、電影與紀錄片研究、少數族裔文學、原住民文學論述等重要議題。一方面希望介紹這一概念並嘗試將其引介進入台灣學界，特別針對年輕學者，期待他們對該議題有更深度的認識，以擴大其研究視野；一方面也希望藉此機會能對這一概念提出在地的批判性理解，而非全盤地接受。

	《華語語系十講》呈現了華語語系的論述跨越既有學科領域疆界的可能性，無論語言、族裔、政治、社會、區域、歷史、性別、國家與文化層面等等，在華語語系的話語與框架中都得以重新取得新的視域。透過這十講，除了具體體現華語語系研究對於地域、語言、歷史脈絡、文化媒介等差異的強調，同時也期許能進一步帶動國內人文領域學門跨領域的對談，並促進與國際人文研究社群的對話與交流。

"
9789570851922,"


「生成詞庫理論」對於語言學界、AI 人工智慧學界，帶來震撼與深遠的影響。

	美國布蘭黛斯大學（Brandeis University）資訊科學系─普士德耀夫斯基教授於《國際計算語言學期刊》首度發表「生成詞庫理論」並集結成書。

	科技部經典譯著計畫（繁體中文版）由國立臺灣大學語言學研究所謝舒凱教授，挹注大量心力完成翻譯、註釋與學術導讀。

	J. Terry Nutter（《國際計算語言學期刊》，麻省理工學院出版社）：非常值得一讀的書……對於不熟悉詞彙語意學新發展的讀者，本書提供了一個有趣的入口。對於詞彙語意領域已熟悉的讀者，本書涵蓋了一系列嚴肅卻又有趣的問題，並能與其他不同觀點和方法產生有效的互動。

	「生成詞庫理論」是一個嶄新且令人期待的詞彙語意理論，說明了我們是如何透過有限的方式來表達詞彙的無限多義。是目前第一個以生成理論取徑為主的形式詞彙理論，並且在計算語意和組合語意之間找到連結的基礎。

	靜態的詞彙理論認為每一個詞彙都是先由預定好的一組詞義所組成。但是這種觀點卻造成了自然語言處理系統在處理語意成效的瓶頸。相對的，普士德耀夫斯基主張詞庫在語言表徵與處理上扮演著動態與核心的角色。他提出的詞庫是以生成的方式運作。首先，提供了一組可以用來呈現豐富訊息的詞彙集，再透過發展一個架構得以區辨出在這組詞彙之間的細緻差異，最後設計出一組組合運算與生成機制，使詞彙在不同的新語境下產生的新延伸詞義可以依生成理論而理解。

	本書的主題涵蓋了名詞的語意學（前後景名詞、關係名詞、時間名詞等）；致使關係的語意（特別是致使／非賓格、時貌動詞、情態致使等經詞彙化的致使關係）；語意類型對於句法表達的限制（例如類型轉移和誘迫運算）；事件與子事件的形式語意學，以及多義行為的處理等。

"
9789869750974,"


J. L. 奧斯汀：語言分析哲學的重要代表人物、言語行為理論的創始人
	「我願意」、「我打賭」、「我發誓」、「我命名」……
	我們如何以話語來行事？說出一句話就是做出一個行動。


何謂「行事語句」：說話就是行動本身，說某些話就是做某些事。

	例如：
	◎在婚禮上說出「我願意」。
	◎在船頭擊碎酒瓶時說出「我將這艘船命名為伊莉莎白皇后號」。
	◎在立遺囑時說出「我把我的手錶遺贈給我的兄弟」。
	◎我跟你賭六便士明天會下雨。

	奧斯汀的言語行為理論，簡言之就是「說話即為行動本身」，他是這個理論的首創者，對後來語言哲學的發展極具影響。他把過去哲學家只注重語言的陳述性功能和語句結構的研究，轉為注意到言語行為的展現、意義和話語說出時的整體情境。

	當我們做出一個言語行為時，我們是在言說；但要精確的說，我們此時是以什麼方式在言說呢？因為言語的功能以及我們使用言語的方式非常多，在某個意涵下，我們的行為會有極大的差異：是提出勸告、或只是建議、下命令、做嚴格的承諾，還是在宣布一個含糊的意圖？這些都會有極大的不同。

	他依據不同的言語行動而分為三類：第一，「言語行為」（locutionary act），以特定的意涵和指涉說出某個語句，大約是傳統意涵下的「意義」。第二，「發話行為」（illocutionary act），像是告知、命令、警告、許諾之類，具有某種約定成俗力道的話語。第三，「語導行為」（perlocutionary act），藉由說出某些話而引起或達到效果的行為，像是說服、勸服、威嚇、或是令人驚訝或誤導。

	他的理論甚至影響到後續的語用學、文學、應用語言學、社會語言學，以及法哲學、倫理語言等各領域的研究發展。

本書特色

	◎全新中文譯本

名人推薦

	◎楊金穆（國立臺灣大學哲學系副教授）專文導讀

	◆非常值得一讀……此處所選的作品是我們這個時代英國最敏銳而獨創的頭腦之一……牛津大學哲學家，尤其是奧斯汀的神話，這本新書把日常語言用法的細節一次徹底地解析考察。──《泰晤士報文學增刊》（Times Literary Supplement）

	◆奧斯汀對於英語的微妙之處有非常敏銳的辨別力，並且在一種特定的語言情境中，對某種表達而非另一種表達的恰當性極為敏銳。閱讀他的書不僅是一種樂趣，同時也能學習更多有關英語及其正確使用的嶄新著眼點。──《馬薩諸塞州評論》（The Massachusetts Review）

"
9789577631268,"


	語言史上一部重要的經典

	索緒爾被後世稱為──現代語言學之父、結構主義的鼻祖，也首創符號學。
	本書不僅是索緒爾的代表性著作、語言學的入門之作，也是語言學史乃至學術史上一部重要的經典著作，並開啟了語言整體結構研究的新階段，至今已被譯成多種語言版本。

	你現在讀的正是影響二十世紀不少學科(語言學，心理學，文化人類學，符號學)發展的著作。篇幅不大，頁數不多，但是字裡行間的心血結晶卻處處可見。能有機會一窺大師內在的思考與辯證方式，必然受惠良多。

	本書創用了幾個兩元對立性的名詞，成為我們瞭解《普通語言學教程》的重要關鍵，也是主要內容。包括

	1.語言的約定俗成
	2.語言與言語的區別：語言，是社會全體成員中的寶庫，潛存在人們腦中的語法體系；言語，是個人意志和智慧的行為。
	3.符號與指涉間的關係：這也是符號學的源頭。每個符號要與所代表的實體（即指涉）有密切關聯，否則符號本身就沒有意義。
	4.句段與聯想關係的差異：句段關係是指符號的線性排列，或者說「句段關係是在現場的」，而「聯想關係是不在現場的」。
	5.共時與歷時語言的比較研究：內容為本書第二編、第三編。在索緒爾之前的語言學，大都忽略共時語言之蒐集、分析、比較，在研究之後，則可因此與歷時語言比較與擬構。
	6.音位原理：影響了布拉格學派在語音與音韻方面的建構。

	回首歷史軌跡，驀然發現索緒爾的影響至今依然。透過他的學生，把種種問題及思索留給了後人，終於開啟了二十世紀語言學理論的發展。

"
9789570853100,"


以德國古典語言哲學傳統作為研究的對象，涵蓋從18世紀末探討語言起源論的赫德（J. G. Herder），
	到20世紀初為社會心理學建立符號互動論基礎的米德（G. H. Mead）


語言的作用將不再局限於標指事物與傳遞訊息，而在於更深層地開顯世界與協調行動
	思維也將不再離開語言，而得以將一種先於語言邏各斯存在的先驗主體
	歷史—社會脈絡化地落實在一種，交互主體性的溝通共同體中

	林遠澤在本書《從赫德到米德：邁向溝通共同體的德國古典語言哲學思路》，一方面從「歷史比較語言學」的路線（第一至三章），論述從赫德（Herder）到洪堡特（Humboldt）的德國古典語言哲學，如何在亞里斯多德的語言工具觀之外，為語言的語意學研究增加一種具世界開顯性作用的存有學向度；另一方面則從「語言心理學」的路線（第四至六章），闡釋從馮特（Wundt）到米德（Mead）的後續發展，如何在語言表象的作用外，為語言的語用學研究增加一種具行動規範性作用的溝通實踐向度。透過這兩方面的研究，一方面可以使我們不再僅將語言的作用局限在標指事物與傳遞訊息，而是在於更深層地開顯世界與協調行動；另一方面，這個研究也使我們確定思維不能離開語言，從而得以將一種先於語言邏各斯存在的先驗主體，歷史－社會脈絡化地落實在一種交互主體性的溝通共同體中。惟當如此，哲學之語言學轉向的重要性與必要性，方得以在本書中得到真正的說明。

	《從赫德到米德》借鏡《從康德到黑格爾》的提法，闡釋《從赫德到米德》的德國古典語言哲學如何相對於先驗觀念論的意識哲學進路，推動哲學轉向去思考在語言學模式中的溝通共同體理念。本書劃分六章與一個附錄，主要分成兩個部分。第一部分（I）包含前三章，在赫德與哈曼關於語言起源論的爭議中，一種不同於亞里士多德語言工具觀的語言哲學觀點如何產生出來。以及這種觀點如何影響了洪堡特，以至於他會主張作為建構思想的器官，語言不應是成品而是活動。洪堡特最後透過語言的交談結構，解釋在語言世界觀之意義多元主義下，吾人的世界理解如何具有客觀性，這開創了語用學之溝通向度的討論。包括第四至六章的第二部分（II），探討德國古典語言哲學在20世紀初期的發展過程。它始於馮特的研究，因為在青年語法學派將歷史比較語言學轉向語言心理學的研究之後，馮特首先針對語音之語意表達的普遍可理解性問題，深入研究了人類的語言如何能從動物的身體姿態表達，轉化成以表意符號進行溝通互動。

"
9789863446361,"


翻譯不僅改變了我們溝通的方式，也影響著人類的未來……
	聞名全球的翻譯名家從文學小說到流行暢銷歌曲，從納粹審判法庭到二戰軍事解碼，
	剖析「翻譯」如何展現文化的繁複面貌

	 

	【本書特色】
	1. 《紐約時報》、《經濟學人》年度好書，《紐約時報》、《出版人週刊》評論高度肯定
	2. 優秀譯者聯合推薦：
	◎ 多麗絲・萊辛《祖母，親愛的》譯者宋瑛堂
	◎ 喬瑟夫．喬佛《一袋彈珠》譯者范兆延
	◎ 凱薩琳・艾登《熊與夜鶯》譯者穆卓芸
	◎ 米蘭・昆德拉《生命中不能承受之輕》譯者尉遲秀
	◎ 師大翻譯所教授賴慈芸
	◎ 卡謬《反抗者》譯者嚴慧瑩

	【內容簡介】
	● 翻譯只是在尋找不同語言中相對應的詞彙嗎？
	● 為何翻譯文學總是無法呈現原汁原味的原文？
	● 譯者總有一天會被Google翻譯取代嗎？
	● 口譯制度為何源自納粹罪犯的終極審判？
	● 自動翻譯機器的想像與發明，居然跟冷戰競爭息息相關？
	● 《阿凡達》為何是一則翻譯的寓言，講述了人類生存的根本問題？

	翻譯看似是門輕鬆簡單的技藝：只要一本字典，自然能寫下流暢的譯文。然而，本書回顧數十萬年的歷史，告訴你翻譯並非如此。

	本文不僅從上百個例子，破除超過三十種關於翻譯的迷思，更從史前時代便存在的口譯活動，一路談到數位革命持續研發的自動翻譯。作者分享親身經歷，更引用大量文獻，徹底分析翻譯的每一個面向，包括誕生於字典之前的翻譯、歐盟在翻譯上實踐的平等人權、圖書翻譯的全球趨勢，乃至於不同物種之間的訊息傳遞……在全球訊息無時差傳遞的二十一世紀，無論是對人工翻譯或是自動翻譯有興趣，本書都能讓你了解翻譯如何持續改造了日常生活的溝通媒介。

"
9789864964178,"

本書共分三部分：上編書儀的書式與儀體；中編禮法與制度；下編正禮與民俗。共十四篇論文，內容為敦煌寫本書儀、唐代書儀中的單、覆書形式簡析、敦煌書儀中的官場起居儀 、敦煌寫本書儀中的行第之稱，等等。
                    
"
9789864964185,"

本書共分三部分：上編書儀的書式與儀體；中編禮法與制度；下編正禮與民俗。共十四篇論文，內容為敦煌寫本書儀、唐代書儀中的單、覆書形式簡析、敦煌書儀中的官場起居儀 、敦煌寫本書儀中的行第之稱，等等。
                    
"
9789864964840,"

《敦煌語言文獻研究》為南京師範大學教授黃征先生在敦煌文獻語詞研究方面的專題論文集，共收集專題論文三十篇，涉及敦煌文獻整理通論、敦煌語詞考辨、浙江敦煌學研究概況等方面的內容。其中的《敦煌寫本整理應遵循的原則》，分別強調了「尊重原卷」、「不掠人之美」、「尋求確證」、「精通寫本文字符號系統」四個方面，為研究者提供了很好的古典文獻、出土文獻整理研究的原則。《敦煌寫本異文綜析》分別對「因字形關係而引起的異文」和「因字音關係而引起的異文」、「因詞義關係而引起的異文」作了舉例分析，表達了作者對俗字、俗語詞、俗音等的基本認識。《敦煌變文釋詞》、《敦煌俗語詞輯釋》、《敦煌俗語詞小札》、《〈壇經校釋〉釋詞商補》、《魏晉南北朝俗語詞考釋》、《魏晉南北朝俗語詞輯釋》、《釋「接」》、《〈搜神記〉釋詞》等文，是作者在訓詁學上的部分成果，文中體現了「有所發明」、「無征不信」的原則。《「踏破賀蘭山缺」——近代漢語中的一種特殊句式VC₁+N+C₂》、《三字連文論析》是作者在敦煌口語語法研究方面的努力，堪稱「訓詁式的語法研究」。凡此等等，不一而足，為當代學者提供了良好的研究典範。
                    
"
