ISBN,書籍簡介
9789865221515,"

哲學史有名著作之一，在倫理學最為人知且最有影響力。效益主義以提倡「最大幸福」為原則，在約翰．斯圖爾特．彌爾手上得到修正和擴張。彌爾認為：人類行為的唯一目的是求得幸福，所以對幸福的促進就成為判斷人的一切行為的標準。甚麼是真正的效益主義？效益主義如何運用？「道德基礎」的判定基準是甚麼？效用，或最大幸福原理，堅持行動當其趨於提昇幸福者是「對」，當其趨於帶來幸福反面者是「錯」，這一綱領做為道德基礎。幸福是愉悅和不再痛苦；不幸指痛苦和欠缺愉悅。愉悅和免受痛苦，是唯一值得嚮往做為目的之事物；且一切值得嚮往的事物都是可追求的，無論是因於該事物固有的愉悅，或可做為手段以提昇愉悅和規避痛苦。有鑑於彌爾身處年代對於效益主義的誤解，而撰寫此書。這是一本影響深遠的倫理學經典，效益主義時至今日依然是倫理學領域中的主要理論之一，其帶來的意義值得後人深思。
                    
"
9789869889070,"


二十世紀最有影響力的偉大哲學家維根斯坦
	從富可敵國到一貧如洗，心有所愛卻甘願孤獨
	在喧囂動盪的時代鍛鍊內在平靜
	畢生實踐天才之為一種責任

	理解天才最不可錯過的經典傳記

	「翻譯這本《維根斯坦》的大傳，顯示了臺灣翻譯書的水平與遠見。」
	——傅大為　國立陽明大學科技與社會研究所榮譽教授

	二十世紀有許多偉大哲學家、思想家影響今日世界深遠，其中，路德維希‧維根斯坦更被譽為天才中的天才。他的著述，直接促成了英美分析哲學的成立，開創日常語言哲學的流派，讓人得以用無比理性且明晰的技巧，掃除思想上的迷霧。但另一方面，他的思想與精神卻又充滿文化氣息與前衛創造力，崇尚藝術、文學、音樂，並帶有濃濃神祕主義色彩，對道德與信仰有著莫名敬畏，可列於叔本華、齊克果、尼采、海德格的系譜之中。

	他的內在之所以如此繁盛，與他的成長、環繞周圍的友人，以及他所處的時代息息相關。維根斯坦家族富可敵國，資助無數音樂家、藝術家、建築師與詩人、作家，他個人卻亟欲脫手家產，想靠最實在的肉體勞動來滿足生活。求學時，他曾為羅素的學生，卻青出於藍而自立門戶，最終竟想顛覆整個哲學、數學、美學、心理學的基礎，甚至與圖靈激烈爭吵過，只為辯論世間真理。他有天才的乖僻與固執，就連好友凱因斯與摩爾都退避三舍；但他也渴望天真的友誼與純粹的愛情，為此嘗盡孤獨。可以說，他的思考，就反映了他生命中感受的、面對的一切。

	《天才的責任：維根斯坦傳》以豐富資料與感性優美的文筆，詳實描繪出這位哲人飽滿的生命，呈顯了這顆獨特的心靈，是理解維根斯坦最經典且權威的著作。書名「天才的責任」（the duty of genius）具有雙關意涵：乍看會以為是指天才有別於常人，所以天才另外肩負獨特且重大的責任。但是，孟克筆下的維根斯坦告訴我們，那實際意味著「天才之為一種責任」、「一種名為『天才』的道德義務」——成為天才，並非一種遙不可及的幻想，反倒是人之所以為人的責任，與我們每一個人都息息相關。

本書特色

	＊　二○世紀最有影響力的哲學家維根斯坦最權威的傳記，也是通往維根斯坦思想核心的大道。以生動的筆調，寫人物的一生，同時也是寫十九世紀末、二十世紀初的歐陸社會與時代風氣。

	＊　收錄六十張維根斯坦生平照片，獲得英國劍橋大學維根斯坦檔案館授權，極為難得罕見，橫跨哲學、數學、藝術、建築、音樂等數種領域，呈現天才不凡且極為豐富的一生。

	＊　感性優美的文字，極度豐富的資料，不只讓讀者與「天才」沒有距離，更讓人認識到「責任」的意義，無論哲學研究者或是一般讀者大眾，都能樂在其中。於當今時空閱讀，更具啟發。

	 

平裝版設計理念

	＊《天才的責任：維根斯坦傳》平裝版分為上下兩冊，封面顏色分別是藍色與棕色，象徵著記錄了維根斯坦哲學方法的兩本重要書籍《藍皮書》與《棕皮書》。

"
9789865222642,"

《我的哲學的發展》（MyPhilosophicalDevelopment）是羅素（1872～1970）寫於1959年的一部著作,是羅素自己哲學思想發展的一個回顧及對自己哲學思想的總結。他很重視自己在1914年和懷特海合著的《數學原理》（三卷本）一書的成就。他在本書建立了邏輯主義數學體系，旨在把整個數學歸結為邏輯學，重點敘述《數學原理》的基本思想，也作為研究羅素哲學思想的第一手材料，有其特殊的價值。二十世紀當代的許多哲學家和哲學流派受羅素影響最深的要算維根斯坦哲學以及整個邏輯實證主義學派。
                    
"
9789577632791,"

跟隨諾貝爾文學獎得主羅素的腳步，一起思考：「人類應該如何做，才能夠過著比較美好而幸福的生活？」本書是羅素在1950年獲得諾貝爾文學獎時，同年出版的著作，共分十二章，收錄1950年及之前十來年羅素所寫反思人類社會種種問題的文章。原書名是《非大眾化論文集》(Unpopular Essays)，為求淺顯通俗乃取第三章的標題〈人類的將來〉做為書名，從文中我們可以看到羅素對當時世界情勢的關切，字裡行間洋溢著羅素冷靜的睿智、犀利的膽識、熱情、智慧和勇氣，透過深刻和嚴密的分析，揭開問題的核心，並希望未來的社會，人們能透過良好的哲學思考素養，輔以良好的教育內容，建造一個美好而幸福的未來社會型態。
                    
"
9789863923282,"


■ 入選《牛津世界經典》，日本奉為「明治時代的聖書」

	本書在一八五九年出版，上市以後立刻引起強烈迴響。英國、法國、德國、西班牙、丹麥、美國、日本、俄羅斯等國爭相出版，不斷重印，被公認為現代成功學的開山之作。塞繆爾‧斯邁爾斯的成功學著作，對後世產生深遠的影響，成為世界各地尤其是歐美年輕人的人生教科書。

■ 彌爾《論自由》、達爾文《物種起源》並列歐洲三大巨著

	成功不可能一蹴而就，夢想不可能唾手可得。年輕的我們曾經迷茫，也有不知所措的時候，有執著，有遺憾，有求而不得……在這本書中，我們以「青春」和「夢想」兩個主題，作為引導全書的主要線索，講述年輕人在青春時期遇到的問題，以及要怎麼解決，並且論述年輕人應該抱持什麼心態和養成什麼習慣，才可以追逐自己的夢想。

"
9789864778959,"


關於生命、宗教、愛與藝術等永恆課題
22篇既宏觀又微觀的雅緻散文
給在人生長途中追尋意義且渴盼引領的你

	歷史唯一的必然是衰亡；生命唯一的必然是死亡。
	歲月逝去的悲劇是當你浪漫地回頭觀看過往，你只見人類的苦難。
	我們無法讚美人生，因為過往早已拋下我們。
	如果有誰歌頌了生命，即便它並非如歌般美好，
	也只是我們渴望再次尋回虛無和不朽靈魂中更美好的一面。

	《落葉》是經典歷史鉅著《世界文明史》、《西洋哲學故事》作者威爾．杜蘭所留下的最後遺作。杜蘭曾說，總有好奇的讀者詢問，敢不敢就人生和命運這類永恆問題談談他的個人看法。而《落葉》正是他對這個挑戰的回應。
	他以黃色便條本充當稿紙，在人生的最後階段，即使年逾九旬，仍每日寫作這本書。直到杜蘭辭世三十二年後，才由外孫女在家中閣樓的一只皮箱裡，發現這部失蹤多年的手稿。
	書中綜論各種課題，從人的年輕、老年，到宗教、道德、性愛、戰爭、政治和藝術。是杜蘭鑽研哲學、宗教、藝術、科學和世界各大文明六十多年的結晶，表現一位非凡學者的最高智慧，向世人展現歷史足資為今日所借鏡。

"
9789865221102,"


	本書除了闡明與宣揚在《人性論》第一與第二卷中沒有表達完整的哲學改造計畫之外，更增添了有關自由意志、神蹟的討論。休謨藉由本書的撰寫，逐步執行如下的哲學改造計畫之程序：從摒除自形上學預設出發的思辨哲學開始，接著承認與接受人類理性受限於感官經驗的有限性，並改從觀察與經驗出發，以試圖描繪人類如何受感官經驗的影響，繼而形塑了人類自身的認知傾向，並探究在這項認知傾向的基礎上，人類如何在受限於感官經驗的理性能力之下，展開了與外在世界事物有關的知識之探求。

"
9789577639127,"

維特根斯坦：「我不希望我的書使別人省去思考。我願它能激發任何人自己去思想。」維特根斯坦是具有極為深厚的文化素養的學者型人物。他對人類生存本質的深刻感知，以及他在理智上的特殊天賦，使他在哲學上達到了其他哲學家難以企及的深度。1936年前後，在挪威森林裡的小木屋中，維特根斯坦對自己從前的哲學思想進行了反思，他放棄另一著作〈邏輯哲學論〉中所持的以邏輯規則為意義標準的思考方式。提出「語言——遊戲」的觀點，批評其前期有關語言、心靈和世界的思想，提出相關的新的理解，認為語言、心靈、世界三者之間的一致關係發生在語言之內，而非語言之外；並對哲學的本性做出了全新的詮釋，斷言哲學研究就是語法研究。本書是維特根斯坦後期思想的集大成之作，也是20世紀最重要的哲學著作之一。維特根斯坦在思想的最深處進行艱苦的探索，在這個深處，所有端緒都密不可分地互相糾纏；在這深處的任何一點兒辯正，都會對思考其他問題產生巨大的調整作用。所以，儘管維特根斯坦在這本書裡基本不談論宗教、文學藝術、政治、法律、社會學、教育、人生，在其他地方也很少直接談論這些話題，但他卻對所有這些領域的思想產生了巨大影響。-------節錄自〈導讀〉
                    
"
9789862488744,"


◎繼《為了活命，你會吃人嗎？》《機器人會變成人嗎？》，彼得．凱夫回歸初心，帶來「機器人三部曲」最終回
◎朱家安名詞審訂，亞馬遜4.6顆星好評推薦

	動物懂愛嗎？──草泥馬或田鼠懂不懂愛無所謂，你懂不懂愛比較重要。
	人人都會幸災樂禍，但幸災樂禍不對嗎？──幸災樂禍其實是慶祝人人平等。
	追求完美的另一半、最陳最香的酒，有何不可？──有時候，知足是更好的選擇。

	情與法、慈悲與正義放在天平兩端，該如何取得平衡？
	到底該不該施捨流浪漢，就算我們心裡為難？
	當自己的原則與現實衝突時，該如何抉擇？

	哲學老頑童彼得凱夫這次回歸初心，從小愛如男女情愛，到大愛如施捨與慈悲，透過33道哲學難題，帶我們回歸初衷，對抗蠱惑，找回自己在世界的定位，看見人性的美好。

本書特色

	■不斷動腦的閱讀體驗：作者將邏輯思辨過程，透過故事或對話的方式呈現，讓讀者看到哪，思考到哪。加上獨特的幽默筆調，提供讀者驚喜不斷的閱讀體驗。

	■深度與廣度兼具的哲思啟蒙讀物：本書介紹許多經典邏輯悖論與論證，及相關學術領域理論，包括「歸納推理」、「語言分工」、「共同知識」、「錢汞效應」、「肯定前件」、「自然權利」，主題囊括道德、政治、宗教、法律、倫理、形上學…等，作者以有趣的故事和謎題來呈現哲學知識，適合初探哲學領域的大眾讀者。

	■打破侷限的非線性閱讀：每篇結尾都有「超連結」設定，列出相似主題的其他篇章，讀者可以藉此建立「閱讀專用迴路」，讓你思考不跳電！

"
9789577635273,"


歐洲歷史上第一部專門論述認識論問題的著作


	洛克是西方唯物論發展史上的一個重要環節。

	這部書從1671年寫起，直到1687年才完成，在1690年出版。論述的是認識論問題，是洛克關於經驗論的哲學著作，主要在探究知識的性質和人類探究真理的能力。在西方哲學史上曾經發生過承前啟後的作用。

	他首先批判了笛卡爾主張知識起源上的所謂「天賦觀念」以及萊布尼茲的所謂「天賦實踐原則」這樣一個在認識論上的唯心論觀點，並且從而提出認識的唯一來源是經驗的唯物論論點。全書分為四卷：第一卷，首先解釋了自己使用的「觀念」一詞的含義後批評及揭露當時「天賦觀念論」的根源及危害；第二卷，系統地探討了知識的起源等問題，集中論述了兩種經驗論、性質論和觀念論，主要研究作為知識來源的「觀念」，說明「實體」、「樣式」、「關係」這些複雜觀念是如何形成的；第三卷，考察語言和思想的關係，關注的是「話語」，闡述關於「概念」的學說、「名義本質」與「實在本質」學說；而第四卷，探討的是知識的等級、確實性和範圍。洛克論述了知識的對象、等級和範圍，並且著重論述了真理問題，提出自己關於存在的知識的看法，最後，把科學分為物理學或自然科學、實踐科學、標記科學三類。

"
