ISBN,書籍簡介
9789571374819,"


科技社會學權威、《在一起孤獨》作者
————雪莉．特克Sherry Turkle————
最新力作

《在一起孤獨》揭露了科技帶來的人際疏離與困境
《重新與人對話》則揭示了要如何與你自己、與你摯愛的人們充分連結

讓你找回話語真正的力量！
本書將是數位時代幫助你肯定自我，修補人際、職場、家庭與情感關係
最具效力的「對話療法」


▌我的屋裡有三把椅子，一把方便獨處，兩把供促膝談心，三把為社交需求。————梭羅Henry David Thoreau，《湖濱散記》（Walden）

	梭羅的三把椅子形成了一種良性循環，
	把對話和同理心及自省力串連成一個正向的迴圈：
	我們從獨處中找到自己，和自己進行真誠的對話。
	當內心感到安穩，就能夠傾聽他人，認真聆聽別人的想法。
	在與他人對話後，我們也更善於進行內心的對話。

	科技所破壞的，正是這樣的良性循環————
	想要重新發現自我、愛得更深，就必須找回「與人對話」的能力。

	＊

	身處數位時代，我們看似每天溝通，
	但其實透過手機躲避了面對面的交流，談話時永遠神遊他方。
	我們追求一心多用的幻象，以為自己兼顧了所有，卻迷失其中，
	忘記如何解讀他人的情感，再也無法專注於自我與他人間的關係。

	逃避對話所付出的代價隨處可見：用餐時，孩子和手機爭搶著父母的關注；
	交談時，只要碰上尷尬的沉默，我們就拿起手機切換聊天對象；
	談戀愛時，戀人已讀不回訊息，隨即使你遭受「比現實世界的冷落難受五倍」的感受；
	工作時，與其約見面、打電話，我們寧可窩在螢幕前敲鍵盤；
	上網時，我們只分享多數網民認同的觀點，避免真正的衝突與討論。

	我們隨時在線、收發訊息，卻發現科技無法解決孤獨的問題。
	我們用手機解決對無聊時刻的不耐，於是漸漸失去獨處和自省的能力；
	我們拒絕無法預測的談話溝通，抗拒處理關係中伴隨而來的失落、憤怒與悲傷，
	於是失去聆聽和同理的能力，甚至失去愛的能力。
	我們傷害彼此，自己並未察覺，也不覺得懊悔。
	即使同理心和人際關係受損，我們仍然依賴別人來肯定自己。

	媒體研究者雪莉‧特克擷取三十多年來在家庭、課堂、職場上的訪談，
	探索數位文化可能衍生的煩惱，以生動淺顯的口吻帶領讀者檢視現代人的困境，
	就內在自我、家庭、友誼、愛情、教育、職場等不同領域及心理層面，說明對話的重要性。
	為了同理對方感受、愛人與被愛，充分地了解及投入周遭的世界，
	我們需要面對面的交流與談話，需要眼神的交會與凝視。

	這種默契交流的瞬間，
	使我們能把人性中最好的一面──愛的能力──從一個世代傳給下一個世代。
	當我們為彼此騰出對話空間，深刻健康的親密關係才有建立的可能，
	而現在正是重新尋找自我的時刻。

"
9789578654341,"


人類為何互相傷害，又何以彌補傷痕?
 四個偉大而獨特的心靈，討論愛、暴力、和平，以及人性的本質。

  

 本書完整收錄托爾斯泰與甘地，愛因斯坦與佛洛伊德珍貴、且罕為人知的往復書簡，具體呈現四個偉大而深沉的心靈，在議及人性本質時的獨特看法——

I. 托爾斯泰與甘地 談自由
 一九○八年，哥倫比亞大學教授暨印度獨立倡議者達斯致信俄國作家托爾斯泰，尋求這位著名的公眾知識分子對印度脫離英國殖民統治的支持。托爾斯泰當時年屆八十，對此來信甚為感動，便以題為「致一位印度人的信」回覆，具體表達他的支持立場。時年三十九歲、人在南非的年輕甘地後來輾轉得到此回信副本，於是聯繫托爾斯泰，就此開啟兩人忘年的持續互動。

 在數封書簡往返中，年輕的甘地真切流露出急於改變印度人民處境的激昂熱情；托爾斯泰則以年長智者之姿，援引印度古老智慧，闡述他對普世之愛與非暴力抗爭的獨特觀點，呼籲以愛為根本，以理智視清真相，勿受蒙蔽，鼓勵甘地爭取不受奴役的自由。這段交流持續到托爾斯泰隔年辭世為止，而他在信中闡述的態度，正是影響甘地日後帶領印度順利脫離英國統治的核心精神。

II. 愛因斯坦與佛洛伊德 論戰爭
 一九三一年，愛因斯坦受位在巴黎的國際智力合作委員會之託，由他出面邀請傑出人士，就世界政治與和平議題進行跨界思想交流。愛因斯坦選擇了當時研究仍具爭議的心理學家佛洛伊德。愛因斯坦提問：「是否有任何辦法，能讓人類擺脫戰爭威脅?」。

 而對如此大哉問，佛洛伊德以心理學家的立場，從人性本能的侵略及破壞特質切入，解析人類發動戰爭的成因，同時也從歷史角度探究促成群體聚合與崩散的重要因素。他認為，肇因於天性，人類的侵略傾向不可能遏止，但在如此冷靜且犀利的剖析下，他也認為，與之對立的愛欲本能、所有讓人與人之間產生情感牽絆的因素，必能用於化解戰爭。

 這些信件不僅代表這四個偉大心靈的思想精粹，也是一場永難再現的交會。對於人性的良善與邪惡、疏離和同理、殘酷及慈悲，這四位智者與仁者的獨特闡述，值得現代人細思其深邃真義。

"
9789865823313,"


收錄郭松棻保釣活動現場照片及手稿

	一九七一年春，美國北加州中國留學生保衛釣魚台運動啟動，當時郭松棻是柏克利加州大學比較文學研究所攻讀博士學位的一名學生。

	輯集在此的論述，除一九八五年〈保釣追憶錄〉外，都寫在一九七○至七四年間，近五年的集中書寫時間正是他積極參與釣運的時間。

	全書主要按發言、刊登，和下筆時序排列，小部份按內容匯編﹔收集在首輯中的宣言與刊物紀事多屬由作者總執筆的集體協議。這些文字有其特定主題和歷史時空，與當時行動同時、同地、同步進行，實可視為二十世紀七○年代第一波釣運的第一人稱現場紀實和文本敘述。

	編年形式或也能明示隨運動的進展作者思路的逐步演變，見於對運動的民族性問題、國土統一或獨立的看法，以及主題從保釣延伸至台獨運動、國際形勢、女性主義、自由主義等不止。而所有這些作者的尋索都指向一個中心或心中的圖嶼，就是他的故鄉，台灣。——李渝

	他總是以這樣不斷反思與批判的態度來界定自我與審視人間，所以才會以行動後的安靜來註記那段為了追尋理想的國度而將青春焚燒的歲月，也因為「自我否定性」的精神貫穿著他的追尋，他才會在保釣運動之後，選擇以哲學的探索和文學的鑄煉來接續存在的叩問。這也是今天在重新翻讀這些歷史的踅音時，因為理想主義者不想苟且與屈從，所以我們可以清晰地聽到，人性的爬昇在現實的複雜和苦難裡所產生的迴響。——簡義明

	「我們不依附任何當權的政黨的政策，我們不把知識販賣給政權。」
	七○年代擲地有聲的沉痛呼籲，捍衛思想自由，不向權勢低頭。

	本書收錄郭松棻關於保釣運動所有論述，對台美日關係分析亦有相當篇幅。依文章發表先後次序分三部分：宣言與刊物記事、釣運論述、政治評論與國際瞭望。首篇〈中國近代史的再認識〉發表於1970年5月，其中許多文稿發表後未經收整，亦有許多未發表文章，經李渝教授、簡義明教授細心整理修訂，還原郭松棻當時寫作全貌，極為難得。保釣運動在七○年代影響台灣知識界、留美華人極其深遠，做為旗手的郭松棻竭盡心力所要講述的究竟為何，他所奉獻年輕歲月而要傳遞的是怎樣的行動思考，從本書中可窺豹一斑。

"
9789865823566,"


	釣運有其政治現實和吶喊，也有其精神領域和深思，可以是愛國衛土活動、民族主義政治事件，也可以是措探和定位自我的旅程，收集在這裡的文字或能顯現運動的這些多重意義和作用。論者談及郭松棻退出釣運的原因，多指出一九七四年旅行中國大陸造成的反面衝擊，文集或也能延展這樣的觀點，把視線從表層引向內裡，看見不懈的追究和深化的思想，從而明白了不只是一次旅行，更是長久的體念和澄清，才能促成總結性的回歸文學的抉擇。──李渝

	這本郭松棻文集哲學卷的編纂與整理，是作家龐大哲學手稿的起步，也是我們重新進入作家小說世界的另一個路徑，在這些文章中，我們讀到了一個深思遠慮的理想主義青年的苦澀與早熟，也讀到了從澎湃喧鬧的政治參與中回到經院世界探索哲學，蓄積思想的靜謐身影，一個對自己不曾鬆懈與妥協的靈魂，必定在許多思想的危峰中不斷攀登與擺盪，我認為，對理解像郭松棻這樣的作家而言，重點不在他是否鑄造了一個完整的哲學體系，或者對現實世界的困頓找到解答，而是每一次、每一類型態的書寫，都像是對社會與體制的種種提問。至於哲學與政治回答不了的問題，郭松棻選擇用小說做最終的回應與拚搏。──簡義明

"
9789574854561,"


	一道高牆，築成兩個世界，牆內的人都是不討喜的、因違法而被收容的人。監獄，是矯正機關，執行法院判決確定的自由刑──有期徒刑或無期徒刑的單位。而時不時躍上媒體的監獄意外事件，令監獄在管理受刑人時的尺度拿捏上格外小心；也因這些事件，令監所內的人權問題浮上檯面。本書作者實際觀察我國監獄矯正執行現況，再就目前的各項矯正法規，逐一檢視，配合實際監獄矯正執行操作現況，以實務執行現有法制的障礙、矛盾、不當等層面，依據各項矯正法學理論，以及與世界矯正規制比較，提出我國矯正執行法制的研討及建議報告，編寫成書，以供立法者及實際執行公務人員參考，共同為我國矯正執行體制，做出符合監獄人權及有效率地改造收容人思想的法制規範。

"
9789861275604,"

啟發思想的雋永傑作，凝練智慧的傳世典籍，影響人類最巨的傳世奇書，用鞭辟入裡的精妙觀點，為人生處世指引方向。　　人類思想史上最重要的傳世典籍：《君王論》、《孫子兵法》、《智慧書》，凝練了千百年來的處世智慧。《君王論》對世界政治思想和學術領域都有著極重要的影響；《孫子兵法》文辭精闢，內容精博，被奉為「天下第一兵書」；《智慧書》由三百則箴言警句構成，使後世之人行為處世得以奉行依歸。本書集結此三部有史以來最偉大的經典作品，紀錄大師的智慧之語，讓讀者有機會了解智者的哲學思維。

"
9789861273501,"

大師說的從不含糊，只是你沒有認真聽清楚！三本不朽的傳世奇書，紀錄大師鞭辟入裡精妙觀點，閱讀大師的智慧，聆聽智者的教誨，影響人類最巨的天才語錄，助你扭轉錯誤思維，走上成功道路！《君王論》、《孫子兵法》、《智慧書》三部偉大巨著，凝練千百年來的處世智慧，是史上最重要的傳世典籍。《君王論》對整個世界的政治思想和學術領域都產生了極重要的影響；《孫子兵法》文辭精闢新穎，內容精博深邃，被奉為「兵學聖典」；《智慧書》由三百則箴言警句構成，使後世之人行為處世得以奉行依歸。本書集結此三部對人類影響深遠的經典作品，再現智者永恆的思想結晶，讓讀者重新咀嚼大師的智慧之語。
                    
"
9789573071051,0
9789576835971,0
9789579563628,0
