ISBN,書籍簡介
9789865202200,"

本書特色◎豐富圖示說明，有效理解電學概念◎各章皆附課後試題，提供考生充足練習◎近年試題彙編，掌握考試命題趨勢電子學是一門基礎科目，相關科系中的各學科多少都可以見到它的影子，對於未來有志在電機電子各個領域發展的同學們來說，如果電子學基礎沒有打好，以後想要在這個領域更進一步的話，將會是莫大的阻礙。依筆者的經驗，同學往往會因為對半導體元件特性的不熟悉，進而對其電路架構不了解；筆者以淺顯易懂的理念來撰寫本書，希望可以用最簡單的方式，讓同學在面對題目時，可以輕鬆地知道解題方向。電子學高分準備方法1.對於基本題型一定要熟練，是分數的基本來源。2.二極體、BJT、FET元件特性一定要熟知，此類元件特性年年必考。3.二極體的應用電路要完全熟練，如果出現類似考題，是一定要得到的分數。4.電晶體的小信號分析、直流分析年年必考，計算能力要爐火純青。5.邏輯閘電路之判斷的題目，是每年出題的常客，需要特別注意。6.考古題儘可能多做，如此可以抓到一些出題的方向以及對題目熟練度的提升。
                    
"
9789865592196,"

捷運招考第一品牌「三民輔考」推出中捷考試新書！市面唯一推出臺中捷運招考【國文／英文／數理邏輯／捷運法規及常識】考科15天速成專書！收錄大眾捷運法規＋台中大眾捷運系統相關法令規則與辦法！三民輔考出版捷運招考用書已累積多年經驗，年年改版最新考試用書，每年協助大量考生成功考進捷運公司服務。這本臺中捷運招考四合一15天速成包含共同科目（國文、英文）及綜合科目（數理邏輯、捷運法規及常識），適用於以下台中捷運招考類別的考生：．運務類組-站務員。．原住民類組-站務員。．身心障礙類組-事務員。【名師教您準備技巧】跟著3步驟認真讀，絕對能強化考生「速讀、即解」的答題能力！1.準備捷運考試首要之務先把這本《臺中捷運招考四合一15天速成》讀過一遍，加強記憶本書標示的關鍵字重點，培養基礎實力。考生可以按讀書計畫表規劃範圍，每天2至4小時，依序讀熟四科目，15天達成目標。2.其次，考生應按自身對各科目的基礎能力分配待加強科目，另需特別加強〈捷運法規及常識〉一科，該科雖是考生最陌生的一科，但也是最好掌握分數的一科。捷運常識的部分考生要熟悉臺中捷運公司的路線規劃、工程進度、營運方式、企業識別、組織架構、旅客服務等相關規定和資訊，這些都可能成為中捷招考的基礎題，有掌握絕對有分數！另外，捷運法規的部分則要精讀本書〈大眾捷運法〉一篇，熟記常考的罰則及營運相關常識，包括常見的違規罰則及罰鍰金額。背熟所有與「數字」有關的重點，搭配隨章的試題練習與法規條號解析，基本分數勝券在握。3.最後，多留意捷運相關時事，瀏覽各捷運公司相關網站、新聞作為補充資料。例如中捷綠線新軸心完成正線測試其相關責任釐清；積極蒐羅捷運時事議題的相關分析和報導，必能幫你奪得更高的專業分數！【本書內容】◎捷運法規及常識三民輔考以多年的經驗為輔助，將公共運輸、大眾捷運法、大眾捷運系統經營維護與安全監督實施辦法、捷運系統概述等內容，彙整重點標示，協助您快速抓到各章重點。本篇另闢〈臺中捷運系統(綠線)〉章節，統整台中捷運烏日文心北屯線的計畫緣起、路線路權、車輛軌距、場站及轉乘資訊，並附錄試題經常出現的捷運相關名詞解釋，提供全方面的考前重點整理。◎臺中捷運相關法規各大捷運公司招考之捷運法規一科，出題範圍不限於〈大眾捷運法〉，行車安全規則、旅客運送規則、附屬事業經營管理辦法等題目皆常出現在各大捷運考試的試題中。鑒於捷運法規與常識一科題目占比高，本書獨家收錄臺中大眾捷運系統相關規則及辦法：1.臺中市大眾捷運系統附屬事業經營管理辦法(109.06.17)2.臺中市大眾捷運系統行車安全規則(107.11.08)3.臺中市大眾捷運系統旅客運送規則(107.07.09)4.臺中市大眾捷運系統車輛機具檢修規則(108.12.16)5.臺中市大眾捷運系統行車人員技能體格檢查規則(108.12.16)6.臺中都會區大眾捷運系統開發所需土地協議價購優惠辦法(108.09.25)7.臺中市大眾捷運系統經營維護與安全監督檢查作業要點(109.02.14)統整臺中捷運最新相關法規內容，方便您一次補齊所有相關資訊，餘空時可備讀，為考試多添一份助力！◎數理邏輯數理邏輯的考題相當多元，包含數字推理、文字邏輯推理、代數方程式等常考題型，其中又以基礎數學與邏輯推理為命題重點，皆需要謹慎思考後才能正確作答。本篇重點內容後，皆隨章附上試題供考生練習，每題皆有三民輔考理工名師的解析，共85題，題題詳解，考生若能徹底理解讀透，就能在數理邏輯一科獲得高分。◎國文國文一科範圍很廣，三民輔考以依多年的輔考經驗總結出國文的命題趨勢，分為五大主題，協助考生正確掌握必考重點。(一)字音字形辨正：精選常考易混淆字音250字+易混淆字形500字+字音字形綜合測驗60題，幫考生治療音形不分的症狀。(二)成語測驗：根據大量考古題出現之成語，依主題分類，並附成語解釋，好懂易讀。又專頁收錄命題委員最愛考的年紀之成語。各類題辭分門別類，一起記憶，事半功倍。光看不練可不行，讀完後再利用名師群精選成語綜合測驗80題來練練手。(三)國學常識：歸納整理從先秦到清代的各家學說流派及著名作家，並以簡單易記表格呈現，讓國學常識簡單輕鬆背。(四)書信結構及用語：收錄讓諸多考生頭痛的書信結構用語，這些古人信件用詞偶爾會被命題，有背有考立刻拿分。(五)公文格式用語：以條列方式詳細介紹公文基本格式，提示撰寫要點，並將重要公文用語以表格呈現，簡單易懂。◎英文三民輔考以豐富的輔考經驗總結出捷運招考英文科目的命題範圍，總結常考文法與單字，並以圖表強化重點記憶，快速提升英文實力！(一)常考文法：根據最常考的文法，系統化整理常考文法重點為10章：1.八大詞類及五大句型、2.動詞與主詞的一致性、3.動詞時態、變化及種類、4.助動詞、5.動名詞用法、6.分詞用法、7.名詞與冠詞、8.被動句、9.假設句、10.三大子句。配合書中例題練習加深實力，版面清晰明瞭，搭配圖表幫助理解和記憶文法。(二)常考單字1000字：上戰場最怕彈盡援絕，應試英文最怕懂的單字太少，題目都看不懂，更遑論其他。故三民輔考精心整理出國家考試常考單字1000個，依字母分類，用最有效率的方法提升字彙儲備量。◎最新試題詳解本書收錄最新臺中捷運新進人員[站務員、技術員]甄試試題，各科名師題題詳解！考生只要在熟讀重點內容後，進行歷屆試題演練，名師解析讀通透，相信能夠順利奪得高分，成功上榜！【臺中捷運上榜實據】台中捷運兩個月上榜（台中捷運-站務員）：樊緯傑應屆畢業衝刺一個月上榜（桃園捷運-站務員）：張博凱
                    
"
4711100550673,"

｜市面上捷運招考用書第一品牌「三民輔考」推出桃捷考試專用新書｜．市面上首家推出含桃捷109年7月最新試題與名師詳解的大眾捷運概論．共收錄100至109年，橫跨10年度，共計11份桃捷試題及詳解！．名師追蹤桃捷最新公告，捷運相關法規、桃捷相關規則，掌握命題趨勢！本書自2014年初版以來即成為桃園捷運招考應試搶手書籍，每次推出新版均受各書店通路爭相搶貨。本社秉持著呈現最新桃捷規章資訊的使命，打破業界一年一版的常規，迄今不到7年已迎來第10次改版，累積銷售量更已突破上萬冊。機會是留給準備好的人；三民輔考出版桃園捷運招考用書已累積多年經驗，年年改版最新考試用書，每年協助大量考生成功考進桃園捷運服務。在業界，三民輔考幾乎已成為桃園捷運招考用書的代名詞；機會是不等人的，這本搶手貨很容易買不到，趕快決定要不要加入購物車吧！【名師教您準備技巧】夏進老師時時追蹤桃捷最新公告，捷運相關法規、桃捷相關法規，年年follow桃捷官方資料更新書籍內容！跟著3步驟認真讀，絕對能強化考生「速讀、即解」的答題能力！1.準備捷運考試沒什麼捷徑，首先把這本《大眾捷運概論》一書讀過一遍，加強記憶本書標示的關鍵字重點，例如捷運系統的指標、車輛系統、號誌系統、供電系統等功能；更要熟記常考的罰則及營運相關常識，包括常見的違規罰則及罰鍰金額。背熟所有與「數字」有關的重點，基本分數勝券在握。2.其次，務必熟悉桃園捷運公司的路線規劃、營運方式、企業識別、組織架構、旅客服務、預辦登機等相關規定和資訊，這些都是桃捷招考的基礎題，有掌握絕對有分數！3.最後，多留意捷運相關時事，作為補充資料。例如，109年的第1次考試就將「桃捷防疫措施」納入考題中。鑑於本次考期間疫情仍為嚴峻，預期防疫措施仍為命題焦點，建議考生要將桃園捷運「防疫專區」中的防疫訊息、班次調整等資訊掌握齊全，積極蒐羅捷運時事議題的相關分析和報導，必能幫你奪得更高的專業分數！【本書適用】這本《大眾捷運概論》適用於桃園捷運招考以下類組：．運務類組：司機員(運務車務類)、站務員(運務站務類)。．原住民類組：站務員(運務站務類)。以上類組報考資格：國內外高中(職)以上學校畢業，並已取得畢業證書者。【桃園捷運考試簡介】．第一試(筆試)：桃園捷運考試的運務類[司機員]、[站務員(含原住民類)]考科為共同科目一科(國文+英文+邏輯分析)與專業科目一科(大眾捷運概論)，共同科目佔40%，專業科目佔60%。．第二試(口試)：評量「專業知識、才識、語言表達、反應能力、儀態、人格特質」。口試成績未達70分者，不予錄取。第一試(筆試)與第二試(口試)之成績各佔總成績50％。※應試正確資訊請以考試簡章為準※【本書內容】本書由三民輔考專業名師親編，內含〈捷運系統概論〉、〈運輸管理學概論〉、〈大眾捷運相關法令〉及〈歷屆試題與解析〉四篇。第一篇〈捷運系統概論〉分為六章，將捷運系統的功能、設計、安全等概念予以整合，內容條列分明，編排清晰明瞭，彙整考試重點，直擊最新命題關鍵，幫助考生有效建立正確觀念。名師分析，按往年捷運招考試題統計，〈大眾捷運系統簡介〉和〈捷運系統功能要求〉兩章的出題率頗高，另外也要特別注意本次招考主角〈桃園捷運系統〉及其相關法令，考生可斟酌研讀，聰明拿分！第二篇〈運輸管理學概論〉共分五章，概述運輸規劃、政策、經濟、智慧型運輸系統等不同面向主題，內容條列清晰，輔以圖表說明，幫助讀者輕鬆抓取重要考點！每章之後附錄精選試題練習，讀完立即研讀，迅速掌握考試命題關鍵，強化學習記憶力！第三篇〈大眾捷運相關法令〉分為五章，以〈大眾捷運法〉最為重要。法規部分較不易背讀，考生可善加利用在章後附上的精選試題和解析，熟悉出題方式和訓練答題技巧。另外本篇也收錄目前桃捷相關行政規定，以及旅客須知，這些都是近幾次考試重點，考生要多加留意。本書最末篇〈歷屆試題與解析〉則收錄100年至109年，橫跨10年度的桃園捷運招考相關試題和詳細解析，共11份。考生只要在熟讀重點內容後，勤做歷屆試題演練，相信能夠順利奪得高分，成功上榜！考試路上，三民與你同行，最新考情資訊詳見三民輔考網站：www.3people.com.tw/
                    
"
4711100550680,"

｜三民輔考《桃園捷運[司機員/站務員]套書》新上市｜．市面上首家推出含桃捷109年7月最新試題與名師詳解的《大眾捷運概論》，名師追蹤桃捷最新公告，捷運相關法規、桃捷相關規則，掌握命題趨勢；都在這套裡一次擁有。．機會是留給準備好的人；三民輔考出版桃園捷運招考用書已累積多年經驗，年年改版最新考試用書，每年協助大量考生成功考進桃園捷運服務。在業界，三民輔考幾乎已成為桃園捷運招考用書的代名詞；機會是不等人的，趕快決定要不要加入購物車吧！【本書適用】這套《桃園捷運[司機員/站務員]超效套書》適用於準備桃園捷運以下類組考試之考生：．運務類組：司機員(運務車務類)、站務員(運務站務類)。．原住民類組：站務員(運務站務類)。市面上捷運招考用書第一品牌「三民輔考」推出桃捷新書！持續追蹤桃捷最「新」公告，堅持年年follow桃捷官方資料更「新」內容！很多考生覺得國英文應試能力是長期實力培養的結果，非短期一蹴可幾，於是常以「放棄國英文，把時間留給專業科目」的策略來應對考試。如果考生的時間壓力真得連專業科目都讀不完，則上面的方案確為一上策。但若考生專業科目讀完一遍後還有時間，那到底要繼續重複精讀專業科目還是大概讀一下國英文呢？經濟學上有所謂「邊際效應遞減原理」，以粗俗的例子來說就是當人肚子餓的時候，吃第一個便當會很爽，吃完再吃第二個的爽度就沒前一個爽，那若再吃第三個恐怕就會很不爽…。套用在準備考試可得出專業科目讀愈多遍的CP值會愈低，所以聰明的考生會在適當的時候至少讀一遍國英文，使整體策略上能贏得最高的CP值。為了讓眾多讀者加入聰明考生的行列，並讓CP值再向上攀升，市面上捷運招考用書第一品牌「三民輔考」推出了這套專為應考桃園捷運[司機員/站務員]用的組合產品，並搭贈口袋書《公職英文單字[基礎篇]》，讓考生能俐落地將考場的零碎時間化為涓涓入袋的分數。【桃園捷運考試簡介】．第一試(筆試)：桃園捷運考試的運務類[司機員]、[站務員(含原住民類)]考科為共同科目一科(國文+英文+邏輯分析)與專業科目一科(大眾捷運概論)，共同科目佔40%，專業科目佔60%。．第二試(口試)：評量「專業知識、才識、語言表達、反應能力、儀態、人格特質」。口試成績未達70分者，不予錄取。第一試(筆試)與第二試(口試)之成績各佔總成績50％。※應試正確資訊請以考試簡章為準※【套書有什麼】◎《國文完全攻略》2020/01◎《英文完全攻略》2020/01◎《數理邏輯分析》2020/02◎《大眾捷運概論》2021/11◎ 贈《公職英文單字[基礎篇]》2020/02※套書出版日期為上架日，實際出版日以各單書為準※【套書內容】一、《國文》國文被許多考試列為共同科目，但其「幾乎沒有範圍」的特性也讓許多考生頭痛不已！考生的心聲，三民輔考的老師都知道，國文絕對不能忽視或輕言放棄，本書由三民專業名師群針對各大國營事業國文命題趨勢精心彙編，共分以下主題：第一部份字音字形辨正：精選常考易混淆字音250字+易混淆字形500字+字音字形綜合測驗100題，幫考生治療音形不分的症狀。第二部分重要修辭及應用文知識：根據大量考古題出現之成語，依主題分類，並附成語解釋，易懂易讀。還專頁收錄命題委員很愛考的年紀之成語。各類題辭分門別類，一起記憶，事半功倍。背完再習練後附的成語綜合測驗100題，淬鍊硬實力。另收錄讓上萬考生頭痛不已的書信結構用語，這些古人信件用詞偶爾會被命題，但因範圍有限，作者已將之濃縮表格化成三頁內容，有背考出來就立馬拿分。第三部分國學常識：幫考生歸納整理從先秦到清代的各家學說流派及著名作家，並以簡單易記表格呈現，讓國學常識不再艱澀難背。第四部分閱讀測驗：收錄多篇先秦到清代的著名文章，篇篇語譯，大幅提升考生閱讀理解能力。第五部分公文格式：詳細介紹公文基本格式，提示撰寫要點，並將重要公文用語以表格呈現，簡單易懂。書末收錄107年~108年桃園捷運、臺北捷運、臺中捷運、中華郵政、台電新進雇用人員、中油雇用人員、自來水公司評價職位人員、中鋼新進人員等國文考科試題，並由三民補習班名師群針對每一題做詳細解析，幫助考生快速熟悉命題方向，題題詳解，帶領考生輕鬆破解考題！二、《英文》本書由三民補習班專業名師群針對各大國營事業英文命題趨勢彙編而成，內容分為文意字彙、重要文法、歷屆試題等三大部分。第一部分文意字彙：想要在英文科繳出漂亮的成績單，字彙能力就是考生最大的武器，考試時如果連單字都看不懂，就遑論要有好的表現了。為了以最快的速度讓考生累積單字量，本書精心整理了各大考試（國營事業、公職考試、銀行等）常考單字1000個，依字母分類，並搭配精選200題國營事業招考的字彙考古題，有效幫助考生告別字彙量不足的惡夢！第二部分重要文法：根據各大國營事業近年來命題方向，系統化整理常考文法重點，本部分共分12章：1.八大詞類及五大句型、2.動詞與主詞的一致性、3.動詞時態、變化及種類、4.助動詞、5.不定詞用法、6.動名詞用法、7.分詞用法、8.名詞與冠詞、9.介系詞、10.被動句、11.假設句、12.三大子句。每章後配合單元練習厚植實力，版面清晰明瞭，搭配圖表幫助理解及活用文法。歷屆試題詳解：書末收錄107年～108年桃園捷運、臺北捷運、臺中捷運、台電新進雇用人員、中油雇用人員、自來水公司評價職位人員、中鋼新進人員、臺灣菸酒公司從業職員、台灣糖業公司新進工員、經濟部新進職員等英文考科試題，共25份，並由三民補習班名師群針對每一題做詳細解析，幫助讀者快速掌握命題重點，題題詳解，帶領考生輕鬆破解考題！三、《數理邏輯分析》這本《數理邏輯分析》敘述簡潔精要，輔以經典例題，相信必能在數理邏輯考場上助考生一臂之力。本書內容含括重點整理、模擬試題與歷屆試題。針對考試某些常出現的題型，提供讀者該題型對應的核心觀念以及解題方式，並以該題型的歷屆考題當範例來引導讀者解題。第一部分重點整理：依考試重點分拆成兩大單元，第一單元「數的能力和應用」，包含比例計算、單位換算、面積計算以及各種代數方程式解題；第二單元「邏輯」，詳解邏輯的語言、邏輯條件、邏輯計算以及文字推理。本書用「精簡扼要」的方式敘述重要觀念，且搭配上EXAMPLE文字方塊內舉例，可加強同學對該觀念的記憶和應用能力。接著後面的相關例題和解析則是引導同學如何用剛剛學過的觀念來解題。作者希望上了考場，任何刁鑽的題目都難不倒本書的讀者。第二部分模擬試題：根據以往的考試內容，模擬出三回合的題目，每回合有25題，題題逼真！考生可透過試題熟悉答題手感，在考場上作答時勢必有「咦，這題我好像之前做過」的熟悉感！第三部分歷屆試題：廣泛網羅104年至108年各大捷運與銀行招考的試題共39份，試題量相當豐富，讀者可透過大量的演練，很自然的體會本科之命題趨勢，答得既快且準不是夢！四、《大眾捷運概論》本書由三民輔考專業名師親編，內含〈捷運系統概論〉、〈運輸管理學概論〉、〈大眾捷運相關法令〉及〈歷屆試題與解析〉四篇。第一篇〈捷運系統概論〉分為六章，將捷運系統的功能、設計、安全等概念予以整合，內容條列分明，編排清晰明瞭，彙整考試重點，直擊最新命題關鍵，幫助考生有效建立正確觀念。名師分析，按往年捷運招考試題統計，〈大眾捷運系統簡介〉和〈捷運系統功能要求〉兩章的出題率頗高，另外也要特別注意本次招考主角〈桃園捷運系統〉及其相關法令，考生可斟酌研讀，聰明拿分！第二篇〈運輸管理學概論〉共分五章，概述運輸規劃、政策、經濟、智慧型運輸系統等不同面向主題，內容條列清晰，輔以圖表說明，幫助讀者輕鬆抓取重要考點！每章之後附錄精選試題練習，讀完立即研讀，迅速掌握考試命題關鍵，強化學習記憶力！第三篇〈大眾捷運相關法令〉分為五章，以〈大眾捷運法〉最為重要。法規部分較不易背讀，考生可善加利用在章後附上的精選試題和解析，進一步熟悉出題方式和訓練答題技巧。另外本篇也收錄目前桃捷相關行政規定，以及旅客須知，這些都是近幾次考試重點，考生要多加留意。本書最末篇〈歷屆試題與解析〉則收錄100年至109年，橫跨10年度的桃園捷運招考相關試題和詳細解析，共11份，含109年桃捷招考最新試題與詳解。考生只要在熟讀重點內容後，勤做歷屆試題演練，相信能夠順利奪得高分，成功上榜！【獨家附贈】購買本套書即贈《公職英文單字[基礎篇]》。本書特色如下：一、隨身攜帶：公職英文單字[基礎篇]體積小、厚度僅約1公分，能無痛滑進衣褲的口袋，便攜的特性讓考生隨時隨地都能夠善用零碎時間，聚沙成塔、快速累積英文單字量！上考場嫌傳統辭典太重太累贅的話，帶這本讓你神清氣爽，俐落地將考場的零碎時間化為涓涓入袋的分數。二、雙色編排：公職英文單字[基礎篇]全書採雙色印刷，版面清晰易讀性高，且於每一單字左側皆標明重要度，單字下更完整收錄其相似詞與衍生詞，讓學習效率事半功倍！三、考題解說：本書單字皆搭配歷屆考題例句，附中譯及解析，將抽象之考點具體化，除更易背誦外，考生也順便熟悉了考試命題的方向；誰說魚與熊掌不可兼得呢？
                    
"
9999278310915,"

2B051091 捷運招考超強三合一目前臺北捷運、桃園捷運、臺中捷運，除了國文、英文及專業科目外，還需通過邏輯分析（數理邏輯）一關才可上榜。而每次捷運招考公告與實際考試日期，往往不到一個月，讀書時間非常的短暫。因此，為了因應不同的考試需求，與大幅縮短準備時間，本書使用系統式的整合方式，將各項考科的內容統整，以精華方式呈現，力求讓您在最短時間內得到考取高分的能力。2B191091 〔2020收錄最新試題及解析〕電子學〔國民營事業／經濟部／北捷／桃捷／鐵路特考高員級／員級／佐級〕本書特色◎名師精編重點整理，打造超強基礎◎隨堂範例練習，學習成效立馬檢驗◎近年試題彙編，掌握考試命題趨勢電子學是一門基礎科目，相關科系中的各學科多少都可以見到它的影子，對於未來有志在電機電子各個領域發展的同學們來說，如果電子學基礎沒有打好，以後想要在這個領域更進一步的話，將會是莫大的阻礙。依筆者的經驗，同學往往會因為對半導體元件特性的不熟悉，進而對其電路架構不了解；筆者以淺顯易懂的理念來撰寫本書，希望可以用最簡單的方式，讓同學在面對題目時，可以輕鬆地知道解題方向。電子學高分準備方法1.對於基本題型一定要熟練，是分數的基本來源。2.二極體、BJT、FET元件特性一定要熟知，此類元件特性年年必考。3.二極體的應用電路要完全熟練，如果出現類似考題，是一定要得到的分數。4.電晶體的小信號分析、直流分析年年必考，計算能力要爐火純青。5.邏輯閘電路之判斷的題目，是每年出題的常客，需要特別注意。6.考古題儘可能多做，如此可以抓到一些出題的方向以及對題目熟練度的提升。
                    
"
9789863458517,"

本書收錄臺北及桃園捷運考試【大眾捷運概論(含數理邏輯、捷運法規及常識)】103~109年(測驗試題)試題詳解，幫助您一次準備全面應戰、協助您熟悉題型順利上榜。本書收錄科目包含：數理邏輯、捷運法規及常識、大眾捷運概論、捷運概述A。本書收錄考試包含：臺北捷運、桃園捷運。本書適用應試類組：行車類組(司機員、隨車站務員、技術員)、運務類組(司機員、站務員)、原住民類組(站務員)本書特色：1.補班名師解題，不用三顧茅廬立即獲得大師精準考題解析。2.多年度試題一次收錄，輕鬆練習歷屆試題。3.一題搭配一詳解，演練有錯立即修正，加深印象。
                    
"
9789865201142,"

◎不必靠補習，攻略企業管理考試只要60天◎必讀關鍵全在這一本，考前衝刺最有效◎收錄107~109年相關試題解析，加強複習有效率「企業管理」考題無任何範圍，準備不易。因此本書以歷屆考題的出題範圍，輔以未來趨勢，尤其是現今企業競爭環境及國際企業現況，將「企業管理」之重要內容，經彙集整合，著手編輯出一本適合自我學習並參加考試的書籍。課文以篇章將企管範圍做系統化排列，並由名師精心整理各章的重點，輔以圖表等說明，透過條理分明的排列內容，有助於你考前觀念的釐清與記憶，若能善用本書，必能讓您如虎添翼，在競爭激烈的考場上嶄露頭角！近年來考題已愈來愈重視財務管理、生產管理，已考出傳統企管之外的題目，出乎補習班老師與學生意料不到的境界，另外少數題目也多著墨於初等會計、經濟學及國際企業之題目，企管已非傳統題型的企管。因此學說與理論對照雖是基礎，但必需依現今外在環境變遷之實際狀況來加以運用。故練習題目變得十分重要，尤其是加強重點或爭議題型，像是時勢、新觀念題、有些屬郵局、國民營事業之最新重點業務、或少數具有爭議性題目等，練習後建議以螢光色筆註記標記，作為二次之後閱讀習作之參考。最後，當複習完課文與各章的精選試題後，便是實際驗收成果的開始。書末收錄近年各家國民營事業，如台灣菸酒、中華郵政、台北捷運等試題，題題由名師精心解答，省去自己苦苦計算摸索的時間，藉由精心編排的解析，可以掌握考試的脈絡、以及理解自己在正式考場上應該要注意什麼應試的重點，善用此書練習，高分上榜絕非難事﹗高分準備要訣一、企業管理無範圍：「企業管理」原則上沒什麼範圍，只要與「企業」、「管理」有關的「企業內部環境」、「企業外在環境」相關議題，包含生產、行銷、財務、研發、市場、政府、供應商、競爭者、消費者（客戶）有關的一切事實內容，這些事實內容藉「規劃」、「組織」、「領導」及「控制」之相關理論與技術所形成的錯綜複雜關係，皆屬本科目之範圍。二、近年考題趨勢：近年來考題已愈來愈重視財務管理、生產管理，已考出傳統企管之外的題目，出乎補習班老師與學生意料不到的境界，另外少數題目也著墨於初等會計、經濟學及國際企業之題目，企管已非傳統題型的企管。三、學說與理論對照：原則上各題之後的解析，已列出該題相關學說與理論之引據，或依現今外在環境變遷之實際狀況，供讀者準備並可查閱對照之。四、勤加習作：逐回逐題一一習作，以不同螢光色筆註記自己已懂與否之標記，作為二次之後閱讀習作之參考。五、加強重點或爭議題型：有些題目一再地考到（考古題）、有些是翻新的考法（時勢、新觀念題）、有些屬郵局之最新重點業務(多看郵局的文宣及電視廣告）、有些屬爭議性題目（如民間快遞貨運業與郵局之競爭及郵局行銷之新策略，金控業者有關內控稽核及公司治理），以螢光色筆註記標記，作為二次之後閱讀習作之參考。六、加強管理理論：有關「規劃」、「組織」、「領導」及「控制」之相關內容實在太多了，太多的理論與技術，太多的學者或團體，太多的分析與批評，太多的改善與改革，在這些方面要特別加強。七、注意時事：近年是否有銀行、其他企業引起金融風暴？那「企業文化」、「企業倫理」、「內部控制」、「內控稽核」及「公司治理」等有關內容就需加強；旅遊業者負責人捲款潛逃、相關企業到底能否西進大陸、外資投資本土企業之上限限制、「企業環境PEST分析」、「競爭五力分析」、「財務五力分析」、「財務比率分析」等內容亦需加以注意，另新型態領導理論、企業公民、長尾理論、M型社會及新行銷觀念等，以不同螢光色筆註記自己已懂與否之標記，作為二次之後閱讀習作之參考。
                    
"
9789863459026,"

本書收錄臺北及桃園捷運考試【國文(含邏輯分析)】103~109年(測驗試題)試題詳解，幫助您一次準備全面應戰、協助您熟悉題型順利上榜。本書收錄科目包含：國文、邏輯分析。本書收錄考試包含：臺北捷運、桃園捷運。本書適用應試類組：行車類組(司機員、隨車站務員、技術員)、運務類組(司機員、站務員)、原住民類組(站務員)本書特色：1.補班名師解題，不用三顧茅廬立即獲得大師精準考題解析。2.多年度試題一次收錄，輕鬆練習歷屆試題。3.一題搭配一詳解，演練有錯立即修正，加深印象。
                    
"
9789863459033,"

本書收錄臺北及桃園捷運考試【英文】103~109年(測驗試題)試題詳解，幫助您一次準備全面應戰、協助您熟悉題型順利上榜。本書收錄科目包含：英文。本書收錄考試包含：臺北捷運、桃園捷運。本書適用應試類組：行車類組(司機員、隨車站務員、技術員)、運務類組(司機員、站務員)、原住民類組(站務員)本書特色：1.補班名師解題，不用三顧茅廬立即獲得大師精準考題解析。2.多年度試題一次收錄，輕鬆練習歷屆試題。3.一題搭配一詳解，演練有錯立即修正，加深印象。
                    
"
9789864817313,"


	薪水遲遲不漲，卻總是忙得暈頭轉向，失去珍貴的個人生活？
	換個工作跑道，拿回屬於自己的精彩人生！

	有錢有閒的生活誰不要？！
	想考前衝刺卻缺了一本教練書？！

	搶進「捷運」動作要快！
	拿對書、快攻分、搶上榜！

	想考各區捷運的同學，綜合科目「捷運法規及常識」千萬別小瞧!!!雖說都是選擇題—四選一，看似準備輕鬆、簡單，但只要錯一題，就差之千里，和上榜擦身而過…

	看到法規就頭痛、好想逃避？千萬別放棄啊，你需要的是「充分練習」和「熟悉考題」，只要突破心魔，這一科你也hold的住！到底該怎麼準備，才能達到用最短的時間，獲取最大的效益呢？為此，保成出版社推出全新系列，針對捷運考試所需的增補腦力教科書！

適用對象
	要考捷運司機員、站務員的同學

使用功效
	蒐集台北捷運、桃園捷運試題，並附上詳盡解答，讓有心報考捷運特考的同學從做中學，同時掌握試題與實務理論

改版差異
	新增109題目、修正錯字

	韓新、鄭鑫老師說：你只需要這一本！全書用三大主軸幫你備考，重要考點一把抓！

★掌握趨勢：
	完整收錄近年歷屆試題，讓您鑑往知來，掌握致勝關鍵！

★量身打造：
	本書依照捷運考試試題編排，讓您可自我評量及考前演練。

★解題最詳：
	題題佐以精闢解析，讓您在自我測驗之餘，亦能快速複習重點。

"
