ISBN,書籍簡介
9789864307005,"


	為提供護理學生最佳的複習應考寶典，敦請教學與實務經驗豐富的醫護教師群依考選部命題大綱共同編寫「全方位護理應考e寶典」，精要列出常考重點與重要概念，讓讀者輕鬆應考各類護理系列考試。

	附贈歷屆試題題庫，讀者可掃描書中QR code下載閱讀，將歷屆考題依年度別及章別排列，囊括公務人員高普考、護理師（士）檢覈考、專技人員高普考、二技及四技二專統一入學考試題，並附解析，以供應考複習之需。2021年版新增109年及110年第一次護理師高考國考題及解析。

本套書特色

	(1)學習架構完整，各章包括：大綱、重點彙整及題庫練習（歷屆考題及專家闢析）。
	(2)以樹狀圖清楚呈現各章重點所在。
	(3)以黑體字標示國考重點，輔以圖表說明，確實掌握命題方針。
	(4)章末精列歷屆熱門考題，由專家闢析正確答案及相關概念，使學生舉一反三、觸類旁通。
	(5)書中印有歷屆試題題庫閱讀QR code，收錄歷屆考題及其詳解，不必再花錢購買「歷屆試題」。
	(6)收錄當年度最新國考題目，另附上一回模擬試題，讓考生能在應試前做好充足準備。
	(7)每章針對考題比例標示「心形圖示」，點出考試命題所在，讓讀者在閱讀前就先掌握考試重點。
	＊本書題庫收錄護理師、放射師、二技學測等試題。

"
9789864307029,"


	為提供護理學生最佳的複習應考寶典，敦請教學與實務經驗豐富的醫護教師群依考選部命題大綱共同編寫「全方位護理應考e寶典」，精要列出常考重點與重要概念，讓讀者輕鬆應考各類護理系列考試。

	附贈歷屆試題題庫，讀者可掃描書中QR code下載閱讀，將歷屆考題依年度別及章別排列，囊括公務人員高普考、護理師（士）檢覈考、專技人員高普考、二技及四技二專統一入學考試題，並附解析，以供應考複習之需。2021年版新增109年及110年第一次護理師高考國考題及解析。

本套書特色

	(1)學習架構完整，各章包括：大綱、重點彙整及題庫練習（歷屆考題及專家闢析）。
	(2)以樹狀圖清楚呈現各章重點所在。
	(3)以黑體字標示國考重點，輔以圖表說明，確實掌握命題方針。
	(4)章末精列歷屆熱門考題，由專家闢析正確答案及相關概念，使學生舉一反三、觸類旁通。
	(5)書中印有歷屆試題題庫閱讀QR code，收錄歷屆考題及其詳解，不必再花錢購買「歷屆試題」。
	(6)收錄當年度最新國考題目，另附上一回模擬試題，讓考生能在應試前做好充足準備。
	(7)每章針對考題比例標示「心形圖示」，點出考試命題所在，讓讀者在閱讀前就先掌握考試重點。
	＊本書題庫收錄護理師、助產師、二技學測等試題。

"
9789864306985,"


	為提供護理學生最佳的複習應考寶典，敦請教學與實務經驗豐富的醫護教師群依考選部命題大綱共同編寫「全方位護理應考e寶典」，精要列出常考重點與重要概念，讓讀者輕鬆應考各類護理系列考試。

	附贈歷屆試題題庫，讀者可掃描書中QR code下載閱讀，將歷屆考題依年度別及章別排列，囊括公務人員高普考、護理師（士）檢覈考、專技人員高普考、二技及四技二專統一入學考試題，並附解析，以供應考複習之需。2021年版新增109年及110年第一次護理師高考國考題及解析。

本套書特色

	(1)學習架構完整，各章包括：大綱、重點彙整及題庫練習（歷屆考題及專家闢析）。
	(2)以樹狀圖清楚呈現各章重點所在。
	(3)以黑體字標示國考重點，輔以圖表說明，確實掌握命題方針。
	(4)章末精列歷屆熱門考題，由專家闢析正確答案及相關概念，使學生舉一反三、觸類旁通。
	(5)書中印有歷屆試題題庫閱讀QR code，收錄歷屆考題及其詳解，不必再花錢購買「歷屆試題」。
	(6)收錄當年度最新國考題目，另附上一回模擬試題，讓考生能在應試前做好充足準備。
	(7)每章針對考題比例標示「心形圖示」，點出考試命題所在，讓讀者在閱讀前就先掌握考試重點。
	＊本書題庫收錄護理師、助產師、二技學測等試題。

"
9789864307036,"


	為提供護理學生最佳的複習應考寶典，敦請教學與實務經驗豐富的醫護教師群依考選部命題大綱共同編寫「全方位護理應考e寶典」，精要列出常考重點與重要概念，讓讀者輕鬆應考各類護理系列考試。

	附贈歷屆試題題庫，讀者可掃描書中QR code下載閱讀，將歷屆考題依年度別及章別排列，囊括公務人員高普考、護理師（士）檢覈考、專技人員高普考、二技及四技二專統一入學考試題，並附解析，以供應考複習之需。2021年版新增109年及110年第一次護理師高考國考題及解析。

本套書特色

	(1)學習架構完整，各章包括：大綱、重點彙整及題庫練習（歷屆考題及專家闢析）。
	(2)以樹狀圖清楚呈現各章重點所在。
	(3)以黑體字標示國考重點，輔以圖表說明，確實掌握命題方針。
	(4)章末精列歷屆熱門考題，由專家闢析正確答案及相關概念，使學生舉一反三、觸類旁通。
	(5)書中印有歷屆試題題庫閱讀QR code，收錄歷屆考題及其詳解，不必再花錢購買「歷屆試題」。
	(6)收錄當年度最新國考題目，另附上一回模擬試題，讓考生能在應試前做好充足準備。
	(7)每章針對考題比例標示「心形圖示」，點出考試命題所在，讓讀者在閱讀前就先掌握考試重點。
	＊本書題庫收錄護理師、助產師、二技學測等試題。

"
9789864306992,"


	為提供護理學生最佳的複習應考寶典，敦請教學與實務經驗豐富的醫護教師群依考選部命題大綱共同編寫「全方位護理應考e寶典」，精要列出常考重點與重要概念，讓讀者輕鬆應考各類護理系列考試。

	附贈歷屆試題題庫，讀者可掃描書中QR code下載閱讀，將歷屆考題依年度別及章別排列，囊括公務人員高普考、護理師（士）檢覈考、專技人員高普考、二技及四技二專統一入學考試題，並附解析，以供應考複習之需。2021年版新增109年及110年第一次護理師高考國考題及解析。

本套書特色

	(1)學習架構完整，各章包括：大綱、重點彙整及題庫練習（歷屆考題及專家闢析）。
	(2)以樹狀圖清楚呈現各章重點所在。
	(3)以黑體字標示國考重點，輔以圖表說明，確實掌握命題方針。
	(4)章末精列歷屆熱門考題，由專家闢析正確答案及相關概念，使學生舉一反三、觸類旁通。
	(5)書中印有歷屆試題題庫閱讀QR code，收錄歷屆考題及其詳解，不必再花錢購買「歷屆試題」。
	(6)收錄當年度最新國考題目，另附上一回模擬試題，讓考生能在應試前做好充足準備。
	(7)每章針對考題比例標示「心形圖示」，點出考試命題所在，讓讀者在閱讀前就先掌握考試重點。
	＊本書題庫收錄護理師、助產師、二技學測等試題。

"
9789864307012,"


	為提供護理學生最佳的複習應考寶典，敦請教學與實務經驗豐富的醫護教師群依考選部命題大綱共同編寫「全方位護理應考e寶典」，精要列出常考重點與重要概念，讓讀者輕鬆應考各類護理系列考試。

	附贈歷屆試題題庫，讀者可掃描書中QR code下載閱讀，將歷屆考題依年度別及章別排列，囊括公務人員高普考、護理師（士）檢覈考、專技人員高普考、二技及四技二專統一入學考試題，並附解析，以供應考複習之需。2021年版新增109年及110年第一次護理師高考國考題及解析。

本套書特色

	(1)學習架構完整，各章包括：大綱、重點彙整及題庫練習（歷屆考題及專家闢析）。
	(2)以樹狀圖清楚呈現各章重點所在。
	(3)以黑體字標示國考重點，輔以圖表說明，確實掌握命題方針。
	(4)章末精列歷屆熱門考題，由專家闢析正確答案及相關概念，使學生舉一反三、觸類旁通。
	(5)書中印有歷屆試題題庫閱讀QR code，收錄歷屆考題及其詳解，不必再花錢購買「歷屆試題」。
	(6)收錄當年度最新國考題目，另附上一回模擬試題，讓考生能在應試前做好充足準備。
	(7)每章針對考題比例標示「心形圖示」，點出考試命題所在，讓讀者在閱讀前就先掌握考試重點。
	＊本書題庫收錄護理師、助產師、二技學測等試題。

"
9789864306978,"


	為提供護理學生最佳的複習應考寶典，敦請教學與實務經驗豐富的醫護教師群依考選部命題大綱共同編寫「全方位護理應考e寶典」，精要列出常考重點與重要概念，讓讀者輕鬆應考各類護理系列考試。

	附贈歷屆試題題庫，讀者可掃描書中QR code下載閱讀，將歷屆考題依年度別及章別排列，囊括公務人員高普考、護理師（士）檢覈考、專技人員高普考、二技及四技二專統一入學考試題，並附解析，以供應考複習之需。2021年版新增109年及110年第一次護理師高考國考題及解析。

本套書特色

	(1)學習架構完整，各章包括：大綱、重點彙整及題庫練習（歷屆考題及專家闢析）。
	(2)以樹狀圖清楚呈現各章重點所在。
	(3)以黑體字標示國考重點，輔以圖表說明，確實掌握命題方針。
	(4)章末精列歷屆熱門考題，由專家闢析正確答案及相關概念，使學生舉一反三、觸類旁通。
	(5)書中印有歷屆試題題庫閱讀QR code，收錄歷屆考題及其詳解，不必再花錢購買「歷屆試題」。
	(6)收錄當年度最新國考題目，另附上一回模擬試題，讓考生能在應試前做好充足準備。
	(7)每章針對考題比例標示「心形圖示」，點出考試命題所在，讓讀者在閱讀前就先掌握考試重點。
	＊本書題庫收錄護理師、助產師、二技學測等試題。

"
9789862755358,"

★全新護理師「主題式」題庫解析！由護理師補教界最高人氣之「樂學網」護理名師「徐珮瑜」親授破題思惟／解題技巧。全書特色在於：完全依據歷屆專高考試題分佈比率設計各章節題數，然後精挑細選出「必考、常考、精要不可剔除」的題型。讀者可於考前透過解題，即時發現內外護理學一科之備考盲點並及時修正，絕對是助你一臂之力，一次就高分過關的「神隊友」！★在補教界教內外科護理學跟學校裡面教不太一樣的是：學校老師一人就是專精一個或某些系統，補教界老師是一人負責全部的系統，補教界內外科護理老師們承擔了更大的擔子。我曾在學校裡兼任授課就明白了學校老師的無奈，學校裡每位老師都好棒、好認真，但每堂下課鐘響就得下課，一堂課時間好短喔，我都還沒講完全部的重點就得下台。所以，我超級感恩樂學網給我很棒的教學環境、設計。二十年前剛開始準備教授內外科護理時壓力超大，我是林口長庚醫院急診出身的，對各科、各系統都熟練的背景也覺得準備內外科護理很累，何況是諸位還沒畢業的在校生。所以，學弟妹們覺得唸內外科護理負擔大、挫折高，真的再正常不過了，千萬不要灰心喪氣。基於對學弟妹們困境的深刻瞭解，本書題目的挑選是精華中的精華，常考、必考，解析盡量清楚、易懂。章節題數則依照歷屆考題呈現的分佈百分比而設定。學海無涯，自己仍不斷的學習中，敬請護理前輩、同仁們多多指教。祝福閱讀本書的學弟妹們智慧全開、金榜題名。徐珮瑜謹誌
                    
"
9789864307050,"


	為提供護理學生最佳的複習應考寶典，敦請教學與實務經驗豐富的醫護教師群依考選部命題大綱共同編寫「全方位護理應考e寶典」，精要列出常考重點與重要概念，讓讀者輕鬆應考各類護理系列考試。

	附贈歷屆試題題庫，讀者可掃描書中QR code下載閱讀，將歷屆考題依年度別及章別排列，囊括公務人員高普考、護理師（士）檢覈考、專技人員高普考、二技及四技二專統一入學考試題，並附解析，以供應考複習之需。2021年版新增109年及110年第一次護理師高考國考題及解析。

本套書特色

	(1)學習架構完整，各章包括：大綱、重點彙整及題庫練習（歷屆考題及專家闢析）。
	(2)以樹狀圖清楚呈現各章重點所在。
	(3)以黑體字標示國考重點，輔以圖表說明，確實掌握命題方針。
	(4)章末精列歷屆熱門考題，由專家闢析正確答案及相關概念，使學生舉一反三、觸類旁通。
	(5)書中印有歷屆試題題庫閱讀QR code，收錄歷屆考題及其詳解，不必再花錢購買「歷屆試題」。
	(6)收錄當年度最新國考題目，另附上一回模擬試題，讓考生能在應試前做好充足準備。
	(7)每章針對考題比例標示「心形圖示」，點出考試命題所在，讓讀者在閱讀前就先掌握考試重點。
	＊本書題庫收錄護理師、助產師、二技學測等試題。

"
9789864307067,"


	為提供護理學生最佳的複習應考寶典，敦請教學與實務經驗豐富的醫護教師群依考選部命題大綱共同編寫「全方位護理應考e寶典」，精要列出常考重點與重要概念，讓讀者輕鬆應考各類護理系列考試。

	附贈歷屆試題題庫，讀者可掃描書中QR code下載閱讀，將歷屆考題依年度別及章別排列，囊括公務人員高普考、護理師（士）檢覈考、專技人員高普考、二技及四技二專統一入學考試題，並附解析，以供應考複習之需。2021年版新增109年及110年第一次護理師高考國考題及解析。

本套書特色

	(1)學習架構完整，各章包括：大綱、重點彙整及題庫練習（歷屆考題及專家闢析）。
	(2)以樹狀圖清楚呈現各章重點所在。
	(3)以黑體字標示國考重點，輔以圖表說明，確實掌握命題方針。
	(4)章末精列歷屆熱門考題，由專家闢析正確答案及相關概念，使學生舉一反三、觸類旁通。
	(5)書中印有歷屆試題題庫閱讀QR code，收錄歷屆考題及其詳解，不必再花錢購買「歷屆試題」。
	(6)收錄當年度最新國考題目，另附上一回模擬試題，讓考生能在應試前做好充足準備。
	(7)每章針對考題比例標示「心形圖示」，點出考試命題所在，讓讀者在閱讀前就先掌握考試重點。
	＊本書題庫收錄護理師、助產師、二技學測等試題。

"
