ISBN,書籍簡介
9789864643509,"

本書依據勞發署公布之110最新丙級化學技能檢定題庫編輯而成。版面清晰、解說簡單明暸，方便考生自修閱讀。學科測驗題目與解說同在一面，方便考生參考。術科操作步驟有圖片輔助說明，加深學生印象。每單元有牛刀小試，提供考生立即練習。另有十二回之模擬試題，方便考生考前複習之用。
                    
"
9789864553037,"


	1. 依勞動部最新公告學術科試題編寫。
	2. 術科測試：標準操作步驟、圖解示範、裝置流程圖。
	3. 學科解析詳實，雙字體編排，鉅細靡遺，重點清晰。
	4. MOSME 行動學習一點通功能：使用「MOSME 行動學習一點通」，登入會員與書籍密碼後，可線上閱讀、自我練習，增強記憶力，反覆測驗提升應考戰鬥力，即學即測即評，強化試題熟練度。
	‧ 學科：使用「數位閱讀電子書模式」，可隨時隨地於行動裝置閱讀學習。
	‧ 診斷：可反覆線上練習書籍裡所有題目，強化題目熟練度。

"
9789865231828,"


	依據勞動部最新公告學術科試題編寫。
	術科：分類學習效能佳、試題分析表格化。
	附贈MOSME行動學習一點通，可重複測驗練習，
	增強檢定實力，實用超值。
	術科試題編號：03000-980301-1～4、03000-980302-1～4。

"
9789865230951,"


	1.針對勞動部學科題庫，均逐項逐題詳加解析。

	 

	2.術科部分針對勞動部公布的二站共8個試題逐題剖析，包括試題使用說明與試題內容。每題的試題內容彙整勞動部公布的試題名稱、操作說明、實驗步驟，考生可完全掌握術科測試要旨及訣竅。

	 

	3.術科各題均有作操作指引，並一步一步詳加圖示。最後更以實際實驗數據作範例，使讀者能深入瞭解結果報告的撰寫與計算方法。

	 

	4.搭配MOSME行動學習一點通，可供考生線上測驗，重複練習增強檢定實力，實用超值。

	 

	5.術科試題編號：03000-980201-1～201-4，03000-980202-1～202-4。

	 

"
9789864555642,"


	依據勞動部最新公告學術科試題編寫。
	術科：分類學習效能佳、試題分析表格化。
	附贈OTAS題測網，可供線上測驗（Web版）及單機版使用，可重複測驗練習
	增強檢定實力，實用超值。
	術科試題編號：03000-980301-1～4、03000-980302-1～4。

"
9789864553600,"


本書特色

	1.依勞動部106年最新公告學術科試題編寫。

	2.內容解析詳實，雙字體編排，鉅細靡遺，重點清晰。

	3.術科測試：標準操作步驟、圖解示範、裝置流程圖。

	4.附OTAS題測系統學習網，可供線上測驗（Web版）及單機版使用，可重複測驗練習增強檢定實力，實用超值。

	5.術科試題編號：12300-930301。

"
9789863086505,"


本書特色

	1.依勞動部105年最新公告學術科試題編寫。
	2.內容解析詳實，雙字體編排，鉅細靡遺，重點清晰。
	3.術科測試：標準操作步驟、圖解示範、裝置流程圖。
	4.附OTAS題測系統學習網，可供線上測驗（Web版）及單機版使用，可重複測驗練習增強檢定實力，實用超值。
	5.術科試題編號：12300-930301。

"
9789864550777,"


	依據勞動部105年最新公告學術科試題編寫。
	術科：分類學習效能佳、試題分析表格化。
	附贈OTAS題測網，可供線上測驗（Web版）及單機版使用，可重複測驗練習
	增強檢定實力，實用超值。
	術科試題編號：03000-980301-1～4、03000-980302-1～4。

"
9789864300990,"

技職體系的學生都有通過技能檢定、考取相關證照的需求，實驗課程就是練習檢定術科操作的最好機會。本書依據行政院勞動部最新公告之化學丙級技能檢定學術科資料進行編寫製作，非常適合科技大學、技術學院、專科學校及高中職校等各級技職院校【化學實驗】課程選用為教科書，輔導學生通過檢定，取得化學丙級技術士的證照。　　本書包含八個術科實驗內容及學科試題，術科實驗內容除了操作說明、相關知識以及實驗概況的文字解說，另附上術科實驗結果報告表詳解，以及三張空白結果報告表以供讀者使用，除了養成學生基本能力並訓練實驗技巧外，更可讓學生熟悉技能檢定的術科操作，有效協助學生通過化學丙級技能檢定。　　學科試題為選擇題，各題皆附解答，部分難題則加上詳細解析，對有意報考化學丙級檢定的讀者自學是一大福音。　　作者群除了編寫內容外，更實際操作這些實驗，將八個術科實驗的實驗詳細操作過程收錄於光碟中隨書附贈，這是本書的一大亮點，讀者在依據書本步驟並搭配教學影片執行後，必可收事半功倍之效。　　第三版依最新考試規則加以更新，也更新的部份實驗數據，並補充了實驗秤重方式。

"
9789864300563,"

許多人在參加職業安全衛生管理乙級技術士技能檢定時，雖經長時間研讀教材內容，往往由於無法掌握出題方向與題型趨勢，加上對新修正之職業安全衛生相關法規無法確實知悉而鎩羽而歸，雖有心再接再厲，又有不知從何著手的困擾。　　作者們累積豐富的職業安全衛生教育訓練及輔導學生考取證照之實務經驗，參考歷屆技能檢定試題與各項最新修正職業安全衛生法規，規劃、編寫這本『職業安全衛生管理（乙級）技能檢定題庫解析』，協助有志於從事職業安全衛生管理工作之人員順利通過技能檢定，取得職業安全衛生管理乙級技術士證照，以增進、鞏固專業技能，為培訓國內相關人才盡力。　　本書架構清晰，收錄完整，解題全面且詳盡；有志從事職業安全衛生管理工作之人員參考使用，必能順利通過技能檢定，取得職業安全衛生管理乙級技術士證照。書中附有習題解答，方便自學讀者研讀備應考。

"
9789863089841,"


 1.針對勞動部學科題庫，均逐項逐題詳加解析。

 2.術科部分針對勞動部公布的二站共8個試題逐題剖析，包括試題使用說明與試題內容。每題的試題內容彙整勞動部公布的試題名稱、操作說明、實驗步驟，考生可完全掌握術科測試要旨及訣竅。

 3.術科各題均有作操作指引，並一步一步詳加圖示。最後更以實際實驗數據作範例，使讀者能深入瞭解結果報告的撰寫與計算方法。

 4.附贈OTAS題測系統，可供考生線上測驗，重複練習增強檢定實力，實用超值。

 5.術科試題編號：03000-980201-1～201-4，03000-980202-1～202-4。 

"
9789863088998,"


	依據勞動部104年最新公告學術科試題編寫。

	 

	術科：分類學習效能佳、試題分析表格化。

	 

	附贈OTAS題測網，可供線上測驗（Web版）及單機版使用，可重複測驗練習增強檢定實力，實用超值。

	 

	術科試題編號：03000-980301-1～4、03000-980302-1～4。

"
9789863086543,"


 依據勞委會103年最新公告學術科試題編寫。

 術科：分類學習效能佳、試題分析表格化。

 附贈OTAS題測網，可供線上測驗（Web版）及單機版使用，可重複測驗練習增強檢定實力，實用超值。

 術科試題編號：03000-980301-1～4、03000-980302-1～4。

"
9789863084341,"

依據勞委會102 年最新公告學術科試題編寫。術科：分類學習效能佳、試題分析表格化。 附贈OTAS題測網，可供線上測驗（Web版）及單機版使用，可重複測驗練習增強檢定實力，實用超值。 術科試題編號：03000-980301-1~4、03000-980302-1~4。
                    
"
9789863083634,"

本書特色1.依勞委會102年最新公告學術科試題編寫。2.內容解析詳實，雙字體編排，鉅細靡遺，重點清晰。3.術科測試：標準操作步驟、圖解示範、裝置流程圖。4.附OTAS題測系統學習網，可供線上測驗（Web版）及單機版使用，可重複測驗練習增強檢定實力，實用超值。5.術科試題編號：12300-930301。
                    
"
9789864553020,"


	依據勞動部最新公告學術科試題編寫。
	術科：分類學習效能佳、試題分析表格化。
	附贈MOSME行動學習一點通，可重複測驗練習，
	增強檢定實力，實用超值。
	術科試題編號：03000-980301-1～4、03000-980302-1～4。

"
9789864556083,"


	1.依勞動部最新公告學術科試題編寫。
	2.術科測試：標準操作步驟、圖解示範、裝置流程圖。
	3.學科解析詳實，雙字體編排，鉅細靡遺，重點清晰。
	4.附OTAS題測系統學習網，可供線上測驗（Web版）及單機版使用，可重複測驗練習增強檢定實力，實用超值。
	5.術科試題編號：12300-930301。

"
9789864553587,"


	依據勞動部最新公告學術科試題編寫。
	術科：分類學習效能佳、試題分析表格化。
	附贈OTAS題測網，可供線上測驗（Web版）及單機版使用，可重複測驗練習
	增強檢定實力，實用超值。
	術科試題編號：03000-980301-1～4、03000-980302-1～4。

"
9789864302383,"


	本書作者為協助有心向上的讀者能更上一層樓，為職安效力、作出貢獻，遂收集歷次甲級檢定學術科試題，並依據行政院勞動部勞動力發展署印行的「職業安全管理甲級技術士技能規範」，按主題分類整理，使考題集中，讓準備報考職業安全管理的考生在準備時較容易掌握方向，事半功倍。

	企業重視安全衛生已是國際趨勢，但甲級管理師證照因為難度較高，有資格報考的人也較少，坊間也較少有甲級技術士相關書籍可供參考。

本書共分四部分：

	第一部分為經典計算題彙編，甲級技術士術科考題約有20%是計算題，本書精選試題並整理出精要的公式，只要多加演練，便可穩操勝算。

	第二部分為歷年問答題彙編，除了依照主題分門別類，使讀者可較有系統的學習，更標示出各題的關鍵詞，以加深讀者的記憶。

	第三部分為近年學科試題彙編及難題解析，提供98年後之試題，並貼心的附上解析，幫助讀者一次搞定學科。

	第四部分為最近一年的術科試題及解析，供讀者模擬練習。

	第二版新增了最新104~105年的學科與術科試題，並彙整了103年的術科試題，分別節錄至「歷年問答題彙編」中。編者用心將各項領域、類型加以分類歸納，讓讀者能輕鬆掌握最新考試趨勢，想要報考職業安全管理甲級技術士的人，本書絕對是您最佳的選擇。

"
9789864550463,"


	1.針對勞動部學科題庫，均逐項逐題詳加解析。
	2.術科部分針對勞動部公布的二站共8個試題逐題剖析，包括試題使用說明與試題內容。每題的試題內容彙整勞動部公布的試題名稱、操作說明、實驗步驟，考生可完全掌握術科測試要旨及訣竅。
	3.術科各題均有作操作指引，並一步一步詳加圖示。最後更以實際實驗數據作範例，使讀者能深入瞭解結果報告的撰寫與計算方法。
	4.附贈OTAS題測系統，可供考生線上測驗，重複練習增強檢定實力，實用超值。
	5.術科試題編號：03000-980201-1～201-4，03000-980202-1～202-4。

"
