ISBN,書籍簡介
9789866343889,"

分門別類的魔法臺灣史，讓你用點播的心情讀歷史！史前臺灣文化與原住民族數永遠記不住？各種歷史變化總在腦中乾坤大挪移？痛恨散落各處的政治運動與兩岸關係？沒時間整理筆記，就讓《魔法臺灣史》幫助你回憶。本書從政治、經濟、文化、社會各個角度精要整理臺灣史，輕鬆好讀無負擔。小巧的尺寸便於攜帶，可隨時隨地針對自己的弱項查閱背記；輕薄的頁數捨去冗言贅字，翻開即見最精華充實內容，適合考前快速複習。
                    
"
9789866978197,"


	本書是濃縮版的國學常識，大小厚薄皆便於隨身攜帶，讀者能針對國學常識即時進行複習。除了適合新手概括了解國學範疇，也能讓熟習者在考前抓住重點、快速複習。

	筆者特針對學科能力測驗、指定科目考試，將多年補教執教經驗之菁華，加以精心彙編，以焦點突擊記憶的方式，提供同學最快速、最方便也最有效率的閱讀。

	本書將國學常識分為十二焦點，內容涵蓋經、史、子、集與現代文學，以焦點突擊記憶的方式，提供同學最快速、最方便也最有效率的精讀。每個焦點羅列重要觀念，要點明確，清楚易讀。輔以全彩圖表，加深學習印象，鞏固記憶。

"
9789571168470,"

學測化學懂了沒？ 學校老師沒教的解題秘訣，就讓大為老師報你知！必勝關鍵　　1.超強「解題切入觀點」：每一主題概念將其製作流程圖，條列化闡述正確觀念，奠定扎實基礎。2.主題後皆附有「重點提醒」：檢示是否通盤了解基礎概念。3.「範例」和「類題」相輔相成，搭配「題型切入觀點」一語道破試題觀念。4. 隨書附有「學測能力測驗模擬試題」，最完整詳盡的解題要領，綜觀考題全貌、學習無死角。

"
9789866343872,"

命題核心，打造數學實戰力！學科能力測驗為大學多元入學方案的第一階段考試，主要測驗高中生是否具有接受大學教育的基本能力，題目類型靈活，主要著重在基礎概念的應用，題型也較偏向思考化、簡單化及生活化，計算亦不求繁複冗長。因此，在準備學科能力測驗要先把握最基礎的觀念、公式與題型，便可以輕鬆取得高達八成的基本分數。「數學」不僅是考進理想志願學校的重要關鍵，更是評判「競爭力」的首要指標。數學的學習重視思考、理解與演練實做，以培養邏輯應用能力，考題中常應用到的公式、定理若能熟練，解題技巧必定大大躍進。雖然數學學測試卷皆附有公式簡表，但若平日缺乏應用練習或沒有理解公式的涵義，往往無法適時將公式正確地派上用場。《升大學學科能力測驗數學焦點公式全》，整合學科能力測驗考試範圍內，會派上用場的所有重點公式，是您考前演練試題的一大良兵利器！本書以單一概念為一個「命題核心」，並輔以「吸星大法」點出破題技巧，以及「LOOK」小專欄，強調特別容易忽略的條件、要素，供同學在平時大小考與學測考前，進行數學複習演算時，隨時翻閱查詢相關單元，並針對不熟練的公式、概念加強鞏固，即時打造數學實戰力。新版附上最重點公式隨身卡，同學可自行剪下後組合成一本隨身攜帶的攻略！本書將繁瑣的高中數學教材整合歸納，化簡為一道道基礎概念、命題核心，跟著腳步逐一理解，學測滿級分絕非遙不可及！按圖索驥，原來數學這麼簡單！◎命題核心數學最怕的就是片斷式學習，分段理解常常會成為學習的盲點。利用簡單明瞭的樹狀圖歸納整理，透析核心結構，見樹又見林！整合高一、高二學科能力測驗考試範圍內的所有命題重點，以單一概念為一個「命題核心」，化繁為簡，由最基本的概念逐一建構，勢必要你紮出硬底子，當個狠角色！◎吸星大法活絡思路，並聯串聯一起來！學數學，光有概念是不夠的，一定要將所學的觀念融會貫通、靈活應用，才能真正精進數學實力。吸星大法教你將基本概念串聯起來，暢通你的腦內思緒！◎LOOKLook！瞧一瞧，千萬不要掉入陷阱！許多定理的成立，需要一些必要條件的存在，公式不單只是公式而已，一定要清楚它的來龍去脈與所有限制，才不會總是將公式用在錯誤的地方，白忙一場！◎機要例題學科能力測驗題目類型靈活，著重基礎概念的應用，題型也較偏向思考化、簡單化及生活化，計算並不求繁複冗長。本書配合關鍵概念，蒐羅學測最關鍵的重點命題，以淺顯易懂的題型，輔以概念引導式思考，讓你實做檢測，題題精要、鞭辟入裡，打造驚人實戰力！
                    
"
9789865224264,"

書審與面試技巧完整攻略108課綱學習歷程檔案實戰錦囊本書特色◎真正站在大學端的需求，打造優質書審與得宜面試◎新、舊課綱，書審寫作項目示例與範例，一應俱全◎重要概念圖、表呈現，詳細解說，學習成效百分百◎面試問題分類與應答技巧一目瞭然，有效解決難題◎精選實用範例，直接活學活用，快速完成資料製作◎條列化、邏輯架構式的書寫、表達提點，直指核心◎自我介紹不同版本教導應用，層層剖析、面面俱到◎學習歷程檔案100字敘述，寫作要領清楚舉例示範◎書審、面試技巧，未來進修、職場，直接轉化應用
                    
"
9789863459705,"

【試題大補帖系列熱賣中！】 不容錯過的上榜必備好書在這裡！精選多間名校歷屆試題，讓你省去到處尋找考古題的煩惱！ 試題按照年度排列，迅速掌握出題方向 每道題目提供完整解析，測驗、複習一把罩本書收錄國內各重點大學轉學考【經濟學】107~109年共三年的試題詳解，幫助您一次準備全面應戰、熟悉題型順利上榜。本書收錄學校：台灣大學、政治大學、台灣聯合大學系統(清大/交大/陽明/中央)、臺北大學、臺灣綜合大學系統(成大/中山/中興/中正)、高雄大學、暨南國際大學、輔仁大學、逢甲大學本書特色：1.補班名師解題，不用三顧茅廬立即獲得大師精準考題解析。2.多年度試題一次收錄，輕鬆練習歷屆試題。3.一題搭配一詳解，演練有錯立即修正，加深印象。
                    
"
4713269383932,"


	「閱讀測驗」是各類型考試的必考題型，但是一般傳統的閱讀測驗，文章都很長，再搭配數個題目，每個題目有四個選項，選項裡還有生字，看一題就要看很久，同學練習起來非常辛苦。

	 

	為此，我們特別設計了「極簡高中閱讀測驗」，一篇文章節選一段，文字精簡沒有廢話，每段只有一個題目，而且選項減成二個，讓你學習沒有負擔。請看下面的例子：

	 

傳統高中閱讀測驗

	 

	〔2019高考江蘇卷試題第一段〕

	In the 1960s, while studying the volcanic history of Yellowstone National Park, Bob Christiansen became puzzled about something that, oddly, had not troubled anyone before: he couldn’t find the park’s volcano.  It had been known for a long time that Yellowstone was volcanic in nature—that’s what accounted for all its hot springs and other steamy features.  But Christiansen couldn’t find the Yellowstone volcano anywhere.

	 

	1. What puzzled Christiansen when he was studying Yellowstone?

	A.  Its complicated geographical features.

	B.  Its ever-lasting influence on tourism.

	C.  The mysterious history of the park.

	D.  The exact location of the volcano. 【D】

	 

	你看上面這篇文章，光一段就這麼多，句子冗長又複雜，同學讀完已經頭暈腦漲，等到看題目時，早就忘了前面讀過什麼，這樣同學練習時很浪費時間，挫折感也很深，可能會對英文失去信心。原來的文章經過我們去蕪存菁，把不重要的部分刪除，題目也只留下二個選項，變成下面這樣：

	 

極簡高中閱讀測驗

	 

	While studying the volcanic history of Yellowstone National Park, Bob Christiansen became puzzled.  It had been known for a long time that the park was volcanic in nature, but he couldn’t find the volcano.

	 

	1. What puzzled Christiansen when he was studying Yellowstone?

	A.  The mysterious history of the park.

	B.  The exact location of the volcano. 【B】

	 

	你看，這樣是不是真的輕鬆許多？本書收錄100篇極簡閱讀測驗，試題均取材自大陸高考試題，改編後的文章淺顯易懂，單字及專有名詞皆有註解說明，保證你一看就懂。你還可以把文章當成練習朗讀的教材，鍛鍊自己的發音和演講實力，一舉數得。本書的目標，就是讓同學在短時間內，提升英文程度，你會越做越有精神，做完100篇極簡閱測之後，任何閱讀測驗都難不倒你了。

	 

"
9789862243909,"

歷年學科能測驗試題&詳解 數學考科
                    
"
9789862243916,"

歷年學科能測驗試題&詳解 自然考科
                    
"
9789869896078,"


x贏戰系列，讓你運籌帷幄，決勝千里之外！
	近8年學測歷屆試題，掌握最新考情，不走冤枉路！
	題題名師精解，突破學習盲點，提升解題實力！
	採用Arima Models預測模擬出題，命中必考趨勢！
	雙效複習計畫，強化學習效率不求人！
	４大迎戰策略，助你輕鬆贏戰學測！


百家爭鳴，誰與爭鋒
	歷屆試題乃鑑古知今的最佳良方，透過演練了解歷年大考命題趨勢，依出題走向調整準備方向，除了節省猜題、找題的功夫，亦是同學豐富的題庫來源，以期在有限的時間內做足準備，迎戰人生的重要關卡。因此一本好的工具書絕對是考生最迫切的需求，為了讓莘莘學子面對大考還能從容以對，《戰學策》系列以貼近使用者需求的角度，設計七大特色，陪同考生一同邁向勝利的終點！

	1.近8年歷屆試題：分量在精不在多，時間有限的情況下，準備就要講求效率。有鑑於此，本系列採用近8年歷屆試題，抓住最新命題趨勢，絕對滿足只想精準複習的考生。

	2.題解分離解答本：網羅各大名師參與，題題詳解，以獨到而精闢的觀念深入剖析每道題目，替同學解惑，讓同學「知其然，更知其所以然」，並採用題解分離的解答本形式，方便同學對照訂正。

	3.各年度五標級分：每年度附該年度頂標、前標、均標、後標、底標五標平均分數級距，同學可自行演練後找出分數落點，藉此強化較薄弱的觀念或科目，平衡五科應考實力。

	4.仿真模擬試題：掌握大考出題趨勢，預測模擬出題，在正式應考前讓同學體驗一次擬真的作答情境。

	5.雙效複習計畫表：提供兩種面向的考前複習計畫表，讓不擅長安排時間的同學可以按表操課，如實完成演練進度。時間管理強的同學也能按自身能力分配複習時間。

	6.年度邊條索引：大考在即，眼下正是一刻千金的時期，貼心的邊條設計，讓爭分奪秒的考生能迅速找到目標年度進行複習，節省寶貴的光陰。

	7.時來運轉大富翁：利用「大富翁」的概念，結合了國、英、數、自、社等各類題目所設計的小遊戲，除了可以消除考試緊張的壓力外，還能藉此提升學習的趣味性。

	鴻漸文化本著對每本書的專業要求，同時亦勉勵讀者不斷的超越自我，也期望輕鬆有效率的學習方式，能成為青青子衿們通往下個人生關卡的助力。

本書特色

	1.收錄近8年歷屆試題，有效掌握最新趨勢
	2.獨立解答本，題解對照最方便
	3.各年度五標級分，找出分數落點，平衡五科應考實力
	4.仿真模擬試題，模擬正式應考情境
	5.雙效複習計畫卡，加強時間管理
	6.年度邊條索引，節省查找時間
	7.時來運轉大富翁遊戲，遊戲結合問題，提升學習趣味

"
