ISBN,書籍簡介
9789864557165,"


	市場上NO.1>第一本整合運算思維的micro:bit程式設計書籍

1.多元範例
	設計LED圖像、演奏音階、智能風扇、指南針、骰子、光譜圖、地震警報、摩斯密碼戰連線遊戲與剪刀石頭布連線遊戲等專題範例，應用micro:bit多元功能於日常生活中問題解決。

2.小試身手
	全書共50個小試身手實作範例，以點、線、面方式，全面理解micro:bit運作原理。

3.多元方式連接micro:bit設計程式
	使用藍牙連接手機以無線方式設計程式或利用USB連接電腦。

4.運算思維程式設計
	從發現問題、解析問題、理解積木隱含的抽象概念、應用積木設計程式模擬解題、micro:bit實作解題，的「問→做→思→創」學習流程中，培養應用科技解決問題的運算思維能力。

"
9789572137147,0
9789572138236,0
9789864554140,"


本書特色

	1.依據教育部公告「農業概論」課程綱要與公告考科規範內容編撰而成。
	2.適合農業群考生，為統一入學測驗用書。
	3.本書重點採用條列式與表格式將文字精簡化，脈絡分明。
	4.試題數量多，附有立即練習、綜合評量與歷屆考題可供練習。
	5.附贈OTAS題測網，可供線上測驗（Web版）及單機版使用，可重複使用測驗練習，實用超值。

"
9789862954683,"


	本書專為從事職業衛生工作人員及大專職業衛生科系學生編寫，將範圍廣泛之職業衛生知識，集中焦點並以淺顯易懂的文字、圖表呈現出來，期能將職業衛生之基礎知識廣為散佈，為閱讀者紮下良好的根基。

"
9789867760883,0
9789861221816,0
9789861221939,0
9789579028837,0
9789578445604,0
9789574541379,0
9789574541362,0
9789579028530,0
9789574541041,0
9799578201377,0
9789579223218,0
