ISBN,書籍簡介
9789864307166,"

本書為作者們依多年教學心得，並參考、整理國內外生態、環境與自然保育等相關書籍及網站編著而成。全書分為10章：第1章介紹生態學的概念；第2、3、4章依序講述生態系統、動物與環境、野生動物保育；第5、6、7章分別說明土壤生態保育、水資源的保育與利用、大氣污染與生態保護；第8章介紹生態工法；第9、10章分別探討都市生態與綠化與掩埋場復育。書末附錄收錄了與環境生態相關的法規，以及各相關研究所的入學考題。各章章末附有學習評量及解答，能讓讀者進一步掌握重點及自我測試學習成果，同時亦可供任課教師作為試前之參考題目。本書除了適合當作「生態學」、「都市生態學」、「森林生態學」及「環境生態學」專業學科的教科書外，亦可作為許多通識課程，如：「環境生態學概論」、「生態學概論」、「自然保育」、「環境保護概論」與「自然資源保育」等課程之參考書籍。第四版廣納建議與指正，將原有章節依其相關性加以整併，並依國內現況增修相關章節之圖表，並更新數據、法規及考題。
                    
"
9789577638601,"

本書從介紹海洋環境開始，廣泛討論人類如何對海洋造成各種汙染，以及這些汙染所可能對環境、經濟及社會帶來的影響。本書並嘗試對各種海洋汙染問題，提出防止與管制之道。本書適合用作大專相關課程的教科書，也可用來幫助想為海洋盡一份心力的愛海夥伴，建立相關知識。
                    
"
9789577638595,"


	無雲不成雨，無風不起浪。水氣在大氣中所占的成分不多，但是露、霧、雲、雨、雪皆生之於水，又歸於水，這是如何演變及影響天氣？而大氣穩定度及大氣邊界層如何影響雲的發展及天氣？風又是因何而生？高空風和地面風有何不同，在天氣圖中是如何呈現的？

	氣象的源頭是什麼？大氣環流如何影響全球的氣候？信風、季風和局部風有何異同？低壓氣旋和高壓反氣旋是如何生成的，如何影響天氣和空氣品質？
	主控全球及區域的氣團和鋒面，如何隨季節的變化而消長並影響天氣？又與雷雨、龍捲風、中緯度氣旋及颱風有何關聯？
	天氣和氣候有甚麼不同，如何劃分全球的氣候帶？
	本書以平易通順的文詞，科學的解說，搭配精美的插圖，闡述這些原因和機制，最後一章解說氣象因子如何影響空氣品質。

"
9789864306039,"


	本書內容充實廣泛，架構完整，循序漸進的編寫方式，可全方位導引讀者對於環境毒物學之通盤瞭解，是一本值得推薦於環境保護和研究用的教科書，也是綜合理論、實務及具國際宏觀是一本綜合理論、實務並具國際宏觀視野的優良教科書。

	全書共12章，首先介紹環境毒物學，讓讀者瞭解藥、毒物之分別，毒物在生物體中的毒性和時間之關聯，其次分別就突變物、致癌物和環境荷爾蒙，詳細闡述其作用機制，進而依農藥、金屬、戴奧辛、多氯聯苯、多環芳香碳氫化合物和室內空氣汙染物等，介紹相關的特性、毒性、宿命、影響和管理，可以讓讀者先有基本的背景概念，再依個人興趣，作更深入的研讀。書中環境荷爾蒙的觀點新穎，可供讀者瞭解毒物之特性和危害，以及預防原則應用於環境保護的重要性。

	環境毒物學是學習毒物對環境影響的重要基礎學科，也是提供毒物對環境生態影響評估時，政策及決策重要知識依據。因此對於環境科學、環境工程等科系而言都是重要的學科。這本環境毒物學是此一課程絕佳教科書，也是實務從業人員進修充實的首選！

"
9789577635587,"


	人類造成的環境破壞是一個全球性的問題，人類對地球的影響，最主要是溫度升高。而且，全球暖化的主要原因也是因為人類活動而產生。如果環境問題存在於生態環境；環境保護則需要政府、組織，以及個人層面進行推動。當今面臨的生態問題，來自傳統知識、價值觀以及人類行為倫理的喪失。

	《環境教育》是為了人類的永續發展，它不是「補充教育」、「教室教育」，而是「實質教育」。如何強化環境保護的「核心素養」與「實質內涵」，都需要深思熟慮。

	本書共十個章節，包括環境教育研究法、環境素養、環境心理、環境典範、環境學習與傳播、戶外教育、食農教育、休閒教育、永續發展等。從環境教育「理論」談到環境教育的「實務分析」，且案例遍及全球。

	本書旨在培養中小學環境教育人員及師資，推動全民環境保護、人文關懷，以及永續發展的教學素養。

本書適用於：
	1.全國大專校院環境教育課程之教學用書。
	2.全國大專校院研究所博碩士班國家發展、環境教育、環境政策、環境心理、環境社會、環境經濟、環境文化、環境傳播、觀光遊憩、餐旅管理，以及永續發展教育等類型學位論文撰寫之研究用書。
	3.環境教育人員的應試、實務、進修，以及培訓課程之參考用書。

	期使政府機關、企業界、學校、社團，以及全國民眾共同努力，創造「寧適、永續與祥和」的生活環境，邁向環境保護與經濟發展兼籌並顧的永續世紀。

"
9789577633231,"


★輕鬆理解生態學的理論、環境及產業應用。
★以簡潔扼要的方式，清楚說明、重點整理。
★一頁文一頁圖，左右兩頁互為參照化、互補化與趣味化。

	生態學是研究生物與生物、生物與環境之間相互關係的科學。生態學是自然科學的基礎科學，關係人類的生存，具有高度理論歸納、演繹及前瞻性。重視理論研究又注重實際應用。隨著全球經濟的發展，資源的損耗日益加劇，人類對環境品質的渴望不斷提高，無論國家生態安全，或區域生態文明，生態學都具有迫切的需求

	本書內容大致分為理論生態學、環境生態學及產業應用生態學三大部分。理論生態學闡述生態學的原則和原理，包括緒論、個體、族群、群落及生態系統生態學。

	環境生態學部分，包括環境、微生物、陸域、水域、森林、海岸與濕地生態學。

	產業應用生態學包括景觀、城市、人類、建築、農業、復育、生態資源管理、生態批評、生態旅遊、臺灣生態狀態、全球環境變遷、生態學研究方法。

"
9789865659240,"


	本書主要目的在評估全球及世界各分區，未來數十年大地震發生的機率。作者利用新的地震活動度回歸公式，計算全球及主要地震帶，不同規模的大地震在特定時間段的發生機率。 這本書是作者五十多年來，為了減輕地震災害，致力於地球物理學及地震學的研究和教育，所積累的具體成果。作者希望讀者發現本書使用的研究方法，有助於減少災難性地震造成的傷亡及破壞。
	 
	The primary purpose of this book is to present quantitative forecasting of the mid-term probability of large earthquakes both globally and over various regions of the world.  The author used the novel seismic activity regression formula to calculate the probability of an earthquake, in the global and major seismic zones, with any given magnitude at any given time since the most recent earthquake of the same magnitude. This book is the author's 50+ years accumulation of achievements in researching and teaching geophysics and seismology for mitigation of earthquake disasters. The author hopes that those after him will find the methodology in this book to be helpful in limiting the death and destruction caused by earthquakes of catastrophic magnitude.   

"
9789574458257,"


	「在這顆行星上，我們可以建立持久而且優雅的生活方式，
	但首先必須放棄『未來會與過去一樣』的想法。」
	——Bill McKibben

	生態危機是二十一世紀最重要的議題之一。所謂「危機」並非駭人聽聞的恐佈事件，而是暗指風險管理和風險評估，進而思考人類未來永續經營的條件和可能性。今日全球環境變遷加速，海嘯、颶風、洪水、土石流、沙漠化、北極冰溶、森林火災等「天災」不斷；水資源污染、毒物（toxic objects）和暖化所帶來的病毒傳染，導致生態疾病（ecosickness）日益惡化。

	本書援用｢生態文學批評｣的視角，重新審視人與非人（自然、環境和氣候）之間的倫理關係，並嘗試探討「環境政策」是否能有效改善失衡的生態系統。全書內容分四部分：｢緒論」主要介紹生態文學批評、學科建置、波段理論，以及其發展概況。第一輯主要爬梳生態文學批評的方法論。第二輯則以「生態溝通」、「超物件」和「政治生態學」等理論來分析生態作品。第三輯旨在透過史耐德的生態詩學、文化翻譯及生命書寫，探討史耐德如何介入環境議題並回應生態危機。

	作者以深入淺出的概念、多元豐富的跨學科背景知識，以及獨到的文本分析，引領讀者認識生態文學、毒物論述、全球暖化、環境變遷與末世論等相關議題；本書是生態論述入門不可或缺的重要著作。

"
9789571198965,"

基於污水處理廠（水資源回收中心）廠區操作維護及理念推廣之重要，必須對環境微生物之性質、生物處理之實務有基本認識，本書從水體污染、微生物之代謝及相關動力學之分析，佐以相當實務之污水處理廠之設計理念，導入生態工程、人工溼地、礫間曝氣等之操作資料，循序漸進瞭解建設及實務設計之邏輯。本書之安排第一章至第五章介紹水體污染與微生物之基本知識，至於第六章則以化學動力學之概念說明生物處理之理論，第七章至第十章介紹生物處理之機制及理論及方法，至於最熱門之氮、磷處理及其他高級處理於十一及十二章加以詳述，十三及十四章則總結及案例說明，並以附錄之形式補充環境微生物基本知識及相關歷屆高普考及技師考題，全書一氣呵成兼顧理論及實務。由於作者於各大學環境工程及生物工程學系兼課教授，輔以下水道實際設計操作資料，兩者結合為一，定書名為《環境微生物及生物處理》，其內容由淺入深，相信對於本行業之從事者當有所助益。
                    
"
9789571199016,"

本書是提供已接觸過環境領域書籍的學生閱讀，將坊間複雜的廢棄物書籍，改以「關鍵字學習」方式重點整理。讓學生在面臨千變萬化的考題時，還是能搜尋到「關鍵字」，以聯想式方法撰寫答案，減少空白或亂發揮很多字作答，卻得分很少的困境。本書適合學生搭配廢棄物相關課程之原文書閱讀，更適用於考前1個月加強複習之用。期望同學還是能先廣泛閱讀廢棄物相關書籍、報告、網路資訊後，再收斂閱讀此書。
                    
"
